,discovery_id,fuzzer,block_source,block_target
1,1,symcc-0-exid2,368820,368841
2,2,symcc-0-exid2,396028,396094
3,3,symcc-0-exid2,3679,3688
4,4,fairfuzz-0-exid2,416568,416610
5,5,symcc-0-exid2,87066,87082
6,6,fairfuzz-0-exid2,56023,56033
7,7,mopt-0-exid2,6487,6506
8,8,symcc-0-exid2,261593,261599
9,9,fairfuzz-0-exid2,371123,371133
10,10,mopt-0-exid2,1635,1648
11,11,symcc-0-exid2,374981,374990
12,12,fairfuzz-0-exid2,35841,36215
13,13,mopt-0-exid2,419951,420201
14,14,symcc-0-exid2,21298,21303
15,15,fairfuzz-0-exid2,84490,84495
16,16,mopt-0-exid2,418458,418470
17,17,symcc-0-exid2,5667,5676
18,18,fairfuzz-0-exid2,371214,371237
19,19,mopt-0-exid2,392817,392819
20,20,fairfuzz-0-exid2,1528,1530
21,21,symcc-0-exid2,270179,270183
22,22,mopt-0-exid2,270919,270936
23,23,symcc-0-exid2,7785,7804
24,24,fairfuzz-0-exid2,372574,372611
25,25,mopt-0-exid2,3080,3099
26,26,symcc-0-exid2,21452,21459
28,28,mopt-0-exid2,370309,370322
29,29,symcc-0-exid2,3347,3362
30,30,fairfuzz-0-exid2,371063,371184
31,31,mopt-0-exid2,9108,9117
33,33,fairfuzz-0-exid2,115172,115192
34,34,mopt-0-exid2,103830,103852
35,35,symcc-0-exid2,102852,102871
36,36,fairfuzz-0-exid2,272609,272642
37,37,mopt-0-exid2,371195,371214
39,39,symcc-0-exid2,5088,5097
40,40,mopt-0-exid2,86760,86775
41,41,symcc-0-exid2,128642,128651
42,42,fairfuzz-0-exid2,3705,3722
47,47,fairfuzz-0-exid2,14133,14171
48,48,mopt-0-exid2,1391,1401
50,50,fairfuzz-0-exid2,366451,366460
51,51,mopt-0-exid2,56342,56971
52,52,mopt-0-exid2,21436,21452
53,53,aflplusplus-0-exid2,416667,416681
55,55,fairfuzz-0-exid2,396773,396792
57,57,aflplusplus-0-exid2,370882,370901
61,61,aflplusplus-0-exid2,3652,3655
64,64,fairfuzz-0-exid2,33305,33342
65,65,aflplusplus-0-exid2,9545,9551
66,66,symcc-0-exid2,373939,374002
67,67,mopt-0-exid2,373939,374002
68,68,fairfuzz-0-exid2,84421,84444
69,69,aflplusplus-0-exid2,5020,5041
73,73,aflplusplus-0-exid2,366088,366129
74,74,symcc-0-exid2,37164,37180
75,75,mopt-0-exid2,394873,394879
78,78,symcc-0-exid2,35777,35782
81,81,aflplusplus-0-exid2,376422,376431
82,82,symcc-0-exid2,378364,378392
83,83,mopt-0-exid2,9072,9081
84,84,fairfuzz-0-exid2,270183,270357
85,85,aflplusplus-0-exid2,21708,21721
86,86,symcc-0-exid2,84538,84544
87,87,mopt-0-exid2,392349,392357
90,90,symcc-0-exid2,42286,42293
92,92,fairfuzz-0-exid2,366828,366875
95,95,mopt-0-exid2,42374,41107
97,97,aflplusplus-0-exid2,21468,21470
99,99,mopt-0-exid2,24507,24523
101,101,aflplusplus-0-exid2,22512,22514
102,102,symcc-0-exid2,367659,367677
103,103,mopt-0-exid2,392504,392576
106,106,symcc-0-exid2,33305,33342
107,107,mopt-0-exid2,131439,131446
109,109,aflplusplus-0-exid2,10574,10600
110,110,symcc-0-exid2,11827,11854
111,111,mopt-0-exid2,374506,374510
112,112,fairfuzz-0-exid2,269162,269166
115,115,mopt-0-exid2,369905,369907
119,119,mopt-0-exid2,35807,35777
125,125,aflplusplus-0-exid2,21682,21734
127,127,mopt-0-exid2,376410,376431
129,129,aflplusplus-0-exid2,36405,36412
130,130,symcc-0-exid2,14256,14292
136,136,fairfuzz-0-exid2,9999,10104
138,138,symcc-0-exid2,269166,269208
139,139,mopt-0-exid2,415242,415285
142,142,symcc-0-exid2,38526,38534
143,143,mopt-0-exid2,24725,24734
147,147,mopt-0-exid2,407189,407200
148,148,fairfuzz-0-exid2,14256,14292
149,149,aflplusplus-0-exid2,42077,42342
151,151,mopt-0-exid2,404472,404482
152,152,fairfuzz-0-exid2,42162,42205
156,156,fairfuzz-0-exid2,11732,11759
159,159,mopt-0-exid2,84560,84571
160,160,fairfuzz-0-exid2,371394,371414
163,163,mopt-0-exid2,41861,41879
164,164,fairfuzz-0-exid2,40959,40973
166,166,aflplusplus-0-exid2,372719,372748
167,167,mopt-0-exid2,44151,44465
168,168,fairfuzz-0-exid2,12422,12429
179,179,mopt-0-exid2,374535,374543
183,183,mopt-0-exid2,11809,11854
184,184,fairfuzz-0-exid2,10412,10427
185,185,symcc-0-exid2,12167,12181
187,187,fairfuzz-0-exid2,366105,366127
188,188,mopt-0-exid2,40959,40973
190,190,aflplusplus-0-exid2,366033,366077
192,192,fairfuzz-0-exid2,11750,11958
193,193,symcc-0-exid2,406072,406110
195,195,mopt-0-exid2,377484,377515
199,199,mopt-0-exid2,135191,135217
200,200,fairfuzz-0-exid2,5559,5633
201,201,symcc-0-exid2,33597,33601
204,204,fairfuzz-0-exid2,37956,37975
206,206,symcc-0-exid2,403528,403539
207,207,mopt-0-exid2,46002,46012
208,208,fairfuzz-0-exid2,50809,50819
211,211,mopt-0-exid2,15239,15253
213,213,symcc-0-exid2,16521,16554
216,216,symcc-0-exid2,9183,9219
220,220,symcc-0-exid2,366105,366127
221,221,mopt-0-exid2,25335,25354
225,225,mopt-0-exid2,37937,37956
226,226,fairfuzz-0-exid2,38550,38552
228,228,symcc-0-exid2,135843,135862
231,231,aflplusplus-0-exid2,102842,102852
232,232,symcc-0-exid2,370800,370813
234,234,aflplusplus-0-exid2,38007,38014
235,235,fairfuzz-0-exid2,9534,9543
236,236,symcc-0-exid2,5704,5865
237,237,mopt-0-exid2,126641,126616
238,238,aflplusplus-0-exid2,43200,43284
240,240,symcc-0-exid2,47566,47580
241,241,mopt-0-exid2,16785,16793
242,242,aflplusplus-0-exid2,372656,372764
243,243,fairfuzz-0-exid2,26818,26827
246,246,fairfuzz-0-exid2,33597,33601
247,247,aflplusplus-0-exid2,72410,72576
249,249,mopt-0-exid2,368087,367923
250,250,fairfuzz-0-exid2,112813,112823
251,251,aflplusplus-0-exid2,4841,4843
252,252,symcc-0-exid2,9510,9534
253,253,mopt-0-exid2,10815,10839
255,255,aflplusplus-0-exid2,419212,419218
256,256,symcc-0-exid2,16869,16890
257,257,fairfuzz-0-exid2,369832,369862
259,259,symcc-0-exid2,56938,56940
263,263,symcc-0-exid2,24716,24725
264,264,mopt-0-exid2,145162,145183
267,267,mopt-0-exid2,129145,129445
268,268,symcc-0-exid2,140924,140939
271,271,mopt-0-exid2,149178,149207
272,272,symcc-0-exid2,44078,44082
275,275,mopt-0-exid2,143613,143629
276,276,fairfuzz-0-exid2,24725,24734
279,279,fairfuzz-0-exid2,140875,140890
280,280,mopt-0-exid2,24440,24442
281,281,symcc-0-exid2,40447,40465
282,282,aflplusplus-0-exid2,144632,144677
284,284,symcc-0-exid2,14775,15038
285,285,mopt-0-exid2,11260,11284
286,286,aflplusplus-0-exid2,42933,42937
287,287,fairfuzz-0-exid2,40680,40698
289,289,symcc-0-exid2,373624,373626
291,291,fairfuzz-0-exid2,44091,44100
293,293,symcc-0-exid2,136544,136550
296,296,mopt-0-exid2,16443,16445
297,297,symcc-0-exid2,24149,24168
300,300,symcc-0-exid2,372719,372731
302,302,mopt-0-exid2,17976,17980
303,303,symcc-0-exid2,280711,280756
305,305,fairfuzz-0-exid2,43424,43445
306,306,mopt-0-exid2,3825,3841
307,307,symcc-0-exid2,22506,22727
309,309,fairfuzz-0-exid2,54669,54685
310,310,mopt-0-exid2,83975,83984
311,311,symcc-0-exid2,139536,139550
312,312,fairfuzz-0-exid2,6918,7218
314,314,symcc-0-exid2,140288,140331
315,315,aflplusplus-0-exid2,40959,40973
316,316,fairfuzz-0-exid2,15050,15072
317,317,mopt-0-exid2,408629,408649
320,320,mopt-0-exid2,21582,21560
321,321,symcc-0-exid2,144941,144962
322,322,fairfuzz-0-exid2,25335,25354
324,324,symcc-0-exid2,44082,44109
328,328,symcc-0-exid2,54918,55089
329,329,aflplusplus-0-exid2,421926,421985
332,332,symcc-0-exid2,43913,43931
336,336,symcc-0-exid2,22566,22727
337,337,fairfuzz-0-exid2,141560,141572
