,discovery_id,fuzzer,block_source,block_target
1,1,afl-0-exid20,417631,417647
2,2,afl-0-exid20,271665,271669
3,3,fairfuzz-0-exid20,2903,2939
4,4,afl-0-exid20,55909,55916
5,5,fairfuzz-0-exid20,36085,36098
6,6,afl-0-exid20,129473,129553
7,7,fairfuzz-0-exid20,43908,43933
8,8,afl-0-exid20,371025,371031
9,9,fairfuzz-0-exid20,376414,376422
10,10,afl-0-exid20,370776,370839
11,11,fairfuzz-0-exid20,70425,70432
12,12,afl-0-exid20,28542,28554
13,13,fairfuzz-0-exid20,375109,375124
14,14,afl-0-exid20,7832,7846
15,15,fairfuzz-0-exid20,36405,36412
16,16,afl-0-exid20,270183,270357
17,17,fairfuzz-0-exid20,38520,38552
18,18,afl-0-exid20,18957,18977
19,19,fairfuzz-0-exid20,5423,5436
20,20,afl-0-exid20,5077,5088
21,21,fairfuzz-0-exid20,19433,19524
22,22,afl-0-exid20,21459,21468
23,23,fairfuzz-0-exid20,21389,21428
27,27,fairfuzz-0-exid20,86760,86775
28,28,afl-0-exid20,114120,114141
29,29,fairfuzz-0-exid20,115102,115115
31,31,fairfuzz-0-exid20,366544,366573
34,34,afl-0-exid20,366544,366573
38,38,afl-0-exid20,35983,35989
40,40,afl-0-exid20,374530,374543
43,43,fairfuzz-0-exid20,374203,374216
45,45,aflplusplus-0-exid20,5704,5715
46,46,fairfuzz-0-exid20,128615,128624
47,47,afl-0-exid20,394812,394873
48,48,aflplusplus-0-exid20,36272,36283
51,51,aflplusplus-0-exid20,3760,3768
52,52,afl-0-exid20,116503,116509
53,53,aflplusplus-0-exid20,130110,130129
54,54,fairfuzz-0-exid20,84237,84241
55,55,afl-0-exid20,76162,76183
56,56,aflplusplus-0-exid20,372707,372719
57,57,fairfuzz-0-exid20,366731,366755
58,58,afl-0-exid20,35777,35782
59,59,aflplusplus-0-exid20,9640,9642
63,63,fairfuzz-0-exid20,149589,149620
64,64,afl-0-exid20,14274,14292
65,65,aflplusplus-0-exid20,85983,85990
68,68,aflfast-0-exid20,117892,117923
71,71,afl-0-exid20,128432,128441
72,72,aflplusplus-0-exid20,22506,22727
73,73,aflfast-0-exid20,395709,395722
77,77,aflfast-0-exid20,3615,3620
79,79,afl-0-exid20,33344,33301
80,80,aflplusplus-0-exid20,372719,372748
81,81,aflfast-0-exid20,130024,130033
84,84,aflplusplus-0-exid20,116509,116534
85,85,aflfast-0-exid20,85714,85725
87,87,aflplusplus-0-exid20,22482,22512
89,89,aflfast-0-exid20,5382,5387
90,90,fairfuzz-0-exid20,376402,376410
91,91,aflplusplus-0-exid20,375099,375101
94,94,fairfuzz-0-exid20,86563,86581
96,96,afl-0-exid20,38534,38550
97,97,aflfast-0-exid20,91847,91862
98,98,fairfuzz-0-exid20,33342,33344
99,99,aflplusplus-0-exid20,91137,91815
100,100,aflfast-0-exid20,21565,21582
101,101,fairfuzz-0-exid20,374535,374543
103,103,afl-0-exid20,269166,269208
105,105,fairfuzz-0-exid20,368908,368924
107,107,aflfast-0-exid20,21734,21785
109,109,aflplusplus-0-exid20,37844,37876
111,111,aflfast-0-exid20,22458,22512
113,113,aflplusplus-0-exid20,374006,374013
116,116,fairfuzz-0-exid20,38804,38824
118,118,afl-0-exid20,110890,110894
122,122,afl-0-exid20,5559,5633
124,124,fairfuzz-0-exid20,41194,41201
126,126,afl-0-exid20,28870,28880
128,128,fairfuzz-0-exid20,14256,14292
129,129,afl-0-exid20,415431,415457
136,136,afl-0-exid20,30475,30490
144,144,afl-0-exid20,18061,18068
150,150,aflfast-0-exid20,374179,374183
152,152,afl-0-exid20,33530,33551
156,156,afl-0-exid20,421279,421787
160,160,afl-0-exid20,16876,16890
164,164,afl-0-exid20,37956,37975
166,166,fairfuzz-0-exid20,415414,415457
167,167,afl-0-exid20,9534,9543
171,171,fairfuzz-0-exid20,254527,254747
178,178,afl-0-exid20,418470,418484
183,183,fairfuzz-0-exid20,366105,366127
185,185,aflfast-0-exid20,21682,21734
186,186,afl-0-exid20,420069,420097
187,187,fairfuzz-0-exid20,9510,9534
190,190,afl-0-exid20,40987,41048
191,191,fairfuzz-0-exid20,110742,110756
194,194,afl-0-exid20,51492,51652
195,195,fairfuzz-0-exid20,8983,9002
199,199,fairfuzz-0-exid20,17626,17636
202,202,afl-0-exid20,24558,24586
203,203,fairfuzz-0-exid20,6045,6284
205,205,aflplusplus-0-exid20,21596,21630
207,207,fairfuzz-0-exid20,27448,27457
208,208,aflfast-0-exid20,83969,83975
212,212,aflfast-0-exid20,372719,372748
214,214,afl-0-exid20,46923,46936
215,215,fairfuzz-0-exid20,18796,18814
222,222,fairfuzz-0-exid20,87527,87537
223,223,aflfast-0-exid20,36405,36412
224,224,aflplusplus-0-exid20,21459,21468
226,226,fairfuzz-0-exid20,135825,135896
229,229,fairfuzz-0-exid20,26916,27036
231,231,aflfast-0-exid20,366033,366077
239,239,aflfast-0-exid20,396339,396353
242,242,fairfuzz-0-exid20,43913,43931
243,243,aflplusplus-0-exid20,42579,42592
244,244,afl-0-exid20,12631,12634
245,245,fairfuzz-0-exid20,12996,13003
247,247,aflplusplus-0-exid20,404258,404295
248,248,afl-0-exid20,21590,21596
249,249,fairfuzz-0-exid20,145969,145983
251,251,aflplusplus-0-exid20,18823,18837
252,252,fairfuzz-0-exid20,419650,419663
253,253,afl-0-exid20,375999,376010
254,254,aflfast-0-exid20,86112,86127
255,255,aflplusplus-0-exid20,3334,3356
256,256,fairfuzz-0-exid20,40164,40200
257,257,afl-0-exid20,54568,54587
259,259,aflplusplus-0-exid20,32202,32216
260,260,fairfuzz-0-exid20,21582,21560
261,261,afl-0-exid20,406772,406776
263,263,aflplusplus-0-exid20,19212,19238
264,264,fairfuzz-0-exid20,54397,54407
265,265,afl-0-exid20,11567,11571
267,267,fairfuzz-0-exid20,10850,10854
268,268,afl-0-exid20,110882,110888
270,270,aflplusplus-0-exid20,370499,370544
272,272,afl-0-exid20,44020,44470
273,273,aflfast-0-exid20,421917,421926
274,274,aflplusplus-0-exid20,150884,150902
275,275,fairfuzz-0-exid20,276417,276436
276,276,afl-0-exid20,24734,24788
277,277,aflfast-0-exid20,19028,19048
278,278,aflplusplus-0-exid20,36047,36016
279,279,afl-0-exid20,152360,152375
281,281,aflfast-0-exid20,129154,129163
282,282,aflplusplus-0-exid20,410561,410572
283,283,afl-0-exid20,284520,284528
286,286,aflplusplus-0-exid20,374355,374361
287,287,afl-0-exid20,15595,15613
288,288,fairfuzz-0-exid20,295830,295878
289,289,aflfast-0-exid20,6045,6284
291,291,afl-0-exid20,37092,37149
292,292,fairfuzz-0-exid20,284548,284576
293,293,aflfast-0-exid20,19026,19028
294,294,aflplusplus-0-exid20,35989,36007
295,295,afl-0-exid20,21565,21582
296,296,fairfuzz-0-exid20,54884,54892
297,297,aflfast-0-exid20,84249,84311
298,298,aflplusplus-0-exid20,42924,42929
299,299,afl-0-exid20,47445,47468
302,302,aflplusplus-0-exid20,112477,112483
303,303,afl-0-exid20,153261,153288
304,304,fairfuzz-0-exid20,24734,24788
305,305,afl-0-exid20,86750,86760
306,306,fairfuzz-0-exid20,47402,47418
307,307,aflfast-0-exid20,374376,374432
308,308,afl-0-exid20,24816,24825
309,309,fairfuzz-0-exid20,392435,392442
311,311,afl-0-exid20,373532,373537
312,312,fairfuzz-0-exid20,406432,406465
315,315,afl-0-exid20,372170,372182
316,316,fairfuzz-0-exid20,44082,44109
318,318,afl-0-exid20,139519,139536
319,319,aflfast-0-exid20,27675,27692
320,320,fairfuzz-0-exid20,15615,15618
321,321,aflplusplus-0-exid20,24246,24256
323,323,aflfast-0-exid20,42933,42945
324,324,fairfuzz-0-exid20,24177,24308
325,325,aflplusplus-0-exid20,76143,76153
328,328,fairfuzz-0-exid20,153219,153226
331,331,fairfuzz-0-exid20,150023,150052
334,334,fairfuzz-0-exid20,51663,51809
336,336,afl-0-exid20,54911,54918
337,337,fairfuzz-0-exid20,41501,41624
338,338,aflplusplus-0-exid20,56433,56447
340,340,fairfuzz-0-exid20,24816,24833
343,343,afl-0-exid20,379289,379305
344,344,fairfuzz-0-exid20,25335,25354
346,346,afl-0-exid20,56932,56938
348,348,fairfuzz-0-exid20,150929,150938
349,349,aflplusplus-0-exid20,112793,112797
350,350,afl-0-exid20,137735,137739
351,351,aflfast-0-exid20,143316,143336
352,352,fairfuzz-0-exid20,153181,153194
356,356,fairfuzz-0-exid20,142026,142030
361,361,afl-0-exid20,369905,369907
365,365,afl-0-exid20,150023,150052
366,366,aflfast-0-exid20,84334,84348
367,367,fairfuzz-0-exid20,46002,46012
369,369,afl-0-exid20,40164,40200
371,371,fairfuzz-0-exid20,55006,55016
373,373,afl-0-exid20,406063,406110
375,375,fairfuzz-0-exid20,38659,38663
377,377,afl-0-exid20,155085,155095
379,379,fairfuzz-0-exid20,38686,38706
380,380,aflplusplus-0-exid20,22574,22584
384,384,aflplusplus-0-exid20,17900,17907
385,385,afl-0-exid20,390737,390753
386,386,fairfuzz-0-exid20,155049,155083
389,389,afl-0-exid20,126408,126413
393,393,afl-0-exid20,130889,130914
394,394,fairfuzz-0-exid20,916,1000
396,396,aflplusplus-0-exid20,112173,112177
397,397,afl-0-exid20,83969,83975
398,398,fairfuzz-0-exid20,42852,42883
404,404,fairfuzz-0-exid20,49473,49480
406,406,aflplusplus-0-exid20,3736,3768
414,414,afl-0-exid20,10839,10848
418,418,afl-0-exid20,407882,407905
421,421,aflplusplus-0-exid20,373553,373567
422,422,afl-0-exid20,374595,374671
424,424,fairfuzz-0-exid20,369796,369806
427,427,aflfast-0-exid20,110770,110896
428,428,fairfuzz-0-exid20,16423,16430
429,429,aflplusplus-0-exid20,419709,419768
430,430,afl-0-exid20,11284,11293
434,434,aflfast-0-exid20,86118,86112
437,437,aflplusplus-0-exid20,372120,372132
438,438,aflfast-0-exid20,370017,370068
441,441,aflfast-0-exid20,27144,27151
445,445,aflplusplus-0-exid20,33305,33319
446,446,aflfast-0-exid20,395359,395404
449,449,aflfast-0-exid20,397219,397242
453,453,aflfast-0-exid20,9117,9137
457,457,aflfast-0-exid20,3736,3768
461,461,aflfast-0-exid20,396376,396390
462,462,afl-0-exid20,42843,42852
464,464,aflfast-0-exid20,22584,22603
465,465,afl-0-exid20,129787,130054
466,466,aflplusplus-0-exid20,283609,283611
470,470,aflplusplus-0-exid20,373948,374000
476,476,aflfast-0-exid20,370493,370499
478,478,aflplusplus-0-exid20,371613,371622
480,480,aflfast-0-exid20,23475,23482
484,484,afl-0-exid20,16379,16386
485,485,aflfast-0-exid20,419630,419650
489,489,aflfast-0-exid20,394820,394873
490,490,aflplusplus-0-exid20,83836,83853
492,492,aflfast-0-exid20,56800,56811
494,494,fairfuzz-0-exid20,10815,10839
498,498,fairfuzz-0-exid20,11284,11293
501,501,aflplusplus-0-exid20,14265,14292
508,508,aflplusplus-0-exid20,153630,153653
511,511,aflfast-0-exid20,154615,154624
512,512,aflplusplus-0-exid20,10289,10315
515,515,aflfast-0-exid20,280450,280466
521,521,fairfuzz-0-exid20,129145,129445
523,523,aflfast-0-exid20,281186,281191
525,525,fairfuzz-0-exid20,374671,374673
527,527,aflfast-0-exid20,154674,154690
529,529,fairfuzz-0-exid20,410583,410594
530,530,afl-0-exid20,22101,22119
532,532,aflplusplus-0-exid20,411417,411516
534,534,afl-0-exid20,18837,18849
536,536,aflplusplus-0-exid20,56811,56844
537,537,fairfuzz-0-exid20,18837,18849
539,539,aflfast-0-exid20,16607,16614
540,540,aflplusplus-0-exid20,56212,56221
543,543,aflfast-0-exid20,55821,55880
544,544,aflplusplus-0-exid20,412996,413004
545,545,fairfuzz-0-exid20,14283,14292
547,547,aflfast-0-exid20,370800,370849
550,550,afl-0-exid20,33340,33349
551,551,aflfast-0-exid20,20216,20244
552,552,aflplusplus-0-exid20,19903,19909
554,554,afl-0-exid20,33452,33458
555,555,aflfast-0-exid20,56201,56206
558,558,afl-0-exid20,18876,18854
562,562,afl-0-exid20,11818,11854
563,563,aflfast-0-exid20,137934,137963
569,569,fairfuzz-0-exid20,33340,33349
570,570,afl-0-exid20,18766,18768
583,583,aflplusplus-0-exid20,415634,415645
585,585,aflfast-0-exid20,282919,283148
592,592,aflfast-0-exid20,140141,140167
598,598,fairfuzz-0-exid20,19022,19026
601,601,aflplusplus-0-exid20,7688,7701
604,604,aflfast-0-exid20,9143,9155
608,608,aflfast-0-exid20,22638,22727
609,609,aflplusplus-0-exid20,84421,84444
610,610,fairfuzz-0-exid20,21181,21200
612,612,aflfast-0-exid20,418484,418498
613,613,fairfuzz-0-exid20,22101,22119
616,616,aflfast-0-exid20,418964,418976
617,617,fairfuzz-0-exid20,35335,35354
620,620,aflfast-0-exid20,419330,419340
627,627,aflfast-0-exid20,412719,412764
629,629,aflplusplus-0-exid20,130806,130889
632,632,fairfuzz-0-exid20,33414,33452
633,633,afl-0-exid20,35354,35373
637,637,fairfuzz-0-exid20,37110,37114
638,638,aflplusplus-0-exid20,54892,54911
639,639,afl-0-exid20,19199,19206
641,641,fairfuzz-0-exid20,7649,7779
644,644,aflfast-0-exid20,373939,373948
645,645,fairfuzz-0-exid20,11818,11854
647,647,afl-0-exid20,374616,374671
651,651,afl-0-exid20,391495,391502
652,652,aflfast-0-exid20,131338,131340
657,657,aflplusplus-0-exid20,22683,22688
658,658,afl-0-exid20,92006,92021
659,659,aflfast-0-exid20,22683,22688
660,660,fairfuzz-0-exid20,408629,408635
673,673,afl-0-exid20,23323,23450
676,676,afl-0-exid20,41450,41456
681,681,aflplusplus-0-exid20,22638,22727
685,685,fairfuzz-0-exid20,41947,41965
687,687,afl-0-exid20,20216,20235
689,689,fairfuzz-0-exid20,29165,29181
694,694,afl-0-exid20,30668,30836
696,696,fairfuzz-0-exid20,391502,391655
697,697,afl-0-exid20,409555,409565
699,699,fairfuzz-0-exid20,90524,90611
700,700,afl-0-exid20,42560,42566
702,702,fairfuzz-0-exid20,406266,406301
703,703,afl-0-exid20,52022,52351
704,704,aflplusplus-0-exid20,418470,418484
706,706,fairfuzz-0-exid20,109052,109062
717,717,afl-0-exid20,23448,23450
720,720,fairfuzz-0-exid20,109896,110125
722,722,aflplusplus-0-exid20,136384,136432
723,723,fairfuzz-0-exid20,42560,42566
725,725,fairfuzz-0-exid20,23318,22835
726,726,afl-0-exid20,273826,273843
729,729,fairfuzz-0-exid20,41510,41556
733,733,fairfuzz-0-exid20,409555,409565
738,738,aflplusplus-0-exid20,16760,16780
748,748,fairfuzz-0-exid20,22060,22067
749,749,afl-0-exid20,109062,109078
760,760,afl-0-exid20,150632,150650
831,831,afl-0-exid20,24349,24442
839,839,afl-0-exid20,91781,91803
850,850,fairfuzz-0-exid20,18437,18448
854,854,fairfuzz-0-exid20,32714,32719
859,859,fairfuzz-0-exid20,17779,17805
860,860,afl-0-exid20,18428,18437
862,862,fairfuzz-0-exid20,35129,35147
868,868,fairfuzz-0-exid20,396390,396759
885,885,afl-0-exid20,35147,35185
892,892,fairfuzz-0-exid20,24291,24295
897,897,afl-0-exid20,32624,32650
932,932,afl-0-exid20,34275,34373
972,972,aflplusplus-0-exid20,9653,9665
979,979,fairfuzz-0-exid20,154860,154875
988,988,fairfuzz-0-exid20,420708,420715
995,995,fairfuzz-0-exid20,19106,19112
1013,1013,afl-0-exid20,45980,46046
1027,1027,aflfast-0-exid20,9653,9665
1030,1030,afl-0-exid20,372656,372764
1032,1032,fairfuzz-0-exid20,46079,46195
1034,1034,afl-0-exid20,55624,56337
1042,1042,afl-0-exid20,19483,19510
1061,1061,fairfuzz-0-exid20,372656,372764
1062,1062,afl-0-exid20,35930,35945
1074,1074,afl-0-exid20,36615,36625
1075,1075,aflplusplus-0-exid20,16353,16367
1079,1079,aflplusplus-0-exid20,373889,374218
1084,1084,aflplusplus-0-exid20,38557,38565
1092,1092,aflplusplus-0-exid20,32624,32650
1099,1099,fairfuzz-0-exid20,35930,35945
1111,1111,aflplusplus-0-exid20,366075,366077
1115,1115,aflplusplus-0-exid20,27720,27723
1122,1122,aflplusplus-0-exid20,84466,84484
1136,1136,aflfast-0-exid20,84578,84580
1140,1140,aflfast-0-exid20,38552,38557
1145,1145,aflplusplus-0-exid20,24760,24771
1153,1153,aflfast-0-exid20,374231,374545
1155,1155,aflplusplus-0-exid20,127856,127860
1157,1157,aflfast-0-exid20,37110,37114
1158,1158,aflplusplus-0-exid20,84515,84538
1159,1159,fairfuzz-0-exid20,36666,36972
1160,1160,afl-0-exid20,36717,36727
1162,1162,aflfast-0-exid20,374606,374616
1163,1163,fairfuzz-0-exid20,36727,36739
1166,1166,aflfast-0-exid20,396773,396792
1169,1169,aflplusplus-0-exid20,396773,396792
1172,1172,aflplusplus-0-exid20,11741,11750
1184,1184,aflfast-0-exid20,269166,269208
1187,1187,aflplusplus-0-exid20,8163,8176
1191,1191,aflplusplus-0-exid20,269162,269166
1198,1198,aflplusplus-0-exid20,29203,29228
1202,1202,aflplusplus-0-exid20,36066,36081
1209,1209,afl-0-exid20,284601,284611
1218,1218,afl-0-exid20,37917,37924
1222,1222,afl-0-exid20,275750,275763
1223,1223,fairfuzz-0-exid20,372582,372611
1231,1231,aflplusplus-0-exid20,9419,9476
1233,1233,afl-0-exid20,111197,111208
1234,1234,fairfuzz-0-exid20,19334,19343
1235,1235,afl-0-exid20,20618,20653
1238,1238,afl-0-exid20,153365,153402
1239,1239,fairfuzz-0-exid20,138286,138295
1240,1240,aflplusplus-0-exid20,5559,5633
1241,1241,afl-0-exid20,1476,1495
1243,1243,fairfuzz-0-exid20,1476,1495
1246,1246,fairfuzz-0-exid20,275388,275400
1249,1249,afl-0-exid20,372582,372611
1251,1251,aflfast-0-exid20,27706,27720
1253,1253,fairfuzz-0-exid20,20177,20186
1257,1257,fairfuzz-0-exid20,37924,38016
1259,1259,afl-0-exid20,56233,56244
1264,1264,fairfuzz-0-exid20,153365,153402
1269,1269,afl-0-exid20,410726,410737
1270,1270,aflplusplus-0-exid20,23386,23446
1272,1272,afl-0-exid20,19310,19334
1273,1273,fairfuzz-0-exid20,140336,140347
1279,1279,aflplusplus-0-exid20,3620,3638
1284,1284,fairfuzz-0-exid20,140427,140454
1291,1291,fairfuzz-0-exid20,415388,415398
1293,1293,aflfast-0-exid20,11827,11854
1300,1300,aflfast-0-exid20,32719,32783
1304,1304,aflfast-0-exid20,373889,374218
1309,1309,aflfast-0-exid20,366075,366077
1313,1313,aflplusplus-0-exid20,1469,1476
1319,1319,aflfast-0-exid20,33452,33458
1323,1323,aflfast-0-exid20,127679,127688
1335,1335,aflfast-0-exid20,5559,5633
1340,1340,afl-0-exid20,394929,395025
1347,1347,afl-0-exid20,20298,20316
1348,1348,aflfast-0-exid20,8163,8176
1349,1349,aflplusplus-0-exid20,22804,22830
1350,1350,fairfuzz-0-exid20,394929,395025
1351,1351,afl-0-exid20,23396,23412
1352,1352,aflplusplus-0-exid20,10867,10878
1355,1355,afl-0-exid20,92961,92975
1357,1357,aflfast-0-exid20,7225,7234
1359,1359,fairfuzz-0-exid20,99438,99469
1360,1360,afl-0-exid20,379310,379337
1361,1361,aflfast-0-exid20,29405,29410
1363,1363,fairfuzz-0-exid20,23349,23388
1364,1364,afl-0-exid20,378054,378085
1365,1365,aflfast-0-exid20,123612,123621
1367,1367,fairfuzz-0-exid20,92471,92502
1368,1368,afl-0-exid20,396368,396376
1369,1369,aflfast-0-exid20,15716,15732
1371,1371,fairfuzz-0-exid20,29331,29380
1374,1374,aflfast-0-exid20,113146,113167
1375,1375,fairfuzz-0-exid20,47034,47044
1376,1376,afl-0-exid20,23979,23992
1379,1379,fairfuzz-0-exid20,396376,396390
1380,1380,afl-0-exid20,407049,407063
1381,1381,aflfast-0-exid20,1476,1495
1382,1382,aflplusplus-0-exid20,277601,277496
1385,1385,aflfast-0-exid20,37431,38130
1386,1386,aflplusplus-0-exid20,409555,409565
1387,1387,fairfuzz-0-exid20,23979,23992
1388,1388,aflfast-0-exid20,123666,123675
1390,1390,aflplusplus-0-exid20,413531,413472
1391,1391,fairfuzz-0-exid20,407069,407076
1392,1392,afl-0-exid20,376628,376634
1393,1393,aflfast-0-exid20,136870,136980
1396,1396,afl-0-exid20,19903,19909
1397,1397,aflfast-0-exid20,22804,22830
1398,1398,aflplusplus-0-exid20,21582,21560
1400,1400,afl-0-exid20,24550,24943
1403,1403,fairfuzz-0-exid20,375161,375184
1404,1404,afl-0-exid20,91885,91889
1407,1407,fairfuzz-0-exid20,19909,20400
1409,1409,aflplusplus-0-exid20,18303,18329
1411,1411,aflplusplus-0-exid20,50217,50219
1412,1412,fairfuzz-0-exid20,24532,24943
1414,1414,aflfast-0-exid20,129172,129445
1416,1416,fairfuzz-0-exid20,91889,91897
1417,1417,afl-0-exid20,14003,14011
1418,1418,aflfast-0-exid20,17692,17762
1420,1420,afl-0-exid20,35817,35841
