,fuzzer,edge
15935,fairfuzz-0-exid2,10007-10018
12694,aflplusplus-0-exid0,10007-10059
3616,aflplusplus-0-exid1,10007-10059
15048,aflplusplus-0-exid1,10007-10059
13944,fairfuzz-0-exid1,10007-10059
36000,fairfuzz-0-exid1,10007-10059
9290,fairfuzz-0-exid4,10007-10059
42382,fairfuzz-0-exid4,10007-10059
11491,mopt-0-exid0,10007-10059
22410,mopt-0-exid0,10007-10059
33814,mopt-0-exid0,10007-10059
27118,mopt-0-exid2,10007-10059
144,symcc-0-exid0,10007-10059
2430,symcc-0-exid1,10007-10059
35849,symcc-0-exid1,10007-10059
27040,symcc-0-exid2,10007-10059
7031,symcc-0-exid3,10007-10059
18175,symcc-0-exid3,10007-10059
2502,aflplusplus-0-exid1,101-110
38295,aflplusplus-0-exid2,101-110
7043,aflplusplus-0-exid3,101-110
18219,aflplusplus-0-exid3,101-110
9326,aflplusplus-0-exid4,101-110
11818,fairfuzz-0-exid0,101-110
2695,fairfuzz-0-exid1,101-110
5106,fairfuzz-0-exid2,101-110
7321,fairfuzz-0-exid3,101-110
40617,fairfuzz-0-exid3,101-110
20476,fairfuzz-0-exid4,101-110
528,mopt-0-exid0,101-110
11858,mopt-0-exid0,101-110
40470,mopt-0-exid3,101-110
12064,symcc-0-exid0,101-110
7463,symcc-0-exid3,101-110
20610,symcc-0-exid4,101-110
1191,aflplusplus-0-exid0,10105-10120
34608,aflplusplus-0-exid0,10105-10120
19323,aflplusplus-0-exid3,10105-10120
10432,aflplusplus-0-exid4,10105-10120
32535,aflplusplus-0-exid4,10105-10120
34223,fairfuzz-0-exid0,10105-10120
38293,fairfuzz-0-exid2,10105-10120
18167,fairfuzz-0-exid3,10105-10120
18227,mopt-0-exid3,10105-10120
40368,mopt-0-exid3,10105-10120
24597,symcc-0-exid1,10105-10120
42435,symcc-0-exid4,10105-10120
24546,mopt-0-exid1,10105-10133
28233,aflplusplus-0-exid2,10120-10143
41471,aflplusplus-0-exid3,10120-10143
43593,aflplusplus-0-exid4,10120-10143
165,fairfuzz-0-exid0,10120-10143
4765,fairfuzz-0-exid2,10120-10143
40252,fairfuzz-0-exid3,10120-10143
20166,fairfuzz-0-exid4,10120-10143
13962,mopt-0-exid1,10120-10143
38339,mopt-0-exid2,10120-10143
29173,mopt-0-exid3,10120-10143
31509,mopt-0-exid4,10120-10143
42466,mopt-0-exid4,10120-10143
11579,symcc-0-exid0,10120-10143
13903,symcc-0-exid1,10120-10143
40287,symcc-0-exid3,10120-10143
9267,symcc-0-exid4,10120-10143
24556,aflplusplus-0-exid1,10172-10181
18095,mopt-0-exid3,10189-10165
35905,aflplusplus-0-exid1,10205-10237
38264,aflplusplus-0-exid2,10205-10237
31401,aflplusplus-0-exid4,10205-10237
186,fairfuzz-0-exid0,10205-10237
20162,fairfuzz-0-exid4,10205-10237
36088,mopt-0-exid1,10205-10237
7066,mopt-0-exid3,10205-10237
22285,fairfuzz-0-exid0,10205-10243
33674,aflplusplus-0-exid0,10237-10469
13882,aflplusplus-0-exid1,10237-10469
9291,aflplusplus-0-exid4,10237-10469
11622,fairfuzz-0-exid0,10237-10469
2510,fairfuzz-0-exid1,10237-10469
31419,fairfuzz-0-exid4,10237-10469
121,mopt-0-exid0,10237-10469
136,symcc-0-exid0,10237-10469
13841,symcc-0-exid1,10237-10469
4846,symcc-0-exid2,10237-10469
42458,symcc-0-exid4,10237-10469
1215,aflplusplus-0-exid0,10243-10466
12746,aflplusplus-0-exid0,10243-10466
23325,aflplusplus-0-exid0,10243-10466
35252,aflplusplus-0-exid0,10243-10466
3668,aflplusplus-0-exid1,10243-10466
15072,aflplusplus-0-exid1,10243-10466
25758,aflplusplus-0-exid1,10243-10466
37044,aflplusplus-0-exid1,10243-10466
5981,aflplusplus-0-exid2,10243-10466
17235,aflplusplus-0-exid2,10243-10466
28276,aflplusplus-0-exid2,10243-10466
39460,aflplusplus-0-exid2,10243-10466
8271,aflplusplus-0-exid3,10243-10466
19340,aflplusplus-0-exid3,10243-10466
30381,aflplusplus-0-exid3,10243-10466
41510,aflplusplus-0-exid3,10243-10466
10484,aflplusplus-0-exid4,10243-10466
21379,aflplusplus-0-exid4,10243-10466
32587,aflplusplus-0-exid4,10243-10466
43623,aflplusplus-0-exid4,10243-10466
769,fairfuzz-0-exid0,10243-10466
12166,fairfuzz-0-exid0,10243-10466
23117,fairfuzz-0-exid0,10243-10466
35111,fairfuzz-0-exid0,10243-10466
3107,fairfuzz-0-exid1,10243-10466
14469,fairfuzz-0-exid1,10243-10466
25369,fairfuzz-0-exid1,10243-10466
36536,fairfuzz-0-exid1,10243-10466
5364,fairfuzz-0-exid2,10243-10466
16617,fairfuzz-0-exid2,10243-10466
27670,fairfuzz-0-exid2,10243-10466
38834,fairfuzz-0-exid2,10243-10466
7626,fairfuzz-0-exid3,10243-10466
18801,fairfuzz-0-exid3,10243-10466
29783,fairfuzz-0-exid3,10243-10466
40896,fairfuzz-0-exid3,10243-10466
9899,fairfuzz-0-exid4,10243-10466
20810,fairfuzz-0-exid4,10243-10466
31985,fairfuzz-0-exid4,10243-10466
43133,fairfuzz-0-exid4,10243-10466
1048,mopt-0-exid0,10243-10466
12445,mopt-0-exid0,10243-10466
22899,mopt-0-exid0,10243-10466
35120,mopt-0-exid0,10243-10466
3065,mopt-0-exid1,10243-10466
14587,mopt-0-exid1,10243-10466
25251,mopt-0-exid1,10243-10466
36903,mopt-0-exid1,10243-10466
5557,mopt-0-exid2,10243-10466
16768,mopt-0-exid2,10243-10466
38693,mopt-0-exid2,10243-10466
8150,mopt-0-exid3,10243-10466
18859,mopt-0-exid3,10243-10466
41036,mopt-0-exid3,10243-10466
9932,mopt-0-exid4,10243-10466
20837,mopt-0-exid4,10243-10466
32021,mopt-0-exid4,10243-10466
42990,mopt-0-exid4,10243-10466
550,symcc-0-exid0,10243-10466
12197,symcc-0-exid0,10243-10466
22693,symcc-0-exid0,10243-10466
35118,symcc-0-exid0,10243-10466
3069,symcc-0-exid1,10243-10466
14262,symcc-0-exid1,10243-10466
25378,symcc-0-exid1,10243-10466
5121,symcc-0-exid2,10243-10466
16382,symcc-0-exid2,10243-10466
27636,symcc-0-exid2,10243-10466
38601,symcc-0-exid2,10243-10466
7641,symcc-0-exid3,10243-10466
29564,symcc-0-exid3,10243-10466
40696,symcc-0-exid3,10243-10466
9915,symcc-0-exid4,10243-10466
20816,symcc-0-exid4,10243-10466
32066,symcc-0-exid4,10243-10466
167,aflplusplus-0-exid0,10252-10270
31458,aflplusplus-0-exid4,10252-10270
42498,aflplusplus-0-exid4,10252-10270
34226,fairfuzz-0-exid0,10252-10270
38236,fairfuzz-0-exid2,10252-10270
22388,symcc-0-exid0,10252-10270
34042,aflplusplus-0-exid0,10252-10334
14248,aflplusplus-0-exid1,10252-10334
5141,aflplusplus-0-exid2,10252-10334
16386,aflplusplus-0-exid2,10252-10334
27405,aflplusplus-0-exid2,10252-10334
7348,aflplusplus-0-exid3,10252-10334
29535,aflplusplus-0-exid3,10252-10334
9668,aflplusplus-0-exid4,10252-10334
20490,aflplusplus-0-exid4,10252-10334
31770,aflplusplus-0-exid4,10252-10334
399,fairfuzz-0-exid0,10252-10334
22986,fairfuzz-0-exid0,10252-10334
34354,fairfuzz-0-exid0,10252-10334
14211,fairfuzz-0-exid1,10252-10334
16318,fairfuzz-0-exid2,10252-10334
27355,fairfuzz-0-exid2,10252-10334
18465,fairfuzz-0-exid3,10252-10334
29458,fairfuzz-0-exid3,10252-10334
9485,fairfuzz-0-exid4,10252-10334
11864,mopt-0-exid0,10252-10334
27401,mopt-0-exid2,10252-10334
38513,mopt-0-exid2,10252-10334
29492,mopt-0-exid3,10252-10334
43007,mopt-0-exid4,10252-10334
29348,symcc-0-exid3,10252-10334
9409,symcc-0-exid4,10252-10334
20518,symcc-0-exid4,10252-10334
