,discovery_id,fuzzer,block_source,block_target
1,1,mopt-0-exid3,14812,14833
2,2,mopt-0-exid3,70396,70401
3,3,mopt-0-exid3,91152,91208
4,4,mopt-0-exid3,16299,16309
5,5,symcc-0-exid3,73244,73275
6,6,mopt-0-exid3,27678,27760
7,7,symcc-0-exid3,86145,86241
8,8,mopt-0-exid3,93015,93019
9,9,symcc-0-exid3,57892,57931
10,10,fairfuzz-0-exid3,72770,72775
11,11,mopt-0-exid3,59408,59417
12,12,symcc-0-exid3,58367,58377
13,13,fairfuzz-0-exid3,89833,89858
14,14,mopt-0-exid3,21204,21209
15,15,symcc-0-exid3,56981,56996
16,16,fairfuzz-0-exid3,66226,66236
17,17,mopt-0-exid3,76321,76338
18,18,fairfuzz-0-exid3,69424,69500
19,19,symcc-0-exid3,55299,55305
20,20,mopt-0-exid3,35326,35333
21,21,symcc-0-exid3,66150,66157
22,22,fairfuzz-0-exid3,20196,20208
23,23,symcc-0-exid3,14729,14747
24,24,fairfuzz-0-exid3,47181,47249
25,25,symcc-0-exid3,35326,35333
26,26,fairfuzz-0-exid3,67085,67100
27,27,symcc-0-exid3,30912,30953
28,28,fairfuzz-0-exid3,15591,15595
29,29,fairfuzz-0-exid3,35333,35326
30,30,fairfuzz-0-exid3,77912,77916
31,31,aflplusplus-0-exid3,33449,33454
32,32,aflplusplus-0-exid3,71473,71574
33,33,aflplusplus-0-exid3,74030,74036
34,34,aflplusplus-0-exid3,49620,49633
35,35,aflplusplus-0-exid3,3144,3193
36,36,aflplusplus-0-exid3,10971,10990
37,37,aflplusplus-0-exid3,62030,62037
38,38,aflplusplus-0-exid3,35109,35111
39,39,aflplusplus-0-exid3,53453,53492
40,40,aflplusplus-0-exid3,72562,72975
41,41,aflplusplus-0-exid3,75350,75363
42,42,aflplusplus-0-exid3,31617,31623
43,43,aflplusplus-0-exid3,71994,71999
45,45,aflplusplus-0-exid3,72490,72496
50,50,aflplusplus-0-exid3,73062,73082
51,51,fairfuzz-0-exid3,75350,75363
53,53,fairfuzz-0-exid3,6853,6860
57,57,fairfuzz-0-exid3,26659,26674
59,59,fairfuzz-0-exid3,75307,75314
60,60,fairfuzz-0-exid3,30780,30803
61,61,fairfuzz-0-exid3,75286,75316
66,66,symcc-0-exid3,26591,26650
68,68,symcc-0-exid3,75350,75395
70,70,symcc-0-exid3,75395,75416
72,72,symcc-0-exid3,6839,6853
74,74,symcc-0-exid3,75286,75297
82,82,aflplusplus-0-exid3,11192,11206
83,83,fairfuzz-0-exid3,75302,75307
85,85,aflplusplus-0-exid3,72022,72027
91,91,aflplusplus-0-exid3,74473,74485
93,93,symcc-0-exid3,30803,30813
95,95,fairfuzz-0-exid3,29283,29298
101,101,fairfuzz-0-exid3,75416,75420
102,102,symcc-0-exid3,30803,30821
104,104,fairfuzz-0-exid3,32158,32250
106,106,aflplusplus-0-exid3,46980,47028
118,118,aflplusplus-0-exid3,6839,6853
124,124,aflplusplus-0-exid3,75286,75302
130,130,aflplusplus-0-exid3,75297,75307
136,136,fairfuzz-0-exid3,30803,30813
149,149,aflplusplus-0-exid3,73756,73766
155,155,aflplusplus-0-exid3,72015,72020
158,158,aflplusplus-0-exid3,75286,75316
161,161,aflplusplus-0-exid3,29283,29298
171,171,symcc-0-exid3,75316,75321
174,174,mopt-0-exid3,75363,75387
178,178,mopt-0-exid3,26650,26659
179,179,symcc-0-exid3,34337,34428
181,181,aflplusplus-0-exid3,75416,75420
194,194,mopt-0-exid3,75314,75321
201,201,mopt-0-exid3,6853,6860
209,209,mopt-0-exid3,30803,30821
212,212,aflplusplus-0-exid3,33535,33561
213,213,mopt-0-exid3,29283,29298
230,230,aflplusplus-0-exid3,72008,72013
245,245,aflplusplus-0-exid3,27754,27756
259,259,symcc-0-exid3,75286,75302
267,267,mopt-0-exid3,30803,30813
275,275,symcc-0-exid3,75309,75314
289,289,fairfuzz-0-exid3,72008,72013
299,299,mopt-0-exid3,71994,71999
325,325,fairfuzz-0-exid3,72022,72027
327,327,aflplusplus-0-exid3,57488,57507
334,334,symcc-0-exid3,33535,33561
338,338,symcc-0-exid3,74503,74523
340,340,mopt-0-exid3,73741,73756
347,347,aflplusplus-0-exid3,31784,31794
350,350,aflplusplus-0-exid3,42780,42788
354,354,aflplusplus-0-exid3,9771,9804
357,357,symcc-0-exid3,74715,74728
362,362,aflplusplus-0-exid3,74715,74728
365,365,symcc-0-exid3,32158,32250
379,379,fairfuzz-0-exid3,11176,11186
401,401,symcc-0-exid3,11176,11186
402,402,aflplusplus-0-exid3,60097,60104
406,406,aflplusplus-0-exid3,60126,60132
410,410,aflplusplus-0-exid3,27884,27891
418,418,aflplusplus-0-exid3,58984,59002
419,419,mopt-0-exid3,10120,10143
422,422,aflplusplus-0-exid3,11367,11377
434,434,aflplusplus-0-exid3,53682,53701
440,440,fairfuzz-0-exid3,75286,75309
446,446,aflplusplus-0-exid3,50844,50867
447,447,fairfuzz-0-exid3,74715,74728
458,458,mopt-0-exid3,75286,75309
479,479,fairfuzz-0-exid3,46391,46426
481,481,symcc-0-exid3,71981,71994
482,482,aflplusplus-0-exid3,46651,46699
483,483,fairfuzz-0-exid3,67613,67642
486,486,aflplusplus-0-exid3,40340,40382
494,494,aflplusplus-0-exid3,30841,30892
502,502,aflplusplus-0-exid3,59463,59467
506,506,fairfuzz-0-exid3,71981,72015
510,510,fairfuzz-0-exid3,33535,33561
514,514,fairfuzz-0-exid3,74910,74916
527,527,aflplusplus-0-exid3,70440,70453
528,528,mopt-0-exid3,72008,72013
531,531,aflplusplus-0-exid3,68754,68762
546,546,aflplusplus-0-exid3,43486,43501
550,550,aflplusplus-0-exid3,43227,43234
553,553,aflplusplus-0-exid3,50977,50994
555,555,aflplusplus-0-exid3,59467,59477
559,559,aflplusplus-0-exid3,51640,55719
577,577,fairfuzz-0-exid3,42742,42770
603,603,fairfuzz-0-exid3,73808,73847
604,604,aflplusplus-0-exid3,77195,77217
607,607,fairfuzz-0-exid3,43227,43234
611,611,aflplusplus-0-exid3,53916,53946
612,612,symcc-0-exid3,31784,31794
650,650,symcc-0-exid3,66137,66145
652,652,mopt-0-exid3,71981,72022
659,659,mopt-0-exid3,72434,72443
663,663,mopt-0-exid3,33535,33561
669,669,aflplusplus-0-exid3,54141,54172
678,678,symcc-0-exid3,46391,46426
692,692,fairfuzz-0-exid3,73323,73331
698,698,symcc-0-exid3,73323,73414
720,720,fairfuzz-0-exid3,72505,72975
727,727,fairfuzz-0-exid3,32123,32158
753,753,aflplusplus-0-exid3,58765,58810
754,754,mopt-0-exid3,47157,47253
760,760,symcc-0-exid3,32123,32158
761,761,aflplusplus-0-exid3,79,101
763,763,symcc-0-exid3,73062,73082
775,775,fairfuzz-0-exid3,46980,47028
776,776,symcc-0-exid3,72190,72208
778,778,fairfuzz-0-exid3,27717,27754
779,779,mopt-0-exid3,11186,11192
780,780,aflplusplus-0-exid3,57716,57736
785,785,symcc-0-exid3,30841,30892
796,796,fairfuzz-0-exid3,57084,57101
804,804,mopt-0-exid3,31784,31794
805,805,aflplusplus-0-exid3,57084,57101
822,822,aflplusplus-0-exid3,69398,69523
824,824,aflplusplus-0-exid3,52127,55719
825,825,symcc-0-exid3,72699,72717
830,830,mopt-0-exid3,72428,72434
833,833,aflplusplus-0-exid3,54569,54590
835,835,symcc-0-exid3,70440,70453
844,844,aflplusplus-0-exid3,10641,10674
863,863,symcc-0-exid3,72434,72443
865,865,aflplusplus-0-exid3,69699,69718
866,866,aflplusplus-0-exid3,55719,51118
876,876,aflplusplus-0-exid3,54402,54423
889,889,mopt-0-exid3,74715,74728
904,904,aflplusplus-0-exid3,31353,31363
905,905,mopt-0-exid3,32158,32250
906,906,fairfuzz-0-exid3,34337,34428
912,912,symcc-0-exid3,63820,63847
932,932,symcc-0-exid3,27703,27717
939,939,aflplusplus-0-exid3,64926,64935
940,940,aflplusplus-0-exid3,10284,10469
942,942,aflplusplus-0-exid3,11273,11283
949,949,aflplusplus-0-exid3,72699,72717
954,954,aflplusplus-0-exid3,9983,10061
955,955,aflplusplus-0-exid3,42649,42661
956,956,aflplusplus-0-exid3,55719,52654
963,963,aflplusplus-0-exid3,41187,41203
966,966,aflplusplus-0-exid3,54610,54641
967,967,aflplusplus-0-exid3,53166,53172
975,975,symcc-0-exid3,71170,71187
976,976,aflplusplus-0-exid3,67604,67613
979,979,symcc-0-exid3,47157,47253
981,981,aflplusplus-0-exid3,32114,32158
987,987,mopt-0-exid3,73039,73049
993,993,mopt-0-exid3,66078,66083
994,994,symcc-0-exid3,67604,67613
1000,1000,aflplusplus-0-exid3,54382,54402
1001,1001,aflplusplus-0-exid3,58334,58355
1018,1018,aflplusplus-0-exid3,54576,54590
1024,1024,fairfuzz-0-exid3,73107,73148
1025,1025,mopt-0-exid3,32114,32123
1028,1028,symcc-0-exid3,27535,27551
1038,1038,aflplusplus-0-exid3,55719,53007
1044,1044,symcc-0-exid3,72505,72975
1048,1048,symcc-0-exid3,31353,31363
1053,1053,aflplusplus-0-exid3,84846,84870
1054,1054,symcc-0-exid3,73808,73841
1064,1064,aflplusplus-0-exid3,69416,69484
1070,1070,mopt-0-exid3,72514,72541
1074,1074,mopt-0-exid3,34337,34428
1078,1078,fairfuzz-0-exid3,73082,73088
1094,1094,aflplusplus-0-exid3,38652,38681
1104,1104,aflplusplus-0-exid3,52009,52050
1127,1127,symcc-0-exid3,72514,72541
1134,1134,aflplusplus-0-exid3,38644,38681
1135,1135,aflplusplus-0-exid3,38687,38724
1136,1136,aflplusplus-0-exid3,41021,41051
1137,1137,mopt-0-exid3,46980,47028
1143,1143,aflplusplus-0-exid3,50994,51001
1155,1155,symcc-0-exid3,51077,51098
1156,1156,aflplusplus-0-exid3,38698,38724
1163,1163,mopt-0-exid3,31825,31834
1175,1175,aflplusplus-0-exid3,54180,54198
1189,1189,aflplusplus-0-exid3,41950,42098
1200,1200,symcc-0-exid3,67398,67449
1212,1212,mopt-0-exid3,72366,72372
1229,1229,aflplusplus-0-exid3,65083,65091
1238,1238,aflplusplus-0-exid3,43190,43208
1239,1239,aflplusplus-0-exid3,26805,26820
1249,1249,aflplusplus-0-exid3,10843,10874
1259,1259,aflplusplus-0-exid3,48337,48379
1268,1268,aflplusplus-0-exid3,51538,51545
1269,1269,aflplusplus-0-exid3,50946,51077
1270,1270,aflplusplus-0-exid3,50636,50659
1282,1282,fairfuzz-0-exid3,30841,30892
1287,1287,aflplusplus-0-exid3,34337,34428
1319,1319,aflplusplus-0-exid3,53916,53925
1324,1324,aflplusplus-0-exid3,8991,8997
1328,1328,aflplusplus-0-exid3,56487,56525
1342,1342,aflplusplus-0-exid3,67076,67116
1347,1347,aflplusplus-0-exid3,47365,47381
1353,1353,aflplusplus-0-exid3,39298,39302
1366,1366,aflplusplus-0-exid3,72443,72975
1368,1368,aflplusplus-0-exid3,53790,53805
1378,1378,fairfuzz-0-exid3,63820,63847
1389,1389,aflplusplus-0-exid3,39435,39470
1396,1396,aflplusplus-0-exid3,48676,48739
1399,1399,aflplusplus-0-exid3,49633,49643
1400,1400,aflplusplus-0-exid3,49055,49072
1401,1401,aflplusplus-0-exid3,72717,72975
1402,1402,fairfuzz-0-exid3,23419,23504
1404,1404,aflplusplus-0-exid3,49945,49980
1406,1406,aflplusplus-0-exid3,28403,28436
1407,1407,aflplusplus-0-exid3,28583,28652
1408,1408,aflplusplus-0-exid3,69206,69219
1475,1475,fairfuzz-0-exid3,47442,47479
1530,1530,symcc-0-exid3,41726,41729
1557,1557,aflplusplus-0-exid3,59101,59113
1561,1561,aflplusplus-0-exid3,70507,70514
1562,1562,mopt-0-exid3,30841,30892
1563,1563,symcc-0-exid3,28436,28533
1571,1571,aflplusplus-0-exid3,28403,28465
1576,1576,fairfuzz-0-exid3,35900,35913
1594,1594,symcc-0-exid3,10659,10674
1636,1636,symcc-0-exid3,29932,29950
1644,1644,symcc-0-exid3,10865,10874
1676,1676,symcc-0-exid3,35900,35913
1678,1678,aflplusplus-0-exid3,56446,56453
1684,1684,symcc-0-exid3,72008,72013
1693,1693,symcc-0-exid3,10641,10674
1695,1695,symcc-0-exid3,68754,68762
1737,1737,aflplusplus-0-exid3,10387,10407
1752,1752,symcc-0-exid3,69416,69484
1755,1755,aflplusplus-0-exid3,11152,11184
1759,1759,symcc-0-exid3,7542,7572
1760,1760,aflplusplus-0-exid3,47442,47479
1767,1767,aflplusplus-0-exid3,81792,81813
1774,1774,fairfuzz-0-exid3,55633,55699
1778,1778,aflplusplus-0-exid3,7794,7805
1801,1801,symcc-0-exid3,46980,47028
1809,1809,symcc-0-exid3,60455,60471
1826,1826,fairfuzz-0-exid3,54195,54198
1828,1828,symcc-0-exid3,10252,10334
1832,1832,symcc-0-exid3,49613,49631
1834,1834,mopt-0-exid3,27717,27754
1839,1839,aflplusplus-0-exid3,32199,32248
1843,1843,mopt-0-exid3,43190,43196
