,discovery_id,fuzzer,block_source,block_target
1,1,afl-0-exid23,22636,22673
2,2,afl-0-exid23,30563,30573
3,3,fairfuzz-0-exid23,48718,48739
4,4,afl-0-exid23,41735,41762
5,5,fairfuzz-0-exid23,90114,90175
6,6,afl-0-exid23,21571,21585
7,7,fairfuzz-0-exid23,62050,62064
8,8,afl-0-exid23,80155,80162
9,9,fairfuzz-0-exid23,89359,89366
10,10,afl-0-exid23,92357,92365
11,11,fairfuzz-0-exid23,25540,25553
12,12,afl-0-exid23,89393,89408
13,13,fairfuzz-0-exid23,16299,16345
14,14,afl-0-exid23,3230,3239
15,15,fairfuzz-0-exid23,66116,66137
16,16,afl-0-exid23,53989,54009
17,17,fairfuzz-0-exid23,56867,56885
18,18,afl-0-exid23,35326,35333
19,19,fairfuzz-0-exid23,35326,35333
20,20,fairfuzz-0-exid23,58089,58092
21,21,aflplusplus-0-exid23,36204,36209
22,22,aflplusplus-0-exid23,46003,55719
23,23,aflplusplus-0-exid23,9487,9491
24,24,aflplusplus-0-exid23,72855,72861
25,25,aflplusplus-0-exid23,56960,56981
26,26,aflplusplus-0-exid23,64986,65000
27,27,aflfast-0-exid23,32438,32442
28,28,aflplusplus-0-exid23,10027,10059
29,29,aflfast-0-exid23,47365,47387
30,30,aflplusplus-0-exid23,7679,7683
31,31,aflfast-0-exid23,93046,93058
32,32,aflplusplus-0-exid23,14562,14639
33,33,aflfast-0-exid23,45975,46003
34,34,aflplusplus-0-exid23,65971,66161
35,35,aflfast-0-exid23,47800,47836
36,36,aflfast-0-exid23,3314,3330
37,37,aflfast-0-exid23,65021,65034
38,38,aflfast-0-exid23,29526,29557
39,39,aflfast-0-exid23,66161,66179
40,40,aflfast-0-exid23,65047,65055
41,41,aflplusplus-0-exid23,75350,75363
42,42,aflplusplus-0-exid23,26591,26650
43,43,aflplusplus-0-exid23,71994,71999
45,45,aflplusplus-0-exid23,72490,72496
48,48,afl-0-exid23,6839,6853
49,49,afl-0-exid23,31617,31623
50,50,afl-0-exid23,75297,75307
51,51,afl-0-exid23,26674,26891
52,52,fairfuzz-0-exid23,75335,75344
54,54,fairfuzz-0-exid23,75321,75344
58,58,afl-0-exid23,30803,30813
60,60,fairfuzz-0-exid23,75387,75420
62,62,aflplusplus-0-exid23,73062,73082
63,63,fairfuzz-0-exid23,75416,75420
64,64,afl-0-exid23,75395,75416
72,72,fairfuzz-0-exid23,72008,72013
79,79,afl-0-exid23,73756,73766
81,81,aflfast-0-exid23,75387,75420
85,85,aflfast-0-exid23,26650,26659
86,86,afl-0-exid23,33535,33561
88,88,aflfast-0-exid23,71981,71994
94,94,aflfast-0-exid23,72463,72490
95,95,afl-0-exid23,75316,75321
96,96,fairfuzz-0-exid23,30803,30813
112,112,fairfuzz-0-exid23,32114,32158
116,116,aflfast-0-exid23,75286,75297
119,119,aflfast-0-exid23,72022,72027
126,126,aflplusplus-0-exid23,11186,11192
129,129,aflplusplus-0-exid23,71981,72022
137,137,aflplusplus-0-exid23,27844,27846
150,150,aflfast-0-exid23,46426,46474
154,154,aflfast-0-exid23,75416,75420
157,157,aflplusplus-0-exid23,46980,47028
166,166,aflfast-0-exid23,75302,75307
173,173,aflplusplus-0-exid23,6853,6860
175,175,fairfuzz-0-exid23,73756,73766
181,181,aflplusplus-0-exid23,75307,75314
184,184,afl-0-exid23,74523,74529
189,189,aflplusplus-0-exid23,30803,30813
190,190,aflfast-0-exid23,75316,75321
205,205,aflplusplus-0-exid23,73741,73756
210,210,aflfast-0-exid23,75405,75420
213,213,aflplusplus-0-exid23,75350,75395
217,217,aflplusplus-0-exid23,75286,75316
221,221,aflplusplus-0-exid23,29283,29298
244,244,aflplusplus-0-exid23,75416,75420
