,fuzzer,edge,fuzzer_combination,benchmark
0,afl-0-exid22,1017-1023,fcb,mp42aac
1,afl-0-exid21,1023-1032,fcb,mp42aac
2,afl-0-exid20,103272-103279,fcb,mp42aac
3,aflfast-0-exid24,103292-103299,fcb,mp42aac
4,afl-0-exid21,103299-103305,fcb,mp42aac
5,afl-0-exid21,103299-103317,fcb,mp42aac
6,afl-0-exid23,103312-103299,fcb,mp42aac
7,afl-0-exid20,103334-103347,fcb,mp42aac
8,aflfast-0-exid21,103334-103350,fcb,mp42aac
9,afl-0-exid23,103347-103385,fcb,mp42aac
10,afl-0-exid23,103350-103358,fcb,mp42aac
11,afl-0-exid20,103358-103363,fcb,mp42aac
12,afl-0-exid20,103363-103385,fcb,mp42aac
13,afl-0-exid21,103366-103374,fcb,mp42aac
14,afl-0-exid24,103374-103385,fcb,mp42aac
15,fairfuzz-0-exid21,103425-103433,fcb,mp42aac
16,aflplusplus-0-exid20,103433-103436,fcb,mp42aac
17,aflfast-0-exid20,103436-103441,fcb,mp42aac
18,aflfast-0-exid21,103441-103447,fcb,mp42aac
19,aflfast-0-exid22,103447-103450,fcb,mp42aac
20,aflplusplus-0-exid20,103450-103456,fcb,mp42aac
21,fairfuzz-0-exid21,103456-103459,fcb,mp42aac
22,aflplusplus-0-exid20,103459-103461,fcb,mp42aac
23,afl-0-exid20,103461-103436,fcb,mp42aac
24,afl-0-exid20,103511-103526,fcb,mp42aac
25,aflfast-0-exid24,103511-103529,fcb,mp42aac
26,afl-0-exid20,103526-103605,fcb,mp42aac
27,aflfast-0-exid20,103529-103563,fcb,mp42aac
28,fairfuzz-0-exid24,103563-103574,fcb,mp42aac
29,afl-0-exid21,103579-103584,fcb,mp42aac
30,aflplusplus-0-exid24,103579-103599,fcb,mp42aac
31,aflfast-0-exid21,103594-103579,fcb,mp42aac
32,aflplusplus-0-exid21,103599-103605,fcb,mp42aac
33,fairfuzz-0-exid20,103611-103628,fcb,mp42aac
34,afl-0-exid20,103628-103641,fcb,mp42aac
35,afl-0-exid22,103692-103701,fcb,mp42aac
36,afl-0-exid20,110-118,fcb,mp42aac
37,aflplusplus-0-exid24,110-130,fcb,mp42aac
38,afl-0-exid21,110155-110168,fcb,mp42aac
39,afl-0-exid21,110155-110171,fcb,mp42aac
40,afl-0-exid20,110168-110206,fcb,mp42aac
41,afl-0-exid20,110171-110179,fcb,mp42aac
42,afl-0-exid21,110179-110184,fcb,mp42aac
43,aflfast-0-exid21,110179-110187,fcb,mp42aac
44,afl-0-exid20,110184-110206,fcb,mp42aac
45,afl-0-exid21,110187-110195,fcb,mp42aac
46,afl-0-exid20,110195-110206,fcb,mp42aac
