,discovery_id,fuzzer,block_source,block_target
1,1,fairfuzz-0-exid4,18072,18079
6,6,symcc-0-exid4,52122,52135
7,7,mopt-0-exid4,3640,3643
31,31,aflplusplus-0-exid4,25553,25581
41,41,aflplusplus-0-exid4,52061,52188
43,43,aflplusplus-0-exid4,137,194
44,44,aflplusplus-0-exid4,53481,53498
45,45,aflplusplus-0-exid4,52459,52464
47,47,aflplusplus-0-exid4,7210,7213
48,48,aflplusplus-0-exid4,43615,43621
50,50,aflplusplus-0-exid4,27952,27954
51,51,aflplusplus-0-exid4,53605,53613
54,54,aflplusplus-0-exid4,38459,38488
55,55,aflplusplus-0-exid4,76140,76145
57,57,aflplusplus-0-exid4,26795,26815
58,58,aflplusplus-0-exid4,6701,6716
61,61,aflplusplus-0-exid4,38434,38457
62,62,aflplusplus-0-exid4,20472,20474
64,64,symcc-0-exid4,38572,38574
65,65,aflplusplus-0-exid4,77597,77695
66,66,fairfuzz-0-exid4,4342,4359
67,67,symcc-0-exid4,52061,52188
69,69,fairfuzz-0-exid4,52012,52047
71,71,fairfuzz-0-exid4,52061,52188
74,74,aflplusplus-0-exid4,117022,117039
76,76,aflplusplus-0-exid4,20505,20509
78,78,aflplusplus-0-exid4,76018,76021
80,80,symcc-0-exid4,52051,52061
83,83,symcc-0-exid4,43581,43615
84,84,fairfuzz-0-exid4,24974,24985
88,88,aflplusplus-0-exid4,119578,119685
89,89,symcc-0-exid4,2798,2819
90,90,aflplusplus-0-exid4,117660,117683
92,92,aflplusplus-0-exid4,26550,26552
95,95,fairfuzz-0-exid4,43615,43621
98,98,aflplusplus-0-exid4,81596,81601
101,101,aflplusplus-0-exid4,17976,18089
104,104,symcc-0-exid4,7210,7213
105,105,aflplusplus-0-exid4,28105,28118
106,106,aflplusplus-0-exid4,53659,53661
107,107,aflplusplus-0-exid4,38564,38566
112,112,aflplusplus-0-exid4,52700,52702
113,113,fairfuzz-0-exid4,120059,120062
116,116,fairfuzz-0-exid4,2819,2826
123,123,aflplusplus-0-exid4,96291,96294
126,126,fairfuzz-0-exid4,6992,7022
129,129,aflplusplus-0-exid4,126160,126164
131,131,aflplusplus-0-exid4,119324,119342
135,135,aflplusplus-0-exid4,51994,52006
137,137,aflplusplus-0-exid4,71919,71927
138,138,symcc-0-exid4,24974,24985
140,140,symcc-0-exid4,120059,120062
141,141,aflplusplus-0-exid4,15219,15240
142,142,aflplusplus-0-exid4,29363,29365
144,144,aflplusplus-0-exid4,119506,119528
145,145,aflplusplus-0-exid4,7819,7886
148,148,aflplusplus-0-exid4,78948,78951
152,152,aflplusplus-0-exid4,52051,52061
157,157,aflplusplus-0-exid4,77834,77839
158,158,fairfuzz-0-exid4,53521,53523
159,159,aflplusplus-0-exid4,31315,31321
161,161,fairfuzz-0-exid4,52681,52697
162,162,aflplusplus-0-exid4,2881,2894
