,discovery_id,fuzzer,block_source,block_target
1,1,fairfuzz-0-exid24,4604,4610
3,3,afl-0-exid24,78781,78797
21,21,aflplusplus-0-exid24,25563,25595
31,31,aflplusplus-0-exid24,52061,52188
33,33,aflplusplus-0-exid24,6992,7022
34,34,aflplusplus-0-exid24,53544,53546
35,35,aflplusplus-0-exid24,52469,52744
37,37,aflplusplus-0-exid24,7187,7210
38,38,aflplusplus-0-exid24,43621,43631
39,39,aflfast-0-exid24,4553,4571
42,42,aflplusplus-0-exid24,27952,27954
44,44,aflplusplus-0-exid24,25219,25256
50,50,aflplusplus-0-exid24,50978,50997
52,52,aflplusplus-0-exid24,79592,79595
56,56,aflplusplus-0-exid24,26795,26815
58,58,aflplusplus-0-exid24,6684,6699
61,61,aflplusplus-0-exid24,38434,38457
62,62,aflplusplus-0-exid24,598,643
64,64,aflplusplus-0-exid24,77593,77597
69,69,aflplusplus-0-exid24,117013,117022
71,71,afl-0-exid24,4342,4359
72,72,fairfuzz-0-exid24,38459,38488
73,73,aflplusplus-0-exid24,20505,20509
74,74,afl-0-exid24,52012,52047
75,75,fairfuzz-0-exid24,52061,52188
76,76,aflplusplus-0-exid24,18057,18085
79,79,fairfuzz-0-exid24,137,194
81,81,aflplusplus-0-exid24,119352,119368
83,83,aflplusplus-0-exid24,117688,117817
85,85,aflplusplus-0-exid24,26504,26508
94,94,afl-0-exid24,52034,52043
95,95,aflplusplus-0-exid24,81601,81623
99,99,aflplusplus-0-exid24,17976,18089
100,100,afl-0-exid24,43581,43615
102,102,afl-0-exid24,24974,24985
105,105,aflplusplus-0-exid24,27930,27932
106,106,aflplusplus-0-exid24,53651,53659
108,108,aflplusplus-0-exid24,38552,38564
110,110,afl-0-exid24,5389,5392
115,115,aflplusplus-0-exid24,52700,52702
121,121,aflplusplus-0-exid24,96261,96291
122,122,fairfuzz-0-exid24,52034,52043
128,128,aflplusplus-0-exid24,126176,126180
129,129,fairfuzz-0-exid24,119975,120059
130,130,aflplusplus-0-exid24,119324,119342
134,134,aflplusplus-0-exid24,51988,51994
136,136,aflplusplus-0-exid24,71905,71915
137,137,fairfuzz-0-exid24,43581,43615
139,139,afl-0-exid24,52051,52061
141,141,fairfuzz-0-exid24,53605,53613
143,143,aflplusplus-0-exid24,49727,49735
144,144,aflplusplus-0-exid24,29305,29312
145,145,fairfuzz-0-exid24,26581,26583
146,146,aflplusplus-0-exid24,119506,119528
148,148,aflplusplus-0-exid24,7902,7904
150,150,aflplusplus-0-exid24,78948,78951
154,154,aflplusplus-0-exid24,52051,52061
159,159,aflplusplus-0-exid24,77834,77839
160,160,aflplusplus-0-exid24,118243,118265
162,162,aflplusplus-0-exid24,2984,2999
163,163,aflplusplus-0-exid24,117202,117206
164,164,aflplusplus-0-exid24,26471,26562
166,166,aflplusplus-0-exid24,118555,118634
167,167,aflplusplus-0-exid24,116656,116661
168,168,aflplusplus-0-exid24,80320,80342
171,171,aflplusplus-0-exid24,120584,120617
172,172,aflplusplus-0-exid24,14457,14461
173,173,aflplusplus-0-exid24,117363,117371
175,175,afl-0-exid24,14457,14461
176,176,afl-0-exid24,77834,77839
177,177,aflplusplus-0-exid24,116933,116971
179,179,aflplusplus-0-exid24,116944,116949
182,182,aflplusplus-0-exid24,78998,79012
183,183,aflplusplus-0-exid24,94442,94446
184,184,aflplusplus-0-exid24,120467,120480
186,186,aflplusplus-0-exid24,52599,52630
188,188,aflplusplus-0-exid24,29238,29243
190,190,aflfast-0-exid24,52055,52061
191,191,afl-0-exid24,53481,53498
192,192,aflfast-0-exid24,5384,5389
193,193,aflplusplus-0-exid24,94309,94347
