,discovery_id,fuzzer,block_source,block_target
1,1,fairfuzz-0-exid1,284931,284940
2,2,symcc-0-exid1,284931,284940
3,3,fairfuzz-0-exid1,176787,176791
4,4,symcc-0-exid1,22172,22183
5,5,fairfuzz-0-exid1,22197,23148
6,6,symcc-0-exid1,13289,13579
9,9,mopt-0-exid1,284557,284561
10,10,fairfuzz-0-exid1,134960,135791
11,11,symcc-0-exid1,137283,137305
12,12,mopt-0-exid1,5212,5221
15,15,mopt-0-exid1,13289,13579
16,16,fairfuzz-0-exid1,46389,47226
17,17,symcc-0-exid1,24497,24521
18,18,mopt-0-exid1,46370,46389
19,19,fairfuzz-0-exid1,24497,24521
20,20,symcc-0-exid1,134954,135791
22,22,fairfuzz-0-exid1,27133,27137
25,25,symcc-0-exid1,27236,28134
26,26,mopt-0-exid1,149505,149516
27,27,symcc-0-exid1,27137,27142
28,28,mopt-0-exid1,27133,27137
29,29,fairfuzz-0-exid1,149516,149523
30,30,symcc-0-exid1,176806,177607
31,31,fairfuzz-0-exid1,46395,47226
32,32,mopt-0-exid1,27236,28134
33,33,aflplusplus-0-exid1,27113,27125
34,34,symcc-0-exid1,22183,22187
35,35,aflplusplus-0-exid1,176806,177607
36,36,aflplusplus-0-exid1,4788,4812
37,37,aflplusplus-0-exid1,27137,27142
38,38,aflplusplus-0-exid1,25917,25941
39,39,aflplusplus-0-exid1,5228,5247
40,40,fairfuzz-0-exid1,27236,28134
42,42,aflplusplus-0-exid1,27244,27252
43,43,aflplusplus-0-exid1,27236,28134
44,44,symcc-0-exid1,17748,17754
46,46,symcc-0-exid1,46395,47226
47,47,aflplusplus-0-exid1,148697,149772
48,48,aflplusplus-0-exid1,137283,137305
50,50,symcc-0-exid1,24505,24521
51,51,mopt-0-exid1,24493,24497
52,52,aflplusplus-0-exid1,134935,134954
53,53,mopt-0-exid1,46395,47226
55,55,aflplusplus-0-exid1,24497,24521
56,56,fairfuzz-0-exid1,148708,149501
58,58,symcc-0-exid1,24513,24521
59,59,symcc-0-exid1,149523,149772
60,60,symcc-0-exid1,27244,28134
61,61,aflplusplus-0-exid1,134954,134960
62,62,symcc-0-exid1,27313,27316
63,63,fairfuzz-0-exid1,22211,23148
64,64,symcc-0-exid1,9852,9865
65,65,aflplusplus-0-exid1,149523,149772
66,66,aflplusplus-0-exid1,24505,24521
67,67,aflplusplus-0-exid1,24513,24521
68,68,fairfuzz-0-exid1,27260,27266
69,69,mopt-0-exid1,22187,22211
70,70,fairfuzz-0-exid1,24505,24521
71,71,fairfuzz-0-exid1,24553,24559
72,72,fairfuzz-0-exid1,27244,28134
73,73,symcc-0-exid1,27252,28134
74,74,fairfuzz-0-exid1,26075,26050
76,76,mopt-0-exid1,148700,148708
