,discovery_id,fuzzer,block_source,block_target
1,1,afl-0-exid23,21109,21114
2,2,afl-0-exid23,148697,149772
3,3,afl-0-exid23,22183,22197
4,4,fairfuzz-0-exid23,212,217
6,6,fairfuzz-0-exid23,13289,13579
8,8,fairfuzz-0-exid23,22172,22183
9,9,afl-0-exid23,46370,46389
11,11,afl-0-exid23,27133,27137
12,12,fairfuzz-0-exid23,137283,137305
15,15,afl-0-exid23,149523,149772
16,16,fairfuzz-0-exid23,134954,135791
18,18,fairfuzz-0-exid23,24497,24521
19,19,fairfuzz-0-exid23,27236,28134
20,20,fairfuzz-0-exid23,22183,22187
21,21,fairfuzz-0-exid23,24505,24513
22,22,afl-0-exid23,27236,27244
23,23,fairfuzz-0-exid23,27133,27137
24,24,afl-0-exid23,176806,177607
25,25,afl-0-exid23,27180,27183
26,26,afl-0-exid23,27236,28134
27,27,afl-0-exid23,24493,24497
28,28,aflplusplus-0-exid23,13365,13381
29,29,aflplusplus-0-exid23,148708,149501
30,30,afl-0-exid23,22187,22211
31,31,aflplusplus-0-exid23,17287,17300
32,32,afl-0-exid23,22187,22200
33,33,aflplusplus-0-exid23,27133,27137
34,34,aflplusplus-0-exid23,195791,195794
35,35,aflplusplus-0-exid23,5228,5247
38,38,aflfast-0-exid23,13828,13840
39,39,aflplusplus-0-exid23,27297,27313
40,40,aflplusplus-0-exid23,27236,28134
41,41,aflfast-0-exid23,285604,285608
42,42,fairfuzz-0-exid23,23218,22214
43,43,aflfast-0-exid23,27260,27266
44,44,afl-0-exid23,27320,27330
45,45,fairfuzz-0-exid23,23163,22211
46,46,aflfast-0-exid23,27137,27142
47,47,afl-0-exid23,24505,24513
48,48,aflplusplus-0-exid23,22183,22197
49,49,aflplusplus-0-exid23,176787,176791
50,50,aflplusplus-0-exid23,24489,24581
51,51,aflplusplus-0-exid23,137264,137283
53,53,aflfast-0-exid23,176806,177607
54,54,aflplusplus-0-exid23,134954,135791
56,56,aflplusplus-0-exid23,27252,28134
57,57,aflfast-0-exid23,5221,5225
58,58,fairfuzz-0-exid23,149523,149772
61,61,aflfast-0-exid23,22183,22197
62,62,aflplusplus-0-exid23,22211,23148
63,63,aflfast-0-exid23,137283,137305
64,64,aflfast-0-exid23,24497,24521
65,65,aflfast-0-exid23,46389,47226
67,67,aflplusplus-0-exid23,22200,22211
68,68,fairfuzz-0-exid23,134954,134960
69,69,aflfast-0-exid23,27244,28134
70,70,aflplusplus-0-exid23,24497,24521
71,71,aflfast-0-exid23,27236,28134
72,72,fairfuzz-0-exid23,10154,10162
73,73,aflplusplus-0-exid23,24513,24521
74,74,afl-0-exid23,134960,135791
75,75,aflfast-0-exid23,27252,28134
76,76,aflplusplus-0-exid23,27244,28134
77,77,aflfast-0-exid23,22183,22187
79,79,fairfuzz-0-exid23,285608,285629
80,80,afl-0-exid23,46395,47226
81,81,aflplusplus-0-exid23,24505,24521
82,82,afl-0-exid23,4765,4788
83,83,afl-0-exid23,24505,24521
84,84,afl-0-exid23,27252,28134
85,85,fairfuzz-0-exid23,176798,176806
86,86,afl-0-exid23,23152,23163
87,87,afl-0-exid23,10162,10193
88,88,aflplusplus-0-exid23,177611,177622
89,89,afl-0-exid23,23163,23174
90,90,afl-0-exid23,5242,5247
91,91,afl-0-exid23,26591,26596
92,92,fairfuzz-0-exid23,26050,26058
93,93,aflplusplus-0-exid23,27157,27162
94,94,fairfuzz-0-exid23,4409,4429
95,95,fairfuzz-0-exid23,27244,27252
96,96,fairfuzz-0-exid23,24505,24521
98,98,fairfuzz-0-exid23,27244,28134
99,99,fairfuzz-0-exid23,27316,27320
100,100,fairfuzz-0-exid23,5228,5247
103,103,fairfuzz-0-exid23,26003,26029
109,109,afl-0-exid23,26039,27101
110,110,fairfuzz-0-exid23,26003,26034
114,114,fairfuzz-0-exid23,13178,13190
116,116,aflfast-0-exid23,24505,24521
120,120,afl-0-exid23,26003,26029
126,126,aflfast-0-exid23,24513,24521
127,127,afl-0-exid23,23152,22211
128,128,aflplusplus-0-exid23,26552,26557
129,129,afl-0-exid23,23174,22211
130,130,afl-0-exid23,13190,13203
133,133,fairfuzz-0-exid23,26383,26391
134,134,aflfast-0-exid23,27174,27180
136,136,aflplusplus-0-exid23,134954,134960
137,137,afl-0-exid23,26552,26557
138,138,fairfuzz-0-exid23,25990,26046
139,139,afl-0-exid23,27316,28121
142,142,aflfast-0-exid23,22200,22211
144,144,afl-0-exid23,25990,26046
145,145,afl-0-exid23,26122,26128
148,148,aflplusplus-0-exid23,10111,10128
151,151,fairfuzz-0-exid23,26206,27091
152,152,aflplusplus-0-exid23,23152,23163
153,153,fairfuzz-0-exid23,5359,5657
154,154,fairfuzz-0-exid23,5369,5376
155,155,aflfast-0-exid23,23196,23207
157,157,afl-0-exid23,5260,5279
159,159,afl-0-exid23,26206,27091
161,161,afl-0-exid23,12762,12787
162,162,fairfuzz-0-exid23,26448,26453
163,163,afl-0-exid23,26557,26562
164,164,fairfuzz-0-exid23,26302,26312
166,166,fairfuzz-0-exid23,26256,26249
167,167,afl-0-exid23,148716,149497
171,171,fairfuzz-0-exid23,25990,27068
172,172,afl-0-exid23,177603,177878
174,174,fairfuzz-0-exid23,26292,26302
178,178,aflfast-0-exid23,27316,28121
179,179,aflfast-0-exid23,23207,23218
181,181,fairfuzz-0-exid23,23152,22211
182,182,fairfuzz-0-exid23,26557,26562
183,183,fairfuzz-0-exid23,23207,22211
184,184,fairfuzz-0-exid23,23174,22211
186,186,fairfuzz-0-exid23,176814,176821
187,187,fairfuzz-0-exid23,148716,149497
189,189,fairfuzz-0-exid23,26541,26552
191,191,fairfuzz-0-exid23,26611,27055
192,192,aflfast-0-exid23,149497,149772
194,194,aflplusplus-0-exid23,23152,22211
195,195,fairfuzz-0-exid23,23185,22211
196,196,fairfuzz-0-exid23,23196,22211
203,203,afl-0-exid23,26102,26414
204,204,afl-0-exid23,26391,26414
206,206,afl-0-exid23,25990,27068
211,211,afl-0-exid23,26292,26302
214,214,fairfuzz-0-exid23,19296,19318
216,216,fairfuzz-0-exid23,26534,27048
218,218,fairfuzz-0-exid23,26128,26142
219,219,fairfuzz-0-exid23,26604,27055
220,220,fairfuzz-0-exid23,24565,24577
222,222,fairfuzz-0-exid23,26972,27036
223,223,afl-0-exid23,26341,26360
224,224,fairfuzz-0-exid23,26580,26596
225,225,fairfuzz-0-exid23,26102,26109
226,226,afl-0-exid23,137293,137305
227,227,fairfuzz-0-exid23,26945,26972
230,230,afl-0-exid23,26604,26611
231,231,afl-0-exid23,24577,24581
232,232,afl-0-exid23,26580,26596
233,233,afl-0-exid23,19318,19322
236,236,afl-0-exid23,26604,27055
237,237,afl-0-exid23,26128,26142
238,238,afl-0-exid23,26604,26945
239,239,afl-0-exid23,26604,26972
240,240,afl-0-exid23,26469,26483
241,241,fairfuzz-0-exid23,26476,26483
248,248,fairfuzz-0-exid23,26780,26787
250,250,afl-0-exid23,26866,26871
251,251,afl-0-exid23,26476,26483
253,253,aflfast-0-exid23,23152,22211
254,254,afl-0-exid23,285776,285784
256,256,aflfast-0-exid23,134954,134960
261,261,afl-0-exid23,26102,27068
262,262,fairfuzz-0-exid23,26585,26588
263,263,fairfuzz-0-exid23,26264,27101
265,265,afl-0-exid23,26371,26386
266,266,fairfuzz-0-exid23,26226,26237
273,273,fairfuzz-0-exid23,26102,26414
274,274,fairfuzz-0-exid23,26102,27068
276,276,aflplusplus-0-exid23,148708,148716
278,278,fairfuzz-0-exid23,137293,137305
