,fuzzer,edge,fuzzer_combination,benchmark
0,afl-0-exid20,100008-100019,fcb,objdump
1,afl-0-exid22,100008-100036,fcb,objdump
2,afl-0-exid21,100019-100022,fcb,objdump
3,afl-0-exid20,100022-100032,fcb,objdump
4,afl-0-exid22,100036-100214,fcb,objdump
5,fairfuzz-0-exid23,100040-100051,fcb,objdump
6,afl-0-exid20,100040-100098,fcb,objdump
7,aflfast-0-exid21,100051-100066,fcb,objdump
8,afl-0-exid20,100051-100080,fcb,objdump
9,afl-0-exid20,100066-100077,fcb,objdump
10,aflfast-0-exid22,100066-100094,fcb,objdump
11,afl-0-exid21,100077-100080,fcb,objdump
12,afl-0-exid20,100080-100090,fcb,objdump
13,aflplusplus-0-exid22,100094-100098,fcb,objdump
14,afl-0-exid20,100098-100113,fcb,objdump
15,afl-0-exid24,100098-100207,fcb,objdump
16,afl-0-exid20,100113-100207,fcb,objdump
17,aflfast-0-exid21,100118-100130,fcb,objdump
18,afl-0-exid21,100118-100177,fcb,objdump
19,afl-0-exid22,100130-100145,fcb,objdump
20,afl-0-exid20,100130-100159,fcb,objdump
21,afl-0-exid20,100145-100156,fcb,objdump
22,afl-0-exid21,100145-100173,fcb,objdump
23,afl-0-exid22,100156-100159,fcb,objdump
24,afl-0-exid21,100159-100169,fcb,objdump
25,aflfast-0-exid22,100173-100177,fcb,objdump
26,aflfast-0-exid21,100177-100207,fcb,objdump
27,afl-0-exid23,1002-1028,fcb,objdump
28,aflfast-0-exid22,100214-100252,fcb,objdump
29,afl-0-exid20,100214-100258,fcb,objdump
30,afl-0-exid20,100252-100254,fcb,objdump
31,afl-0-exid22,100252-100258,fcb,objdump
32,afl-0-exid20,100254-100258,fcb,objdump
33,aflplusplus-0-exid23,100270-100437,fcb,objdump
34,afl-0-exid20,100276-100280,fcb,objdump
35,fairfuzz-0-exid20,100276-100358,fcb,objdump
36,afl-0-exid23,100280-100289,fcb,objdump
37,afl-0-exid23,100280-100308,fcb,objdump
38,aflfast-0-exid21,100289-100308,fcb,objdump
39,aflfast-0-exid21,100326-100336,fcb,objdump
40,afl-0-exid23,100326-100346,fcb,objdump
41,afl-0-exid20,100336-100346,fcb,objdump
42,aflplusplus-0-exid22,100346-100355,fcb,objdump
43,afl-0-exid24,100358-100365,fcb,objdump
44,afl-0-exid21,100358-100406,fcb,objdump
45,aflplusplus-0-exid24,100365-100374,fcb,objdump
46,fairfuzz-0-exid24,100374-100380,fcb,objdump
47,aflfast-0-exid20,100380-100374,fcb,objdump
48,aflplusplus-0-exid20,100380-100386,fcb,objdump
49,aflfast-0-exid24,100386-100410,fcb,objdump
50,afl-0-exid20,100406-100410,fcb,objdump
51,aflfast-0-exid20,100410-100416,fcb,objdump
52,aflfast-0-exid20,100416-100437,fcb,objdump
53,aflplusplus-0-exid20,100437-100450,fcb,objdump
54,aflfast-0-exid21,100445-100450,fcb,objdump
55,fairfuzz-0-exid20,100450-100747,fcb,objdump
56,afl-0-exid21,100486-100504,fcb,objdump
57,afl-0-exid23,100504-100507,fcb,objdump
58,aflfast-0-exid23,100504-100561,fcb,objdump
59,afl-0-exid22,100507-100515,fcb,objdump
60,afl-0-exid20,100507-100561,fcb,objdump
61,afl-0-exid20,100515-100520,fcb,objdump
62,afl-0-exid22,100527-100533,fcb,objdump
63,afl-0-exid21,100527-100540,fcb,objdump
64,afl-0-exid24,100533-100546,fcb,objdump
65,afl-0-exid20,100540-100546,fcb,objdump
66,afl-0-exid21,100546-100561,fcb,objdump
67,aflfast-0-exid24,100561-100739,fcb,objdump
68,afl-0-exid20,100830-100838,fcb,objdump
69,afl-0-exid21,100830-100921,fcb,objdump
70,afl-0-exid21,100830-100990,fcb,objdump
71,afl-0-exid20,100838-100842,fcb,objdump
