,discovery_id,fuzzer,block_source,block_target
1,1,symcc-0-exid2,117817,117824
2,2,symcc-0-exid2,1063,1067
4,4,mopt-0-exid2,119789,119792
5,5,symcc-0-exid2,127288,127299
6,6,mopt-0-exid2,119491,119781
8,8,mopt-0-exid2,127299,127313
9,9,symcc-0-exid2,129613,129621
10,10,mopt-0-exid2,242397,242419
11,11,symcc-0-exid2,132360,133250
13,13,fairfuzz-0-exid2,110493,110589
14,14,symcc-0-exid2,132352,133250
16,16,fairfuzz-0-exid2,110476,110589
18,18,mopt-0-exid2,241764,241781
20,20,symcc-0-exid2,129613,129637
22,22,fairfuzz-0-exid2,241764,241781
23,23,symcc-0-exid2,123967,123973
24,24,mopt-0-exid2,129613,129637
26,26,symcc-0-exid2,254619,254630
27,27,fairfuzz-0-exid2,132345,132352
29,29,mopt-0-exid2,254619,254630
30,30,fairfuzz-0-exid2,132352,132360
31,31,fairfuzz-0-exid2,282736,282743
32,32,mopt-0-exid2,132253,132258
33,33,fairfuzz-0-exid2,132249,132253
34,34,fairfuzz-0-exid2,127303,127327
35,35,fairfuzz-0-exid2,123948,123954
36,36,mopt-0-exid2,131106,131576
37,37,symcc-0-exid2,253814,253822
38,38,aflplusplus-0-exid2,132229,132241
39,39,aflplusplus-0-exid2,123487,123500
40,40,aflplusplus-0-exid2,281912,281920
41,41,fairfuzz-0-exid2,128268,127327
42,42,aflplusplus-0-exid2,132401,132413
43,43,aflplusplus-0-exid2,132249,132253
44,44,symcc-0-exid2,240074,240905
45,45,mopt-0-exid2,132453,132461
46,46,aflplusplus-0-exid2,110479,110498
47,47,fairfuzz-0-exid2,240074,240905
48,48,aflplusplus-0-exid2,131070,131089
49,49,fairfuzz-0-exid2,129609,129613
51,51,symcc-0-exid2,132382,132395
52,52,fairfuzz-0-exid2,131576,131585
53,53,symcc-0-exid2,132253,132258
54,54,aflplusplus-0-exid2,127288,127299
55,55,aflplusplus-0-exid2,253811,254886
57,57,aflplusplus-0-exid2,242397,242419
