,discovery_id,fuzzer,block_source,block_target
1,1,afl-0-exid24,119792,119922
2,2,afl-0-exid24,127288,127299
3,3,afl-0-exid24,119491,119781
4,4,fairfuzz-0-exid24,119194,119197
6,6,fairfuzz-0-exid24,1067,1099
7,7,afl-0-exid24,153200,153217
11,11,afl-0-exid24,254619,254630
12,12,fairfuzz-0-exid24,127313,128264
14,14,fairfuzz-0-exid24,242397,242419
15,15,fairfuzz-0-exid24,240068,240905
16,16,fairfuzz-0-exid24,129613,129637
17,17,fairfuzz-0-exid24,153200,153217
18,18,fairfuzz-0-exid24,254619,254630
19,19,fairfuzz-0-exid24,240068,240074
20,20,afl-0-exid24,129609,129613
21,21,fairfuzz-0-exid24,253822,254615
22,22,fairfuzz-0-exid24,391990,391994
23,23,aflplusplus-0-exid24,132245,132249
24,24,afl-0-exid24,132352,133250
25,25,aflplusplus-0-exid24,123476,123487
26,26,afl-0-exid24,132249,132253
27,27,aflplusplus-0-exid24,281912,281920
28,28,afl-0-exid24,151511,152342
29,29,aflplusplus-0-exid24,132395,132401
30,30,aflplusplus-0-exid24,132253,132258
31,31,afl-0-exid24,129613,129621
32,32,aflfast-0-exid24,604,715
33,33,aflplusplus-0-exid24,110479,110498
34,34,aflplusplus-0-exid24,117882,117888
36,36,fairfuzz-0-exid24,129613,129621
37,37,fairfuzz-0-exid24,132253,132258
38,38,fairfuzz-0-exid24,132413,132429
39,39,afl-0-exid24,132453,132461
40,40,aflfast-0-exid24,131657,131673
41,41,aflfast-0-exid24,132368,132376
42,42,aflfast-0-exid24,132249,132253
43,43,afl-0-exid24,392015,392067
44,44,fairfuzz-0-exid24,129621,129629
45,45,fairfuzz-0-exid24,127316,128268
46,46,aflplusplus-0-exid24,242378,242397
47,47,aflfast-0-exid24,253814,253822
48,48,aflplusplus-0-exid24,127303,127327
49,49,aflplusplus-0-exid24,110476,110589
50,50,aflplusplus-0-exid24,153200,153217
51,51,aflplusplus-0-exid24,281905,281909
53,53,aflfast-0-exid24,127288,127299
54,54,aflplusplus-0-exid24,127303,127316
55,55,afl-0-exid24,127327,128264
56,56,aflfast-0-exid24,110476,110589
57,57,aflplusplus-0-exid24,132352,133250
58,58,aflfast-0-exid24,253811,254886
60,60,aflfast-0-exid24,242397,242419
61,61,aflplusplus-0-exid24,282736,282743
62,62,aflfast-0-exid24,153217,153787
63,63,aflfast-0-exid24,132352,133250
64,64,aflplusplus-0-exid24,241781,241787
65,65,afl-0-exid24,129621,129629
66,66,fairfuzz-0-exid24,115377,115387
67,67,aflplusplus-0-exid24,129629,129637
68,68,aflfast-0-exid24,129613,129637
69,69,afl-0-exid24,132360,133250
70,70,aflplusplus-0-exid24,151511,152342
71,71,aflfast-0-exid24,128290,128301
72,72,afl-0-exid24,253822,254615
73,73,aflplusplus-0-exid24,128301,127327
74,74,fairfuzz-0-exid24,132352,133250
75,75,aflfast-0-exid24,132360,133250
76,76,aflfast-0-exid24,129621,129637
78,78,afl-0-exid24,132221,132224
79,79,aflfast-0-exid24,254611,254886
80,80,aflplusplus-0-exid24,132217,132224
82,82,aflplusplus-0-exid24,128268,127327
83,83,fairfuzz-0-exid24,132360,133250
84,84,aflplusplus-0-exid24,127316,127327
85,85,aflplusplus-0-exid24,129613,129637
86,86,aflplusplus-0-exid24,253822,253830
87,87,fairfuzz-0-exid24,132368,133250
88,88,fairfuzz-0-exid24,129629,129637
89,89,aflplusplus-0-exid24,132360,133250
90,90,aflfast-0-exid24,131089,131103
92,92,fairfuzz-0-exid24,127303,127327
93,93,afl-0-exid24,128279,128290
94,94,fairfuzz-0-exid24,151505,151511
95,95,afl-0-exid24,128268,127327
96,96,afl-0-exid24,254611,254886
97,97,afl-0-exid24,115466,115478
98,98,afl-0-exid24,119728,119730
99,99,afl-0-exid24,127316,127327
100,100,afl-0-exid24,132368,133250
102,102,afl-0-exid24,110479,110498
103,103,aflplusplus-0-exid24,132368,133250
106,106,fairfuzz-0-exid24,128301,127327
107,107,fairfuzz-0-exid24,128301,128312
109,109,fairfuzz-0-exid24,120039,120042
110,110,fairfuzz-0-exid24,253830,254611
111,111,fairfuzz-0-exid24,110493,110498
113,113,aflfast-0-exid24,129629,129637
116,116,fairfuzz-0-exid24,128279,127327
117,117,fairfuzz-0-exid24,128290,127327
118,118,fairfuzz-0-exid24,127330,128264
119,119,fairfuzz-0-exid24,128323,127327
120,120,aflfast-0-exid24,128279,127327
121,121,aflplusplus-0-exid24,132432,133237
123,123,fairfuzz-0-exid24,110530,110534
124,124,fairfuzz-0-exid24,111252,111256
126,126,afl-0-exid24,132432,133237
127,127,afl-0-exid24,128312,128323
128,128,afl-0-exid24,110595,110610
129,129,afl-0-exid24,110901,110908
131,131,fairfuzz-0-exid24,109707,109714
139,139,afl-0-exid24,115192,115173
149,149,fairfuzz-0-exid24,132184,131089
150,150,fairfuzz-0-exid24,1035,1043
151,151,aflplusplus-0-exid24,129621,129637
162,162,afl-0-exid24,131668,131673
163,163,afl-0-exid24,131145,131155
164,164,afl-0-exid24,242407,242419
165,165,fairfuzz-0-exid24,131150,131155
167,167,afl-0-exid24,131119,131150
168,168,afl-0-exid24,109707,109714
169,169,afl-0-exid24,131080,132201
171,171,afl-0-exid24,131106,132184
174,174,aflfast-0-exid24,128312,128323
178,178,afl-0-exid24,253837,253848
180,180,fairfuzz-0-exid24,253848,254611
186,186,fairfuzz-0-exid24,131162,132184
188,188,afl-0-exid24,131162,132184
190,190,afl-0-exid24,128279,127327
192,192,fairfuzz-0-exid24,131272,131325
193,193,aflfast-0-exid24,127316,127327
194,194,fairfuzz-0-exid24,131106,132184
197,197,afl-0-exid24,131530,132184
203,203,afl-0-exid24,246349,246356
205,205,fairfuzz-0-exid24,131218,131530
206,206,afl-0-exid24,243885,243890
208,208,fairfuzz-0-exid24,121355,121379
218,218,fairfuzz-0-exid24,131650,132164
219,219,afl-0-exid24,249020,249033
220,220,aflfast-0-exid24,132368,133250
221,221,fairfuzz-0-exid24,131258,131322
223,223,fairfuzz-0-exid24,131235,132217
224,224,aflplusplus-0-exid24,128312,128323
226,226,fairfuzz-0-exid24,131534,131564
