,discovery_id,fuzzer,block_source,block_target
1,1,symcc-0-exid4,834385,834395
2,2,symcc-0-exid4,676331,676344
3,3,symcc-0-exid4,694797,694840
4,4,symcc-0-exid4,319178,319192
5,5,fairfuzz-0-exid4,323064,323072
6,6,symcc-0-exid4,496026,496034
7,7,fairfuzz-0-exid4,323351,323364
8,8,symcc-0-exid4,831082,831095
9,9,fairfuzz-0-exid4,811484,811501
10,10,symcc-0-exid4,318103,318222
11,11,fairfuzz-0-exid4,651619,651631
12,12,symcc-0-exid4,319120,319122
13,13,fairfuzz-0-exid4,822469,822475
14,14,symcc-0-exid4,98354,98366
15,15,fairfuzz-0-exid4,635032,635103
16,16,symcc-0-exid4,321985,322023
17,17,mopt-0-exid4,620352,620383
18,18,fairfuzz-0-exid4,321985,322023
19,19,symcc-0-exid4,303254,303257
20,20,fairfuzz-0-exid4,302885,303198
21,21,mopt-0-exid4,317187,317200
22,22,symcc-0-exid4,218933,218980
23,23,mopt-0-exid4,319137,319141
24,24,fairfuzz-0-exid4,394804,394832
25,25,mopt-0-exid4,394710,394725
26,26,symcc-0-exid4,317295,317307
27,27,fairfuzz-0-exid4,218933,218980
28,28,mopt-0-exid4,7870,7876
29,29,fairfuzz-0-exid4,318036,318101
30,30,symcc-0-exid4,310944,311018
31,31,mopt-0-exid4,317265,317272
32,32,fairfuzz-0-exid4,317295,317307
33,33,symcc-0-exid4,310904,310926
34,34,mopt-0-exid4,53537,53563
35,35,fairfuzz-0-exid4,316086,316687
36,36,symcc-0-exid4,799960,799978
37,37,mopt-0-exid4,319178,319192
38,38,fairfuzz-0-exid4,297169,297180
39,39,symcc-0-exid4,318806,318822
40,40,aflplusplus-0-exid4,430984,430989
41,41,mopt-0-exid4,296361,296417
42,42,fairfuzz-0-exid4,317202,317209
43,43,symcc-0-exid4,813550,813558
44,44,mopt-0-exid4,311163,311167
45,45,aflplusplus-0-exid4,799534,799561
46,46,fairfuzz-0-exid4,310866,310888
48,48,mopt-0-exid4,351954,351967
49,49,aflplusplus-0-exid4,168685,168736
50,50,symcc-0-exid4,897153,897159
51,51,fairfuzz-0-exid4,352840,352911
52,52,mopt-0-exid4,318806,318815
53,53,aflplusplus-0-exid4,173321,173325
56,56,mopt-0-exid4,99120,99129
57,57,aflplusplus-0-exid4,323249,323308
58,58,symcc-0-exid4,362431,362462
59,59,mopt-0-exid4,322023,322049
60,60,fairfuzz-0-exid4,897208,897241
61,61,aflplusplus-0-exid4,651631,651668
63,63,mopt-0-exid4,218933,218980
64,64,symcc-0-exid4,799720,799739
65,65,aflplusplus-0-exid4,362335,362338
66,66,fairfuzz-0-exid4,297816,297845
67,67,mopt-0-exid4,53391,53410
68,68,symcc-0-exid4,476472,476708
69,69,aflplusplus-0-exid4,831082,831095
70,70,fairfuzz-0-exid4,317990,317996
71,71,symcc-0-exid4,317990,317996
72,72,mopt-0-exid4,813545,813550
73,73,aflplusplus-0-exid4,476511,476518
74,74,fairfuzz-0-exid4,304341,304360
75,75,aflplusplus-0-exid4,53486,53488
76,76,symcc-0-exid4,477428,477444
78,78,fairfuzz-0-exid4,799702,799715
79,79,aflplusplus-0-exid4,798892,798905
80,80,symcc-0-exid4,897791,897804
81,81,mopt-0-exid4,317996,317917
82,82,fairfuzz-0-exid4,786256,786270
83,83,aflplusplus-0-exid4,818087,818106
84,84,mopt-0-exid4,898008,898051
85,85,symcc-0-exid4,304574,304701
86,86,fairfuzz-0-exid4,341918,341946
87,87,aflplusplus-0-exid4,477736,477743
88,88,symcc-0-exid4,799938,799951
89,89,mopt-0-exid4,310944,311018
90,90,fairfuzz-0-exid4,477484,477486
91,91,aflplusplus-0-exid4,831623,831634
92,92,symcc-0-exid4,501493,501500
93,93,fairfuzz-0-exid4,476434,476445
94,94,mopt-0-exid4,304335,304341
95,95,aflplusplus-0-exid4,318543,318548
97,97,mopt-0-exid4,310859,310866
98,98,fairfuzz-0-exid4,307252,307362
100,100,symcc-0-exid4,98223,98279
101,101,fairfuzz-0-exid4,898956,898979
103,103,aflplusplus-0-exid4,800477,800489
104,104,mopt-0-exid4,800458,800469
105,105,symcc-0-exid4,38649,38653
106,106,fairfuzz-0-exid4,98541,98555
107,107,aflplusplus-0-exid4,774204,774218
108,108,mopt-0-exid4,581312,581359
111,111,aflplusplus-0-exid4,563715,563736
114,114,fairfuzz-0-exid4,38508,38521
115,115,aflplusplus-0-exid4,311186,311190
117,117,symcc-0-exid4,477600,477670
118,118,mopt-0-exid4,318133,318222
