,discovery_id,fuzzer,block_source,block_target
1,1,fairfuzz-0-exid20,317591,317595
2,2,afl-0-exid20,349405,349409
3,3,fairfuzz-0-exid20,99067,98996
4,4,afl-0-exid20,675782,675797
5,5,fairfuzz-0-exid20,316155,316166
6,6,afl-0-exid20,296421,296442
7,7,fairfuzz-0-exid20,394705,394798
8,8,afl-0-exid20,51884,51886
9,9,fairfuzz-0-exid20,491823,491828
10,10,afl-0-exid20,319303,319305
11,11,fairfuzz-0-exid20,91954,91971
12,12,afl-0-exid20,821239,821253
13,13,fairfuzz-0-exid20,52210,52214
14,14,afl-0-exid20,316079,316086
15,15,fairfuzz-0-exid20,101622,101640
16,16,afl-0-exid20,53488,53504
17,17,fairfuzz-0-exid20,831576,831584
18,18,afl-0-exid20,317367,317375
19,19,fairfuzz-0-exid20,317251,317258
20,20,afl-0-exid20,98463,98507
21,21,fairfuzz-0-exid20,53369,53373
22,22,afl-0-exid20,321985,322023
23,23,fairfuzz-0-exid20,317307,317324
24,24,afl-0-exid20,218933,218980
25,25,fairfuzz-0-exid20,319120,319122
26,26,afl-0-exid20,317295,317307
27,27,fairfuzz-0-exid20,352840,352911
28,28,afl-0-exid20,317753,317765
30,30,afl-0-exid20,310820,310839
31,31,fairfuzz-0-exid20,317202,317209
32,32,afl-0-exid20,693037,693039
33,33,fairfuzz-0-exid20,839415,839418
34,34,afl-0-exid20,352840,352911
35,35,fairfuzz-0-exid20,317965,317969
37,37,fairfuzz-0-exid20,304363,304368
38,38,afl-0-exid20,897294,897296
39,39,fairfuzz-0-exid20,310866,310888
42,42,afl-0-exid20,318815,318822
43,43,fairfuzz-0-exid20,800458,800469
44,44,afl-0-exid20,317965,317990
45,45,fairfuzz-0-exid20,315834,316658
46,46,afl-0-exid20,299756,299777
47,47,fairfuzz-0-exid20,786270,786274
48,48,aflplusplus-0-exid20,316684,316687
49,49,afl-0-exid20,349151,349153
50,50,fairfuzz-0-exid20,800398,800402
51,51,afl-0-exid20,800398,800402
52,52,aflplusplus-0-exid20,355699,355709
53,53,fairfuzz-0-exid20,499110,499217
54,54,afl-0-exid20,425553,425599
55,55,aflplusplus-0-exid20,52019,52031
56,56,fairfuzz-0-exid20,477428,477444
57,57,aflfast-0-exid20,294279,294283
58,58,afl-0-exid20,477469,477484
59,59,aflplusplus-0-exid20,821715,821731
60,60,fairfuzz-0-exid20,425904,425932
61,61,aflfast-0-exid20,320017,320064
62,62,afl-0-exid20,186356,186384
63,63,aflplusplus-0-exid20,311186,311190
64,64,fairfuzz-0-exid20,307153,307252
65,65,aflfast-0-exid20,893115,893117
66,66,afl-0-exid20,898947,898956
67,67,aflplusplus-0-exid20,317171,317175
68,68,fairfuzz-0-exid20,898947,898962
69,69,aflfast-0-exid20,496945,496952
70,70,afl-0-exid20,307153,307252
71,71,aflplusplus-0-exid20,426755,426763
72,72,fairfuzz-0-exid20,98576,98591
73,73,aflfast-0-exid20,821038,821040
75,75,aflplusplus-0-exid20,793741,793765
77,77,aflfast-0-exid20,319167,319241
78,78,afl-0-exid20,98576,98591
79,79,aflplusplus-0-exid20,831787,831796
80,80,fairfuzz-0-exid20,298776,298792
81,81,aflfast-0-exid20,362375,362422
83,83,aflplusplus-0-exid20,98504,98716
85,85,aflfast-0-exid20,821230,821239
87,87,aflplusplus-0-exid20,218929,218939
88,88,fairfuzz-0-exid20,477600,477670
89,89,aflfast-0-exid20,476438,476445
90,90,afl-0-exid20,477600,477670
91,91,aflplusplus-0-exid20,354067,354080
93,93,aflfast-0-exid20,53328,53527
94,94,afl-0-exid20,38761,38774
95,95,aflplusplus-0-exid20,497058,497070
96,96,fairfuzz-0-exid20,318172,318189
97,97,aflfast-0-exid20,798939,798941
98,98,afl-0-exid20,318133,318222
99,99,aflplusplus-0-exid20,893291,893302
100,100,fairfuzz-0-exid20,317223,317245
101,101,aflfast-0-exid20,821911,821918
102,102,afl-0-exid20,304545,304566
103,103,aflplusplus-0-exid20,98523,98716
104,104,fairfuzz-0-exid20,304545,304566
105,105,aflfast-0-exid20,477564,477575
106,106,afl-0-exid20,99483,99492
108,108,fairfuzz-0-exid20,98672,98679
109,109,aflfast-0-exid20,831634,831800
110,110,afl-0-exid20,310902,310859
111,111,aflplusplus-0-exid20,602552,602565
112,112,fairfuzz-0-exid20,317185,317202
113,113,aflfast-0-exid20,98541,98555
114,114,afl-0-exid20,305040,305044
115,115,aflplusplus-0-exid20,98576,98591
116,116,fairfuzz-0-exid20,305124,305132
118,118,afl-0-exid20,798905,798912
119,119,aflplusplus-0-exid20,442678,442690
120,120,fairfuzz-0-exid20,798905,798912
121,121,aflfast-0-exid20,301242,301264
122,122,afl-0-exid20,306809,306832
123,123,aflplusplus-0-exid20,821112,821118
124,124,fairfuzz-0-exid20,894266,894285
125,125,aflfast-0-exid20,321230,321235
126,126,afl-0-exid20,360065,360093
127,127,aflplusplus-0-exid20,170079,170111
128,128,fairfuzz-0-exid20,844690,844697
129,129,aflfast-0-exid20,189274,189276
133,133,aflfast-0-exid20,311190,311214
134,134,afl-0-exid20,844583,844655
135,135,aflplusplus-0-exid20,824574,824634
136,136,fairfuzz-0-exid20,892782,892787
137,137,aflfast-0-exid20,225737,225746
139,139,aflplusplus-0-exid20,358255,358326
141,141,aflfast-0-exid20,457807,457824
142,142,afl-0-exid20,320935,321120
143,143,aflplusplus-0-exid20,307010,307027
144,144,fairfuzz-0-exid20,321165,321172
145,145,aflfast-0-exid20,800452,800503
146,146,afl-0-exid20,892550,892633
148,148,fairfuzz-0-exid20,299795,299811
149,149,aflfast-0-exid20,824597,824601
150,150,afl-0-exid20,782447,782399
151,151,aflplusplus-0-exid20,293648,293689
152,152,fairfuzz-0-exid20,879958,879971
153,153,aflfast-0-exid20,798559,798577
154,154,afl-0-exid20,897357,897368
156,156,fairfuzz-0-exid20,323614,323695
157,157,afl-0-exid20,879800,879807
158,158,fairfuzz-0-exid20,426328,426747
159,159,aflfast-0-exid20,839370,839377
160,160,aflplusplus-0-exid20,820994,821020
163,163,aflfast-0-exid20,382571,382577
165,165,afl-0-exid20,318386,318543
166,166,fairfuzz-0-exid20,318386,318543
167,167,aflfast-0-exid20,304633,304641
168,168,aflplusplus-0-exid20,885713,885724
169,169,afl-0-exid20,426315,426328
170,170,aflplusplus-0-exid20,898764,898789
171,171,fairfuzz-0-exid20,311140,311124
172,172,aflfast-0-exid20,7914,7876
173,173,afl-0-exid20,311124,311137
174,174,aflplusplus-0-exid20,774238,774246
175,175,aflfast-0-exid20,774238,774246
178,178,aflplusplus-0-exid20,318117,318133
180,180,fairfuzz-0-exid20,884055,884057
181,181,afl-0-exid20,883974,884013
182,182,aflplusplus-0-exid20,316772,316792
183,183,aflfast-0-exid20,53740,53762
184,184,fairfuzz-0-exid20,358260,358277
185,185,afl-0-exid20,358277,358326
186,186,aflplusplus-0-exid20,307020,307027
187,187,aflfast-0-exid20,318822,318824
188,188,fairfuzz-0-exid20,295933,295940
189,189,afl-0-exid20,321101,321113
190,190,aflplusplus-0-exid20,772702,772713
191,191,aflfast-0-exid20,888853,888881
192,192,fairfuzz-0-exid20,305351,305353
193,193,afl-0-exid20,898284,898292
194,194,aflplusplus-0-exid20,323803,323816
195,195,aflfast-0-exid20,316772,316792
198,198,aflfast-0-exid20,38501,38508
199,199,aflplusplus-0-exid20,879658,879665
201,201,afl-0-exid20,52184,52197
202,202,fairfuzz-0-exid20,52208,52210
203,203,aflplusplus-0-exid20,102541,102594
204,204,aflfast-0-exid20,307249,307367
205,205,afl-0-exid20,897748,897765
206,206,fairfuzz-0-exid20,897524,897533
207,207,aflplusplus-0-exid20,296959,296966
208,208,aflfast-0-exid20,426378,426448
209,209,fairfuzz-0-exid20,624785,624789
210,210,afl-0-exid20,305705,305755
211,211,aflplusplus-0-exid20,822718,822724
212,212,aflfast-0-exid20,330072,330119
216,216,aflfast-0-exid20,476654,476677
217,217,fairfuzz-0-exid20,898106,898119
218,218,afl-0-exid20,898106,898119
219,219,aflplusplus-0-exid20,63360,63367
220,220,aflfast-0-exid20,296087,296102
221,221,fairfuzz-0-exid20,391558,391649
222,222,afl-0-exid20,391544,391558
223,223,aflplusplus-0-exid20,476654,476677
224,224,aflfast-0-exid20,358260,358277
225,225,fairfuzz-0-exid20,295229,295254
226,226,afl-0-exid20,296382,296387
227,227,aflplusplus-0-exid20,547260,547292
230,230,aflplusplus-0-exid20,302347,302354
236,236,aflfast-0-exid20,483951,483974
237,237,fairfuzz-0-exid20,292949,292964
238,238,afl-0-exid20,53768,53788
239,239,aflplusplus-0-exid20,799891,799916
243,243,aflplusplus-0-exid20,318226,318241
244,244,aflfast-0-exid20,843725,843748
245,245,fairfuzz-0-exid20,820850,820852
246,246,afl-0-exid20,351240,351275
248,248,aflfast-0-exid20,429074,429123
253,253,fairfuzz-0-exid20,318006,318010
254,254,afl-0-exid20,318006,318010
255,255,aflfast-0-exid20,772669,772676
256,256,aflplusplus-0-exid20,476418,476425
259,259,aflfast-0-exid20,319245,319354
260,260,aflplusplus-0-exid20,897438,897441
261,261,fairfuzz-0-exid20,307121,307150
262,262,afl-0-exid20,891184,891191
264,264,aflplusplus-0-exid20,817719,817724
267,267,aflfast-0-exid20,307010,307027
268,268,aflplusplus-0-exid20,316839,316920
271,271,aflfast-0-exid20,38761,38774
272,272,aflplusplus-0-exid20,884171,884174
273,273,fairfuzz-0-exid20,893291,893302
274,274,afl-0-exid20,843615,843634
275,275,aflfast-0-exid20,771846,771851
279,279,aflfast-0-exid20,318183,318241
280,280,aflplusplus-0-exid20,38468,38479
281,281,fairfuzz-0-exid20,348997,349006
282,282,afl-0-exid20,349006,349153
283,283,aflfast-0-exid20,800402,800469
284,284,aflplusplus-0-exid20,319044,319055
285,285,fairfuzz-0-exid20,318400,318798
286,286,afl-0-exid20,318400,318798
287,287,aflfast-0-exid20,319285,319354
289,289,fairfuzz-0-exid20,98558,98541
290,290,afl-0-exid20,98558,98541
292,292,aflplusplus-0-exid20,879682,879710
293,293,fairfuzz-0-exid20,318407,318414
294,294,afl-0-exid20,318407,318414
297,297,fairfuzz-0-exid20,317786,317793
298,298,afl-0-exid20,317793,317806
301,301,fairfuzz-0-exid20,14066,14092
302,302,afl-0-exid20,304458,304467
303,303,aflplusplus-0-exid20,7876,7883
307,307,aflplusplus-0-exid20,426559,426747
308,308,aflfast-0-exid20,99524,99534
309,309,fairfuzz-0-exid20,826704,826709
310,310,afl-0-exid20,826719,826704
311,311,aflplusplus-0-exid20,316581,316658
315,315,aflplusplus-0-exid20,425509,425539
323,323,aflplusplus-0-exid20,342757,342761
327,327,aflplusplus-0-exid20,318386,318592
328,328,aflfast-0-exid20,783977,784386
329,329,fairfuzz-0-exid20,831112,831116
330,330,afl-0-exid20,362104,362110
331,331,aflplusplus-0-exid20,317286,317387
333,333,fairfuzz-0-exid20,319245,319354
334,334,afl-0-exid20,319241,319245
335,335,aflplusplus-0-exid20,319241,319245
336,336,aflfast-0-exid20,218943,218978
339,339,aflplusplus-0-exid20,296102,296108
340,340,aflfast-0-exid20,426493,426529
341,341,fairfuzz-0-exid20,318183,318241
342,342,afl-0-exid20,318183,318241
343,343,aflplusplus-0-exid20,891165,891178
347,347,aflplusplus-0-exid20,352824,352911
348,348,aflfast-0-exid20,349239,349247
352,352,aflfast-0-exid20,317279,317286
353,353,fairfuzz-0-exid20,694840,694861
354,354,afl-0-exid20,391514,391561
356,356,aflfast-0-exid20,885707,885713
360,360,aflfast-0-exid20,318133,318222
361,361,fairfuzz-0-exid20,304895,304907
362,362,afl-0-exid20,304907,305092
364,364,aflfast-0-exid20,219359,219368
365,365,fairfuzz-0-exid20,321577,321550
366,366,afl-0-exid20,319495,319511
368,368,aflfast-0-exid20,362259,362425
371,371,aflplusplus-0-exid20,426315,426328
376,376,aflfast-0-exid20,297147,297180
377,377,fairfuzz-0-exid20,318658,318798
378,378,afl-0-exid20,318650,318658
380,380,aflfast-0-exid20,299811,299814
383,383,aflplusplus-0-exid20,301836,301912
384,384,aflfast-0-exid20,806409,806413
387,387,aflplusplus-0-exid20,70721,70745
388,388,aflfast-0-exid20,888780,888791
389,389,fairfuzz-0-exid20,99911,100100
390,390,afl-0-exid20,99911,100100
391,391,aflplusplus-0-exid20,318529,318534
392,392,aflfast-0-exid20,844560,844568
395,395,aflplusplus-0-exid20,316868,316913
396,396,aflfast-0-exid20,443912,443937
397,397,fairfuzz-0-exid20,844619,844634
398,398,afl-0-exid20,844614,844619
399,399,aflplusplus-0-exid20,319518,319528
401,401,fairfuzz-0-exid20,885707,885724
402,402,afl-0-exid20,885724,885765
405,405,fairfuzz-0-exid20,894805,894846
406,406,afl-0-exid20,440839,440843
407,407,aflplusplus-0-exid20,321985,322023
408,408,aflfast-0-exid20,323284,323300
412,412,aflfast-0-exid20,352824,352911
419,419,aflplusplus-0-exid20,432150,432158
420,420,aflfast-0-exid20,784914,784941
427,427,aflplusplus-0-exid20,51689,51714
428,428,aflfast-0-exid20,307272,307302
432,432,aflfast-0-exid20,296102,296108
433,433,fairfuzz-0-exid20,22417,22428
434,434,afl-0-exid20,38677,38698
435,435,aflplusplus-0-exid20,843546,843562
437,437,fairfuzz-0-exid20,784667,784848
438,438,afl-0-exid20,784848,784961
444,444,aflfast-0-exid20,891178,891278
445,445,fairfuzz-0-exid20,320935,321230
446,446,afl-0-exid20,318641,318646
447,447,aflplusplus-0-exid20,440795,440805
448,448,aflfast-0-exid20,426328,426747
449,449,fairfuzz-0-exid20,310972,310980
450,450,afl-0-exid20,318143,318241
451,451,aflplusplus-0-exid20,432180,432208
456,456,aflfast-0-exid20,694840,694844
457,457,fairfuzz-0-exid20,781920,781932
458,458,afl-0-exid20,781905,781912
459,459,aflplusplus-0-exid20,888853,888881
460,460,aflfast-0-exid20,317944,317917
463,463,aflplusplus-0-exid20,695869,695889
464,464,aflfast-0-exid20,316868,316913
465,465,fairfuzz-0-exid20,306832,306876
466,466,afl-0-exid20,307010,307020
467,467,aflplusplus-0-exid20,98933,99129
468,468,aflfast-0-exid20,321985,322023
471,471,aflplusplus-0-exid20,296421,296433
472,472,aflfast-0-exid20,884094,884144
477,477,fairfuzz-0-exid20,317265,317286
478,478,afl-0-exid20,317286,317387
481,481,fairfuzz-0-exid20,476667,476696
482,482,afl-0-exid20,351209,351233
483,483,aflplusplus-0-exid20,317914,317917
485,485,fairfuzz-0-exid20,891219,891224
486,486,afl-0-exid20,891206,891219
487,487,aflplusplus-0-exid20,772893,772897
488,488,aflfast-0-exid20,772880,772893
489,489,fairfuzz-0-exid20,327701,327719
490,490,afl-0-exid20,316391,316398
493,493,fairfuzz-0-exid20,330056,330072
494,494,afl-0-exid20,330056,330072
495,495,aflplusplus-0-exid20,619127,619157
496,496,aflfast-0-exid20,98918,98933
497,497,fairfuzz-0-exid20,785436,785447
498,498,afl-0-exid20,785436,785447
501,501,fairfuzz-0-exid20,352858,352882
502,502,afl-0-exid20,352858,352882
504,504,aflfast-0-exid20,53471,53477
507,507,aflplusplus-0-exid20,307302,307378
508,508,aflfast-0-exid20,820894,821042
511,511,aflplusplus-0-exid20,428969,429012
512,512,aflfast-0-exid20,318386,318529
515,515,aflplusplus-0-exid20,844560,844568
516,516,aflfast-0-exid20,304757,304774
519,519,aflplusplus-0-exid20,304666,305092
520,520,aflfast-0-exid20,310897,311018
523,523,aflplusplus-0-exid20,382577,382657
524,524,aflfast-0-exid20,296966,296993
525,525,fairfuzz-0-exid20,304487,305092
526,526,afl-0-exid20,304472,304487
527,527,aflplusplus-0-exid20,885695,885707
528,528,aflfast-0-exid20,321505,321528
531,531,aflplusplus-0-exid20,301972,301975
535,535,aflplusplus-0-exid20,361631,361666
536,536,aflfast-0-exid20,317965,317990
539,539,aflplusplus-0-exid20,318172,318189
544,544,aflfast-0-exid20,774252,774263
545,545,fairfuzz-0-exid20,843764,843770
546,546,afl-0-exid20,843764,843770
547,547,aflplusplus-0-exid20,304912,304932
548,548,aflfast-0-exid20,296221,296225
549,549,fairfuzz-0-exid20,218923,218982
550,550,afl-0-exid20,620247,620251
552,552,aflfast-0-exid20,426271,426359
556,556,aflfast-0-exid20,102062,102092
557,557,afl-0-exid20,316223,316658
