,fuzzer,edge,fuzzer_combination,benchmark
0,mopt-0-exid3,10025-10030,fca,readelf
1,aflplusplus-0-exid0,10030-10039,fca,readelf
2,aflplusplus-0-exid4,10030-10042,fca,readelf
3,aflplusplus-0-exid1,10039-10045,fca,readelf
4,fairfuzz-0-exid2,10042-10045,fca,readelf
5,aflplusplus-0-exid0,10045-10073,fca,readelf
6,fairfuzz-0-exid4,10073-9959,fca,readelf
7,aflplusplus-0-exid1,10088-10094,fca,readelf
8,aflplusplus-0-exid0,10088-10097,fca,readelf
9,aflplusplus-0-exid0,10094-10097,fca,readelf
10,aflplusplus-0-exid2,10097-9860,fca,readelf
11,aflplusplus-0-exid1,10106-10108,fca,readelf
12,aflplusplus-0-exid1,10108-10112,fca,readelf
13,aflplusplus-0-exid4,10112-10118,fca,readelf
14,aflplusplus-0-exid2,10118-10133,fca,readelf
15,aflplusplus-0-exid4,10133-10148,fca,readelf
16,aflplusplus-0-exid0,10133-10229,fca,readelf
17,fairfuzz-0-exid3,10141-10148,fca,readelf
18,fairfuzz-0-exid3,10141-10229,fca,readelf
19,aflplusplus-0-exid0,10148-10141,fca,readelf
20,aflplusplus-0-exid1,10148-10167,fca,readelf
21,aflplusplus-0-exid2,10167-10171,fca,readelf
22,aflplusplus-0-exid0,10171-10171,fca,readelf
23,fairfuzz-0-exid2,10171-10202,fca,readelf
24,aflplusplus-0-exid0,10202-10141,fca,readelf
25,aflplusplus-0-exid0,10202-10207,fca,readelf
26,aflplusplus-0-exid0,10207-10229,fca,readelf
27,aflplusplus-0-exid4,10229-10240,fca,readelf
28,aflplusplus-0-exid2,10240-10243,fca,readelf
29,aflplusplus-0-exid0,10240-10352,fca,readelf
30,aflplusplus-0-exid2,10243-10248,fca,readelf
31,aflplusplus-0-exid0,10243-10298,fca,readelf
32,aflplusplus-0-exid1,10248-10256,fca,readelf
33,aflplusplus-0-exid0,10256-10256,fca,readelf
34,aflplusplus-0-exid1,10256-10298,fca,readelf
35,aflplusplus-0-exid0,10298-10302,fca,readelf
36,aflplusplus-0-exid0,10298-10317,fca,readelf
37,aflplusplus-0-exid0,10302-10302,fca,readelf
38,aflplusplus-0-exid2,10302-10317,fca,readelf
39,aflplusplus-0-exid1,10317-10328,fca,readelf
40,aflplusplus-0-exid0,10317-10352,fca,readelf
41,aflplusplus-0-exid2,10328-10331,fca,readelf
42,aflplusplus-0-exid0,10331-10331,fca,readelf
43,aflplusplus-0-exid0,10331-10352,fca,readelf
44,fairfuzz-0-exid1,10352-10356,fca,readelf
45,aflplusplus-0-exid1,10356-10358,fca,readelf
