,discovery_id,fuzzer,block_source,block_target
1,1,symcc-0-exid1,3915,13251
2,2,symcc-0-exid1,3733,3745
3,3,mopt-0-exid1,66212,66222
4,4,fairfuzz-0-exid1,2916,2954
5,5,symcc-0-exid1,3056,3060
6,6,mopt-0-exid1,3683,3733
7,7,fairfuzz-0-exid1,3056,3060
8,8,symcc-0-exid1,13292,13301
9,9,mopt-0-exid1,3056,3060
10,10,fairfuzz-0-exid1,3683,3733
11,11,symcc-0-exid1,13269,13408
12,12,mopt-0-exid1,3814,3915
13,13,fairfuzz-0-exid1,3817,3886
14,14,symcc-0-exid1,3889,3903
15,15,fairfuzz-0-exid1,471,536
16,16,mopt-0-exid1,3886,3915
18,18,fairfuzz-0-exid1,13269,13408
19,19,fairfuzz-0-exid1,13286,13408
20,20,symcc-0-exid1,465,471
21,21,aflplusplus-0-exid1,3115,3124
22,22,aflplusplus-0-exid1,65396,65404
23,23,fairfuzz-0-exid1,461,465
24,24,aflplusplus-0-exid1,3079,3098
25,25,mopt-0-exid1,13269,13408
26,26,symcc-0-exid1,3886,3915
27,27,aflplusplus-0-exid1,3745,3814
28,28,aflplusplus-0-exid1,3056,3060
29,29,aflplusplus-0-exid1,64392,64423
31,31,fairfuzz-0-exid1,3889,3903
33,33,mopt-0-exid1,64587,64760
34,34,mopt-0-exid1,3889,3903
35,35,aflplusplus-0-exid1,3886,3915
37,37,aflplusplus-0-exid1,64587,64760
38,38,mopt-0-exid1,13282,13286
39,39,aflplusplus-0-exid1,13282,13286
41,41,symcc-0-exid1,64579,64610
42,42,symcc-0-exid1,13286,13408
43,43,symcc-0-exid1,13414,13427
44,44,symcc-0-exid1,13431,13553
45,45,symcc-0-exid1,13414,13553
46,46,symcc-0-exid1,65384,65387
47,47,aflplusplus-0-exid1,13269,13408
48,48,symcc-0-exid1,3065,3071
49,49,symcc-0-exid1,64996,65005
50,50,symcc-0-exid1,13334,13340
52,52,symcc-0-exid1,3297,3657
54,54,fairfuzz-0-exid1,64579,64587
55,55,fairfuzz-0-exid1,3893,3900
56,56,fairfuzz-0-exid1,3523,3657
57,57,fairfuzz-0-exid1,13414,13553
58,58,fairfuzz-0-exid1,13427,13431
59,59,fairfuzz-0-exid1,3534,3538
61,61,fairfuzz-0-exid1,3079,3098
62,62,fairfuzz-0-exid1,65001,65092
63,63,fairfuzz-0-exid1,13334,13340
64,64,fairfuzz-0-exid1,64579,64716
66,66,symcc-0-exid1,64716,64760
70,70,mopt-0-exid1,13427,13437
77,77,symcc-0-exid1,3639,3650
80,80,aflplusplus-0-exid1,3889,3903
85,85,symcc-0-exid1,67327,67332
86,86,aflplusplus-0-exid1,461,465
88,88,fairfuzz-0-exid1,65680,65688
89,89,fairfuzz-0-exid1,65809,65825
90,90,fairfuzz-0-exid1,3919,3923
91,91,fairfuzz-0-exid1,65664,65575
93,93,fairfuzz-0-exid1,65608,65575
94,94,fairfuzz-0-exid1,65640,65575
95,95,fairfuzz-0-exid1,65680,65575
97,97,fairfuzz-0-exid1,65672,65575
98,98,symcc-0-exid1,65575,65581
99,99,symcc-0-exid1,65608,65575
100,100,symcc-0-exid1,3599,3639
101,101,fairfuzz-0-exid1,65632,65575
102,102,fairfuzz-0-exid1,65600,65575
103,103,fairfuzz-0-exid1,65616,65575
104,104,fairfuzz-0-exid1,65592,65575
105,105,fairfuzz-0-exid1,65565,65575
106,106,symcc-0-exid1,3903,3919
107,107,symcc-0-exid1,65592,65575
108,108,symcc-0-exid1,65565,65575
109,109,symcc-0-exid1,65584,65575
110,110,fairfuzz-0-exid1,65584,65575
112,112,fairfuzz-0-exid1,65648,65575
113,113,symcc-0-exid1,65561,65581
114,114,aflplusplus-0-exid1,64392,64529
116,116,fairfuzz-0-exid1,65688,65575
117,117,mopt-0-exid1,64579,64716
118,118,fairfuzz-0-exid1,65624,65575
123,123,fairfuzz-0-exid1,3599,3639
126,126,symcc-0-exid1,13181,13190
127,127,symcc-0-exid1,11708,11712
128,128,symcc-0-exid1,17059,17260
129,129,symcc-0-exid1,13301,13305
130,130,symcc-0-exid1,13635,13647
131,131,symcc-0-exid1,17069,17260
132,132,symcc-0-exid1,4091,4104
133,133,symcc-0-exid1,4250,4260
134,134,symcc-0-exid1,13288,13408
135,135,symcc-0-exid1,13980,16221
136,136,symcc-0-exid1,4098,4113
137,137,symcc-0-exid1,6210,6218
138,138,symcc-0-exid1,4101,4113
139,139,symcc-0-exid1,6214,8787
140,140,symcc-0-exid1,14595,16221
141,141,symcc-0-exid1,4329,4333
142,142,symcc-0-exid1,13658,13974
143,143,symcc-0-exid1,13614,13620
147,147,symcc-0-exid1,63665,63671
149,149,symcc-0-exid1,4080,4091
151,151,symcc-0-exid1,14974,14978
153,153,symcc-0-exid1,14992,15001
154,154,symcc-0-exid1,4113,4125
155,155,symcc-0-exid1,13614,13623
156,156,symcc-0-exid1,13852,13974
157,157,symcc-0-exid1,13660,13974
158,158,symcc-0-exid1,13652,13684
159,159,symcc-0-exid1,13672,13974
160,160,symcc-0-exid1,14583,14587
162,162,symcc-0-exid1,14583,14595
163,163,symcc-0-exid1,3987,4091
164,164,fairfuzz-0-exid1,65656,65575
167,167,symcc-0-exid1,17073,17080
168,168,mopt-0-exid1,465,471
169,169,symcc-0-exid1,4350,4358
170,170,symcc-0-exid1,13626,13647
172,172,symcc-0-exid1,28020,28561
173,173,symcc-0-exid1,13670,13974
175,175,symcc-0-exid1,13696,13974
176,176,fairfuzz-0-exid1,13135,13144
177,177,fairfuzz-0-exid1,15126,15130
179,179,fairfuzz-0-exid1,13652,13970
180,180,fairfuzz-0-exid1,13595,13609
181,181,fairfuzz-0-exid1,3987,4080
182,182,symcc-0-exid1,13662,13974
183,183,fairfuzz-0-exid1,6214,8787
184,184,fairfuzz-0-exid1,13575,13578
185,185,symcc-0-exid1,13774,13974
186,186,fairfuzz-0-exid1,17073,17080
187,187,fairfuzz-0-exid1,13288,13408
188,188,fairfuzz-0-exid1,4101,4113
189,189,fairfuzz-0-exid1,13652,13660
190,190,fairfuzz-0-exid1,13658,13974
191,191,symcc-0-exid1,13674,13974
192,192,fairfuzz-0-exid1,9354,9368
193,193,fairfuzz-0-exid1,13062,13126
194,194,symcc-0-exid1,14423,16221
195,195,fairfuzz-0-exid1,4321,4329
197,197,fairfuzz-0-exid1,13652,13852
198,198,fairfuzz-0-exid1,4113,4125
200,200,fairfuzz-0-exid1,65437,65561
201,201,fairfuzz-0-exid1,13614,13623
202,202,fairfuzz-0-exid1,63656,63665
203,203,fairfuzz-0-exid1,13635,13647
204,204,fairfuzz-0-exid1,17065,17069
205,205,symcc-0-exid1,13748,13974
206,206,fairfuzz-0-exid1,13626,13647
207,207,symcc-0-exid1,14703,14711
208,208,fairfuzz-0-exid1,14583,14590
209,209,fairfuzz-0-exid1,13652,13684
210,210,symcc-0-exid1,14583,16221
211,211,fairfuzz-0-exid1,14541,14551
212,212,fairfuzz-0-exid1,4098,4113
213,213,fairfuzz-0-exid1,13652,13670
214,214,symcc-0-exid1,13688,13974
215,215,fairfuzz-0-exid1,13652,13696
216,216,fairfuzz-0-exid1,13672,13974
217,217,fairfuzz-0-exid1,14583,14595
218,218,fairfuzz-0-exid1,13980,16221
219,219,fairfuzz-0-exid1,3987,4091
220,220,fairfuzz-0-exid1,17171,17174
221,221,fairfuzz-0-exid1,13690,13974
222,222,fairfuzz-0-exid1,14573,14583
223,223,fairfuzz-0-exid1,14703,14711
224,224,fairfuzz-0-exid1,13599,13575
226,226,fairfuzz-0-exid1,13674,13974
227,227,fairfuzz-0-exid1,13652,13698
228,228,fairfuzz-0-exid1,13692,13974
229,229,fairfuzz-0-exid1,13774,13974
230,230,fairfuzz-0-exid1,12508,12829
231,231,symcc-0-exid1,14956,14965
232,232,fairfuzz-0-exid1,13632,13639
234,234,symcc-0-exid1,13652,13686
235,235,fairfuzz-0-exid1,13652,13924
236,236,fairfuzz-0-exid1,13652,13668
237,237,fairfuzz-0-exid1,13688,13974
239,239,fairfuzz-0-exid1,13798,13974
240,240,fairfuzz-0-exid1,13652,13958
241,241,fairfuzz-0-exid1,15826,15835
242,242,fairfuzz-0-exid1,13988,14882
243,243,symcc-0-exid1,13874,13974
244,244,fairfuzz-0-exid1,13850,13974
245,245,fairfuzz-0-exid1,13680,13974
246,246,fairfuzz-0-exid1,13870,13974
247,247,fairfuzz-0-exid1,15862,15866
248,248,fairfuzz-0-exid1,13954,13974
249,249,fairfuzz-0-exid1,13686,13974
250,250,fairfuzz-0-exid1,13676,13974
