,discovery_id,fuzzer,block_source,block_target
1,1,fairfuzz-0-exid20,2694,2916
2,2,fairfuzz-0-exid20,3683,3733
3,3,fairfuzz-0-exid20,3060,3104
4,4,fairfuzz-0-exid20,3814,3915
5,5,afl-0-exid20,66226,66430
6,6,fairfuzz-0-exid20,13269,13408
7,7,afl-0-exid20,3060,3104
8,8,fairfuzz-0-exid20,465,471
9,9,afl-0-exid20,3745,3814
10,10,afl-0-exid20,3933,3971
12,12,afl-0-exid20,13286,13408
13,13,afl-0-exid20,3889,3903
14,14,afl-0-exid20,3733,3817
15,15,fairfuzz-0-exid20,13282,13286
16,16,fairfuzz-0-exid20,3733,3817
18,18,fairfuzz-0-exid20,3889,3903
19,19,fairfuzz-0-exid20,64610,64760
20,20,aflplusplus-0-exid20,2686,2694
21,21,aflplusplus-0-exid20,65404,65412
22,22,aflplusplus-0-exid20,3079,3098
23,23,aflfast-0-exid20,2992,2997
24,24,aflplusplus-0-exid20,3056,3060
25,25,aflplusplus-0-exid20,3745,3814
27,27,aflplusplus-0-exid20,3933,3971
29,29,afl-0-exid20,13269,13408
30,30,aflplusplus-0-exid20,13269,13408
32,32,afl-0-exid20,465,471
33,33,aflplusplus-0-exid20,3817,3886
34,34,aflfast-0-exid20,3733,3745
35,35,aflfast-0-exid20,3060,3104
36,36,aflfast-0-exid20,471,536
39,39,aflplusplus-0-exid20,13282,13286
41,41,aflplusplus-0-exid20,3889,3903
42,42,afl-0-exid20,64610,64760
44,44,aflfast-0-exid20,13269,13408
45,45,afl-0-exid20,64996,65092
46,46,afl-0-exid20,3075,3079
47,47,fairfuzz-0-exid20,3824,3889
48,48,afl-0-exid20,64392,64529
49,49,fairfuzz-0-exid20,3523,3657
51,51,fairfuzz-0-exid20,3079,3098
52,52,fairfuzz-0-exid20,64996,65001
53,53,fairfuzz-0-exid20,13414,13553
54,54,aflfast-0-exid20,3889,3903
56,56,fairfuzz-0-exid20,65022,65029
59,59,afl-0-exid20,3297,3657
60,60,afl-0-exid20,3534,3538
61,61,afl-0-exid20,13414,13553
64,64,afl-0-exid20,13431,13553
65,65,fairfuzz-0-exid20,64716,64760
67,67,fairfuzz-0-exid20,13427,13431
68,68,fairfuzz-0-exid20,491,495
71,71,aflfast-0-exid20,3817,3886
74,74,afl-0-exid20,63765,63769
75,75,afl-0-exid20,64716,64760
83,83,aflplusplus-0-exid20,64587,64760
89,89,aflplusplus-0-exid20,465,471
93,93,aflfast-0-exid20,13282,13286
94,94,aflplusplus-0-exid20,13427,13437
96,96,aflfast-0-exid20,64610,64760
97,97,aflplusplus-0-exid20,64579,64716
99,99,aflplusplus-0-exid20,13414,13553
101,101,aflplusplus-0-exid20,65001,65092
102,102,aflplusplus-0-exid20,64996,65005
103,103,aflplusplus-0-exid20,13427,13431
104,104,aflplusplus-0-exid20,13334,13340
107,107,aflfast-0-exid20,13427,13437
108,108,aflfast-0-exid20,13414,13553
109,109,aflfast-0-exid20,64716,64760
110,110,aflfast-0-exid20,13427,13431
111,111,aflfast-0-exid20,461,465
112,112,aflfast-0-exid20,3523,3657
113,113,aflfast-0-exid20,3079,3098
114,114,aflfast-0-exid20,64996,65001
115,115,aflfast-0-exid20,65013,65022
116,116,aflfast-0-exid20,478,491
121,121,aflplusplus-0-exid20,65013,65017
122,122,aflplusplus-0-exid20,65039,65092
123,123,aflplusplus-0-exid20,65624,65632
124,124,aflplusplus-0-exid20,65009,65092
125,125,afl-0-exid20,65017,65092
126,126,afl-0-exid20,65033,65039
127,127,afl-0-exid20,65005,65009
128,128,afl-0-exid20,65632,65640
129,129,afl-0-exid20,65017,65029
130,130,fairfuzz-0-exid20,65013,65017
131,131,fairfuzz-0-exid20,65039,65092
132,132,fairfuzz-0-exid20,65017,65092
133,133,fairfuzz-0-exid20,65009,65092
134,134,fairfuzz-0-exid20,65600,65608
136,136,afl-0-exid20,65561,65581
137,137,afl-0-exid20,65616,65575
138,138,afl-0-exid20,3523,3529
139,139,fairfuzz-0-exid20,65417,65425
141,141,fairfuzz-0-exid20,65575,65581
143,143,afl-0-exid20,65070,65092
144,144,afl-0-exid20,65565,65575
145,145,fairfuzz-0-exid20,65565,65575
146,146,aflfast-0-exid20,65115,65126
147,147,aflfast-0-exid20,65039,65092
148,148,aflfast-0-exid20,65616,65624
149,149,aflfast-0-exid20,65009,65092
150,150,aflfast-0-exid20,65291,65304
151,151,aflfast-0-exid20,3544,3558
153,153,aflfast-0-exid20,65616,65575
154,154,aflfast-0-exid20,3588,3599
155,155,aflfast-0-exid20,65066,65070
157,157,aflfast-0-exid20,65565,65575
158,158,fairfuzz-0-exid20,3529,3657
161,161,aflfast-0-exid20,65592,65575
163,163,aflplusplus-0-exid20,65291,65304
164,164,aflplusplus-0-exid20,3558,3657
165,165,aflplusplus-0-exid20,65616,65575
166,166,aflplusplus-0-exid20,3523,3529
167,167,aflplusplus-0-exid20,65052,65066
168,168,aflplusplus-0-exid20,65565,65575
169,169,aflplusplus-0-exid20,65592,65575
171,171,afl-0-exid20,65592,65575
173,173,afl-0-exid20,65066,65077
174,174,fairfuzz-0-exid20,65082,65086
175,175,fairfuzz-0-exid20,65066,65070
176,176,fairfuzz-0-exid20,65592,65575
178,178,aflfast-0-exid20,65807,65828
179,179,aflfast-0-exid20,65680,65575
180,180,afl-0-exid20,65044,65047
181,181,aflfast-0-exid20,65584,65575
183,183,fairfuzz-0-exid20,65052,65062
184,184,fairfuzz-0-exid20,65077,65086
187,187,fairfuzz-0-exid20,65680,65575
