,fuzzer,edges_count,time
0,aflplusplus-0-exid24,0,0
1,afl-0-exid24,0,0
2,fairfuzz-0-exid24,0,0
3,aflfast-0-exid24,0,0
4,fuzzer_global,0,0
5,aflplusplus-0-exid24,24,0
6,aflplusplus-0-exid24,25,1
7,aflplusplus-0-exid24,26,2
8,aflplusplus-0-exid24,26,3
9,aflplusplus-0-exid24,28,4
10,aflplusplus-0-exid24,28,5
11,aflplusplus-0-exid24,191,6
12,aflplusplus-0-exid24,198,7
13,aflplusplus-0-exid24,206,8
14,aflplusplus-0-exid24,218,9
15,aflplusplus-0-exid24,223,10
16,aflplusplus-0-exid24,239,11
17,aflplusplus-0-exid24,259,12
18,aflplusplus-0-exid24,268,13
19,aflplusplus-0-exid24,309,14
20,aflplusplus-0-exid24,322,15
21,aflplusplus-0-exid24,336,16
22,aflplusplus-0-exid24,351,17
23,aflplusplus-0-exid24,370,18
24,aflplusplus-0-exid24,379,19
25,aflplusplus-0-exid24,383,20
26,aflplusplus-0-exid24,400,21
27,aflplusplus-0-exid24,409,22
28,aflplusplus-0-exid24,444,23
29,aflplusplus-0-exid24,444,24
30,aflplusplus-0-exid24,466,25
31,aflplusplus-0-exid24,484,26
32,aflplusplus-0-exid24,484,27
33,aflplusplus-0-exid24,507,28
34,aflplusplus-0-exid24,508,29
35,aflplusplus-0-exid24,525,30
36,aflplusplus-0-exid24,538,31
37,aflplusplus-0-exid24,538,32
38,aflplusplus-0-exid24,538,33
39,aflplusplus-0-exid24,538,34
40,aflplusplus-0-exid24,538,35
41,aflplusplus-0-exid24,590,36
42,aflplusplus-0-exid24,590,37
43,aflplusplus-0-exid24,615,38
44,aflplusplus-0-exid24,625,39
45,aflplusplus-0-exid24,626,40
46,aflplusplus-0-exid24,626,41
47,aflplusplus-0-exid24,626,42
48,aflplusplus-0-exid24,626,43
49,aflplusplus-0-exid24,626,44
50,aflplusplus-0-exid24,626,45
51,aflplusplus-0-exid24,680,46
52,aflplusplus-0-exid24,686,47
53,aflplusplus-0-exid24,701,48
54,aflplusplus-0-exid24,701,49
55,aflplusplus-0-exid24,701,50
56,aflplusplus-0-exid24,702,51
57,aflplusplus-0-exid24,702,52
58,aflplusplus-0-exid24,732,53
59,aflplusplus-0-exid24,736,54
60,aflplusplus-0-exid24,736,55
61,aflplusplus-0-exid24,737,56
62,aflplusplus-0-exid24,737,57
63,aflplusplus-0-exid24,738,58
64,aflplusplus-0-exid24,738,59
65,aflplusplus-0-exid24,772,60
66,aflplusplus-0-exid24,772,61
67,aflplusplus-0-exid24,772,62
68,aflplusplus-0-exid24,772,63
69,aflplusplus-0-exid24,772,64
70,aflplusplus-0-exid24,791,65
71,aflplusplus-0-exid24,791,66
72,aflplusplus-0-exid24,796,67
73,aflplusplus-0-exid24,796,68
74,aflplusplus-0-exid24,796,69
75,aflplusplus-0-exid24,801,70
76,aflplusplus-0-exid24,808,71
77,aflplusplus-0-exid24,808,72
78,aflplusplus-0-exid24,809,73
79,aflplusplus-0-exid24,813,74
80,aflplusplus-0-exid24,821,75
81,aflplusplus-0-exid24,822,76
82,aflplusplus-0-exid24,823,77
83,aflplusplus-0-exid24,826,78
84,aflplusplus-0-exid24,829,79
85,aflplusplus-0-exid24,833,80
86,aflplusplus-0-exid24,835,81
87,aflplusplus-0-exid24,835,82
88,aflplusplus-0-exid24,835,83
89,aflplusplus-0-exid24,841,84
90,aflplusplus-0-exid24,842,85
91,aflplusplus-0-exid24,842,86
92,aflplusplus-0-exid24,842,87
93,aflplusplus-0-exid24,846,88
94,aflplusplus-0-exid24,846,89
95,aflplusplus-0-exid24,859,90
96,aflplusplus-0-exid24,860,91
97,aflplusplus-0-exid24,861,92
98,aflplusplus-0-exid24,861,93
99,aflplusplus-0-exid24,861,94
100,aflplusplus-0-exid24,861,95
101,aflplusplus-0-exid24,861,96
102,aflplusplus-0-exid24,861,97
103,aflplusplus-0-exid24,877,98
104,aflplusplus-0-exid24,877,99
105,aflplusplus-0-exid24,877,100
106,aflplusplus-0-exid24,877,101
107,aflplusplus-0-exid24,877,102
108,aflplusplus-0-exid24,877,103
109,aflplusplus-0-exid24,877,104
110,aflplusplus-0-exid24,877,105
111,aflplusplus-0-exid24,877,106
112,aflplusplus-0-exid24,877,107
113,aflplusplus-0-exid24,877,108
114,aflplusplus-0-exid24,877,109
115,aflplusplus-0-exid24,878,110
116,aflplusplus-0-exid24,878,111
117,aflplusplus-0-exid24,878,112
118,aflplusplus-0-exid24,878,113
119,aflplusplus-0-exid24,878,114
120,aflplusplus-0-exid24,878,115
121,aflplusplus-0-exid24,878,116
122,aflplusplus-0-exid24,878,117
123,aflplusplus-0-exid24,878,118
124,aflplusplus-0-exid24,878,119
125,aflplusplus-0-exid24,879,120
126,aflplusplus-0-exid24,879,121
127,aflplusplus-0-exid24,879,122
128,aflplusplus-0-exid24,879,123
129,aflplusplus-0-exid24,879,124
130,aflplusplus-0-exid24,879,125
131,aflplusplus-0-exid24,879,126
132,aflplusplus-0-exid24,879,127
133,aflplusplus-0-exid24,879,128
134,aflplusplus-0-exid24,879,129
135,aflplusplus-0-exid24,879,130
136,aflplusplus-0-exid24,879,131
137,aflplusplus-0-exid24,879,132
138,aflplusplus-0-exid24,879,133
139,aflplusplus-0-exid24,879,134
140,aflplusplus-0-exid24,879,135
141,aflplusplus-0-exid24,879,136
142,aflplusplus-0-exid24,879,137
143,aflplusplus-0-exid24,879,138
144,aflplusplus-0-exid24,879,139
