,fuzzer,edges_count,time
0,mopt-0-exid4,0,0
1,fairfuzz-0-exid4,0,0
2,aflplusplus-0-exid4,0,0
3,symcc-0-exid4,0,0
4,fuzzer_global,0,0
5,mopt-0-exid4,214,0
6,mopt-0-exid4,215,1
7,mopt-0-exid4,215,2
8,mopt-0-exid4,215,3
9,fairfuzz-0-exid4,207,0
10,fairfuzz-0-exid4,211,1
11,fairfuzz-0-exid4,211,2
12,fairfuzz-0-exid4,211,3
13,aflplusplus-0-exid4,210,0
14,aflplusplus-0-exid4,212,1
15,aflplusplus-0-exid4,212,2
16,aflplusplus-0-exid4,212,3
17,symcc-0-exid4,213,0
18,symcc-0-exid4,218,1
19,symcc-0-exid4,218,2
20,symcc-0-exid4,218,3
21,fuzzer_global,278,0
22,fuzzer_global,282,1
23,fuzzer_global,282,2
24,fuzzer_global,282,3
