,fuzzer,edges_count,time
0,afl-0-exid20,0,0
1,fairfuzz-0-exid20,0,0
2,aflfast-0-exid20,0,0
3,aflplusplus-0-exid20,0,0
4,fuzzer_global,0,0
5,afl-0-exid20,211,0
6,afl-0-exid20,211,1
7,afl-0-exid20,211,2
8,fairfuzz-0-exid20,209,0
9,fairfuzz-0-exid20,209,1
10,fairfuzz-0-exid20,209,2
11,aflfast-0-exid20,212,0
12,aflfast-0-exid20,212,1
13,aflfast-0-exid20,212,2
14,aflplusplus-0-exid20,212,0
15,aflplusplus-0-exid20,212,1
16,aflplusplus-0-exid20,212,2
17,fuzzer_global,279,0
18,fuzzer_global,279,1
19,fuzzer_global,279,2
