,fuzzer,edges_count,time
0,fuzzer_global,198,0
1,fuzzer_global,229,1
2,fuzzer_global,406,2
3,fuzzer_global,563,3
4,fuzzer_global,694,4
5,fuzzer_global,727,5
6,fuzzer_global,800,6
7,fuzzer_global,825,7
8,fuzzer_global,884,8
9,fuzzer_global,917,9
10,fuzzer_global,947,10
11,fuzzer_global,969,11
12,fuzzer_global,984,12
13,fuzzer_global,994,13
14,fuzzer_global,1012,14
15,fuzzer_global,1026,15
16,fuzzer_global,1058,16
17,fuzzer_global,1070,17
18,fuzzer_global,1100,18
19,fuzzer_global,1115,19
20,fuzzer_global,1155,20
21,fuzzer_global,1167,21
22,fuzzer_global,1173,22
23,fuzzer_global,1181,23
24,fuzzer_global,1213,24
25,fuzzer_global,1234,25
26,fuzzer_global,1249,26
27,fuzzer_global,1255,27
28,fuzzer_global,1265,28
29,fuzzer_global,1271,29
30,fuzzer_global,1278,30
31,fuzzer_global,1280,31
32,fuzzer_global,1281,32
33,fuzzer_global,1288,33
34,fuzzer_global,1296,34
35,fuzzer_global,1313,35
36,fuzzer_global,1319,36
37,fuzzer_global,1322,37
38,fuzzer_global,1330,38
39,fuzzer_global,1333,39
40,fuzzer_global,1342,40
41,fuzzer_global,1356,41
42,fuzzer_global,1363,42
43,fuzzer_global,1366,43
44,fuzzer_global,1376,44
45,fuzzer_global,1378,45
46,fuzzer_global,1379,46
47,fuzzer_global,1380,47
48,fuzzer_global,1382,48
49,fuzzer_global,1388,49
50,fuzzer_global,1397,50
51,fuzzer_global,1411,51
52,fuzzer_global,1418,52
53,fuzzer_global,1424,53
54,fuzzer_global,1431,54
55,fuzzer_global,1435,55
56,fuzzer_global,1438,56
57,fuzzer_global,1442,57
58,fuzzer_global,1444,58
59,fuzzer_global,1453,59
60,fuzzer_global,1456,60
61,fuzzer_global,1458,61
62,fuzzer_global,1461,62
63,fuzzer_global,1468,63
64,fuzzer_global,1473,64
65,fuzzer_global,1475,65
66,fuzzer_global,1476,66
67,fuzzer_global,1480,67
68,fuzzer_global,1483,68
69,fuzzer_global,1489,69
70,fuzzer_global,1489,70
71,fuzzer_global,1491,71
72,fuzzer_global,1494,72
73,fuzzer_global,1497,73
74,fuzzer_global,1498,74
75,fuzzer_global,1499,75
76,fuzzer_global,1502,76
77,fuzzer_global,1505,77
78,fuzzer_global,1506,78
79,fuzzer_global,1508,79
80,fuzzer_global,1509,80
81,fuzzer_global,1512,81
82,fuzzer_global,1515,82
83,fuzzer_global,1516,83
84,fuzzer_global,1518,84
85,fuzzer_global,1521,85
86,fuzzer_global,1521,86
87,fuzzer_global,1522,87
88,fuzzer_global,1525,88
89,fuzzer_global,1528,89
90,fuzzer_global,1529,90
91,fuzzer_global,1533,91
92,fuzzer_global,1536,92
