,edges_count,time,experiment_id
0,147,0,1
1,250,1,1
2,295,2,1
3,356,3,1
4,387,4,1
5,419,5,1
6,447,6,1
7,474,7,1
8,490,8,1
9,516,9,1
10,532,10,1
11,542,11,1
12,547,12,1
13,559,13,1
14,563,14,1
15,570,15,1
16,576,16,1
17,586,17,1
18,589,18,1
19,592,19,1
20,597,20,1
21,599,21,1
22,624,22,1
23,626,23,1
24,645,24,1
25,660,25,1
26,670,26,1
27,689,27,1
28,713,28,1
29,716,29,1
30,717,30,1
31,726,31,1
32,736,32,1
33,819,33,1
34,849,34,1
35,925,35,1
36,993,36,1
37,1017,37,1
38,1038,38,1
39,1066,39,1
40,1168,40,1
41,1294,41,1
42,1349,42,1
43,1377,43,1
44,1428,44,1
45,1459,45,1
46,1523,46,1
47,1602,47,1
48,1617,48,1
49,1635,49,1
50,1750,50,1
51,1785,51,1
52,1823,52,1
53,1843,53,1
54,1886,54,1
55,1910,55,1
56,2012,56,1
57,2023,57,1
58,2063,58,1
59,2067,59,1
60,2069,60,1
61,2155,61,1
62,2162,62,1
63,2162,63,1
64,2165,64,1
65,2165,65,1
66,2166,66,1
67,2178,67,1
68,2182,68,1
69,2184,69,1
70,2210,70,1
71,2222,71,1
72,2222,72,1
73,2223,73,1
74,2292,74,1
75,2298,75,1
76,2298,76,1
77,2301,77,1
78,2303,78,1
79,2303,79,1
80,2305,80,1
81,2321,81,1
82,2321,82,1
83,2321,83,1
84,2321,84,1
85,2321,85,1
86,2321,86,1
87,2321,87,1
88,2321,88,1
89,2321,89,1
90,2329,90,1
91,2329,91,1
92,2329,92,1
93,2331,93,1
94,2331,94,1
95,2331,95,1
96,2331,96,1
97,2334,97,1
98,2336,98,1
99,2336,99,1
100,2336,100,1
101,2336,101,1
102,2336,102,1
103,2336,103,1
104,2336,104,1
105,2338,105,1
106,2339,106,1
107,2339,107,1
108,2339,108,1
109,2340,109,1
110,2344,110,1
111,2344,111,1
112,2346,112,1
113,2348,113,1
114,2349,114,1
115,2349,115,1
116,2350,116,1
117,2354,117,1
118,2358,118,1
119,2408,119,1
120,2409,120,1
121,2409,121,1
122,2409,122,1
123,2409,123,1
124,2409,124,1
125,2409,125,1
126,2410,126,1
127,2410,127,1
128,2410,128,1
129,2410,129,1
130,2410,130,1
131,2410,131,1
132,2410,132,1
133,2413,133,1
134,2413,134,1
135,2414,135,1
136,2414,136,1
137,2415,137,1
138,2415,138,1
139,2416,139,1
140,2416,140,1
141,2416,141,1
142,2417,142,1
143,2417,143,1
144,2417,144,1
145,2417,145,1
146,2417,146,1
147,2417,147,1
148,2417,148,1
149,2417,149,1
150,2417,150,1
151,2418,151,1
152,2423,152,1
153,2424,153,1
154,2425,154,1
155,2427,155,1
156,2429,156,1
157,2455,157,1
158,2466,158,1
159,2469,159,1
160,2471,160,1
161,2475,161,1
162,2477,162,1
163,2479,163,1
164,2501,164,1
165,2502,165,1
166,2511,166,1
167,2513,167,1
168,2514,168,1
169,2514,169,1
170,2517,170,1
171,2517,171,1
172,2518,172,1
173,2521,173,1
174,2522,174,1
175,2523,175,1
176,2524,176,1
177,2524,177,1
178,2524,178,1
179,2525,179,1
180,2525,180,1
181,2525,181,1
182,2527,182,1
183,2528,183,1
184,2528,184,1
185,2528,185,1
186,2529,186,1
187,2529,187,1
188,2529,188,1
189,2529,189,1
190,2529,190,1
191,2533,191,1
192,2534,192,1
193,2534,193,1
194,2534,194,1
195,2534,195,1
196,2537,196,1
197,2537,197,1
198,2537,198,1
199,2537,199,1
200,2537,200,1
201,2537,201,1
202,2537,202,1
203,2537,203,1
204,2537,204,1
205,2537,205,1
206,2538,206,1
207,2539,207,1
208,2539,208,1
209,2539,209,1
210,2539,210,1
211,2539,211,1
212,2539,212,1
213,2539,213,1
214,2539,214,1
215,2539,215,1
216,2539,216,1
217,2539,217,1
218,2539,218,1
219,2539,219,1
220,2539,220,1
221,2539,221,1
222,2539,222,1
223,2540,223,1
224,2540,224,1
225,2540,225,1
226,2540,226,1
227,2540,227,1
228,2540,228,1
229,2540,229,1
230,2540,230,1
231,2544,231,1
232,2547,232,1
233,2548,233,1
234,2550,234,1
235,2550,235,1
236,2550,236,1
237,2550,237,1
238,2550,238,1
239,2550,239,1
240,2550,240,1
241,2550,241,1
242,2550,242,1
243,2550,243,1
244,2550,244,1
245,2550,245,1
246,2550,246,1
247,2550,247,1
248,2550,248,1
249,2550,249,1
250,2550,250,1
251,2550,251,1
252,2550,252,1
253,2551,253,1
254,2552,254,1
255,2552,255,1
256,2553,256,1
257,2554,257,1
258,2554,258,1
259,2555,259,1
260,2555,260,1
261,2555,261,1
262,2555,262,1
263,2556,263,1
264,2556,264,1
265,2556,265,1
266,2556,266,1
267,2556,267,1
268,2556,268,1
269,2556,269,1
270,2556,270,1
271,2562,271,1
272,2567,272,1
273,2571,273,1
274,2572,274,1
275,2578,275,1
276,2581,276,1
277,2585,277,1
278,2588,278,1
279,2593,279,1
280,2593,280,1
281,2593,281,1
282,2594,282,1
283,2597,283,1
284,2602,284,1
285,2604,285,1
286,2608,286,1
287,2608,287,1
288,2617,288,1
289,2621,289,1
290,2622,290,1
291,2623,291,1
292,2626,292,1
293,2626,293,1
294,2627,294,1
295,2627,295,1
296,2634,296,1
297,2636,297,1
298,2639,298,1
299,2639,299,1
300,2641,300,1
301,2642,301,1
302,2643,302,1
303,2643,303,1
304,2643,304,1
305,2643,305,1
306,2643,306,1
307,2644,307,1
308,2645,308,1
309,2646,309,1
310,2647,310,1
311,2648,311,1
312,2648,312,1
313,2648,313,1
314,2649,314,1
315,2649,315,1
316,2649,316,1
317,2650,317,1
318,2651,318,1
319,2651,319,1
320,2651,320,1
321,2652,321,1
322,2652,322,1
323,2652,323,1
324,2652,324,1
325,2652,325,1
326,2652,326,1
327,2652,327,1
328,2652,328,1
329,2652,329,1
330,2652,330,1
331,2652,331,1
332,2652,332,1
333,2652,333,1
334,2654,334,1
335,2656,335,1
336,2663,336,1
337,2673,337,1
338,2677,338,1
339,2679,339,1
340,2681,340,1
341,2683,341,1
342,2684,342,1
343,2684,343,1
344,2685,344,1
345,2685,345,1
346,2686,346,1
347,2686,347,1
348,2686,348,1
349,2686,349,1
350,2686,350,1
351,2686,351,1
352,2686,352,1
353,2686,353,1
354,2686,354,1
355,2686,355,1
356,2686,356,1
357,2686,357,1
358,2686,358,1
359,2686,359,1
360,2686,360,1
361,2686,361,1
362,2686,362,1
363,2686,363,1
364,2686,364,1
365,2686,365,1
366,2686,366,1
367,2686,367,1
368,2686,368,1
369,2686,369,1
370,2686,370,1
371,2686,371,1
372,2686,372,1
373,2686,373,1
374,2687,374,1
375,2687,375,1
376,2687,376,1
377,2687,377,1
378,2687,378,1
379,2687,379,1
380,2687,380,1
381,2687,381,1
382,2689,382,1
383,2689,383,1
384,2689,384,1
385,2689,385,1
386,2689,386,1
387,2689,387,1
388,2689,388,1
389,2689,389,1
390,2689,390,1
391,2689,391,1
392,2689,392,1
393,2689,393,1
394,2690,394,1
395,2690,395,1
396,2690,396,1
397,2690,397,1
398,2690,398,1
399,2690,399,1
400,2691,400,1
401,2691,401,1
402,2691,402,1
403,2691,403,1
404,2691,404,1
405,2691,405,1
406,2691,406,1
407,2692,407,1
408,2692,408,1
409,2692,409,1
410,2692,410,1
411,2694,411,1
412,2697,412,1
413,2697,413,1
414,2697,414,1
415,2697,415,1
416,2697,416,1
417,2697,417,1
418,2697,418,1
419,2697,419,1
420,2697,420,1
421,2697,421,1
422,2697,422,1
423,2697,423,1
424,2697,424,1
425,2697,425,1
426,2697,426,1
427,2697,427,1
428,2697,428,1
429,2697,429,1
430,2697,430,1
431,2697,431,1
432,2697,432,1
433,2698,433,1
434,2698,434,1
435,2698,435,1
436,2701,436,1
437,2701,437,1
438,2701,438,1
439,2701,439,1
440,2701,440,1
441,2701,441,1
442,2701,442,1
443,2701,443,1
444,2701,444,1
445,2701,445,1
446,2701,446,1
447,2702,447,1
448,2703,448,1
449,2703,449,1
450,2706,450,1
451,2706,451,1
452,2706,452,1
453,2706,453,1
454,2706,454,1
455,2706,455,1
456,2706,456,1
457,2707,457,1
458,2707,458,1
459,2707,459,1
460,2707,460,1
461,2707,461,1
462,2707,462,1
463,2707,463,1
464,2707,464,1
465,2709,465,1
466,2709,466,1
467,2709,467,1
468,2709,468,1
469,2709,469,1
470,2709,470,1
471,2709,471,1
472,2709,472,1
473,2709,473,1
474,2709,474,1
475,2709,475,1
476,2709,476,1
477,2709,477,1
478,2709,478,1
479,2709,479,1
480,2709,480,1
481,2713,481,1
482,2720,482,1
483,2721,483,1
484,2721,484,1
485,2721,485,1
486,2721,486,1
487,2721,487,1
488,2721,488,1
489,2721,489,1
490,2723,490,1
491,2724,491,1
492,2724,492,1
493,2724,493,1
494,2724,494,1
495,2725,495,1
496,2727,496,1
497,2727,497,1
498,2727,498,1
499,2727,499,1
500,2727,500,1
501,2727,501,1
502,2728,502,1
503,2729,503,1
504,2730,504,1
505,2730,505,1
506,2730,506,1
507,2730,507,1
508,2730,508,1
509,2730,509,1
510,2730,510,1
511,2730,511,1
512,2730,512,1
513,2730,513,1
514,2730,514,1
515,2730,515,1
516,2730,516,1
517,2730,517,1
518,2730,518,1
519,2730,519,1
520,2730,520,1
521,2730,521,1
522,2730,522,1
523,2730,523,1
524,2731,524,1
525,2731,525,1
526,2731,526,1
527,2731,527,1
528,2731,528,1
529,2731,529,1
530,2731,530,1
531,2731,531,1
532,2731,532,1
533,2731,533,1
534,2731,534,1
535,2731,535,1
536,2731,536,1
537,2731,537,1
538,2731,538,1
539,2731,539,1
540,2731,540,1
541,2731,541,1
542,2731,542,1
543,2731,543,1
544,2731,544,1
545,2731,545,1
546,2731,546,1
547,2731,547,1
548,2731,548,1
549,2731,549,1
550,2731,550,1
551,2731,551,1
552,2731,552,1
553,2731,553,1
554,2731,554,1
555,2731,555,1
556,2731,556,1
557,2731,557,1
558,2731,558,1
559,2731,559,1
560,2731,560,1
561,2731,561,1
562,2731,562,1
563,2731,563,1
564,2731,564,1
565,2731,565,1
566,2731,566,1
567,2731,567,1
568,2731,568,1
569,2731,569,1
570,2731,570,1
571,2731,571,1
572,2731,572,1
573,2731,573,1
574,2731,574,1
575,2731,575,1
576,2731,576,1
577,2731,577,1
578,2731,578,1
579,2731,579,1
580,2731,580,1
581,2731,581,1
582,2731,582,1
583,2732,583,1
584,2732,584,1
585,2732,585,1
586,2732,586,1
587,2732,587,1
588,2732,588,1
589,2732,589,1
590,2732,590,1
591,2732,591,1
592,2732,592,1
593,2732,593,1
594,2732,594,1
595,2732,595,1
596,2732,596,1
597,2733,597,1
598,2733,598,1
599,2733,599,1
600,2733,600,1
601,2733,601,1
602,2733,602,1
603,2733,603,1
604,2733,604,1
605,2733,605,1
606,2733,606,1
607,2733,607,1
608,2733,608,1
609,2733,609,1
610,2733,610,1
611,2733,611,1
612,2733,612,1
613,2733,613,1
614,2733,614,1
615,2733,615,1
616,2733,616,1
617,2733,617,1
618,2733,618,1
619,2733,619,1
620,2733,620,1
621,2733,621,1
622,2733,622,1
623,2733,623,1
624,2733,624,1
625,2733,625,1
626,2733,626,1
627,2733,627,1
628,2733,628,1
629,2733,629,1
630,2733,630,1
631,2733,631,1
632,2733,632,1
633,2733,633,1
634,2733,634,1
635,2733,635,1
636,2733,636,1
637,2733,637,1
638,2733,638,1
639,2733,639,1
640,2733,640,1
641,2733,641,1
642,2733,642,1
643,2733,643,1
644,2733,644,1
645,2734,645,1
646,2734,646,1
647,2734,647,1
648,2734,648,1
649,2734,649,1
650,2745,650,1
651,2745,651,1
652,2745,652,1
653,2746,653,1
654,2746,654,1
655,2746,655,1
656,2746,656,1
657,2746,657,1
658,2746,658,1
659,2746,659,1
660,2746,660,1
661,2746,661,1
662,2746,662,1
663,2746,663,1
664,2746,664,1
665,2746,665,1
666,2746,666,1
667,2746,667,1
668,2746,668,1
669,2746,669,1
670,2746,670,1
671,2746,671,1
672,2746,672,1
673,2746,673,1
674,2746,674,1
675,2746,675,1
676,2746,676,1
677,2746,677,1
678,2746,678,1
679,2746,679,1
680,2746,680,1
681,2746,681,1
682,2746,682,1
683,2746,683,1
684,2746,684,1
685,2746,685,1
686,2746,686,1
687,2746,687,1
688,2746,688,1
689,2746,689,1
690,2746,690,1
691,2746,691,1
692,2746,692,1
693,2747,693,1
694,2747,694,1
695,2748,695,1
696,2748,696,1
697,2748,697,1
698,2748,698,1
699,2748,699,1
700,2748,700,1
701,2748,701,1
702,2748,702,1
703,2748,703,1
704,2748,704,1
705,2748,705,1
706,2748,706,1
707,2748,707,1
708,2748,708,1
709,2748,709,1
710,2748,710,1
711,2748,711,1
712,2748,712,1
713,2748,713,1
714,2748,714,1
715,2748,715,1
716,2748,716,1
717,2748,717,1
718,2748,718,1
719,2748,719,1
720,2748,720,1
721,2748,721,1
722,2748,722,1
723,2748,723,1
724,2748,724,1
725,2748,725,1
726,2748,726,1
727,2748,727,1
728,2748,728,1
729,2748,729,1
730,2755,730,1
