,edges_count,time,experiment_id
0,18,0,1
1,19,1,1
2,19,2,1
3,19,3,1
4,19,4,1
5,19,5,1
6,19,6,1
7,19,7,1
8,19,8,1
9,56,9,1
10,197,10,1
11,262,11,1
12,310,12,1
13,352,13,1
14,377,14,1
15,388,15,1
16,399,16,1
17,421,17,1
18,440,18,1
19,449,19,1
20,465,20,1
21,483,21,1
22,495,22,1
23,499,23,1
24,509,24,1
25,539,25,1
26,554,26,1
27,562,27,1
28,578,28,1
29,615,29,1
30,621,30,1
31,628,31,1
32,633,32,1
33,642,33,1
34,659,34,1
35,702,35,1
36,738,36,1
37,757,37,1
38,788,38,1
39,812,39,1
40,827,40,1
41,842,41,1
42,846,42,1
43,900,43,1
44,911,44,1
45,997,45,1
46,1045,46,1
47,1109,47,1
48,1158,48,1
49,1215,49,1
50,1240,50,1
51,1249,51,1
52,1293,52,1
53,1352,53,1
54,1406,54,1
55,1476,55,1
56,1489,56,1
57,1499,57,1
58,1599,58,1
59,1646,59,1
60,1700,60,1
61,1711,61,1
62,1714,62,1
63,1736,63,1
64,1746,64,1
65,1759,65,1
66,1763,66,1
67,1809,67,1
68,1809,68,1
69,1815,69,1
70,1880,70,1
71,1983,71,1
72,1992,72,1
73,2025,73,1
74,2060,74,1
75,2062,75,1
76,2068,76,1
77,2070,77,1
78,2071,78,1
79,2075,79,1
80,2117,80,1
81,2156,81,1
82,2174,82,1
83,2175,83,1
84,2176,84,1
85,2176,85,1
86,2177,86,1
87,2192,87,1
88,2202,88,1
89,2255,89,1
90,2259,90,1
91,2263,91,1
92,2264,92,1
93,2265,93,1
94,2266,94,1
95,2268,95,1
96,2275,96,1
97,2275,97,1
98,2278,98,1
99,2278,99,1
100,2280,100,1
101,2291,101,1
102,2292,102,1
103,2292,103,1
104,2297,104,1
105,2298,105,1
106,2300,106,1
107,2308,107,1
108,2309,108,1
109,2316,109,1
110,2321,110,1
111,2328,111,1
112,2328,112,1
113,2336,113,1
114,2336,114,1
115,2336,115,1
116,2336,116,1
117,2337,117,1
118,2337,118,1
119,2340,119,1
120,2344,120,1
121,2348,121,1
122,2352,122,1
123,2356,123,1
124,2358,124,1
125,2360,125,1
126,2400,126,1
127,2403,127,1
128,2404,128,1
129,2411,129,1
130,2415,130,1
131,2417,131,1
132,2419,132,1
133,2420,133,1
134,2420,134,1
135,2422,135,1
136,2426,136,1
137,2426,137,1
138,2431,138,1
139,2435,139,1
140,2435,140,1
141,2435,141,1
142,2436,142,1
143,2436,143,1
144,2438,144,1
145,2439,145,1
146,2441,146,1
147,2441,147,1
148,2441,148,1
149,2445,149,1
150,2448,150,1
151,2451,151,1
152,2451,152,1
153,2451,153,1
154,2451,154,1
155,2451,155,1
156,2451,156,1
157,2451,157,1
158,2451,158,1
159,2452,159,1
160,2452,160,1
161,2452,161,1
162,2452,162,1
163,2454,163,1
164,2454,164,1
165,2454,165,1
166,2454,166,1
167,2454,167,1
168,2454,168,1
169,2454,169,1
170,2454,170,1
171,2454,171,1
172,2454,172,1
173,2455,173,1
174,2455,174,1
175,2455,175,1
176,2459,176,1
177,2462,177,1
178,2464,178,1
179,2466,179,1
180,2466,180,1
181,2467,181,1
182,2468,182,1
183,2471,183,1
184,2471,184,1
185,2471,185,1
186,2471,186,1
187,2471,187,1
188,2471,188,1
189,2473,189,1
190,2473,190,1
191,2474,191,1
192,2474,192,1
193,2474,193,1
194,2474,194,1
195,2474,195,1
196,2474,196,1
197,2474,197,1
198,2474,198,1
199,2474,199,1
200,2476,200,1
201,2477,201,1
202,2478,202,1
203,2478,203,1
204,2478,204,1
205,2478,205,1
206,2479,206,1
207,2479,207,1
208,2479,208,1
209,2481,209,1
210,2481,210,1
211,2482,211,1
212,2482,212,1
213,2482,213,1
214,2482,214,1
215,2483,215,1
216,2483,216,1
217,2483,217,1
218,2483,218,1
219,2487,219,1
220,2490,220,1
221,2490,221,1
222,2490,222,1
223,2490,223,1
224,2490,224,1
225,2490,225,1
226,2491,226,1
227,2492,227,1
228,2492,228,1
229,2493,229,1
230,2494,230,1
231,2494,231,1
232,2499,232,1
233,2502,233,1
234,2503,234,1
235,2504,235,1
236,2510,236,1
237,2512,237,1
238,2515,238,1
239,2518,239,1
240,2519,240,1
241,2520,241,1
242,2521,242,1
243,2521,243,1
244,2521,244,1
245,2521,245,1
246,2521,246,1
247,2521,247,1
248,2521,248,1
249,2521,249,1
250,2522,250,1
251,2522,251,1
252,2522,252,1
253,2522,253,1
254,2522,254,1
255,2522,255,1
256,2522,256,1
257,2522,257,1
258,2522,258,1
259,2522,259,1
260,2522,260,1
261,2522,261,1
262,2522,262,1
263,2523,263,1
264,2523,264,1
265,2524,265,1
266,2524,266,1
267,2524,267,1
268,2524,268,1
269,2524,269,1
270,2524,270,1
271,2524,271,1
272,2524,272,1
273,2524,273,1
274,2524,274,1
275,2524,275,1
276,2524,276,1
277,2524,277,1
278,2524,278,1
279,2524,279,1
280,2524,280,1
281,2524,281,1
282,2524,282,1
283,2524,283,1
284,2524,284,1
285,2524,285,1
286,2524,286,1
287,2524,287,1
288,2524,288,1
289,2524,289,1
290,2524,290,1
291,2526,291,1
292,2526,292,1
293,2527,293,1
294,2527,294,1
295,2527,295,1
296,2527,296,1
297,2527,297,1
298,2527,298,1
299,2527,299,1
300,2527,300,1
301,2527,301,1
302,2531,302,1
303,2531,303,1
304,2533,304,1
305,2533,305,1
306,2533,306,1
307,2533,307,1
308,2533,308,1
309,2533,309,1
310,2533,310,1
311,2533,311,1
312,2533,312,1
313,2533,313,1
314,2533,314,1
315,2533,315,1
316,2533,316,1
317,2533,317,1
318,2533,318,1
319,2533,319,1
320,2533,320,1
321,2533,321,1
322,2533,322,1
323,2533,323,1
324,2533,324,1
325,2533,325,1
326,2533,326,1
327,2533,327,1
328,2533,328,1
329,2533,329,1
330,2533,330,1
331,2533,331,1
332,2533,332,1
333,2536,333,1
334,2536,334,1
335,2538,335,1
336,2539,336,1
337,2541,337,1
338,2541,338,1
339,2541,339,1
340,2541,340,1
341,2541,341,1
342,2543,342,1
343,2546,343,1
344,2548,344,1
345,2548,345,1
346,2548,346,1
347,2548,347,1
348,2548,348,1
349,2548,349,1
350,2548,350,1
351,2548,351,1
352,2548,352,1
353,2548,353,1
354,2548,354,1
355,2549,355,1
356,2549,356,1
357,2549,357,1
358,2549,358,1
359,2549,359,1
360,2553,360,1
361,2553,361,1
362,2555,362,1
363,2555,363,1
364,2555,364,1
365,2558,365,1
366,2561,366,1
367,2561,367,1
368,2561,368,1
369,2561,369,1
370,2561,370,1
371,2561,371,1
372,2561,372,1
373,2561,373,1
374,2561,374,1
375,2561,375,1
376,2561,376,1
377,2561,377,1
378,2561,378,1
379,2561,379,1
380,2561,380,1
381,2561,381,1
382,2561,382,1
383,2563,383,1
384,2563,384,1
385,2563,385,1
386,2563,386,1
387,2563,387,1
388,2563,388,1
389,2563,389,1
390,2563,390,1
391,2563,391,1
392,2563,392,1
393,2563,393,1
394,2563,394,1
395,2563,395,1
396,2563,396,1
397,2563,397,1
398,2563,398,1
399,2564,399,1
400,2564,400,1
401,2564,401,1
402,2564,402,1
403,2564,403,1
404,2564,404,1
405,2564,405,1
406,2564,406,1
407,2564,407,1
408,2564,408,1
409,2564,409,1
410,2564,410,1
411,2564,411,1
412,2565,412,1
413,2565,413,1
414,2565,414,1
415,2565,415,1
416,2565,416,1
417,2565,417,1
418,2565,418,1
419,2565,419,1
420,2565,420,1
421,2565,421,1
422,2565,422,1
423,2565,423,1
424,2565,424,1
425,2565,425,1
426,2565,426,1
427,2565,427,1
428,2565,428,1
429,2565,429,1
430,2565,430,1
431,2565,431,1
432,2565,432,1
433,2565,433,1
434,2565,434,1
435,2566,435,1
436,2567,436,1
437,2567,437,1
438,2567,438,1
439,2567,439,1
440,2567,440,1
441,2567,441,1
442,2567,442,1
443,2567,443,1
444,2567,444,1
445,2567,445,1
446,2567,446,1
447,2567,447,1
448,2567,448,1
449,2567,449,1
450,2567,450,1
451,2567,451,1
452,2567,452,1
453,2567,453,1
454,2567,454,1
455,2568,455,1
456,2568,456,1
457,2568,457,1
458,2568,458,1
459,2568,459,1
460,2568,460,1
461,2568,461,1
462,2568,462,1
463,2568,463,1
464,2568,464,1
465,2568,465,1
466,2568,466,1
467,2568,467,1
468,2568,468,1
469,2568,469,1
470,2568,470,1
471,2568,471,1
472,2568,472,1
473,2568,473,1
474,2568,474,1
475,2568,475,1
476,2568,476,1
477,2569,477,1
478,2569,478,1
479,2569,479,1
480,2569,480,1
481,2569,481,1
482,2569,482,1
483,2569,483,1
484,2569,484,1
485,2569,485,1
486,2569,486,1
487,2569,487,1
488,2569,488,1
489,2569,489,1
490,2569,490,1
491,2570,491,1
492,2570,492,1
493,2570,493,1
494,2570,494,1
495,2570,495,1
496,2570,496,1
497,2570,497,1
498,2570,498,1
499,2570,499,1
500,2570,500,1
501,2571,501,1
502,2571,502,1
503,2571,503,1
504,2571,504,1
505,2571,505,1
506,2571,506,1
507,2571,507,1
508,2571,508,1
509,2571,509,1
510,2571,510,1
511,2571,511,1
512,2572,512,1
513,2572,513,1
514,2572,514,1
515,2572,515,1
516,2572,516,1
517,2572,517,1
518,2572,518,1
519,2572,519,1
520,2572,520,1
521,2573,521,1
522,2574,522,1
523,2574,523,1
524,2574,524,1
525,2575,525,1
526,2575,526,1
527,2576,527,1
528,2577,528,1
529,2577,529,1
530,2577,530,1
531,2577,531,1
532,2578,532,1
533,2578,533,1
534,2578,534,1
535,2578,535,1
536,2578,536,1
537,2578,537,1
538,2578,538,1
539,2578,539,1
540,2579,540,1
541,2579,541,1
542,2579,542,1
543,2579,543,1
544,2579,544,1
545,2579,545,1
546,2579,546,1
547,2579,547,1
548,2579,548,1
549,2579,549,1
550,2579,550,1
551,2579,551,1
552,2579,552,1
553,2579,553,1
554,2579,554,1
555,2579,555,1
556,2579,556,1
557,2579,557,1
558,2579,558,1
559,2579,559,1
560,2579,560,1
561,2579,561,1
562,2579,562,1
563,2579,563,1
564,2579,564,1
565,2579,565,1
566,2579,566,1
567,2582,567,1
568,2584,568,1
569,2584,569,1
570,2585,570,1
571,2585,571,1
572,2586,572,1
573,2586,573,1
574,2586,574,1
575,2586,575,1
576,2586,576,1
577,2586,577,1
578,2586,578,1
579,2586,579,1
580,2586,580,1
581,2586,581,1
582,2586,582,1
583,2586,583,1
584,2586,584,1
585,2586,585,1
586,2586,586,1
587,2586,587,1
588,2586,588,1
589,2586,589,1
590,2586,590,1
591,2586,591,1
592,2586,592,1
593,2586,593,1
594,2586,594,1
595,2586,595,1
596,2586,596,1
597,2586,597,1
598,2586,598,1
599,2587,599,1
600,2588,600,1
601,2589,601,1
602,2589,602,1
603,2589,603,1
604,2589,604,1
605,2589,605,1
606,2589,606,1
607,2589,607,1
608,2589,608,1
609,2589,609,1
610,2589,610,1
611,2589,611,1
612,2589,612,1
613,2589,613,1
614,2589,614,1
615,2589,615,1
616,2589,616,1
617,2589,617,1
618,2589,618,1
619,2590,619,1
620,2590,620,1
621,2592,621,1
622,2592,622,1
623,2593,623,1
624,2593,624,1
625,2593,625,1
626,2593,626,1
627,2594,627,1
628,2594,628,1
629,2594,629,1
630,2594,630,1
631,2595,631,1
632,2595,632,1
633,2595,633,1
634,2595,634,1
635,2595,635,1
636,2595,636,1
637,2595,637,1
638,2595,638,1
639,2595,639,1
640,2595,640,1
641,2596,641,1
642,2596,642,1
643,2596,643,1
644,2596,644,1
