,benchmark,fuzzer_combination,experiment_id_1,experiment_id_2,experiment_id_3,experiment_id_4,experiment_id_5,experiment_id_6,experiment_id_7,experiment_id_8,experiment_id_9,experiment_id_10,experiment_id_11,experiment_id_12,experiment_id_13,experiment_id_14,experiment_id_15,experiment_id_16,experiment_id_17,experiment_id_18,experiment_id_19,experiment_id_20,max,avg,max_increment,avg_increment
0,cflow,fcb,172,172,167,168,169,167,174,177,161,177,164,168,171,173,174,176,172,181,166,172,181,171,1.0,1.0
1,cflow,fca,185,178,184,171,175,190,177,180,177,174,165,176,170,174,184,166,165,169,166,182,190,175,1.0497,1.0234
2,jq,fcb,249,235,229,244,240,241,234,240,236,240,239,241,228,250,244,250,244,238,250,238,250,240,1.0,1.0
3,jq,fca,238,237,235,232,233,246,234,223,243,236,242,231,243,232,232,247,237,248,239,228,248,236,0.992,0.9833
4,libpng,fcb,385,365,383,384,379,392,377,391,379,374,372,398,375,378,363,391,390,386,388,376,398,381,1.0,1.0
5,libpng,fca,386,391,393,385,387,393,385,403,387,399,389,391,381,396,389,379,391,386,415,393,415,390,1.0427,1.0236
6,libxml2,fcb,1848,1813,1834,1822,1841,1802,1782,1809,1766,1849,1792,1857,1831,1846,1809,1842,1813,1813,1813,1821,1857,1820,1.0,1.0
7,libxml2,fca,1808,1803,1774,1784,1814,1802,1798,1836,1787,1783,1769,1803,1801,1826,1792,1803,1802,1817,1806,1812,1836,1801,0.9887,0.9896
8,lua,fcb,664,589,581,608,622,631,611,602,612,601,637,598,573,640,626,588,600,648,574,625,664,611,1.0,1.0
9,lua,fca,621,625,591,596,586,626,584,576,544,594,612,646,580,587,601,590,622,545,572,602,646,595,0.9729,0.9738
10,mp42aac,fcb,304,299,178,265,183,307,314,265,185,277,286,271,185,178,284,313,279,179,183,195,314,246,1.0,1.0
11,mp42aac,fca,168,315,182,177,171,172,285,171,272,169,298,318,172,229,177,314,179,169,268,171,318,218,1.0127,0.8862
12,nm,fcb,1703,1763,1736,1766,1827,1778,1693,1822,1628,1693,1733,1724,1685,1695,1671,1765,1658,1645,1626,1132,1827,1687,1.0,1.0
13,nm,fca,1768,1766,1850,1708,1718,1703,1837,1557,1744,1908,1793,1933,1656,1824,1677,1682,1747,1661,1526,1671,1933,1736,1.058,1.029
14,objdump,fcb,574,749,537,760,779,832,554,777,717,990,724,613,675,589,686,837,760,656,792,527,990,706,1.0,1.0
15,objdump,fca,974,890,1041,974,751,1031,696,794,945,1045,962,999,785,724,1119,843,831,1078,1111,1210,1210,940,1.2222,1.3314
16,openssl,fcb,275,281,274,274,275,274,280,278,275,276,279,276,280,280,275,277,281,284,284,275,284,277,1.0,1.0
17,openssl,fca,280,276,277,274,275,277,280,278,275,274,276,279,274,277,282,287,278,278,281,279,287,277,1.0106,1.0
18,readelf,fcb,2692,2535,2262,2588,2783,2501,2470,2623,2365,2279,2509,2653,2540,2889,2562,2455,1829,2413,2501,2241,2889,2484,1.0,1.0
19,readelf,fca,2790,2772,2433,2636,2814,2807,2652,2828,2525,2587,2702,2872,2698,2616,2637,2734,2748,2540,2674,2673,2872,2686,0.9941,1.0813
