,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
benchmark,cflow,cflow,jq,jq,libpng,libpng,libxml2,libxml2,lua,lua,mp42aac,mp42aac,nm,nm,objdump,objdump,openssl,openssl,readelf,readelf
fuzzer_combination,fcb,fca,fcb,fca,fcb,fca,fcb,fca,fcb,fca,fcb,fca,fcb,fca,fcb,fca,fcb,fca,fcb,fca
experiment_id_1,172,185,249,238,385,386,1848,1808,664,621,304,168,1703,1768,574,974,275,280,2692,2790
experiment_id_2,172,178,235,237,365,391,1813,1803,589,625,299,315,1763,1766,749,890,281,276,2535,2772
experiment_id_3,167,184,229,235,383,393,1834,1774,581,591,178,182,1736,1850,537,1041,274,277,2262,2433
experiment_id_4,168,171,244,232,384,385,1822,1784,608,596,265,177,1766,1708,760,974,274,274,2588,2636
experiment_id_5,169,175,240,233,379,387,1841,1814,622,586,183,171,1827,1718,779,751,275,275,2783,2814
experiment_id_6,167,190,241,246,392,393,1802,1802,631,626,307,172,1778,1703,832,1031,274,277,2501,2807
experiment_id_7,174,177,234,234,377,385,1782,1798,611,584,314,285,1693,1837,554,696,280,280,2470,2652
experiment_id_8,177,180,240,223,391,403,1809,1836,602,576,265,171,1822,1557,777,794,278,278,2623,2828
experiment_id_9,161,177,236,243,379,387,1766,1787,612,544,185,272,1628,1744,717,945,275,275,2365,2525
experiment_id_10,177,174,240,236,374,399,1849,1783,601,594,277,169,1693,1908,990,1045,276,274,2279,2587
experiment_id_11,164,165,239,242,372,389,1792,1769,637,612,286,298,1733,1793,724,962,279,276,2509,2702
experiment_id_12,168,176,241,231,398,391,1857,1803,598,646,271,318,1724,1933,613,999,276,279,2653,2872
experiment_id_13,171,170,228,243,375,381,1831,1801,573,580,185,172,1685,1656,675,785,280,274,2540,2698
experiment_id_14,173,174,250,232,378,396,1846,1826,640,587,178,229,1695,1824,589,724,280,277,2889,2616
experiment_id_15,174,184,244,232,363,389,1809,1792,626,601,284,177,1671,1677,686,1119,275,282,2562,2637
experiment_id_16,176,166,250,247,391,379,1842,1803,588,590,313,314,1765,1682,837,843,277,287,2455,2734
experiment_id_17,172,165,244,237,390,391,1813,1802,600,622,279,179,1658,1747,760,831,281,278,1829,2748
experiment_id_18,181,169,238,248,386,386,1813,1817,648,545,179,169,1645,1661,656,1078,284,278,2413,2540
experiment_id_19,166,166,250,239,388,415,1813,1806,574,572,183,268,1626,1526,792,1111,284,281,2501,2674
experiment_id_20,172,182,238,228,376,393,1821,1812,625,602,195,171,1132,1671,527,1210,275,279,2241,2673
max,181,190,250,248,398,415,1857,1836,664,646,314,318,1827,1933,990,1210,284,287,2889,2872
avg,171,175,240,236,381,390,1820,1801,611,595,246,218,1687,1736,706,940,277,277,2484,2686
max_increment,1.0,1.0497,1.0,0.992,1.0,1.0427,1.0,0.9887,1.0,0.9729,1.0,1.0127,1.0,1.058,1.0,1.2222,1.0,1.0106,1.0,0.9941
avg_increment,1.0,1.0234,1.0,0.9833,1.0,1.0236,1.0,0.9896,1.0,0.9738,1.0,0.8862,1.0,1.029,1.0,1.3314,1.0,1.0,1.0,1.0813
