,benchmark,fuzzer_combination,total_unique,times
0,cflow,fcb,699,4.087719298245614
1,cflow,fca,696,3.9771428571428573
2,jq,fcb,988,4.116666666666666
3,jq,fca,973,4.122881355932203
4,libpng,fcb,1585,4.16010498687664
5,libpng,fca,1590,4.076923076923077
6,libxml2,fcb,7673,4.215934065934066
7,libxml2,fca,7710,4.280955024986119
8,lua,fcb,2356,3.855973813420622
9,lua,fca,2350,3.9495798319327733
10,mp42aac,fcb,1528,6.211382113821138
11,mp42aac,fca,1391,6.3807339449541285
12,nm,fcb,7401,4.387077652637819
13,nm,fca,7542,4.344470046082949
14,objdump,fcb,3606,5.1076487252124645
15,objdump,fca,4826,5.134042553191489
16,openssl,fcb,1792,6.469314079422382
17,openssl,fca,1810,6.534296028880866
18,readelf,fcb,7834,3.15378421900161
19,readelf,fca,8122,3.0238272524199554
