,benchmark,fuzzer_combination,expid,edge
0,cflow,fca,6,2452-227
1,cflow,fca,6,7361-7377
2,cflow,fca,6,7731-7891
3,cflow,fca,6,316-320
4,cflow,fca,6,1196-1200
5,cflow,fca,6,9553-9566
6,cflow,fca,6,5831-5841
7,cflow,fca,6,12806-12812
8,cflow,fca,6,13198-13202
9,cflow,fca,6,11011-11026
10,cflow,fca,6,1301-1305
11,cflow,fca,6,2158-2089
12,cflow,fca,6,1723-1737
13,cflow,fca,6,10968-10975
14,cflow,fca,6,9780-9785
15,cflow,fca,6,9136-9139
16,cflow,fca,6,2129-2144
17,cflow,fca,6,8884-9176
18,cflow,fca,6,12566-12575
19,cflow,fca,6,10331-10367
20,cflow,fca,6,10985-10993
21,cflow,fca,6,3153-3159
22,cflow,fca,6,2172-2188
23,cflow,fca,6,1091-1095
24,cflow,fca,6,738-752
25,cflow,fca,6,11278-11295
26,cflow,fca,6,1235-2468
27,cflow,fca,6,10989-10993
28,cflow,fca,6,9099-9111
29,cflow,fca,6,280-1049
30,cflow,fca,6,11550-11608
31,cflow,fca,6,801-815
32,cflow,fca,6,6078-6084
33,cflow,fca,6,885-899
34,cflow,fca,6,11411-11388
35,cflow,fca,6,280-1825
36,cflow,fca,6,9817-9820
37,cflow,fca,6,8025-8043
38,cflow,fca,6,11138-11301
39,cflow,fca,6,10542-10564
40,cflow,fca,6,9573-9583
41,cflow,fca,6,8292-8390
42,cflow,fca,6,9807-9820
43,cflow,fca,6,280-923
44,cflow,fca,6,2398-2441
45,cflow,fca,6,1866-341
46,cflow,fca,6,2412-2427
47,cflow,fca,6,11485-11618
48,cflow,fca,6,9785-9838
49,cflow,fca,6,280-1610
50,cflow,fca,6,10306-10325
51,cflow,fca,6,3095-3099
52,cflow,fca,6,11004-11017
53,cflow,fca,6,3012-3121
54,cflow,fca,6,2385-2398
55,cflow,fca,6,8813-8824
56,cflow,fca,6,28910-28917
57,cflow,fca,6,3099-3099
58,cflow,fca,6,463-467
59,cflow,fca,6,12617-12675
60,cflow,fca,6,759-773
61,cflow,fca,6,1340-2468
62,cflow,fca,6,1347-1361
63,cflow,fca,6,10500-10503
64,cflow,fca,6,10741-10754
65,cflow,fca,6,1389-1403
66,cflow,fca,6,11506-11518
67,cflow,fca,6,280-1406
68,cflow,fca,6,28926-28910
69,cflow,fca,6,2667-2675
70,cflow,fca,6,280-1070
71,cflow,fca,6,2733-2836
72,cflow,fca,6,1767-1781
73,cflow,fca,6,9802-9838
74,cflow,fca,6,10645-10688
75,cflow,fca,6,280-293
76,cflow,fca,6,280-1112
77,cflow,fca,6,2683-2675
78,cflow,fca,6,1025-2468
79,cflow,fca,6,3118-3246
80,cflow,fca,6,11229-11234
81,cflow,fca,6,986-990
82,cflow,fca,6,2028-341
83,cflow,fca,6,11286-11301
84,cflow,fca,6,280-902
85,cflow,fca,6,13296-13289
86,cflow,fca,6,1242-1256
87,cflow,fca,6,10021-10030
88,cflow,fca,6,10289-10320
89,cflow,fca,6,10157-10222
90,cflow,fca,6,11037-11050
91,cflow,fca,6,10542-10553
92,cflow,fca,6,9861-9869
93,cflow,fca,6,836-2468
94,cflow,fca,6,776-780
95,cflow,fca,6,9897-9900
96,cflow,fca,6,9897-10101
97,cflow,fca,6,11037-11045
98,cflow,fca,6,2726-2717
99,cflow,fca,6,10138-10147
100,cflow,fca,6,7361-7361
101,cflow,fca,6,2701-2836
102,cflow,fca,6,10142-10147
103,cflow,fca,6,10127-10142
104,cflow,fca,6,9955-9963
105,cflow,fca,6,28669-28675
106,cflow,fca,6,1280-1284
107,cflow,fca,6,13026-13032
108,cflow,fca,6,1046-2468
109,cflow,fca,6,13383-13398
110,cflow,fca,6,6124-6129
111,cflow,fca,6,9639-9649
112,cflow,fca,6,731-2468
113,cflow,fca,6,9546-9589
114,cflow,fca,6,11058-11069
115,cflow,fca,6,2833-2836
116,cflow,fca,6,10112-10222
117,cflow,fca,6,11742-11748
118,cflow,fca,6,12938-12931
119,cflow,fca,6,11147-11153
120,cflow,fca,6,11147-11281
121,cflow,fca,6,11730-11737
122,cflow,fca,6,3023-3034
123,cflow,fca,6,7740-7746
124,cflow,fca,6,10404-10404
125,cflow,fca,6,11247-11234
126,cflow,fca,6,13156-13181
127,cflow,fca,6,12872-12865
128,cflow,fca,6,12830-12901
129,cflow,fca,6,12619-12626
130,cflow,fca,6,6009-6028
131,cflow,fca,6,12806-12799
132,cflow,fca,6,5831-5846
133,cflow,fca,6,948-962
134,cflow,fca,6,969-983
135,cflow,fca,6,514-528
136,cflow,fca,6,10119-10157
137,cflow,fca,6,13026-13019
138,cflow,fca,6,5917-5990
139,cflow,fca,6,13366-13404
140,cflow,fca,6,280-650
141,cflow,fca,6,3037-3037
142,cflow,fca,6,32049-32065
143,cflow,fca,6,2902-2906
144,cflow,fca,6,2335-88
145,cflow,fca,6,8910-8925
146,cflow,fca,6,1474-1478
147,cflow,fca,6,32115-32136
148,cflow,fca,6,8892-8900
149,cflow,fca,6,9013-9021
150,cflow,fca,6,9031-9039
151,cflow,fca,6,9060-9066
152,cflow,fca,6,9205-9210
153,cflow,fca,6,9411-9415
154,cflow,fca,6,9184-9188
155,cflow,fca,6,9099-9107
156,cflow,fca,6,9147-9151
157,cflow,fca,6,9157-9165
158,cflow,fca,6,9117-9125
159,cflow,fca,6,9082-9087
160,cflow,fca,6,2279-2292
161,cflow,fca,6,2266-2279
162,cflow,fca,6,1639-1643
163,cflow,fca,6,3260-3269
164,cflow,fca,6,8978-8983
165,cflow,fca,6,11742-11730
166,cflow,fca,6,8942-8950
167,cflow,fca,6,8999-9003
168,cflow,fca,6,2755-2776
169,cflow,fca,6,2780-2793
170,cflow,fca,6,2306-2321
171,cflow,fca,6,7749-7749
172,cflow,fca,6,5571-5571
173,cflow,fca,6,11737-11753
174,cflow,fca,6,11017-11004
175,cflow,fca,6,10754-10741
176,cflow,fca,6,5466-5483
177,cflow,fca,6,5564-5567
178,cflow,fca,6,5493-5496
179,cflow,fca,6,2692-2696
180,cflow,fca,6,11661-11666
181,cflow,fca,6,11682-11691
182,cflow,fca,6,11645-11653
183,cflow,fca,6,9241-9275
184,cflow,fca,6,9241-9249
185,cflow,fca,6,11677-11716
186,cflow,fca,6,9241-9271
187,cflow,fca,6,9241-9259
188,cflow,fca,6,11677-11714
189,cflow,fca,6,9241-9267
