,benchmark,fuzzer_combination,expid,edge
0,cflow,fcb,9,10255-10258
1,cflow,fcb,9,7992-7996
2,cflow,fcb,9,8960-8983
3,cflow,fcb,9,12485-12500
4,cflow,fcb,9,11501-11612
5,cflow,fcb,9,10452-10459
6,cflow,fcb,9,13274-13280
7,cflow,fcb,9,13202-13209
8,cflow,fcb,9,13145-13126
9,cflow,fcb,9,2058-2067
10,cflow,fcb,9,8884-9136
11,cflow,fcb,9,2129-2144
12,cflow,fcb,9,10660-10688
13,cflow,fcb,9,2172-2188
14,cflow,fcb,9,10331-10367
15,cflow,fcb,9,11253-11262
16,cflow,fcb,9,11577-11563
17,cflow,fcb,9,1095-1109
18,cflow,fcb,9,2992-3001
19,cflow,fcb,9,280-1217
20,cflow,fcb,9,1829-1843
21,cflow,fcb,9,2412-2427
22,cflow,fcb,9,9812-9817
23,cflow,fcb,9,280-1719
24,cflow,fcb,9,9151-9157
25,cflow,fcb,9,885-899
26,cflow,fcb,9,28926-28939
27,cflow,fcb,9,8884-9176
28,cflow,fcb,9,9566-9573
29,cflow,fcb,9,1049-1053
30,cflow,fcb,9,927-941
31,cflow,fcb,9,10421-10503
32,cflow,fcb,9,1610-1614
33,cflow,fcb,9,311-341
34,cflow,fcb,9,3037-3037
35,cflow,fcb,9,9785-9838
36,cflow,fcb,9,3095-3099
37,cflow,fcb,9,8813-8824
38,cflow,fcb,9,280-463
39,cflow,fcb,9,7902-7908
40,cflow,fcb,9,1112-1116
41,cflow,fcb,9,10016-10021
42,cflow,fcb,9,12617-12675
43,cflow,fcb,9,10127-10147
44,cflow,fcb,9,10564-10631
45,cflow,fcb,9,1811-341
46,cflow,fcb,9,10989-10993
47,cflow,fcb,9,10289-10306
48,cflow,fcb,9,9802-9838
49,cflow,fcb,9,10500-10503
50,cflow,fcb,9,3121-3153
51,cflow,fcb,9,11485-11618
52,cflow,fcb,9,10289-10320
53,cflow,fcb,9,2675-2683
54,cflow,fcb,9,1852-1866
55,cflow,fcb,9,11411-11388
56,cflow,fcb,9,1088-2468
57,cflow,fcb,9,1406-1410
58,cflow,fcb,9,7746-7749
59,cflow,fcb,9,1781-341
60,cflow,fcb,9,10645-10688
61,cflow,fcb,9,1322-1326
62,cflow,fcb,9,5640-5645
63,cflow,fcb,9,11033-11037
64,cflow,fcb,9,28926-28910
65,cflow,fcb,9,280-986
66,cflow,fcb,9,11220-11281
67,cflow,fcb,9,11004-11017
68,cflow,fcb,9,1347-1361
69,cflow,fcb,9,11050-11058
70,cflow,fcb,9,11506-11518
71,cflow,fcb,9,1389-1403
72,cflow,fcb,9,906-920
73,cflow,fcb,9,2683-2675
74,cflow,fcb,9,713-717
75,cflow,fcb,9,755-759
76,cflow,fcb,9,3118-3246
77,cflow,fcb,9,280-1238
78,cflow,fcb,9,794-2468
79,cflow,fcb,9,2726-2833
80,cflow,fcb,9,13296-13289
81,cflow,fcb,9,9639-9649
82,cflow,fcb,9,6124-6129
83,cflow,fcb,9,11147-11281
84,cflow,fcb,9,12938-12931
85,cflow,fcb,9,9963-9976
86,cflow,fcb,9,10112-10222
87,cflow,fcb,9,11178-11301
88,cflow,fcb,9,11247-11295
89,cflow,fcb,9,280-818
90,cflow,fcb,9,1298-2468
91,cflow,fcb,9,10542-10553
92,cflow,fcb,9,10127-10142
93,cflow,fcb,9,10142-10153
94,cflow,fcb,9,11037-11045
95,cflow,fcb,9,13026-13032
96,cflow,fcb,9,28648-28662
97,cflow,fcb,9,10127-10132
98,cflow,fcb,9,1011-1025
99,cflow,fcb,9,12872-12865
100,cflow,fcb,9,7361-7361
101,cflow,fcb,9,280-965
102,cflow,fcb,9,1032-1046
103,cflow,fcb,9,9546-9589
104,cflow,fcb,9,13156-13181
