,benchmark,fuzzer_combination,expid,edge
0,jq,fca,15,15925-15933
1,jq,fca,15,27598-28475
2,jq,fca,15,36272-36290
3,jq,fca,15,25093-25124
4,jq,fca,15,25999-26001
5,jq,fca,15,25519-25591
6,jq,fca,15,24198-25259
7,jq,fca,15,27178-27191
8,jq,fca,15,16407-16414
9,jq,fca,15,1390-1412
10,jq,fca,15,34276-34305
11,jq,fca,15,34702-34708
12,jq,fca,15,28344-28350
13,jq,fca,15,26030-26080
14,jq,fca,15,40092-40096
15,jq,fca,15,25323-25584
16,jq,fca,15,30267-30270
17,jq,fca,15,23818-23837
18,jq,fca,15,24081-24086
19,jq,fca,15,25723-25799
20,jq,fca,15,25147-25577
21,jq,fca,15,45806-45832
22,jq,fca,15,23743-23743
23,jq,fca,15,23887-25804
24,jq,fca,15,46093-46164
25,jq,fca,15,25945-26090
26,jq,fca,15,24896-25577
27,jq,fca,15,45930-45935
28,jq,fca,15,25683-25799
29,jq,fca,15,36173-39643
30,jq,fca,15,29734-29715
31,jq,fca,15,29725-29739
32,jq,fca,15,29903-30118
33,jq,fca,15,25607-25630
34,jq,fca,15,30270-30272
35,jq,fca,15,25169-25577
36,jq,fca,15,25933-25945
37,jq,fca,15,40267-40270
38,jq,fca,15,25421-25584
39,jq,fca,15,25928-25945
40,jq,fca,15,34457-34464
41,jq,fca,15,40092-40180
42,jq,fca,15,25224-25577
43,jq,fca,15,29725-30324
44,jq,fca,15,30270-30302
45,jq,fca,15,25077-25577
46,jq,fca,15,24099-24121
47,jq,fca,15,40101-40170
48,jq,fca,15,31760-31763
49,jq,fca,15,29887-29887
50,jq,fca,15,23986-25598
51,jq,fca,15,29721-29725
52,jq,fca,15,39979-39991
53,jq,fca,15,25360-25584
54,jq,fca,15,26093-26090
55,jq,fca,15,34314-34321
56,jq,fca,15,29869-29922
57,jq,fca,15,30419-30434
58,jq,fca,15,19506-19531
59,jq,fca,15,25487-25577
60,jq,fca,15,26069-26083
61,jq,fca,15,24840-25577
62,jq,fca,15,34155-30324
63,jq,fca,15,18695-18695
64,jq,fca,15,30149-30173
65,jq,fca,15,24920-25577
66,jq,fca,15,24105-24113
67,jq,fca,15,24908-25577
68,jq,fca,15,26113-26090
69,jq,fca,15,40311-40352
70,jq,fca,15,31760-32751
71,jq,fca,15,34402-34407
72,jq,fca,15,32347-32357
73,jq,fca,15,39900-39911
74,jq,fca,15,34207-34069
75,jq,fca,15,24784-25577
76,jq,fca,15,25999-26090
77,jq,fca,15,25021-25577
78,jq,fca,15,24086-24121
79,jq,fca,15,25227-25577
80,jq,fca,15,31470-31493
81,jq,fca,15,26103-26090
82,jq,fca,15,25081-25577
83,jq,fca,15,35723-35729
84,jq,fca,15,35779-35794
85,jq,fca,15,26843-28475
86,jq,fca,15,30383-30413
87,jq,fca,15,30373-30376
88,jq,fca,15,21598-21607
89,jq,fca,15,30660-30788
90,jq,fca,15,31696-31747
91,jq,fca,15,33013-33026
92,jq,fca,15,30596-30600
93,jq,fca,15,32421-32424
94,jq,fca,15,35220-35220
95,jq,fca,15,30610-30619
96,jq,fca,15,32213-32218
97,jq,fca,15,32357-32386
98,jq,fca,15,30619-30600
99,jq,fca,15,29606-29606
100,jq,fca,15,35779-35786
101,jq,fca,15,30628-30447
102,jq,fca,15,29922-29945
103,jq,fca,15,38042-38094
104,jq,fca,15,38091-38074
105,jq,fca,15,30217-30217
106,jq,fca,15,31520-31537
107,jq,fca,15,35289-35292
108,jq,fca,15,33442-33535
109,jq,fca,15,31306-31306
110,jq,fca,15,33347-33414
111,jq,fca,15,30091-30096
112,jq,fca,15,33347-33347
113,jq,fca,15,25124-25577
114,jq,fca,15,37011-37033
115,jq,fca,15,36134-36152
116,jq,fca,15,31595-31624
117,jq,fca,15,32633-32641
118,jq,fca,15,26156-26178
119,jq,fca,15,26213-26178
120,jq,fca,15,26236-26240
121,jq,fca,15,26181-26185
122,jq,fca,15,26156-26160
123,jq,fca,15,26181-26189
124,jq,fca,15,26240-26244
125,jq,fca,15,26185-26189
126,jq,fca,15,26209-26217
127,jq,fca,15,26213-26217
128,jq,fca,15,34418-34470
129,jq,fca,15,35763-35800
130,jq,fca,15,38421-38436
131,jq,fca,15,26870-28475
132,jq,fca,15,37136-37151
133,jq,fca,15,29945-30096
134,jq,fca,15,26902-28475
135,jq,fca,15,32090-32095
136,jq,fca,15,33914-33963
137,jq,fca,15,38238-38250
138,jq,fca,15,34407-34470
139,jq,fca,15,34191-30324
140,jq,fca,15,37907-37929
141,jq,fca,15,26127-26090
142,jq,fca,15,30182-30186
143,jq,fca,15,30163-30173
144,jq,fca,15,30149-30160
145,jq,fca,15,30057-30077
146,jq,fca,15,29992-30002
147,jq,fca,15,39922-39935
148,jq,fca,15,30744-30747
149,jq,fca,15,35923-35951
150,jq,fca,15,31030-31069
151,jq,fca,15,32523-32527
152,jq,fca,15,30735-30770
153,jq,fca,15,30689-30774
154,jq,fca,15,32427-32476
155,jq,fca,15,30035-30039
156,jq,fca,15,29992-30006
157,jq,fca,15,31907-31916
158,jq,fca,15,33591-33606
159,jq,fca,15,31866-31866
160,jq,fca,15,40285-40327
161,jq,fca,15,26152-26160
162,jq,fca,15,38091-38094
163,jq,fca,15,39764-39776
164,jq,fca,15,36208-36223
165,jq,fca,15,31587-31590
166,jq,fca,15,37538-37550
167,jq,fca,15,32034-32073
168,jq,fca,15,25380-25584
169,jq,fca,15,30383-30389
170,jq,fca,15,35726-35800
171,jq,fca,15,33033-33037
172,jq,fca,15,30802-30802
173,jq,fca,15,37777-37784
174,jq,fca,15,34493-34539
175,jq,fca,15,30851-30857
176,jq,fca,15,33030-33037
177,jq,fca,15,31916-31957
178,jq,fca,15,37231-37240
179,jq,fca,15,38039-38022
180,jq,fca,15,35656-35663
181,jq,fca,15,38125-38173
182,jq,fca,15,31822-31845
183,jq,fca,15,38130-38163
184,jq,fca,15,38284-38297
185,jq,fca,15,35051-35070
186,jq,fca,15,38686-38693
187,jq,fca,15,39922-39922
188,jq,fca,15,32519-32622
189,jq,fca,15,32646-32654
190,jq,fca,15,25380-25384
191,jq,fca,15,25376-25584
192,jq,fca,15,25384-25584
193,jq,fca,15,30842-30848
194,jq,fca,15,30920-30920
195,jq,fca,15,33591-33725
196,jq,fca,15,38541-38618
197,jq,fca,15,30883-30913
198,jq,fca,15,33307-33442
199,jq,fca,15,35292-35301
200,jq,fca,15,38180-38185
201,jq,fca,15,38180-38452
202,jq,fca,15,35186-35066
203,jq,fca,15,38408-38424
204,jq,fca,15,23801-23837
205,jq,fca,15,32137-32144
206,jq,fca,15,34606-34683
207,jq,fca,15,30573-30582
208,jq,fca,15,34901-34943
209,jq,fca,15,31775-32751
210,jq,fca,15,34155-34171
211,jq,fca,15,34089-30293
212,jq,fca,15,34089-34105
213,jq,fca,15,34121-30293
214,jq,fca,15,34121-34137
215,jq,fca,15,32073-32654
216,jq,fca,15,21655-21598
217,jq,fca,15,33614-33630
218,jq,fca,15,38431-38436
219,jq,fca,15,38892-38914
220,jq,fca,15,33630-33630
221,jq,fca,15,36981-36999
222,jq,fca,15,21811-21843
223,jq,fca,15,22093-22099
224,jq,fca,15,21961-21971
225,jq,fca,15,31587-31595
226,jq,fca,15,38436-38482
227,jq,fca,15,30755-30770
228,jq,fca,15,32427-32456
229,jq,fca,15,31938-31954
230,jq,fca,15,33333-33861
231,jq,fca,15,24940-24952
