,benchmark,fuzzer_combination,expid,edge
0,jq,fcb,3,64576-64579
1,jq,fcb,3,25224-25227
2,jq,fcb,3,34402-34421
3,jq,fcb,3,26950-26958
4,jq,fcb,3,27385-27388
5,jq,fcb,3,25296-25451
6,jq,fcb,3,27436-27477
7,jq,fcb,3,26103-26113
8,jq,fcb,3,28379-28385
9,jq,fcb,3,28684-28688
10,jq,fcb,3,34367-34376
11,jq,fcb,3,38087-38094
12,jq,fcb,3,24974-25577
13,jq,fcb,3,25598-25607
14,jq,fcb,3,40152-40170
15,jq,fcb,3,25323-25584
16,jq,fcb,3,30263-30267
17,jq,fcb,3,45884-45893
18,jq,fcb,3,34457-34464
19,jq,fcb,3,25723-25799
20,jq,fcb,3,23743-23743
21,jq,fcb,3,25147-25577
22,jq,fcb,3,23887-25804
23,jq,fcb,3,30270-30272
24,jq,fcb,3,45806-45832
25,jq,fcb,3,24196-24198
26,jq,fcb,3,46164-46175
27,jq,fcb,3,23818-23837
28,jq,fcb,3,23791-23801
29,jq,fcb,3,29715-30324
30,jq,fcb,3,30302-30324
31,jq,fcb,3,25921-25933
32,jq,fcb,3,25670-25683
33,jq,fcb,3,25169-25577
34,jq,fcb,3,36152-36173
35,jq,fcb,3,29725-29739
36,jq,fcb,3,16859-16839
37,jq,fcb,3,24105-24121
38,jq,fcb,3,25421-25584
39,jq,fcb,3,29721-29725
40,jq,fcb,3,29882-29903
41,jq,fcb,3,25921-25928
42,jq,fcb,3,29725-30324
43,jq,fcb,3,24896-25577
44,jq,fcb,3,40092-40180
45,jq,fcb,3,25607-25630
46,jq,fcb,3,25077-25577
47,jq,fcb,3,29748-29748
48,jq,fcb,3,24099-24121
49,jq,fcb,3,26093-26090
50,jq,fcb,3,40096-40101
51,jq,fcb,3,31254-31270
52,jq,fcb,3,25598-25799
53,jq,fcb,3,30263-34069
54,jq,fcb,3,25224-25577
55,jq,fcb,3,25360-25584
56,jq,fcb,3,19506-19531
57,jq,fcb,3,24840-25577
58,jq,fcb,3,25487-25577
59,jq,fcb,3,30173-30253
60,jq,fcb,3,35794-35800
61,jq,fcb,3,26083-26090
62,jq,fcb,3,39991-39999
63,jq,fcb,3,25081-25577
64,jq,fcb,3,24784-25577
65,jq,fcb,3,24920-25577
66,jq,fcb,3,30096-29922
67,jq,fcb,3,24908-25577
68,jq,fcb,3,25999-26090
69,jq,fcb,3,25021-25577
70,jq,fcb,3,35292-35307
71,jq,fcb,3,26103-26090
72,jq,fcb,3,29912-29945
73,jq,fcb,3,34155-30324
74,jq,fcb,3,24086-24121
75,jq,fcb,3,30419-30434
76,jq,fcb,3,26113-26090
77,jq,fcb,3,18695-18695
78,jq,fcb,3,25227-25577
79,jq,fcb,3,21624-21636
80,jq,fcb,3,30302-34191
81,jq,fcb,3,40267-40311
82,jq,fcb,3,35220-35220
