,benchmark,fuzzer_combination,expid,edge
0,libpng,fca,13,26480-26482
1,libpng,fca,13,40430-40438
2,libpng,fca,13,2783-2800
3,libpng,fca,13,10411-10416
4,libpng,fca,13,150-839
5,libpng,fca,13,12817-12828
6,libpng,fca,13,5192-5199
7,libpng,fca,13,49268-49283
8,libpng,fca,13,132-845
9,libpng,fca,13,48365-48372
10,libpng,fca,13,48952-48973
11,libpng,fca,13,48942-48973
12,libpng,fca,13,51332-51336
13,libpng,fca,13,46703-46743
14,libpng,fca,13,60825-60830
15,libpng,fca,13,49160-49166
16,libpng,fca,13,48876-48910
17,libpng,fca,13,53208-53224
18,libpng,fca,13,57967-57987
19,libpng,fca,13,5128-5135
20,libpng,fca,13,5-27
21,libpng,fca,13,48406-48422
22,libpng,fca,13,48124-48140
23,libpng,fca,13,26844-26850
24,libpng,fca,13,48832-48845
25,libpng,fca,13,5146-5181
26,libpng,fca,13,48379-48383
27,libpng,fca,13,46560-46568
28,libpng,fca,13,49147-49156
29,libpng,fca,13,49105-49109
30,libpng,fca,13,57955-57967
31,libpng,fca,13,28390-28403
32,libpng,fca,13,56747-56751
33,libpng,fca,13,53119-53126
34,libpng,fca,13,6320-6416
35,libpng,fca,13,56713-56720
36,libpng,fca,13,49995-50009
37,libpng,fca,13,56675-56677
38,libpng,fca,13,56476-56695
39,libpng,fca,13,5035-5039
40,libpng,fca,13,5174-5181
41,libpng,fca,13,49239-49277
42,libpng,fca,13,26447-26457
43,libpng,fca,13,48280-48313
44,libpng,fca,13,48016-48031
45,libpng,fca,13,7656-7670
46,libpng,fca,13,7545-7564
47,libpng,fca,13,48149-48169
48,libpng,fca,13,58163-58187
49,libpng,fca,13,56334-56734
50,libpng,fca,13,57825-57835
51,libpng,fca,13,7524-7564
52,libpng,fca,13,5979-6254
53,libpng,fca,13,62535-62540
54,libpng,fca,13,57932-57945
55,libpng,fca,13,5160-5174
56,libpng,fca,13,57868-57890
57,libpng,fca,13,61531-61592
58,libpng,fca,13,56387-56711
59,libpng,fca,13,479-492
60,libpng,fca,13,47332-47335
61,libpng,fca,13,5871-5881
62,libpng,fca,13,26423-26433
63,libpng,fca,13,10308-10339
64,libpng,fca,13,47119-47121
65,libpng,fca,13,7095-7126
66,libpng,fca,13,6428-6433
67,libpng,fca,13,5991-5997
68,libpng,fca,13,47301-47310
69,libpng,fca,13,6078-6254
70,libpng,fca,13,48966-48973
71,libpng,fca,13,56847-56864
72,libpng,fca,13,5812-5821
73,libpng,fca,13,6236-6254
74,libpng,fca,13,56314-56739
75,libpng,fca,13,56144-56173
76,libpng,fca,13,5114-5135
77,libpng,fca,13,30808-30815
78,libpng,fca,13,56255-56267
79,libpng,fca,13,10330-10411
80,libpng,fca,13,5923-6254
81,libpng,fca,13,6634-6903
82,libpng,fca,13,56508-56532
83,libpng,fca,13,19476-19509
84,libpng,fca,13,55108-55113
85,libpng,fca,13,55654-55711
86,libpng,fca,13,55165-55178
87,libpng,fca,13,54520-54603
88,libpng,fca,13,28442-28448
89,libpng,fca,13,5121-5135
90,libpng,fca,13,32609-32615
91,libpng,fca,13,48718-48728
92,libpng,fca,13,56199-56203
93,libpng,fca,13,55466-55711
94,libpng,fca,13,5821-5829
95,libpng,fca,13,5731-5746
96,libpng,fca,13,55028-55038
97,libpng,fca,13,42907-42921
98,libpng,fca,13,55480-55487
99,libpng,fca,13,55113-55403
100,libpng,fca,13,6597-6903
101,libpng,fca,13,42899-42956
102,libpng,fca,13,42962-42989
103,libpng,fca,13,57897-57904
104,libpng,fca,13,55487-55494
105,libpng,fca,13,55089-55103
106,libpng,fca,13,57389-57431
107,libpng,fca,13,57763-57767
108,libpng,fca,13,57719-57737
109,libpng,fca,13,29879-29837
110,libpng,fca,13,29786-29800
111,libpng,fca,13,32373-32380
112,libpng,fca,13,57767-57803
113,libpng,fca,13,57744-57751
114,libpng,fca,13,48147-48118
115,libpng,fca,13,5939-5949
116,libpng,fca,13,19379-19388
117,libpng,fca,13,26740-26744
118,libpng,fca,13,26675-26679
119,libpng,fca,13,54023-54046
120,libpng,fca,13,26701-26705
121,libpng,fca,13,46292-46287
122,libpng,fca,13,57021-57038
123,libpng,fca,13,54985-55004
124,libpng,fca,13,53262-53280
125,libpng,fca,13,57809-57835
126,libpng,fca,13,52778-52795
127,libpng,fca,13,57173-57190
128,libpng,fca,13,54891-54900
129,libpng,fca,13,26666-26876
130,libpng,fca,13,53669-53695
131,libpng,fca,13,26831-26835
132,libpng,fca,13,53488-53508
133,libpng,fca,13,55717-55743
134,libpng,fca,13,57451-57471
135,libpng,fca,13,57528-57546
136,libpng,fca,13,55810-55812
137,libpng,fca,13,54609-54629
138,libpng,fca,13,57148-57166
139,libpng,fca,13,54776-54794
140,libpng,fca,13,55409-55428
