,benchmark,fuzzer_combination,expid,edge
0,libpng,fcb,18,26597-26601
1,libpng,fcb,18,56792-56821
2,libpng,fcb,18,10186-10200
3,libpng,fcb,18,28456-28458
4,libpng,fcb,18,150-839
5,libpng,fcb,18,12773-12828
6,libpng,fcb,18,132-845
7,libpng,fcb,18,5128-5135
8,libpng,fcb,18,48876-48910
9,libpng,fcb,18,12744-12768
10,libpng,fcb,18,5284-5298
11,libpng,fcb,18,492-497
12,libpng,fcb,18,48322-48326
13,libpng,fcb,18,48952-48973
14,libpng,fcb,18,58194-58198
15,libpng,fcb,18,57955-57967
16,libpng,fcb,18,60987-61007
17,libpng,fcb,18,5146-5181
18,libpng,fcb,18,58288-58293
19,libpng,fcb,18,49160-49166
20,libpng,fcb,18,12758-12765
21,libpng,fcb,18,48361-48365
22,libpng,fcb,18,26818-26831
23,libpng,fcb,18,48230-48241
24,libpng,fcb,18,51433-51451
25,libpng,fcb,18,48280-48313
26,libpng,fcb,18,56751-56759
27,libpng,fcb,18,58205-58305
28,libpng,fcb,18,48357-48101
29,libpng,fcb,18,7677-7701
30,libpng,fcb,18,56713-56720
31,libpng,fcb,18,46778-46799
32,libpng,fcb,18,48966-48973
33,libpng,fcb,18,56677-56681
34,libpng,fcb,18,56695-56702
35,libpng,fcb,18,46541-46544
36,libpng,fcb,18,56144-56173
37,libpng,fcb,18,26447-26457
38,libpng,fcb,18,10330-10411
39,libpng,fcb,18,46582-46589
40,libpng,fcb,18,49105-49109
41,libpng,fcb,18,63-74
42,libpng,fcb,18,46568-46582
43,libpng,fcb,18,53119-53126
44,libpng,fcb,18,28390-28403
45,libpng,fcb,18,7126-7169
46,libpng,fcb,18,4990-4997
47,libpng,fcb,18,7545-7564
48,libpng,fcb,18,48149-48169
49,libpng,fcb,18,5035-5039
50,libpng,fcb,18,56334-56734
51,libpng,fcb,18,5114-5135
52,libpng,fcb,18,7524-7564
53,libpng,fcb,18,62540-62542
54,libpng,fcb,18,47091-47098
55,libpng,fcb,18,7663-7701
56,libpng,fcb,18,48845-48867
57,libpng,fcb,18,5871-5881
58,libpng,fcb,18,19167-19288
59,libpng,fcb,18,57967-57987
60,libpng,fcb,18,56847-56864
61,libpng,fcb,18,26526-26530
62,libpng,fcb,18,56267-56782
63,libpng,fcb,18,58163-58187
64,libpng,fcb,18,7754-7765
65,libpng,fcb,18,62535-62540
66,libpng,fcb,18,6090-6182
67,libpng,fcb,18,61503-61514
68,libpng,fcb,18,10308-10339
69,libpng,fcb,18,19476-19509
70,libpng,fcb,18,5821-5841
71,libpng,fcb,18,6428-6433
72,libpng,fcb,18,5997-6005
73,libpng,fcb,18,7647-7701
74,libpng,fcb,18,5071-5110
75,libpng,fcb,18,6192-6236
76,libpng,fcb,18,5893-5923
77,libpng,fcb,18,57868-57890
78,libpng,fcb,18,5829-6254
79,libpng,fcb,18,6634-6903
80,libpng,fcb,18,56532-56548
81,libpng,fcb,18,29800-29805
82,libpng,fcb,18,56314-56739
83,libpng,fcb,18,57897-57904
84,libpng,fcb,18,28454-28456
85,libpng,fcb,18,5096-5110
86,libpng,fcb,18,5121-5135
87,libpng,fcb,18,57932-57945
88,libpng,fcb,18,56203-56782
89,libpng,fcb,18,5167-5174
90,libpng,fcb,18,48728-48743
91,libpng,fcb,18,7722-7742
92,libpng,fcb,18,5174-5181
93,libpng,fcb,18,6597-6903
94,libpng,fcb,18,58313-58329
95,libpng,fcb,18,55113-55403
96,libpng,fcb,18,55632-55654
97,libpng,fcb,18,55654-55711
98,libpng,fcb,18,54520-54603
99,libpng,fcb,18,42921-42951
100,libpng,fcb,18,55178-55403
101,libpng,fcb,18,55038-55403
102,libpng,fcb,18,55103-55106
103,libpng,fcb,18,42962-42989
104,libpng,fcb,18,55647-55654
105,libpng,fcb,18,55540-55711
106,libpng,fcb,18,55622-55711
107,libpng,fcb,18,29860-29874
108,libpng,fcb,18,32447-32409
109,libpng,fcb,18,47337-47344
110,libpng,fcb,18,50822-50833
111,libpng,fcb,18,56280-56303
112,libpng,fcb,18,30541-30557
113,libpng,fcb,18,57763-57767
114,libpng,fcb,18,26423-26433
115,libpng,fcb,18,57767-57803
116,libpng,fcb,18,5935-5939
117,libpng,fcb,18,10277-10289
118,libpng,fcb,18,55466-55711
119,libpng,fcb,18,57719-57737
120,libpng,fcb,18,46414-46430
121,libpng,fcb,18,56180-56187
122,libpng,fcb,18,55409-55428
123,libpng,fcb,18,28163-28173
124,libpng,fcb,18,56864-56882
125,libpng,fcb,18,47853-47865
126,libpng,fcb,18,30340-30353
127,libpng,fcb,18,37309-37314
128,libpng,fcb,18,30399-30455
129,libpng,fcb,18,48147-48118
130,libpng,fcb,18,56213-56222
131,libpng,fcb,18,28056-28060
132,libpng,fcb,18,55487-55494
133,libpng,fcb,18,40105-40117
134,libpng,fcb,18,56552-56559
135,libpng,fcb,18,46435-46442
136,libpng,fcb,18,57980-57991
137,libpng,fcb,18,19217-19226
138,libpng,fcb,18,55494-55711
139,libpng,fcb,18,54985-55004
140,libpng,fcb,18,28351-28355
141,libpng,fcb,18,54120-54134
142,libpng,fcb,18,57809-57835
143,libpng,fcb,18,6671-6903
144,libpng,fcb,18,53400-53420
145,libpng,fcb,18,30255-30266
146,libpng,fcb,18,57495-57497
147,libpng,fcb,18,30609-30624
148,libpng,fcb,18,55243-55253
149,libpng,fcb,18,26623-26627
150,libpng,fcb,18,57148-57166
151,libpng,fcb,18,56187-56782
152,libpng,fcb,18,26640-26880
153,libpng,fcb,18,28355-28460
154,libpng,fcb,18,28195-28199
155,libpng,fcb,18,53833-53894
156,libpng,fcb,18,53904-53965
157,libpng,fcb,18,61999-62026
158,libpng,fcb,18,53669-53695
159,libpng,fcb,18,53965-53983
160,libpng,fcb,18,17622-17625
161,libpng,fcb,18,53805-53818
162,libpng,fcb,18,54023-54031
163,libpng,fcb,18,53991-53999
164,libpng,fcb,18,53534-53544
165,libpng,fcb,18,54194-54214
166,libpng,fcb,18,54636-54643
167,libpng,fcb,18,57535-57546
168,libpng,fcb,18,55253-55276
169,libpng,fcb,18,55283-55285
170,libpng,fcb,18,62909-62916
171,libpng,fcb,18,54266-54270
172,libpng,fcb,18,54776-54794
173,libpng,fcb,18,54609-54629
174,libpng,fcb,18,53472-53663
175,libpng,fcb,18,57451-57471
176,libpng,fcb,18,54444-54464
177,libpng,fcb,18,55062-55403
178,libpng,fcb,18,57173-57190
179,libpng,fcb,18,55779-55793
180,libpng,fcb,18,55779-55786
181,libpng,fcb,18,54015-54039
182,libpng,fcb,18,60000-60007
183,libpng,fcb,18,55871-55890
184,libpng,fcb,18,55878-55890
185,libpng,fcb,18,3228-3244
186,libpng,fcb,18,10200-10207
187,libpng,fcb,18,9758-9881
188,libpng,fcb,18,46550-46560
189,libpng,fcb,18,32470-32543
190,libpng,fcb,18,55605-55675
191,libpng,fcb,18,54492-54502
192,libpng,fcb,18,55243-55285
193,libpng,fcb,18,28183-28190
