,benchmark,fuzzer_combination,expid,edge
0,libxml2,fca,1,372611-372766
1,libxml2,fca,1,155524-155534
2,libxml2,fca,1,7274-7282
3,libxml2,fca,1,417166-417176
4,libxml2,fca,1,150944-150946
5,libxml2,fca,1,23659-23671
6,libxml2,fca,1,395994-395998
7,libxml2,fca,1,372690-372695
8,libxml2,fca,1,84490-84582
9,libxml2,fca,1,128705-128712
10,libxml2,fca,1,371184-371195
11,libxml2,fca,1,395726-395732
12,libxml2,fca,1,270919-270936
13,libxml2,fca,1,42320-42329
14,libxml2,fca,1,8516-8565
15,libxml2,fca,1,374376-374432
16,libxml2,fca,1,10138-10152
17,libxml2,fca,1,113133-113137
18,libxml2,fca,1,24584-24586
19,libxml2,fca,1,93029-93034
20,libxml2,fca,1,96919-96936
21,libxml2,fca,1,8193-8270
22,libxml2,fca,1,366726-366760
23,libxml2,fca,1,84311-84334
24,libxml2,fca,1,33301-33305
25,libxml2,fca,1,152910-152917
26,libxml2,fca,1,3825-3841
27,libxml2,fca,1,21565-21582
28,libxml2,fca,1,41556-41562
29,libxml2,fca,1,12583-12597
30,libxml2,fca,1,372743-372772
31,libxml2,fca,1,269162-269166
32,libxml2,fca,1,19022-19026
33,libxml2,fca,1,110006-110008
34,libxml2,fca,1,18766-18768
35,libxml2,fca,1,38916-38933
36,libxml2,fca,1,372656-372764
37,libxml2,fca,1,10412-10427
38,libxml2,fca,1,10839-10848
39,libxml2,fca,1,415414-415457
40,libxml2,fca,1,54692-54725
41,libxml2,fca,1,84450-84484
42,libxml2,fca,1,37937-37956
43,libxml2,fca,1,22494-22506
44,libxml2,fca,1,281349-281351
45,libxml2,fca,1,112797-112805
46,libxml2,fca,1,275919-275934
47,libxml2,fca,1,12069-12083
48,libxml2,fca,1,140227-140234
49,libxml2,fca,1,130920-131247
50,libxml2,fca,1,21452-21468
51,libxml2,fca,1,11052-11078
52,libxml2,fca,1,418484-418498
53,libxml2,fca,1,56897-56930
54,libxml2,fca,1,42843-42852
55,libxml2,fca,1,295809-295830
56,libxml2,fca,1,81887-81899
57,libxml2,fca,1,53437-53441
58,libxml2,fca,1,5559-5633
59,libxml2,fca,1,133395-133410
60,libxml2,fca,1,410047-410013
61,libxml2,fca,1,295651-295675
62,libxml2,fca,1,41857-41861
63,libxml2,fca,1,83975-83984
64,libxml2,fca,1,19833-19903
65,libxml2,fca,1,9534-9543
66,libxml2,fca,1,44109-44151
67,libxml2,fca,1,7662-7675
68,libxml2,fca,1,149827-149766
69,libxml2,fca,1,16780-16793
70,libxml2,fca,1,155095-155104
71,libxml2,fca,1,54911-54918
72,libxml2,fca,1,6867-6918
73,libxml2,fca,1,52628-52643
74,libxml2,fca,1,43913-43931
75,libxml2,fca,1,19510-18722
76,libxml2,fca,1,15433-15447
77,libxml2,fca,1,13141-13148
78,libxml2,fca,1,11567-11571
79,libxml2,fca,1,148322-148326
80,libxml2,fca,1,108022-108040
81,libxml2,fca,1,374586-374595
82,libxml2,fca,1,30933-30944
83,libxml2,fca,1,146227-146234
84,libxml2,fca,1,379158-379169
85,libxml2,fca,1,24308-24318
86,libxml2,fca,1,16339-16353
87,libxml2,fca,1,33340-33349
88,libxml2,fca,1,393023-393056
89,libxml2,fca,1,33405-33414
90,libxml2,fca,1,283604-283780
91,libxml2,fca,1,375746-375759
92,libxml2,fca,1,44082-44109
93,libxml2,fca,1,22688-22727
94,libxml2,fca,1,391429-391484
95,libxml2,fca,1,84544-84578
96,libxml2,fca,1,22562-22566
97,libxml2,fca,1,36615-36620
98,libxml2,fca,1,41709-41735
99,libxml2,fca,1,24816-24825
100,libxml2,fca,1,21984-21990
101,libxml2,fca,1,379289-379305
102,libxml2,fca,1,269074-269077
103,libxml2,fca,1,22101-22119
104,libxml2,fca,1,22584-22603
105,libxml2,fca,1,136384-136392
106,libxml2,fca,1,396331-396339
107,libxml2,fca,1,406772-406776
108,libxml2,fca,1,55890-55916
109,libxml2,fca,1,38624-38647
110,libxml2,fca,1,372157-372170
111,libxml2,fca,1,23327-23340
112,libxml2,fca,1,409555-409565
113,libxml2,fca,1,19161-19180
114,libxml2,fca,1,49534-49540
115,libxml2,fca,1,373468-373478
116,libxml2,fca,1,14283-14292
117,libxml2,fca,1,49540-49566
118,libxml2,fca,1,92461-92471
119,libxml2,fca,1,21008-21017
120,libxml2,fca,1,70656-70668
121,libxml2,fca,1,23454-23461
122,libxml2,fca,1,42496-42503
123,libxml2,fca,1,11818-11854
124,libxml2,fca,1,115799-115959
125,libxml2,fca,1,109052-109062
126,libxml2,fca,1,412467-412488
127,libxml2,fca,1,21200-21207
128,libxml2,fca,1,370918-370970
129,libxml2,fca,1,396405-396415
130,libxml2,fca,1,152850-153101
131,libxml2,fca,1,32650-32674
132,libxml2,fca,1,273826-273843
133,libxml2,fca,1,56212-56221
134,libxml2,fca,1,115839-115957
135,libxml2,fca,1,45897-45907
136,libxml2,fca,1,41562-41574
137,libxml2,fca,1,24349-24442
138,libxml2,fca,1,35129-35147
139,libxml2,fca,1,32501-32613
140,libxml2,fca,1,20216-20244
141,libxml2,fca,1,34409-34416
142,libxml2,fca,1,421664-421673
143,libxml2,fca,1,56244-56266
144,libxml2,fca,1,36756-36764
145,libxml2,fca,1,32309-32358
146,libxml2,fca,1,415464-415474
147,libxml2,fca,1,35926-35930
148,libxml2,fca,1,38595-38597
149,libxml2,fca,1,373889-374218
150,libxml2,fca,1,49275-49288
151,libxml2,fca,1,379289-379300
152,libxml2,fca,1,7080-7218
153,libxml2,fca,1,27706-27720
154,libxml2,fca,1,14068-14128
155,libxml2,fca,1,136861-136870
156,libxml2,fca,1,23370-23386
157,libxml2,fca,1,378091-378151
158,libxml2,fca,1,19310-19334
159,libxml2,fca,1,99510-99534
160,libxml2,fca,1,36066-36081
161,libxml2,fca,1,70405-71003
162,libxml2,fca,1,25505-25514
163,libxml2,fca,1,371225-371237
164,libxml2,fca,1,125594-125600
165,libxml2,fca,1,36615-36625
166,libxml2,fca,1,92957-92961
167,libxml2,fca,1,38673-38682
168,libxml2,fca,1,24540-24550
169,libxml2,fca,1,91885-91889
170,libxml2,fca,1,372582-372611
171,libxml2,fca,1,407768-407775
172,libxml2,fca,1,23979-23992
173,libxml2,fca,1,139950-139957
174,libxml2,fca,1,23271-23298
175,libxml2,fca,1,140264-140301
176,libxml2,fca,1,268353-268366
177,libxml2,fca,1,42435-42449
178,libxml2,fca,1,394918-394929
179,libxml2,fca,1,153402-153425
180,libxml2,fca,1,76056-76070
181,libxml2,fca,1,29108-29143
182,libxml2,fca,1,142499-142629
183,libxml2,fca,1,376106-376113
184,libxml2,fca,1,87056-87066
185,libxml2,fca,1,15040-15044
186,libxml2,fca,1,37127-37149
187,libxml2,fca,1,407076-407086
188,libxml2,fca,1,34712-34721
189,libxml2,fca,1,14075-14087
190,libxml2,fca,1,126576-126582
191,libxml2,fca,1,35817-35841
192,libxml2,fca,1,391216-391225
193,libxml2,fca,1,35715-35723
194,libxml2,fca,1,111044-111089
195,libxml2,fca,1,143890-143899
196,libxml2,fca,1,94709-94714
197,libxml2,fca,1,143714-143721
198,libxml2,fca,1,92659-92670
199,libxml2,fca,1,18269-18283
200,libxml2,fca,1,18656-18682
201,libxml2,fca,1,22804-22830
202,libxml2,fca,1,420399-420876
203,libxml2,fca,1,144104-144109
204,libxml2,fca,1,407829-407843
205,libxml2,fca,1,115863-115879
206,libxml2,fca,1,100475-100477
207,libxml2,fca,1,108097-108104
208,libxml2,fca,1,377529-377534
209,libxml2,fca,1,35753-35757
210,libxml2,fca,1,35613-36217
211,libxml2,fca,1,395928-396009
212,libxml2,fca,1,37599-37783
213,libxml2,fca,1,22611-22644
214,libxml2,fca,1,39081-39091
215,libxml2,fca,1,373208-373411
216,libxml2,fca,1,15197-15204
217,libxml2,fca,1,413731-413752
218,libxml2,fca,1,155616-155647
219,libxml2,fca,1,13136-13141
220,libxml2,fca,1,15649-15675
221,libxml2,fca,1,84204-84231
222,libxml2,fca,1,38579-38593
223,libxml2,fca,1,36712-36681
224,libxml2,fca,1,128414-128423
225,libxml2,fca,1,127828-127831
226,libxml2,fca,1,374411-374417
227,libxml2,fca,1,137423-137494
228,libxml2,fca,1,6126-6284
229,libxml2,fca,1,12069-12076
230,libxml2,fca,1,12429-12436
231,libxml2,fca,1,4825-4841
232,libxml2,fca,1,23612-23621
233,libxml2,fca,1,16332-16339
234,libxml2,fca,1,3705-3714
235,libxml2,fca,1,17228-17247
236,libxml2,fca,1,34739-34759
237,libxml2,fca,1,7406-7492
238,libxml2,fca,1,6867-7152
239,libxml2,fca,1,6867-7134
240,libxml2,fca,1,415624-415640
241,libxml2,fca,1,6112-6284
242,libxml2,fca,1,48800-48929
243,libxml2,fca,1,415441-415457
244,libxml2,fca,1,16379-16391
245,libxml2,fca,1,22521-22527
246,libxml2,fca,1,7916-7939
247,libxml2,fca,1,10795-10808
248,libxml2,fca,1,6867-7176
249,libxml2,fca,1,48828-48929
250,libxml2,fca,1,8646-8653
251,libxml2,fca,1,32998-33018
252,libxml2,fca,1,12436-12628
253,libxml2,fca,1,48842-48929
254,libxml2,fca,1,48814-48929
255,libxml2,fca,1,375216-375233
256,libxml2,fca,1,49327-49387
257,libxml2,fca,1,420914-421006
258,libxml2,fca,1,12478-12485
259,libxml2,fca,1,6154-6284
260,libxml2,fca,1,12104-12111
