,benchmark,fuzzer_combination,expid,edge
0,libxml2,fcb,6,418037-418041
1,libxml2,fcb,6,39808-39925
2,libxml2,fcb,6,45993-46044
3,libxml2,fcb,6,76087-76097
4,libxml2,fcb,6,270221-270238
5,libxml2,fcb,6,370839-370849
6,libxml2,fcb,6,371023-371025
7,libxml2,fcb,6,419925-419938
8,libxml2,fcb,6,86760-86775
9,libxml2,fcb,6,5423-5436
10,libxml2,fcb,6,86237-86247
11,libxml2,fcb,6,21452-21459
12,libxml2,fcb,6,118049-118051
13,libxml2,fcb,6,366544-366573
14,libxml2,fcb,6,367687-367711
15,libxml2,fcb,6,70997-70999
16,libxml2,fcb,6,374002-374006
17,libxml2,fcb,6,14171-14180
18,libxml2,fcb,6,128450-128459
19,libxml2,fcb,6,8495-8516
20,libxml2,fcb,6,11723-11732
21,libxml2,fcb,6,378392-378406
22,libxml2,fcb,6,374535-374543
23,libxml2,fcb,6,21555-21565
24,libxml2,fcb,6,35777-35782
25,libxml2,fcb,6,76234-76185
26,libxml2,fcb,6,21734-21785
27,libxml2,fcb,6,33344-33301
28,libxml2,fcb,6,22482-22512
29,libxml2,fcb,6,374586-374673
30,libxml2,fcb,6,42079-42083
31,libxml2,fcb,6,76143-76162
32,libxml2,fcb,6,11163-11189
33,libxml2,fcb,6,36970-36972
34,libxml2,fcb,6,3736-3768
35,libxml2,fcb,6,40959-40973
36,libxml2,fcb,6,44465-44470
37,libxml2,fcb,6,37975-37982
38,libxml2,fcb,6,27495-27507
39,libxml2,fcb,6,268873-268888
40,libxml2,fcb,6,18139-18143
41,libxml2,fcb,6,21596-21630
42,libxml2,fcb,6,33498-33530
43,libxml2,fcb,6,421279-421787
44,libxml2,fcb,6,375683-375685
45,libxml2,fcb,6,415569-415579
46,libxml2,fcb,6,9534-9543
47,libxml2,fcb,6,133388-133422
48,libxml2,fcb,6,406985-406992
49,libxml2,fcb,6,51469-51492
50,libxml2,fcb,6,374865-374907
51,libxml2,fcb,6,83975-83984
52,libxml2,fcb,6,396339-396353
53,libxml2,fcb,6,13115-13122
54,libxml2,fcb,6,404286-404295
55,libxml2,fcb,6,19583-19603
56,libxml2,fcb,6,18859-18876
57,libxml2,fcb,6,146539-146567
58,libxml2,fcb,6,40217-40231
59,libxml2,fcb,6,54560-54568
60,libxml2,fcb,6,42852-42883
61,libxml2,fcb,6,21582-21560
62,libxml2,fcb,6,55016-55053
63,libxml2,fcb,6,11312-11321
64,libxml2,fcb,6,138991-139004
65,libxml2,fcb,6,46021-46030
66,libxml2,fcb,6,393398-393431
67,libxml2,fcb,6,282531-282576
68,libxml2,fcb,6,27353-27370
69,libxml2,fcb,6,413085-413094
70,libxml2,fcb,6,15099-15399
71,libxml2,fcb,6,282780-282818
72,libxml2,fcb,6,53722-53752
73,libxml2,fcb,6,280182-280191
74,libxml2,fcb,6,38651-38659
75,libxml2,fcb,6,54844-54854
76,libxml2,fcb,6,42883-42888
77,libxml2,fcb,6,44109-44151
78,libxml2,fcb,6,107969-107978
79,libxml2,fcb,6,142030-142392
80,libxml2,fcb,6,406063-406110
81,libxml2,fcb,6,150929-150938
82,libxml2,fcb,6,24825-24935
83,libxml2,fcb,6,56872-56886
84,libxml2,fcb,6,51809-51821
85,libxml2,fcb,6,372170-372182
86,libxml2,fcb,6,377124-377435
87,libxml2,fcb,6,42348-42374
88,libxml2,fcb,6,22562-22566
89,libxml2,fcb,6,23396-23412
90,libxml2,fcb,6,135042-135072
91,libxml2,fcb,6,722-775
92,libxml2,fcb,6,377811-377815
93,libxml2,fcb,6,22584-22603
94,libxml2,fcb,6,390817-390823
95,libxml2,fcb,6,131340-131367
96,libxml2,fcb,6,22688-22727
97,libxml2,fcb,6,15405-15412
98,libxml2,fcb,6,49559-49566
99,libxml2,fcb,6,7771-7773
100,libxml2,fcb,6,373584-373597
101,libxml2,fcb,6,16430-16443
102,libxml2,fcb,6,91411-91419
103,libxml2,fcb,6,99713-99809
104,libxml2,fcb,6,33305-33319
105,libxml2,fcb,6,140454-140502
106,libxml2,fcb,6,83836-83853
107,libxml2,fcb,6,19112-19124
108,libxml2,fcb,6,412540-412553
109,libxml2,fcb,6,275388-275400
110,libxml2,fcb,6,111044-111089
111,libxml2,fcb,6,22101-22119
112,libxml2,fcb,6,412090-412113
113,libxml2,fcb,6,375725-375740
114,libxml2,fcb,6,56167-56174
115,libxml2,fcb,6,410577-410839
116,libxml2,fcb,6,14283-14292
117,libxml2,fcb,6,19909-20400
118,libxml2,fcb,6,33405-33414
119,libxml2,fcb,6,140336-140354
120,libxml2,fcb,6,21181-21200
121,libxml2,fcb,6,11818-11854
122,libxml2,fcb,6,415617-415624
123,libxml2,fcb,6,19199-19206
124,libxml2,fcb,6,35354-35373
125,libxml2,fcb,6,37114-37140
126,libxml2,fcb,6,391592-391655
127,libxml2,fcb,6,91572-91599
128,libxml2,fcb,6,273826-273843
129,libxml2,fcb,6,406266-406301
130,libxml2,fcb,6,36852-36862
131,libxml2,fcb,6,29400-29405
132,libxml2,fcb,6,409555-409565
133,libxml2,fcb,6,9720-9768
134,libxml2,fcb,6,70656-70668
135,libxml2,fcb,6,138590-138616
136,libxml2,fcb,6,109094-109096
137,libxml2,fcb,6,23340-23448
138,libxml2,fcb,6,24187-24196
139,libxml2,fcb,6,396368-396390
140,libxml2,fcb,6,372400-372409
141,libxml2,fcb,6,421664-421673
142,libxml2,fcb,6,115817-115823
143,libxml2,fcb,6,35129-35147
144,libxml2,fcb,6,34275-34373
145,libxml2,fcb,6,154840-154860
146,libxml2,fcb,6,55610-55614
147,libxml2,fcb,6,35930-35945
148,libxml2,fcb,6,36666-36972
149,libxml2,fcb,6,373889-374218
150,libxml2,fcb,6,38595-38597
151,libxml2,fcb,6,27706-27720
152,libxml2,fcb,6,84538-84578
153,libxml2,fcb,6,49275-49288
154,libxml2,fcb,6,127733-127740
155,libxml2,fcb,6,36756-36764
156,libxml2,fcb,6,27998-28004
157,libxml2,fcb,6,35825-35839
158,libxml2,fcb,6,37924-38016
159,libxml2,fcb,6,372582-372611
160,libxml2,fcb,6,374954-374972
161,libxml2,fcb,6,19334-19343
162,libxml2,fcb,6,268392-268418
163,libxml2,fcb,6,153402-153425
164,libxml2,fcb,6,1476-1495
165,libxml2,fcb,6,140264-140301
166,libxml2,fcb,6,415408-415645
167,libxml2,fcb,6,23359-23370
168,libxml2,fcb,6,394918-394929
169,libxml2,fcb,6,89901-89908
170,libxml2,fcb,6,22804-22830
171,libxml2,fcb,6,23425-23435
172,libxml2,fcb,6,92961-92975
173,libxml2,fcb,6,141225-141249
174,libxml2,fcb,6,403723-403820
175,libxml2,fcb,6,23921-23969
176,libxml2,fcb,6,407042-407063
177,libxml2,fcb,6,140320-140331
178,libxml2,fcb,6,420917-421006
179,libxml2,fcb,6,376668-376670
180,libxml2,fcb,6,12034-12265
181,libxml2,fcb,6,91885-91889
182,libxml2,fcb,6,18303-18329
183,libxml2,fcb,6,15044-15078
184,libxml2,fcb,6,35782-35800
185,libxml2,fcb,6,36052-36057
186,libxml2,fcb,6,16124-16299
187,libxml2,fcb,6,14017-14027
188,libxml2,fcb,6,14027-14043
189,libxml2,fcb,6,37164-37171
190,libxml2,fcb,6,35877-35884
191,libxml2,fcb,6,37127-37149
192,libxml2,fcb,6,34712-34721
193,libxml2,fcb,6,92675-92683
194,libxml2,fcb,6,142633-142687
195,libxml2,fcb,6,391619-391655
196,libxml2,fcb,6,48635-48644
197,libxml2,fcb,6,39800-40980
198,libxml2,fcb,6,132905-133207
199,libxml2,fcb,6,391495-391574
200,libxml2,fcb,6,3862-3871
201,libxml2,fcb,6,420524-420623
202,libxml2,fcb,6,422461-422471
203,libxml2,fcb,6,134741-134944
204,libxml2,fcb,6,135208-135252
205,libxml2,fcb,6,108154-108168
206,libxml2,fcb,6,377541-377556
207,libxml2,fcb,6,395928-396009
208,libxml2,fcb,6,143714-143721
209,libxml2,fcb,6,22611-22644
210,libxml2,fcb,6,35757-35772
211,libxml2,fcb,6,414066-414087
212,libxml2,fcb,6,39057-39072
213,libxml2,fcb,6,18656-18682
214,libxml2,fcb,6,42852-42860
215,libxml2,fcb,6,376441-376450
216,libxml2,fcb,6,137492-137494
217,libxml2,fcb,6,374417-374426
218,libxml2,fcb,6,128801-129056
219,libxml2,fcb,6,127853-127364
220,libxml2,fcb,6,373208-373411
221,libxml2,fcb,6,15649-15675
222,libxml2,fcb,6,13010-13017
223,libxml2,fcb,6,115863-115879
224,libxml2,fcb,6,376614-376628
225,libxml2,fcb,6,379734-379755
226,libxml2,fcb,6,38593-38595
227,libxml2,fcb,6,36710-36712
228,libxml2,fcb,6,32065-32106
229,libxml2,fcb,6,98541-98547
230,libxml2,fcb,6,8061-8073
231,libxml2,fcb,6,8708-8734
232,libxml2,fcb,6,48814-48929
233,libxml2,fcb,6,31899-32114
234,libxml2,fcb,6,12062-12069
235,libxml2,fcb,6,12804-12811
236,libxml2,fcb,6,32012-32118
237,libxml2,fcb,6,31941-32114
238,libxml2,fcb,6,17222-17228
239,libxml2,fcb,6,15709-15732
240,libxml2,fcb,6,23612-23621
241,libxml2,fcb,6,30897-30906
242,libxml2,fcb,6,42753-42829
243,libxml2,fcb,6,7152-7218
244,libxml2,fcb,6,5743-5865
245,libxml2,fcb,6,6867-7176
246,libxml2,fcb,6,6098-6284
247,libxml2,fcb,6,49847-49858
248,libxml2,fcb,6,419037-419046
249,libxml2,fcb,6,48901-48906
250,libxml2,fcb,6,391351-391381
251,libxml2,fcb,6,415226-415242
252,libxml2,fcb,6,31871-32114
