,benchmark,fuzzer_combination,expid,edge
0,lua,fca,9,54200-54215
1,lua,fca,9,30458-30463
2,lua,fca,9,55401-55418
3,lua,fca,9,74267-74294
4,lua,fca,9,55719-53453
5,lua,fca,9,77095-77169
6,lua,fca,9,65632-65671
7,lua,fca,9,93076-93066
8,lua,fca,9,48688-48718
9,lua,fca,9,35333-35326
10,lua,fca,9,75363-75387
11,lua,fca,9,26591-26650
12,lua,fca,9,71981-71994
13,lua,fca,9,72490-72496
14,lua,fca,9,73062-73082
15,lua,fca,9,6839-6853
16,lua,fca,9,75321-75344
17,lua,fca,9,75395-75416
18,lua,fca,9,30780-30803
19,lua,fca,9,75302-75307
20,lua,fca,9,74473-74485
21,lua,fca,9,72008-72013
22,lua,fca,9,73741-73756
23,lua,fca,9,75286-75316
24,lua,fca,9,15996-16057
25,lua,fca,9,72022-72027
26,lua,fca,9,46948-46980
27,lua,fca,9,30803-30813
28,lua,fca,9,72190-72208
29,lua,fca,9,72015-72020
30,lua,fca,9,33535-33561
31,lua,fca,9,17813-17823
32,lua,fca,9,32104-32114
33,lua,fca,9,27703-27717
34,lua,fca,9,60019-60022
35,lua,fca,9,46391-46426
36,lua,fca,9,31784-31794
37,lua,fca,9,43190-43268
38,lua,fca,9,9771-9804
39,lua,fca,9,66137-66145
40,lua,fca,9,74386-74395
41,lua,fca,9,9771-9796
42,lua,fca,9,60097-60104
43,lua,fca,9,60111-60126
44,lua,fca,9,27884-27891
45,lua,fca,9,58984-59002
46,lua,fca,9,84860-84870
47,lua,fca,9,53741-53762
48,lua,fca,9,10461-10466
49,lua,fca,9,46644-46651
50,lua,fca,9,47210-47224
51,lua,fca,9,30841-30892
52,lua,fca,9,72541-72547
53,lua,fca,9,59485-59502
54,lua,fca,9,34337-34428
55,lua,fca,9,73148-73154
56,lua,fca,9,70440-70453
57,lua,fca,9,68754-68762
58,lua,fca,9,43469-43486
59,lua,fca,9,51912-51968
60,lua,fca,9,51098-55719
61,lua,fca,9,59467-59477
62,lua,fca,9,51556-51619
63,lua,fca,9,31825-31834
64,lua,fca,9,7542-7572
65,lua,fca,9,60181-60194
66,lua,fca,9,67604-67613
67,lua,fca,9,72443-72975
68,lua,fca,9,54195-54198
69,lua,fca,9,69398-69523
70,lua,fca,9,72496-72505
71,lua,fca,9,58689-58700
72,lua,fca,9,7435-7449
73,lua,fca,9,57716-57736
74,lua,fca,9,31353-31363
75,lua,fca,9,47929-48028
76,lua,fca,9,74890-74910
77,lua,fca,9,52127-55719
78,lua,fca,9,54541-54569
79,lua,fca,9,53007-53040
80,lua,fca,9,46766-46788
81,lua,fca,9,69699-69718
82,lua,fca,9,51285-51287
83,lua,fca,9,54276-54292
84,lua,fca,9,27535-27551
85,lua,fca,9,67114-67116
86,lua,fca,9,64926-64935
87,lua,fca,9,11283-11288
88,lua,fca,9,72699-72717
89,lua,fca,9,9983-10061
90,lua,fca,9,72717-72975
91,lua,fca,9,54276-54307
92,lua,fca,9,48496-48532
93,lua,fca,9,41187-41220
94,lua,fca,9,32114-32123
95,lua,fca,9,54610-54641
96,lua,fca,9,53146-53166
97,lua,fca,9,54367-54382
98,lua,fca,9,58334-58355
99,lua,fca,9,73323-73331
100,lua,fca,9,54569-54576
101,lua,fca,9,7435-7442
102,lua,fca,9,66064-66069
103,lua,fca,9,69484-69500
104,lua,fca,9,70970-71019
105,lua,fca,9,38652-38681
106,lua,fca,9,52009-52050
107,lua,fca,9,71603-71616
108,lua,fca,9,47157-47253
109,lua,fca,9,38644-38681
110,lua,fca,9,38687-38724
111,lua,fca,9,41021-41051
112,lua,fca,9,51034-51052
113,lua,fca,9,38698-38724
114,lua,fca,9,28465-28533
115,lua,fca,9,54172-54180
116,lua,fca,9,41929-41934
117,lua,fca,9,65091-65108
118,lua,fca,9,52188-52244
119,lua,fca,9,26805-26820
120,lua,fca,9,10950-10966
121,lua,fca,9,48337-48379
122,lua,fca,9,51558-51578
123,lua,fca,9,50936-50946
124,lua,fca,9,50636-50659
125,lua,fca,9,72667-72673
126,lua,fca,9,53916-53925
127,lua,fca,9,8997-8999
128,lua,fca,9,42269-42297
129,lua,fca,9,50149-55719
130,lua,fca,9,47365-47381
131,lua,fca,9,39273-39291
132,lua,fca,9,70255-70435
133,lua,fca,9,53790-53805
134,lua,fca,9,39435-39470
135,lua,fca,9,48658-48676
136,lua,fca,9,49643-49673
137,lua,fca,9,49092-49102
138,lua,fca,9,50016-50037
139,lua,fca,9,28403-28436
140,lua,fca,9,66574-66593
141,lua,fca,9,69206-69219
142,lua,fca,9,73204-73160
143,lua,fca,9,35895-35900
144,lua,fca,9,23511-23518
145,lua,fca,9,59101-59113
146,lua,fca,9,70507-70514
147,lua,fca,9,47479-47508
148,lua,fca,9,56446-56453
149,lua,fca,9,9545-9569
150,lua,fca,9,32783-32798
151,lua,fca,9,10443-10461
152,lua,fca,9,55618-55633
153,lua,fca,9,81792-81813
154,lua,fca,9,7794-7805
155,lua,fca,9,32160-32166
156,lua,fca,9,29932-29950
157,lua,fca,9,10252-10334
158,lua,fca,9,11152-11184
159,lua,fca,9,32160-32199
160,lua,fca,9,27994-28054
161,lua,fca,9,13673-13689
162,lua,fca,9,60455-60471
163,lua,fca,9,72152-72180
164,lua,fca,9,73741-73749
165,lua,fca,9,12186-12205
166,lua,fca,9,54107-54121
167,lua,fca,9,20130-20144
168,lua,fca,9,26449-26470
169,lua,fca,9,60224-60289
170,lua,fca,9,73847-74059
171,lua,fca,9,84765-84781
172,lua,fca,9,63179-63186
173,lua,fca,9,57810-57859
174,lua,fca,9,64193-64211
175,lua,fca,9,52920-52939
176,lua,fca,9,72565-72592
177,lua,fca,9,10865-10874
178,lua,fca,9,48782-48848
179,lua,fca,9,26997-27012
180,lua,fca,9,63359-63363
181,lua,fca,9,50204-50219
182,lua,fca,9,64404-64439
183,lua,fca,9,10243-10466
184,lua,fca,9,20551-20567
185,lua,fca,9,70561-70592
186,lua,fca,9,6702-6730
187,lua,fca,9,35954-35977
188,lua,fca,9,43486-43526
189,lua,fca,9,9835-9842
190,lua,fca,9,70975-71019
191,lua,fca,9,47279-47286
192,lua,fca,9,64156-64179
193,lua,fca,9,20188-20208
194,lua,fca,9,30912-30977
195,lua,fca,9,52208-52223
196,lua,fca,9,62714-62769
197,lua,fca,9,51596-51619
198,lua,fca,9,47726-47796
199,lua,fca,9,94855-94861
200,lua,fca,9,23903-23912
201,lua,fca,9,54903-54924
202,lua,fca,9,2903-2911
203,lua,fca,9,53108-55719
204,lua,fca,9,49090-49153
205,lua,fca,9,49613-49631
206,lua,fca,9,54910-54924
207,lua,fca,9,16437-16551
208,lua,fca,9,73817-74059
209,lua,fca,9,3254-3278
210,lua,fca,9,89520-89583
211,lua,fca,9,73841-74059
212,lua,fca,9,49280-49298
213,lua,fca,9,56909-56911
214,lua,fca,9,72401-72428
215,lua,fca,9,45770-45811
216,lua,fca,9,51461-51482
217,lua,fca,9,14102-14109
218,lua,fca,9,57790-57795
219,lua,fca,9,48807-48848
220,lua,fca,9,89581-89688
221,lua,fca,9,6017-6100
222,lua,fca,9,89711-89716
223,lua,fca,9,11273-11390
224,lua,fca,9,64261-64286
225,lua,fca,9,72211-72238
226,lua,fca,9,49990-50016
227,lua,fca,9,43242-43253
228,lua,fca,9,52218-52244
229,lua,fca,9,73853-74059
230,lua,fca,9,26470-26485
231,lua,fca,9,73808-73823
232,lua,fca,9,55728-55816
233,lua,fca,9,50846-50867
234,lua,fca,9,51502-51528
235,lua,fca,9,90737-91019
236,lua,fca,9,89667-89683
237,lua,fca,9,26410-26431
238,lua,fca,9,73305-73314
239,lua,fca,9,73323-73414
240,lua,fca,9,40655-40660
241,lua,fca,9,8096-8116
242,lua,fca,9,73894-73899
243,lua,fca,9,47983-47998
244,lua,fca,9,63445-63459
245,lua,fca,9,72366-72372
246,lua,fca,9,47454-47553
247,lua,fca,9,72152-72167
248,lua,fca,9,25015-25041
249,lua,fca,9,85469-85478
250,lua,fca,9,19282-19292
251,lua,fca,9,86174-86186
252,lua,fca,9,59092-59135
253,lua,fca,9,73829-74059
254,lua,fca,9,28445-28533
255,lua,fca,9,27457-27467
256,lua,fca,9,11273-11379
257,lua,fca,9,10818-10830
258,lua,fca,9,93874-93885
259,lua,fca,9,73741-73761
260,lua,fca,9,73901-73906
261,lua,fca,9,27861-27874
262,lua,fca,9,51917-51942
