,benchmark,fuzzer_combination,expid,edge
0,lua,fcb,11,39435-39477
1,lua,fcb,11,45689-55719
2,lua,fcb,11,16517-16544
3,lua,fcb,11,53322-53347
4,lua,fcb,11,35272-35284
5,lua,fcb,11,23306-23315
6,lua,fcb,11,35333-35326
7,lua,fcb,11,85183-85194
8,lua,fcb,11,27994-28040
9,lua,fcb,11,42401-42384
10,lua,fcb,11,975-995
11,lua,fcb,11,26659-26674
12,lua,fcb,11,71981-71994
13,lua,fcb,11,72463-72490
14,lua,fcb,11,73039-73049
15,lua,fcb,11,15996-16057
16,lua,fcb,11,72022-72027
17,lua,fcb,11,74523-74529
18,lua,fcb,11,46980-47028
19,lua,fcb,11,6839-6853
20,lua,fcb,11,75307-75314
21,lua,fcb,11,75297-75307
22,lua,fcb,11,73756-73766
23,lua,fcb,11,30803-30821
24,lua,fcb,11,75286-75316
25,lua,fcb,11,29283-29298
26,lua,fcb,11,75416-75420
27,lua,fcb,11,33535-33561
28,lua,fcb,11,72008-72013
29,lua,fcb,11,27703-27717
30,lua,fcb,11,59827-59855
31,lua,fcb,11,31784-31794
32,lua,fcb,11,11002-11021
33,lua,fcb,11,9771-9804
34,lua,fcb,11,74395-74471
35,lua,fcb,11,42780-42794
36,lua,fcb,11,63731-63752
37,lua,fcb,11,60126-60132
38,lua,fcb,11,27884-27891
39,lua,fcb,11,58984-59002
40,lua,fcb,11,84824-84835
41,lua,fcb,11,53701-53732
42,lua,fcb,11,11002-11028
43,lua,fcb,11,72190-72208
44,lua,fcb,11,10205-10237
45,lua,fcb,11,21700-21709
46,lua,fcb,11,30841-30892
47,lua,fcb,11,59485-59502
48,lua,fcb,11,70440-70453
49,lua,fcb,11,68762-68780
50,lua,fcb,11,43469-43486
51,lua,fcb,11,51871-51912
52,lua,fcb,11,50910-50977
53,lua,fcb,11,59467-59477
54,lua,fcb,11,51556-51619
55,lua,fcb,11,77195-77217
56,lua,fcb,11,72434-72443
57,lua,fcb,11,9771-9796
58,lua,fcb,11,54172-54195
59,lua,fcb,11,32114-32158
60,lua,fcb,11,58765-58810
61,lua,fcb,11,65-79
62,lua,fcb,11,46391-46426
63,lua,fcb,11,57716-57736
64,lua,fcb,11,57084-57101
65,lua,fcb,11,40608-40615
66,lua,fcb,11,52009-52040
67,lua,fcb,11,67604-67613
68,lua,fcb,11,54534-54549
69,lua,fcb,11,46788-46872
70,lua,fcb,11,71072-71060
71,lua,fcb,11,65971-66078
72,lua,fcb,11,70911-70951
73,lua,fcb,11,69699-69718
74,lua,fcb,11,10659-10674
75,lua,fcb,11,72514-72541
76,lua,fcb,11,54374-54402
77,lua,fcb,11,6730-6737
78,lua,fcb,11,41726-41729
79,lua,fcb,11,31353-31363
80,lua,fcb,11,67116-67136
81,lua,fcb,11,34337-34428
82,lua,fcb,11,64935-64941
83,lua,fcb,11,10270-10284
84,lua,fcb,11,11283-11288
85,lua,fcb,11,72699-72717
86,lua,fcb,11,9983-10061
87,lua,fcb,11,42637-42649
88,lua,fcb,11,48496-48532
89,lua,fcb,11,41143-41169
90,lua,fcb,11,54610-54641
91,lua,fcb,11,53146-53166
92,lua,fcb,11,31825-31834
93,lua,fcb,11,54382-54402
94,lua,fcb,11,58334-58355
95,lua,fcb,11,72366-72372
96,lua,fcb,11,54569-54576
97,lua,fcb,11,67085-67091
98,lua,fcb,11,73323-73331
99,lua,fcb,11,55719-53007
100,lua,fcb,11,32104-32160
101,lua,fcb,11,69416-69484
102,lua,fcb,11,73808-73847
103,lua,fcb,11,38652-38681
104,lua,fcb,11,52009-52050
105,lua,fcb,11,38644-38681
106,lua,fcb,11,38687-38724
107,lua,fcb,11,50994-51001
108,lua,fcb,11,38698-38724
109,lua,fcb,11,54180-54198
110,lua,fcb,11,41929-41934
111,lua,fcb,11,65091-65108
112,lua,fcb,11,43208-43213
113,lua,fcb,11,26805-26820
114,lua,fcb,11,10874-10881
115,lua,fcb,11,48337-48379
116,lua,fcb,11,51538-51545
117,lua,fcb,11,50936-50946
118,lua,fcb,11,50618-50636
119,lua,fcb,11,53885-53916
120,lua,fcb,11,8966-8991
121,lua,fcb,11,56525-56539
122,lua,fcb,11,50102-50128
123,lua,fcb,11,47365-47381
124,lua,fcb,11,39218-39224
125,lua,fcb,11,70435-70440
126,lua,fcb,11,53711-53790
127,lua,fcb,11,39435-39470
128,lua,fcb,11,48658-48676
129,lua,fcb,11,49643-49673
130,lua,fcb,11,49055-49072
131,lua,fcb,11,72717-72975
132,lua,fcb,11,58339-58355
133,lua,fcb,11,28403-28436
134,lua,fcb,11,69975-69985
135,lua,fcb,11,69206-69219
136,lua,fcb,11,73761-73766
137,lua,fcb,11,59101-59113
138,lua,fcb,11,70507-70514
139,lua,fcb,11,69919-69929
140,lua,fcb,11,56453-56467
141,lua,fcb,11,32123-32158
142,lua,fcb,11,10407-10443
143,lua,fcb,11,47442-47479
144,lua,fcb,11,81792-81813
145,lua,fcb,11,7741-7772
146,lua,fcb,11,29950-29982
147,lua,fcb,11,27551-27635
148,lua,fcb,11,55618-55633
149,lua,fcb,11,35900-35913
150,lua,fcb,11,72505-72975
151,lua,fcb,11,32160-32199
152,lua,fcb,11,49558-55719
153,lua,fcb,11,72592-72598
154,lua,fcb,11,9545-9569
155,lua,fcb,11,10865-10874
156,lua,fcb,11,73166-73184
157,lua,fcb,11,28519-28533
158,lua,fcb,11,74850-74863
159,lua,fcb,11,13689-13696
160,lua,fcb,11,10334-10469
161,lua,fcb,11,73808-73841
162,lua,fcb,11,70468-70516
163,lua,fcb,11,70911-70975
164,lua,fcb,11,70911-70958
165,lua,fcb,11,73741-73749
166,lua,fcb,11,12186-12205
167,lua,fcb,11,11152-11184
168,lua,fcb,11,26449-26470
169,lua,fcb,11,60213-60224
170,lua,fcb,11,84791-84807
171,lua,fcb,11,52920-52939
172,lua,fcb,11,72635-72667
173,lua,fcb,11,48946-48948
174,lua,fcb,11,26997-27012
175,lua,fcb,11,32851-32896
176,lua,fcb,11,63156-63160
177,lua,fcb,11,43681-43709
178,lua,fcb,11,54107-54121
179,lua,fcb,11,47279-47286
180,lua,fcb,11,73817-74059
181,lua,fcb,11,64404-64439
182,lua,fcb,11,51578-51596
183,lua,fcb,11,47663-47800
184,lua,fcb,11,24124-24140
185,lua,fcb,11,70561-70592
186,lua,fcb,11,54924-55719
187,lua,fcb,11,20551-20567
188,lua,fcb,11,3306-3330
189,lua,fcb,11,16712-16715
190,lua,fcb,11,16430-16437
191,lua,fcb,11,53108-55719
192,lua,fcb,11,49072-49090
193,lua,fcb,11,49613-49631
194,lua,fcb,11,6744-6767
195,lua,fcb,11,25015-25041
196,lua,fcb,11,54910-54924
197,lua,fcb,11,71603-71616
198,lua,fcb,11,11390-11479
199,lua,fcb,11,49280-49298
200,lua,fcb,11,56911-56719
201,lua,fcb,11,51328-51364
202,lua,fcb,11,14102-14109
203,lua,fcb,11,48807-48848
204,lua,fcb,11,6017-6100
205,lua,fcb,11,89816-89855
206,lua,fcb,11,39092-39120
207,lua,fcb,11,89739-89711
208,lua,fcb,11,64261-64286
209,lua,fcb,11,52178-52193
210,lua,fcb,11,26470-26485
211,lua,fcb,11,73808-73823
212,lua,fcb,11,50846-50867
213,lua,fcb,11,51502-51528
214,lua,fcb,11,45770-45811
215,lua,fcb,11,76697-76745
216,lua,fcb,11,62657-62714
217,lua,fcb,11,26391-26410
218,lua,fcb,11,73478-73484
219,lua,fcb,11,73323-73414
220,lua,fcb,11,47141-47157
221,lua,fcb,11,76213-76236
222,lua,fcb,11,72142-72152
223,lua,fcb,11,8116-8130
224,lua,fcb,11,40643-40655
225,lua,fcb,11,72401-72428
226,lua,fcb,11,63459-63412
227,lua,fcb,11,47998-48024
228,lua,fcb,11,32783-32798
229,lua,fcb,11,31765-31794
230,lua,fcb,11,60455-60471
231,lua,fcb,11,59092-59135
232,lua,fcb,11,27457-27467
233,lua,fcb,11,73107-73148
234,lua,fcb,11,73305-73314
235,lua,fcb,11,9813-9835
236,lua,fcb,11,39484-39497
237,lua,fcb,11,66169-66186
238,lua,fcb,11,73808-73894
239,lua,fcb,11,73829-74059
240,lua,fcb,11,73884-74098
241,lua,fcb,11,89683-89686
242,lua,fcb,11,73808-73901
243,lua,fcb,11,27874-27905
244,lua,fcb,11,51871-51902
245,lua,fcb,11,51118-51144
246,lua,fcb,11,59578-59597
247,lua,fcb,11,11105-11123
248,lua,fcb,11,2330-2369
249,lua,fcb,11,50776-50806
250,lua,fcb,11,28574-28652
251,lua,fcb,11,63797-63818
252,lua,fcb,11,49990-50016
253,lua,fcb,11,73853-74059
254,lua,fcb,11,86174-86186
255,lua,fcb,11,90737-91019
256,lua,fcb,11,69905-69987
257,lua,fcb,11,86591-86622
258,lua,fcb,11,58265-57790
259,lua,fcb,11,75198-75204
260,lua,fcb,11,83479-83487
261,lua,fcb,11,11273-11372
262,lua,fcb,11,89197-89201
263,lua,fcb,11,11298-11498
264,lua,fcb,11,89659-89693
265,lua,fcb,11,45513-45546
266,lua,fcb,11,86633-86648
267,lua,fcb,11,26591-26874
268,lua,fcb,11,64193-64211
269,lua,fcb,11,91963-92030
270,lua,fcb,11,90090-90186
271,lua,fcb,11,86992-87023
272,lua,fcb,11,85762-85788
273,lua,fcb,11,87016-87018
274,lua,fcb,11,86883-86895
275,lua,fcb,11,85509-85521
276,lua,fcb,11,86648-86661
277,lua,fcb,11,85496-85516
278,lua,fcb,11,69931-69936
279,lua,fcb,11,86496-86505
280,lua,fcb,11,57836-57859
281,lua,fcb,11,85917-85957
282,lua,fcb,11,89779-89784
283,lua,fcb,11,73984-73993
284,lua,fcb,11,85218-85227
285,lua,fcb,11,51947-51968
286,lua,fcb,11,51144-51154
287,lua,fcb,11,48186-48194
288,lua,fcb,11,51404-51422
289,lua,fcb,11,50240-50261
290,lua,fcb,11,59101-59126
291,lua,fcb,11,59160-59192
292,lua,fcb,11,40643-40721
293,lua,fcb,11,32215-32234
294,lua,fcb,11,43242-43253
295,lua,fcb,11,49280-49287
296,lua,fcb,11,60496-60528
297,lua,fcb,11,52922-52964
298,lua,fcb,11,20188-20208
299,lua,fcb,11,76885-76898
300,lua,fcb,11,54649-54699
301,lua,fcb,11,10243-10466
302,lua,fcb,11,7193-7212
303,lua,fcb,11,27230-27270
304,lua,fcb,11,43486-43526
305,lua,fcb,11,81831-81848
306,lua,fcb,11,61180-61187
307,lua,fcb,11,66516-66524
308,lua,fcb,11,57353-57373
309,lua,fcb,11,28541-28565
310,lua,fcb,11,47954-48024
311,lua,fcb,11,63133-63145
312,lua,fcb,11,30912-30977
313,lua,fcb,11,70934-71019
314,lua,fcb,11,61211-61249
315,lua,fcb,11,26348-26367
316,lua,fcb,11,69924-69929
317,lua,fcb,11,57307-57316
318,lua,fcb,11,54532-54534
319,lua,fcb,11,28186-28196
320,lua,fcb,11,57252-57273
321,lua,fcb,11,60451-60471
322,lua,fcb,11,73076-73082
323,lua,fcb,11,49263-49270
324,lua,fcb,11,54808-54835
325,lua,fcb,11,28081-28086
326,lua,fcb,11,73520-73526
327,lua,fcb,11,57287-57320
328,lua,fcb,11,65971-66064
329,lua,fcb,11,23426-23462
330,lua,fcb,11,50219-50240
331,lua,fcb,11,48610-48741
332,lua,fcb,11,57552-57564
333,lua,fcb,11,86203-86213
334,lua,fcb,11,41996-41929
335,lua,fcb,11,55679-55692
336,lua,fcb,11,32412-32418
337,lua,fcb,11,63797-63807
338,lua,fcb,11,66116-66124
339,lua,fcb,11,72167-72970
340,lua,fcb,11,85343-85350
341,lua,fcb,11,70911-70929
342,lua,fcb,11,67528-67556
343,lua,fcb,11,93336-93362
344,lua,fcb,11,73660-73666
345,lua,fcb,11,90817-90827
346,lua,fcb,11,89325-89352
347,lua,fcb,11,35232-35243
348,lua,fcb,11,86697-86766
349,lua,fcb,11,50107-50128
350,lua,fcb,11,60175-60181
351,lua,fcb,11,86315-86384
352,lua,fcb,11,86324-86366
353,lua,fcb,11,86121-86136
354,lua,fcb,11,84682-84705
355,lua,fcb,11,91123-91131
356,lua,fcb,11,90797-90802
357,lua,fcb,11,90914-91028
358,lua,fcb,11,83431-83508
359,lua,fcb,11,60253-60264
360,lua,fcb,11,85199-85212
361,lua,fcb,11,89208-89231
362,lua,fcb,11,87452-87459
363,lua,fcb,11,55013-55027
364,lua,fcb,11,66137-66145
365,lua,fcb,11,43190-43215
366,lua,fcb,11,50474-55719
367,lua,fcb,11,73514-73520
368,lua,fcb,11,89981-90047
369,lua,fcb,11,57692-57757
370,lua,fcb,11,84662-84675
371,lua,fcb,11,15602-15632
372,lua,fcb,11,89255-89268
373,lua,fcb,11,59925-59939
374,lua,fcb,11,59419-59432
375,lua,fcb,11,40287-40302
376,lua,fcb,11,85218-85366
377,lua,fcb,11,69957-69970
378,lua,fcb,11,57541-57564
379,lua,fcb,11,90682-90699
380,lua,fcb,11,86697-86850
381,lua,fcb,11,92277-92307
382,lua,fcb,11,86203-86221
383,lua,fcb,11,91068-91084
384,lua,fcb,11,90877-91028
385,lua,fcb,11,86836-86869
386,lua,fcb,11,86808-86869
387,lua,fcb,11,85352-85357
388,lua,fcb,11,73808-73879
389,lua,fcb,11,72211-72238
390,lua,fcb,11,37010-37017
391,lua,fcb,11,32215-32248
392,lua,fcb,11,3297-3304
393,lua,fcb,11,47446-47454
394,lua,fcb,11,70009-70015
395,lua,fcb,11,90047-90055
396,lua,fcb,11,21829-21831
397,lua,fcb,11,70949-70956
398,lua,fcb,11,10818-10830
399,lua,fcb,11,60181-60203
400,lua,fcb,11,75849-75875
401,lua,fcb,11,76958-76981
402,lua,fcb,11,90179-90186
403,lua,fcb,11,63231-63254
404,lua,fcb,11,58360-58471
405,lua,fcb,11,42134-42141
406,lua,fcb,11,32206-32248
407,lua,fcb,11,90783-90788
408,lua,fcb,11,90737-90923
409,lua,fcb,11,90776-90781
410,lua,fcb,11,90769-90774
411,lua,fcb,11,90737-90865
412,lua,fcb,11,90737-90851
413,lua,fcb,11,90737-90749
414,lua,fcb,11,51942-51947
415,lua,fcb,11,54315-54365
416,lua,fcb,11,71170-71187
417,lua,fcb,11,61331-61338
418,lua,fcb,11,60422-60435
419,lua,fcb,11,15924-15931
420,lua,fcb,11,63359-63370
421,lua,fcb,11,72136-72142
422,lua,fcb,11,61249-61262
423,lua,fcb,11,4612-4632
