,benchmark,fuzzer_combination,expid,edge
0,mp42aac,fca,2,78895-78900
1,mp42aac,fca,2,110-118
2,mp42aac,fca,2,38572-38574
3,mp42aac,fca,2,52051-52061
4,mp42aac,fca,2,5392-5398
5,mp42aac,fca,2,25256-25265
6,mp42aac,fca,2,20472-20474
7,mp42aac,fca,2,24974-24985
8,mp42aac,fca,2,52043-52045
9,mp42aac,fca,2,43581-43615
10,mp42aac,fca,2,48743-48790
11,mp42aac,fca,2,52034-52043
12,mp42aac,fca,2,26558-26560
13,mp42aac,fca,2,29363-29365
14,mp42aac,fca,2,53513-53521
15,mp42aac,fca,2,26815-26817
16,mp42aac,fca,2,865-889
17,mp42aac,fca,2,118340-118510
18,mp42aac,fca,2,844-861
19,mp42aac,fca,2,38629-38632
20,mp42aac,fca,2,26415-26564
21,mp42aac,fca,2,5189-5241
22,mp42aac,fca,2,52464-52469
23,mp42aac,fca,2,71966-71982
24,mp42aac,fca,2,77402-77412
25,mp42aac,fca,2,52664-52681
26,mp42aac,fca,2,6699-6701
27,mp42aac,fca,2,52456-52744
28,mp42aac,fca,2,52599-52630
29,mp42aac,fca,2,14461-14517
30,mp42aac,fca,2,81601-81623
31,mp42aac,fca,2,118238-118243
32,mp42aac,fca,2,77597-77695
33,mp42aac,fca,2,116949-116971
34,mp42aac,fca,2,120353-120359
35,mp42aac,fca,2,53659-53661
36,mp42aac,fca,2,126051-126073
37,mp42aac,fca,2,52488-52744
38,mp42aac,fca,2,30000-30009
39,mp42aac,fca,2,49727-49735
40,mp42aac,fca,2,20480-20487
41,mp42aac,fca,2,25118-25141
42,mp42aac,fca,2,119578-119685
43,mp42aac,fca,2,119583-119591
44,mp42aac,fca,2,119347-119352
45,mp42aac,fca,2,79592-79595
46,mp42aac,fca,2,27913-27930
47,mp42aac,fca,2,38522-38526
48,mp42aac,fca,2,119975-120059
49,mp42aac,fca,2,120491-120496
50,mp42aac,fca,2,78810-78832
51,mp42aac,fca,2,79978-79981
52,mp42aac,fca,2,80320-80342
53,mp42aac,fca,2,7777-7782
54,mp42aac,fca,2,117746-117755
55,mp42aac,fca,2,94464-94526
56,mp42aac,fca,2,19108-19156
57,mp42aac,fca,2,29238-29243
58,mp42aac,fca,2,52018-52024
59,mp42aac,fca,2,81688-81692
60,mp42aac,fca,2,52100-52105
61,mp42aac,fca,2,116656-116661
62,mp42aac,fca,2,51956-52188
63,mp42aac,fca,2,96304-96322
64,mp42aac,fca,2,94325-94347
65,mp42aac,fca,2,77839-77862
66,mp42aac,fca,2,80267-80284
67,mp42aac,fca,2,96547-96575
68,mp42aac,fca,2,20156-20170
69,mp42aac,fca,2,79944-79985
70,mp42aac,fca,2,77520-77679
71,mp42aac,fca,2,118540-118555
