,benchmark,fuzzer_combination,expid,edge
0,mp42aac,fcb,4,77926-77930
1,mp42aac,fcb,4,110-118
2,mp42aac,fcb,4,50974-51002
3,mp42aac,fcb,4,24974-24985
4,mp42aac,fcb,4,6992-7022
5,mp42aac,fcb,4,52387-52406
6,mp42aac,fcb,4,26477-26488
7,mp42aac,fcb,4,52469-52744
8,mp42aac,fcb,4,27952-27954
9,mp42aac,fcb,4,17964-18089
10,mp42aac,fcb,4,43621-43631
11,mp42aac,fcb,4,2798-2819
12,mp42aac,fcb,4,76140-76145
13,mp42aac,fcb,4,52051-52061
14,mp42aac,fcb,4,26815-26817
15,mp42aac,fcb,4,20480-20509
16,mp42aac,fcb,4,38601-38629
17,mp42aac,fcb,4,80320-80342
18,mp42aac,fcb,4,18000-18087
19,mp42aac,fcb,4,77597-77695
20,mp42aac,fcb,4,117022-117039
21,mp42aac,fcb,4,6684-6699
22,mp42aac,fcb,4,25256-25265
23,mp42aac,fcb,4,94529-94531
24,mp42aac,fcb,4,116661-116683
25,mp42aac,fcb,4,119347-119352
26,mp42aac,fcb,4,117683-117686
27,mp42aac,fcb,4,2999-3012
28,mp42aac,fcb,4,81596-81601
29,mp42aac,fcb,4,80267-80284
30,mp42aac,fcb,4,38552-38564
31,mp42aac,fcb,4,5379-5384
32,mp42aac,fcb,4,28118-28120
33,mp42aac,fcb,4,53651-53659
34,mp42aac,fcb,4,52681-52697
35,mp42aac,fcb,4,5189-5241
36,mp42aac,fcb,4,865-889
37,mp42aac,fcb,4,29312-29363
38,mp42aac,fcb,4,49722-49727
39,mp42aac,fcb,4,119342-119371
40,mp42aac,fcb,4,71927-71966
41,mp42aac,fcb,4,78942-78945
42,mp42aac,fcb,4,7819-7886
43,mp42aac,fcb,4,96398-96387
44,mp42aac,fcb,4,120353-120385
45,mp42aac,fcb,4,78998-79012
46,mp42aac,fcb,4,94446-94450
47,mp42aac,fcb,4,120496-120518
48,mp42aac,fcb,4,29243-29265
49,mp42aac,fcb,4,140419-140423
50,mp42aac,fcb,4,116920-116933
51,mp42aac,fcb,4,116949-116971
52,mp42aac,fcb,4,126172-126176
53,mp42aac,fcb,4,77834-77839
54,mp42aac,fcb,4,119501-119506
55,mp42aac,fcb,4,118238-118243
56,mp42aac,fcb,4,117202-117206
57,mp42aac,fcb,4,118555-118634
58,mp42aac,fcb,4,14461-14517
59,mp42aac,fcb,4,52040-52043
60,mp42aac,fcb,4,52611-52624
61,mp42aac,fcb,4,2928-2943
62,mp42aac,fcb,4,52018-52024
63,mp42aac,fcb,4,38463-38486
64,mp42aac,fcb,4,20170-20191
65,mp42aac,fcb,4,126046-126051
66,mp42aac,fcb,4,25118-25141
67,mp42aac,fcb,4,20267-20310
68,mp42aac,fcb,4,79886-79904
69,mp42aac,fcb,4,78805-78810
70,mp42aac,fcb,4,94325-94347
71,mp42aac,fcb,4,79935-79941
72,mp42aac,fcb,4,79944-79948
73,mp42aac,fcb,4,39176-39199
74,mp42aac,fcb,4,7782-7804
75,mp42aac,fcb,4,48220-48299
76,mp42aac,fcb,4,77618-77625
77,mp42aac,fcb,4,77447-77472
78,mp42aac,fcb,4,96575-96578
79,mp42aac,fcb,4,85802-85806
80,mp42aac,fcb,4,120590-120617
81,mp42aac,fcb,4,85929-85935
82,mp42aac,fcb,4,80158-80181
83,mp42aac,fcb,4,77500-77679
