,benchmark,fuzzer_combination,expid,edge
0,nm,fca,12,284557-284561
1,nm,fca,12,176787-176791
2,nm,fca,12,22183-22197
3,nm,fca,12,134960-135791
4,nm,fca,12,46389-47226
5,nm,fca,12,24497-24521
6,nm,fca,12,27137-27142
7,nm,fca,12,27236-28134
8,nm,fca,12,177629-177878
9,nm,fca,12,148700-148708
10,nm,fca,12,46395-47226
11,nm,fca,12,22187-22211
12,nm,fca,12,5202-5207
13,nm,fca,12,27048-27101
14,nm,fca,12,5228-5247
15,nm,fca,12,27345-28121
16,nm,fca,12,27157-27162
17,nm,fca,12,24505-24521
18,nm,fca,12,24513-24521
19,nm,fca,12,27244-28134
20,nm,fca,12,22200-22211
21,nm,fca,12,13285-13293
22,nm,fca,12,27252-28134
23,nm,fca,12,139691-139717
24,nm,fca,12,138793-138797
25,nm,fca,12,137543-137546
26,nm,fca,12,26086-27068
27,nm,fca,12,137293-137305
28,nm,fca,12,138759-138811
29,nm,fca,12,141831-141838
30,nm,fca,12,22200-23152
31,nm,fca,12,134960-134965
32,nm,fca,12,26444-26453
33,nm,fca,12,138572-138594
34,nm,fca,12,177622-177632
35,nm,fca,12,139549-139575
36,nm,fca,12,26003-26034
37,nm,fca,12,139537-139544
38,nm,fca,12,148716-149497
39,nm,fca,12,138703-138759
40,nm,fca,12,139518-139523
41,nm,fca,12,26552-26557
42,nm,fca,12,26292-26302
43,nm,fca,12,26046-27068
44,nm,fca,12,26302-26312
45,nm,fca,12,27186-27198
46,nm,fca,12,138793-138811
47,nm,fca,12,139518-139527
48,nm,fca,12,23163-22211
49,nm,fca,12,23174-22211
50,nm,fca,12,23174-23185
51,nm,fca,12,25990-27068
52,nm,fca,12,23196-22211
53,nm,fca,12,23207-22211
54,nm,fca,12,22214-23148
55,nm,fca,12,26469-26483
56,nm,fca,12,26414-27068
57,nm,fca,12,139699-139704
58,nm,fca,12,26391-27068
59,nm,fca,12,26117-26102
60,nm,fca,12,26102-26414
61,nm,fca,12,26256-26249
62,nm,fca,12,27091-27098
63,nm,fca,12,139699-139717
64,nm,fca,12,139708-139717
65,nm,fca,12,139708-139712
66,nm,fca,12,27345-27350
67,nm,fca,12,27316-28121
68,nm,fca,12,26386-26391
69,nm,fca,12,26237-26264
70,nm,fca,12,46400-46405
71,nm,fca,12,176806-176814
72,nm,fca,12,26341-26312
73,nm,fca,12,26299-27101
74,nm,fca,12,177653-177660
75,nm,fca,12,27330-28129
76,nm,fca,12,27350-27360
77,nm,fca,12,26102-27068
78,nm,fca,12,27350-27515
79,nm,fca,12,46410-47226
80,nm,fca,12,285699-285710
81,nm,fca,12,148723-148734
82,nm,fca,12,5279-5283
83,nm,fca,12,5608-5650
84,nm,fca,12,149557-149586
85,nm,fca,12,27320-28129
86,nm,fca,12,27360-27378
87,nm,fca,12,27568-28124
88,nm,fca,12,176909-177603
89,nm,fca,12,134980-135791
90,nm,fca,12,176845-176858
91,nm,fca,12,27589-28118
92,nm,fca,12,152027-152090
93,nm,fca,12,27738-28118
94,nm,fca,12,149574-149589
95,nm,fca,12,27581-28124
96,nm,fca,12,13898-13933
97,nm,fca,12,46415-46420
98,nm,fca,12,177710-177878
99,nm,fca,12,2127-2136
100,nm,fca,12,134980-134985
101,nm,fca,12,26483-26529
102,nm,fca,12,27589-27592
103,nm,fca,12,26460-27048
104,nm,fca,12,27627-28118
105,nm,fca,12,26596-26604
106,nm,fca,12,26580-26596
107,nm,fca,12,27918-27918
108,nm,fca,12,26090-26119
109,nm,fca,12,26557-26562
110,nm,fca,12,149574-149586
111,nm,fca,12,27978-27983
112,nm,fca,12,4448-4702
113,nm,fca,12,176916-176940
114,nm,fca,12,242410-242477
115,nm,fca,12,11667-11675
116,nm,fca,12,176903-176909
117,nm,fca,12,177516-177550
118,nm,fca,12,242357-243608
119,nm,fca,12,27337-28121
120,nm,fca,12,27541-27568
121,nm,fca,12,28054-28064
122,nm,fca,12,242488-242481
123,nm,fca,12,27537-28118
124,nm,fca,12,243145-243156
125,nm,fca,12,176945-176948
126,nm,fca,12,176916-176935
127,nm,fca,12,177134-177142
128,nm,fca,12,171400-171446
129,nm,fca,12,17300-17315
130,nm,fca,12,49179-49188
131,nm,fca,12,26585-26588
132,nm,fca,12,27088-27108
133,nm,fca,12,26893-27048
134,nm,fca,12,26945-26972
135,nm,fca,12,26604-26972
136,nm,fca,12,26637-26669
137,nm,fca,12,26780-26811
138,nm,fca,12,26357-27101
139,nm,fca,12,26611-27055
140,nm,fca,12,25127-25139
141,nm,fca,12,26604-26945
142,nm,fca,12,177680-177692
143,nm,fca,12,177710-177714
144,nm,fca,12,185883-185898
145,nm,fca,12,170659-170666
146,nm,fca,12,180489-180493
147,nm,fca,12,170636-170642
148,nm,fca,12,170576-170603
149,nm,fca,12,180493-180504
150,nm,fca,12,174078-174725
151,nm,fca,12,149620-149772
152,nm,fca,12,152385-152389
153,nm,fca,12,152400-152409
154,nm,fca,12,156373-156384
155,nm,fca,12,152389-152400
156,nm,fca,12,170646-170659
157,nm,fca,12,149608-149772
158,nm,fca,12,27963-28010
159,nm,fca,12,153072-153814
160,nm,fca,12,27963-27975
161,nm,fca,12,152890-152898
162,nm,fca,12,13975-13963
163,nm,fca,12,27687-28118
164,nm,fca,12,28073-28118
165,nm,fca,12,27699-27687
166,nm,fca,12,27658-28118
167,nm,fca,12,27417-28124
168,nm,fca,12,177130-177134
169,nm,fca,12,19900-19938
170,nm,fca,12,30277-30277
171,nm,fca,12,27615-28118
172,nm,fca,12,27787-27807
173,nm,fca,12,27714-28118
174,nm,fca,12,25139-25139
175,nm,fca,12,28054-28118
176,nm,fca,12,28028-28038
177,nm,fca,12,247704-247707
178,nm,fca,12,25206-25230
179,nm,fca,12,25206-25209
180,nm,fca,12,243651-244000
181,nm,fca,12,27425-27503
182,nm,fca,12,25184-25184
183,nm,fca,12,246634-246806
184,nm,fca,12,244000-244004
185,nm,fca,12,46495-46503
186,nm,fca,12,243668-244000
187,nm,fca,12,247854-248307
188,nm,fca,12,242494-242502
189,nm,fca,12,250026-250032
190,nm,fca,12,238193-238207
191,nm,fca,12,238333-239575
192,nm,fca,12,245134-246915
193,nm,fca,12,245901-245906
194,nm,fca,12,230411-233405
195,nm,fca,12,247857-248307
196,nm,fca,12,230556-230622
197,nm,fca,12,231447-233259
198,nm,fca,12,231556-233259
199,nm,fca,12,173992-174016
200,nm,fca,12,230909-231108
201,nm,fca,12,152491-152576
202,nm,fca,12,152460-152882
203,nm,fca,12,152491-152562
204,nm,fca,12,152491-152572
205,nm,fca,12,153000-153004
206,nm,fca,12,170928-171065
207,nm,fca,12,232451-232456
208,nm,fca,12,247704-247854
209,nm,fca,12,244991-245027
210,nm,fca,12,236178-236185
211,nm,fca,12,233565-233912
212,nm,fca,12,152580-152874
213,nm,fca,12,152111-152209
214,nm,fca,12,152209-152240
215,nm,fca,12,152225-152237
216,nm,fca,12,170795-170831
217,nm,fca,12,170937-171065
218,nm,fca,12,245247-247139
219,nm,fca,12,27466-27472
220,nm,fca,12,46495-46519
221,nm,fca,12,46531-46543
222,nm,fca,12,46574-47230
223,nm,fca,12,47015-47021
224,nm,fca,12,46523-46531
225,nm,fca,12,135805-135854
226,nm,fca,12,46521-46523
227,nm,fca,12,47180-47230
228,nm,fca,12,46986-47226
229,nm,fca,12,46447-47226
230,nm,fca,12,232071-232081
231,nm,fca,12,245149-246824
232,nm,fca,12,249154-249206
233,nm,fca,12,231775-231780
234,nm,fca,12,229417-229428
235,nm,fca,12,245149-246159
236,nm,fca,12,232343-233259
237,nm,fca,12,285863-285875
238,nm,fca,12,245149-245236
239,nm,fca,12,235583-235590
240,nm,fca,12,245234-245236
241,nm,fca,12,238207-238214
242,nm,fca,12,238337-238344
243,nm,fca,12,231447-231788
244,nm,fca,12,235630-235642
245,nm,fca,12,245354-245337
246,nm,fca,12,247204-247223
247,nm,fca,12,232184-232194
248,nm,fca,12,231900-231959
249,nm,fca,12,232682-233259
250,nm,fca,12,245149-245224
251,nm,fca,12,228722-228732
252,nm,fca,12,246139-246144
253,nm,fca,12,231435-231441
254,nm,fca,12,229065-229071
255,nm,fca,12,235642-235707
256,nm,fca,12,245746-245756
257,nm,fca,12,231564-231623
258,nm,fca,12,245232-245236
259,nm,fca,12,236015-236018
260,nm,fca,12,228850-228869
261,nm,fca,12,247105-247131
262,nm,fca,12,236045-236063
263,nm,fca,12,232713-232738
264,nm,fca,12,247260-247279
265,nm,fca,12,230556-230564
266,nm,fca,12,232901-232921
267,nm,fca,12,235583-235609
268,nm,fca,12,236233-236240
269,nm,fca,12,246129-247139
270,nm,fca,12,11723-11730
271,nm,fca,12,232749-232759
272,nm,fca,12,230306-230312
273,nm,fca,12,230215-230244
274,nm,fca,12,229316-229335
275,nm,fca,12,236313-236320
276,nm,fca,12,232738-233257
277,nm,fca,12,231412-231430
278,nm,fca,12,230639-230649
279,nm,fca,12,248017-248307
280,nm,fca,12,232951-232968
281,nm,fca,12,233412-233416
282,nm,fca,12,245738-245833
283,nm,fca,12,230909-231219
284,nm,fca,12,229199-229207
285,nm,fca,12,228722-228739
286,nm,fca,12,247345-247704
287,nm,fca,12,232957-233249
288,nm,fca,12,243668-243673
289,nm,fca,12,46424-47226
290,nm,fca,12,135096-135108
291,nm,fca,12,46459-47226
292,nm,fca,12,134989-135003
293,nm,fca,12,233080-233149
294,nm,fca,12,135096-135101
295,nm,fca,12,230407-233267
296,nm,fca,12,46553-46555
297,nm,fca,12,231865-231893
298,nm,fca,12,46466-46476
299,nm,fca,12,233160-233239
300,nm,fca,12,135031-135041
301,nm,fca,12,236281-236286
302,nm,fca,12,229350-233405
303,nm,fca,12,135012-135791
304,nm,fca,12,231167-231184
305,nm,fca,12,9942-9944
306,nm,fca,12,233440-233450
307,nm,fca,12,246144-246155
308,nm,fca,12,243658-244000
309,nm,fca,12,248165-248307
310,nm,fca,12,229207-229316
311,nm,fca,12,242377-242387
312,nm,fca,12,258077-258129
313,nm,fca,12,228819-228850
314,nm,fca,12,232732-232738
315,nm,fca,12,230252-230252
316,nm,fca,12,242682-243268
317,nm,fca,12,245783-245802
318,nm,fca,12,245577-245582
319,nm,fca,12,235535-235554
320,nm,fca,12,240637-240641
321,nm,fca,12,243579-243598
322,nm,fca,12,249085-249103
323,nm,fca,12,232886-232894
324,nm,fca,12,244163-244228
325,nm,fca,12,231076-231085
326,nm,fca,12,248160-248307
327,nm,fca,12,244330-244351
328,nm,fca,12,233368-233377
329,nm,fca,12,235649-235658
330,nm,fca,12,246329-246338
331,nm,fca,12,232246-232260
332,nm,fca,12,231189-231207
333,nm,fca,12,232472-232486
334,nm,fca,12,231572-231586
335,nm,fca,12,230999-231013
336,nm,fca,12,135024-135791
337,nm,fca,12,135300-135551
338,nm,fca,12,135043-135791
339,nm,fca,12,135084-135088
340,nm,fca,12,135118-135120
341,nm,fca,12,46478-47226
342,nm,fca,12,135084-135086
343,nm,fca,12,9912-9917
344,nm,fca,12,135556-135561
345,nm,fca,12,228703-229125
346,nm,fca,12,135741-135745
347,nm,fca,12,135586-135592
348,nm,fca,12,228886-229015
349,nm,fca,12,245343-245829
350,nm,fca,12,229654-229765
351,nm,fca,12,233072-233080
352,nm,fca,12,232359-232373
353,nm,fca,12,247862-247867
354,nm,fca,12,232690-233257
355,nm,fca,12,231528-231556
356,nm,fca,12,247112-247131
357,nm,fca,12,232787-232815
358,nm,fca,12,231684-231698
359,nm,fca,12,246947-246951
360,nm,fca,12,238142-238169
361,nm,fca,12,229492-229492
362,nm,fca,12,236384-236388
363,nm,fca,12,26128-26142
364,nm,fca,12,242537-242539
365,nm,fca,12,233450-232729
366,nm,fca,12,238272-238276
367,nm,fca,12,234093-234162
368,nm,fca,12,238371-238390
369,nm,fca,12,245692-245711
370,nm,fca,12,230610-230615
371,nm,fca,12,244774-244779
372,nm,fca,12,249103-249400
373,nm,fca,12,230273-230290
