,benchmark,fuzzer_combination,expid,edge
0,nm,fcb,17,13148-13154
1,nm,fcb,17,148697-149772
2,nm,fcb,17,22183-22197
3,nm,fcb,17,137283-137305
4,nm,fcb,17,46389-47226
5,nm,fcb,17,24513-24521
6,nm,fcb,17,27137-27142
7,nm,fcb,17,148716-149497
8,nm,fcb,17,23196-23207
9,nm,fcb,17,17785-17793
10,nm,fcb,17,134954-134960
11,nm,fcb,17,24505-24521
12,nm,fcb,17,46389-46395
13,nm,fcb,17,22211-23148
14,nm,fcb,17,24497-24521
15,nm,fcb,17,148708-149501
16,nm,fcb,17,5134-5149
17,nm,fcb,17,25917-25941
18,nm,fcb,17,5228-5247
19,nm,fcb,17,27236-28134
20,nm,fcb,17,149523-149772
21,nm,fcb,17,27183-27202
22,nm,fcb,17,26541-26552
23,nm,fcb,17,22187-22211
24,nm,fcb,17,23163-22211
25,nm,fcb,17,27252-28134
26,nm,fcb,17,27244-28134
27,nm,fcb,17,22200-22211
28,nm,fcb,17,27316-28121
29,nm,fcb,17,10257-10351
30,nm,fcb,17,176814-176821
31,nm,fcb,17,23185-22211
32,nm,fcb,17,27345-27350
33,nm,fcb,17,137293-137305
34,nm,fcb,17,27320-28129
35,nm,fcb,17,14086-14240
36,nm,fcb,17,5359-5657
37,nm,fcb,17,12860-12866
38,nm,fcb,17,285776-285784
39,nm,fcb,17,23174-22211
40,nm,fcb,17,23196-22211
41,nm,fcb,17,23207-22211
42,nm,fcb,17,27515-28118
43,nm,fcb,17,27581-28124
44,nm,fcb,17,27627-28118
45,nm,fcb,17,138393-138456
46,nm,fcb,17,138776-138811
47,nm,fcb,17,139544-139549
48,nm,fcb,17,138776-138780
49,nm,fcb,17,139496-139518
50,nm,fcb,17,26866-26871
51,nm,fcb,17,26972-27036
52,nm,fcb,17,26604-26669
53,nm,fcb,17,139704-139708
54,nm,fcb,17,25990-26003
55,nm,fcb,17,26003-26034
56,nm,fcb,17,138793-138797
57,nm,fcb,17,138552-138586
58,nm,fcb,17,26604-26945
59,nm,fcb,17,27360-27378
60,nm,fcb,17,139518-139527
61,nm,fcb,17,27330-28129
62,nm,fcb,17,13898-13933
63,nm,fcb,17,27592-28118
64,nm,fcb,17,27400-27388
65,nm,fcb,17,27787-27794
66,nm,fcb,17,27807-27950
67,nm,fcb,17,27738-28118
68,nm,fcb,17,27963-28042
69,nm,fcb,17,27627-27639
70,nm,fcb,17,27975-28042
71,nm,fcb,17,27568-28124
72,nm,fcb,17,27337-28121
73,nm,fcb,17,27678-27687
74,nm,fcb,17,27687-28118
75,nm,fcb,17,27658-28118
76,nm,fcb,17,139704-139717
77,nm,fcb,17,139699-139717
78,nm,fcb,17,139575-139582
79,nm,fcb,17,662-692
80,nm,fcb,17,139708-139712
81,nm,fcb,17,26780-26811
82,nm,fcb,17,26911-26945
83,nm,fcb,17,27055-27068
84,nm,fcb,17,24577-24581
85,nm,fcb,17,26604-27055
86,nm,fcb,17,1049-1060
87,nm,fcb,17,27963-28010
88,nm,fcb,17,28010-28015
89,nm,fcb,17,27787-27807
90,nm,fcb,17,2139-2142
91,nm,fcb,17,27726-28111
92,nm,fcb,17,27360-28118
93,nm,fcb,17,25990-26046
94,nm,fcb,17,27186-27198
95,nm,fcb,17,28054-28118
96,nm,fcb,17,25990-27068
