,benchmark,fuzzer_combination,expid,edge
0,objdump,fca,20,117777-117781
1,objdump,fca,20,110476-110589
2,objdump,fca,20,242397-242419
3,objdump,fca,20,240068-240905
4,objdump,fca,20,153200-153217
5,objdump,fca,20,129613-129637
6,objdump,fca,20,240068-240074
7,objdump,fca,20,132249-132253
8,objdump,fca,20,254630-254637
9,objdump,fca,20,127299-127303
10,objdump,fca,20,253822-254615
11,objdump,fca,20,132352-133250
12,objdump,fca,20,132360-133250
13,objdump,fca,20,110413-110418
14,objdump,fca,20,129613-129621
15,objdump,fca,20,132436-132446
16,objdump,fca,20,131174-131199
17,objdump,fca,20,110479-110498
18,objdump,fca,20,131657-131673
19,objdump,fca,20,127303-127316
20,objdump,fca,20,129621-129637
21,objdump,fca,20,132432-133237
22,objdump,fca,20,132368-133250
23,objdump,fca,20,128268-127327
24,objdump,fca,20,254611-254886
25,objdump,fca,20,131657-131668
26,objdump,fca,20,115806-115418
27,objdump,fca,20,240079-240905
28,objdump,fca,20,242407-242419
29,objdump,fca,20,131191-131202
30,objdump,fca,20,131145-131155
31,objdump,fca,20,110511-110530
32,objdump,fca,20,111248-111252
33,objdump,fca,20,996-1002
34,objdump,fca,20,282764-282992
35,objdump,fca,20,115095-115108
36,objdump,fca,20,153223-153228
37,objdump,fca,20,253837-253848
38,objdump,fca,20,243877-243885
39,objdump,fca,20,244651-244658
40,objdump,fca,20,128268-128279
41,objdump,fca,20,131162-132184
42,objdump,fca,20,243807-243817
43,objdump,fca,20,243719-243736
44,objdump,fca,20,131650-132164
45,objdump,fca,20,241792-241797
46,objdump,fca,20,244683-244696
47,objdump,fca,20,391982-391999
48,objdump,fca,20,131305-131272
49,objdump,fca,20,131106-132184
50,objdump,fca,20,131119-131150
51,objdump,fca,20,115198-115217
52,objdump,fca,20,131206-131235
53,objdump,fca,20,244818-244831
54,objdump,fca,20,131218-131225
55,objdump,fca,20,131383-131408
56,objdump,fca,20,131599-131639
57,objdump,fca,20,128323-128334
58,objdump,fca,20,131365-131418
59,objdump,fca,20,244632-244637
60,objdump,fca,20,131218-132184
61,objdump,fca,20,128279-127327
62,objdump,fca,20,131457-131476
63,objdump,fca,20,131428-131441
64,objdump,fca,20,131507-132184
65,objdump,fca,20,243894-243902
66,objdump,fca,20,131218-131530
67,objdump,fca,20,282054-282659
68,objdump,fca,20,131372-131365
69,objdump,fca,20,243911-243925
70,objdump,fca,20,281959-281972
71,objdump,fca,20,131576-132164
72,objdump,fca,20,131521-131233
73,objdump,fca,20,244632-244641
74,objdump,fca,20,254661-254668
75,objdump,fca,20,98306-98338
76,objdump,fca,20,131502-131507
77,objdump,fca,20,131457-131428
78,objdump,fca,20,131372-131353
79,objdump,fca,20,4331-4380
80,objdump,fca,20,131507-131530
81,objdump,fca,20,128312-127327
82,objdump,fca,20,128323-127327
83,objdump,fca,20,128301-127327
84,objdump,fca,20,102134-102145
85,objdump,fca,20,105562-105568
86,objdump,fca,20,282030-282049
87,objdump,fca,20,282006-282023
88,objdump,fca,20,282596-282664
89,objdump,fca,20,131225-131206
90,objdump,fca,20,131592-131599
91,objdump,fca,20,131244-131258
92,objdump,fca,20,131415-132217
93,objdump,fca,20,131342-131353
94,objdump,fca,20,130243-130255
95,objdump,fca,20,243817-243873
96,objdump,fca,20,130330-130346
97,objdump,fca,20,130322-130325
98,objdump,fca,20,130300-130300
99,objdump,fca,20,1740-1766
100,objdump,fca,20,3823-3991
101,objdump,fca,20,98733-98738
102,objdump,fca,20,282017-282023
103,objdump,fca,20,282341-282353
104,objdump,fca,20,3896-3902
105,objdump,fca,20,3986-3991
106,objdump,fca,20,3978-3984
107,objdump,fca,20,104334-104338
108,objdump,fca,20,244822-244831
109,objdump,fca,20,99128-99190
110,objdump,fca,20,105327-105332
111,objdump,fca,20,100527-100540
112,objdump,fca,20,106709-106737
113,objdump,fca,20,106741-106754
114,objdump,fca,20,98237-98278
115,objdump,fca,20,104586-104593
116,objdump,fca,20,4272-5762
117,objdump,fca,20,99079-99084
118,objdump,fca,20,108060-108068
119,objdump,fca,20,246865-246945
120,objdump,fca,20,244813-244831
121,objdump,fca,20,96555-97804
122,objdump,fca,20,101516-101523
123,objdump,fca,20,96188-96200
124,objdump,fca,20,104334-104415
125,objdump,fca,20,104207-104222
126,objdump,fca,20,105368-105386
127,objdump,fca,20,96647-97638
128,objdump,fca,20,99388-99407
129,objdump,fca,20,96576-97804
130,objdump,fca,20,98415-98438
131,objdump,fca,20,99465-99467
132,objdump,fca,20,104059-104065
133,objdump,fca,20,95962-96045
134,objdump,fca,20,98534-99519
135,objdump,fca,20,100507-100561
136,objdump,fca,20,99212-99235
137,objdump,fca,20,95834-95838
138,objdump,fca,20,107077-107086
139,objdump,fca,20,107102-107118
140,objdump,fca,20,102479-102490
141,objdump,fca,20,95981-96045
142,objdump,fca,20,98223-98243
143,objdump,fca,20,5470-5435
144,objdump,fca,20,102621-102625
