,benchmark,fuzzer_combination,expid,edge
0,objdump,fcb,6,117993-117998
1,objdump,fcb,6,110472-110476
2,objdump,fcb,6,127299-127313
3,objdump,fcb,6,132360-133250
4,objdump,fcb,6,153200-153217
5,objdump,fcb,6,241787-242351
6,objdump,fcb,6,132352-133250
7,objdump,fcb,6,254619-254630
8,objdump,fcb,6,391970-391982
9,objdump,fcb,6,127303-127327
10,objdump,fcb,6,131191-131166
11,objdump,fcb,6,281920-282721
12,objdump,fcb,6,129613-129637
13,objdump,fcb,6,129629-129637
14,objdump,fcb,6,132253-132258
15,objdump,fcb,6,110400-110407
16,objdump,fcb,6,132461-133237
17,objdump,fcb,6,151511-152342
18,objdump,fcb,6,110479-110498
19,objdump,fcb,6,127303-127316
20,objdump,fcb,6,129621-129637
21,objdump,fcb,6,127316-128268
22,objdump,fcb,6,128268-128279
23,objdump,fcb,6,132184-131089
24,objdump,fcb,6,132432-133237
25,objdump,fcb,6,132368-133250
26,objdump,fcb,6,128279-128290
27,objdump,fcb,6,115418-115430
28,objdump,fcb,6,119774-119922
29,objdump,fcb,6,131150-131155
30,objdump,fcb,6,131534-131564
31,objdump,fcb,6,253830-254611
32,objdump,fcb,6,282717-282992
33,objdump,fcb,6,121379-121384
34,objdump,fcb,6,131162-132184
35,objdump,fcb,6,131534-131560
36,objdump,fcb,6,131657-131668
37,objdump,fcb,6,131322-132207
38,objdump,fcb,6,131110-131206
39,objdump,fcb,6,131106-132184
40,objdump,fcb,6,128312-128323
41,objdump,fcb,6,153228-153787
42,objdump,fcb,6,131342-131353
43,objdump,fcb,6,131530-132184
44,objdump,fcb,6,253848-254611
45,objdump,fcb,6,132171-132184
46,objdump,fcb,6,131720-131727
47,objdump,fcb,6,131678-132164
48,objdump,fcb,6,110537-110589
49,objdump,fcb,6,111260-111388
50,objdump,fcb,6,125508-125512
51,objdump,fcb,6,131896-131927
52,objdump,fcb,6,131720-132088
53,objdump,fcb,6,131888-131987
54,objdump,fcb,6,132453-133237
55,objdump,fcb,6,131927-131982
56,objdump,fcb,6,132429-133245
57,objdump,fcb,6,132436-133245
58,objdump,fcb,6,131730-131753
59,objdump,fcb,6,242397-242407
60,objdump,fcb,6,131457-131428
61,objdump,fcb,6,131507-132184
62,objdump,fcb,6,131502-131507
63,objdump,fcb,6,131473-132217
64,objdump,fcb,6,131987-132171
65,objdump,fcb,6,131415-132217
66,objdump,fcb,6,131521-131233
67,objdump,fcb,6,131218-131530
68,objdump,fcb,6,128301-127327
69,objdump,fcb,6,128323-127327
70,objdump,fcb,6,128312-127327
71,objdump,fcb,6,129681-129693
72,objdump,fcb,6,131696-131712
73,objdump,fcb,6,131720-131753
74,objdump,fcb,6,132446-133245
75,objdump,fcb,6,131218-132184
76,objdump,fcb,6,244831-244839
77,objdump,fcb,6,243911-243925
78,objdump,fcb,6,243907-243925
79,objdump,fcb,6,243890-243925
80,objdump,fcb,6,244651-244658
81,objdump,fcb,6,125577-125589
82,objdump,fcb,6,243800-243817
83,objdump,fcb,6,244632-244637
84,objdump,fcb,6,244632-244641
85,objdump,fcb,6,130330-130346
86,objdump,fcb,6,1766-1726
87,objdump,fcb,6,133234-133237
88,objdump,fcb,6,3940-3951
89,objdump,fcb,6,1002-1028
90,objdump,fcb,6,130300-130322
91,objdump,fcb,6,130322-130325
92,objdump,fcb,6,3823-3991
93,objdump,fcb,6,131599-131645
94,objdump,fcb,6,131639-131650
95,objdump,fcb,6,131701-131704
96,objdump,fcb,6,131576-132164
97,objdump,fcb,6,130300-130300
98,objdump,fcb,6,3848-3991
99,objdump,fcb,6,3984-3991
100,objdump,fcb,6,4313-4331
101,objdump,fcb,6,4343-4380
102,objdump,fcb,6,244822-244831
103,objdump,fcb,6,4927-4935
104,objdump,fcb,6,244818-244831
105,objdump,fcb,6,98126-98137
106,objdump,fcb,6,244822-244826
107,objdump,fcb,6,98338-98812
108,objdump,fcb,6,95834-95838
109,objdump,fcb,6,100145-100156
110,objdump,fcb,6,106596-106599
111,objdump,fcb,6,3896-3902
112,objdump,fcb,6,3984-3988
113,objdump,fcb,6,3986-3991
114,objdump,fcb,6,104593-104604
115,objdump,fcb,6,3917-3923
116,objdump,fcb,6,96244-96253
117,objdump,fcb,6,98338-99065
118,objdump,fcb,6,100830-100838
119,objdump,fcb,6,99467-99519
120,objdump,fcb,6,246400-246412
121,objdump,fcb,6,99641-99654
122,objdump,fcb,6,98338-98950
123,objdump,fcb,6,97403-97412
124,objdump,fcb,6,100527-100540
125,objdump,fcb,6,96558-96565
126,objdump,fcb,6,96576-97804
127,objdump,fcb,6,107102-107107
128,objdump,fcb,6,98223-98278
129,objdump,fcb,6,104334-104338
130,objdump,fcb,6,95942-96002
131,objdump,fcb,6,107077-107086
132,objdump,fcb,6,104978-104981
133,objdump,fcb,6,98223-98249
134,objdump,fcb,6,106741-106789
135,objdump,fcb,6,106874-106984
136,objdump,fcb,6,105368-105386
137,objdump,fcb,6,101135-101149
