,benchmark,fuzzer_combination,expid,edge
0,openssl,fca,9,568787-568796
1,openssl,fca,9,320674-320678
2,openssl,fca,9,319178-319192
3,openssl,fca,9,429039-429074
4,openssl,fca,9,354635-354638
5,openssl,fca,9,315637-316687
6,openssl,fca,9,39300-39322
7,openssl,fca,9,316071-316079
8,openssl,fca,9,318496-318506
9,openssl,fca,9,318103-318222
10,openssl,fca,9,321985-322023
11,openssl,fca,9,302864-302875
12,openssl,fca,9,218933-218980
13,openssl,fca,9,889174-889189
14,openssl,fca,9,352840-352911
15,openssl,fca,9,307064-307073
16,openssl,fca,9,897129-897143
17,openssl,fca,9,317965-317969
18,openssl,fca,9,317183-317185
19,openssl,fca,9,831210-831224
20,openssl,fca,9,310859-310866
21,openssl,fca,9,894479-894486
22,openssl,fca,9,102552-102560
23,openssl,fca,9,349169-349181
24,openssl,fca,9,820852-820858
25,openssl,fca,9,98594-98576
26,openssl,fca,9,98507-98523
27,openssl,fca,9,620247-620251
28,openssl,fca,9,317990-317996
29,openssl,fca,9,426416-426448
30,openssl,fca,9,296976-296989
31,openssl,fca,9,879630-879658
32,openssl,fca,9,831623-831634
33,openssl,fca,9,311190-311214
34,openssl,fca,9,353221-353227
35,openssl,fca,9,476411-476434
36,openssl,fca,9,895984-896013
37,openssl,fca,9,796386-796412
38,openssl,fca,9,307087-307153
39,openssl,fca,9,844723-844729
40,openssl,fca,9,316817-316920
41,openssl,fca,9,323614-323695
42,openssl,fca,9,898947-898962
43,openssl,fca,9,477600-477670
44,openssl,fca,9,98223-98279
45,openssl,fca,9,307365-307367
46,openssl,fca,9,38684-38698
47,openssl,fca,9,784348-784517
48,openssl,fca,9,318156-318172
49,openssl,fca,9,318543-318548
50,openssl,fca,9,310893-310902
51,openssl,fca,9,442671-442678
52,openssl,fca,9,304840-304852
53,openssl,fca,9,358277-358326
54,openssl,fca,9,311124-311137
55,openssl,fca,9,99524-99534
56,openssl,fca,9,304545-304566
57,openssl,fca,9,98672-98659
58,openssl,fca,9,321193-321200
59,openssl,fca,9,307160-307173
60,openssl,fca,9,824597-824601
61,openssl,fca,9,897415-897431
62,openssl,fca,9,426328-426747
63,openssl,fca,9,305104-305132
64,openssl,fca,9,302910-302916
65,openssl,fca,9,360052-360063
66,openssl,fca,9,476654-476677
67,openssl,fca,9,476418-476425
68,openssl,fca,9,879710-879723
69,openssl,fca,9,784667-784914
70,openssl,fca,9,891165-891178
71,openssl,fca,9,327729-327740
72,openssl,fca,9,306832-306876
73,openssl,fca,9,321089-321094
74,openssl,fca,9,319241-319245
75,openssl,fca,9,295933-295940
76,openssl,fca,9,14078-14092
77,openssl,fca,9,51689-51714
78,openssl,fca,9,52208-52210
79,openssl,fca,9,843539-843546
80,openssl,fca,9,897509-897748
81,openssl,fca,9,304828-304852
82,openssl,fca,9,898013-898036
83,openssl,fca,9,619310-619323
84,openssl,fca,9,705572-705606
85,openssl,fca,9,295229-295254
86,openssl,fca,9,298397-298404
87,openssl,fca,9,429123-429126
88,openssl,fca,9,382577-382657
89,openssl,fca,9,770051-770058
90,openssl,fca,9,821020-821022
91,openssl,fca,9,318143-318241
92,openssl,fca,9,318006-318010
93,openssl,fca,9,818418-818422
94,openssl,fca,9,297134-297147
95,openssl,fca,9,321528-321499
96,openssl,fca,9,843805-843842
97,openssl,fca,9,785414-785421
98,openssl,fca,9,349006-349153
99,openssl,fca,9,318400-318798
100,openssl,fca,9,318407-318414
101,openssl,fca,9,782456-782468
102,openssl,fca,9,317786-317793
103,openssl,fca,9,304458-304467
104,openssl,fca,9,784405-784517
105,openssl,fca,9,384846-384957
106,openssl,fca,9,63367-63389
107,openssl,fca,9,99911-100100
108,openssl,fca,9,897349-897415
109,openssl,fca,9,218939-218943
110,openssl,fca,9,884060-884069
111,openssl,fca,9,696511-696537
112,openssl,fca,9,317286-317387
113,openssl,fca,9,426546-426559
114,openssl,fca,9,844619-844634
115,openssl,fca,9,317279-317286
116,openssl,fca,9,296102-296108
117,openssl,fca,9,818433-818509
118,openssl,fca,9,304895-304907
119,openssl,fca,9,476667-476696
120,openssl,fca,9,362239-362259
121,openssl,fca,9,891206-891219
122,openssl,fca,9,318650-318658
123,openssl,fca,9,781905-781912
124,openssl,fca,9,301537-301682
125,openssl,fca,9,37295-37301
126,openssl,fca,9,441032-441036
127,openssl,fca,9,38677-38698
128,openssl,fca,9,354005-354012
129,openssl,fca,9,476646-476696
130,openssl,fca,9,293410-293413
131,openssl,fca,9,784667-784848
132,openssl,fca,9,888791-888814
133,openssl,fca,9,307302-307378
134,openssl,fca,9,784384-784517
135,openssl,fca,9,310893-310897
136,openssl,fca,9,353836-353855
137,openssl,fca,9,821006-821018
138,openssl,fca,9,321153-321158
139,openssl,fca,9,304800-305092
140,openssl,fca,9,774319-774336
141,openssl,fca,9,805787-805831
142,openssl,fca,9,784667-784948
143,openssl,fca,9,330023-330134
144,openssl,fca,9,304472-304487
145,openssl,fca,9,843507-843875
146,openssl,fca,9,843764-843770
147,openssl,fca,9,340026-340033
148,openssl,fca,9,634594-634609
149,openssl,fca,9,316223-316658
150,openssl,fca,9,799534-799556
151,openssl,fca,9,304501-305092
152,openssl,fca,9,772893-772897
153,openssl,fca,9,624950-624989
154,openssl,fca,9,824112-824116
155,openssl,fca,9,304974-304985
156,openssl,fca,9,316525-316658
157,openssl,fca,9,485712-485716
158,openssl,fca,9,317187-317191
159,openssl,fca,9,316882-316913
160,openssl,fca,9,295965-296014
161,openssl,fca,9,426551-426559
162,openssl,fca,9,295229-295236
163,openssl,fca,9,99513-99534
164,openssl,fca,9,317251-317286
165,openssl,fca,9,619376-619391
166,openssl,fca,9,330084-330108
167,openssl,fca,9,52422-52446
168,openssl,fca,9,53708-53722
169,openssl,fca,9,304852-304880
170,openssl,fca,9,329290-329307
171,openssl,fca,9,766074-766103
172,openssl,fca,9,895661-895666
173,openssl,fca,9,476339-476380
174,openssl,fca,9,426359-426747
175,openssl,fca,9,330056-330063
176,openssl,fca,9,843885-843931
177,openssl,fca,9,772690-772713
178,openssl,fca,9,304666-305092
179,openssl,fca,9,888876-888853
180,openssl,fca,9,301910-301936
181,openssl,fca,9,384596-384640
182,openssl,fca,9,304932-305092
183,openssl,fca,9,298256-298322
184,openssl,fca,9,892802-892815
185,openssl,fca,9,304524-305092
186,openssl,fca,9,897674-897795
187,openssl,fca,9,897166-897199
188,openssl,fca,9,390647-390658
189,openssl,fca,9,319152-319159
190,openssl,fca,9,771783-771790
191,openssl,fca,9,188696-188712
192,openssl,fca,9,453550-453566
193,openssl,fca,9,898764-898799
194,openssl,fca,9,897931-897969
195,openssl,fca,9,53391-53404
196,openssl,fca,9,898937-898974
197,openssl,fca,9,800541-800574
198,openssl,fca,9,187919-187930
199,openssl,fca,9,800738-800746
200,openssl,fca,9,317258-317286
201,openssl,fca,9,8016-8018
202,openssl,fca,9,885680-885695
203,openssl,fca,9,320658-320665
204,openssl,fca,9,781865-781914
205,openssl,fca,9,897123-897159
206,openssl,fca,9,635001-635048
207,openssl,fca,9,320996-321047
208,openssl,fca,9,318163-318241
209,openssl,fca,9,362375-362379
210,openssl,fca,9,362209-362230
211,openssl,fca,9,315781-316658
212,openssl,fca,9,432379-432414
213,openssl,fca,9,307198-307232
214,openssl,fca,9,296215-296247
215,openssl,fca,9,293216-293382
216,openssl,fca,9,783977-784495
217,openssl,fca,9,320935-321202
218,openssl,fca,9,310851-311018
219,openssl,fca,9,426575-426747
220,openssl,fca,9,317140-317154
221,openssl,fca,9,705461-705536
222,openssl,fca,9,777834-777848
223,openssl,fca,9,844135-844145
224,openssl,fca,9,319482-319495
225,openssl,fca,9,321132-321137
226,openssl,fca,9,820451-820459
227,openssl,fca,9,293394-293410
228,openssl,fca,9,843539-843562
229,openssl,fca,9,297134-297138
230,openssl,fca,9,783977-784407
231,openssl,fca,9,390616-390637
232,openssl,fca,9,844091-844147
233,openssl,fca,9,798297-798322
234,openssl,fca,9,298309-298322
235,openssl,fca,9,806059-806073
236,openssl,fca,9,843516-843562
237,openssl,fca,9,476583-476591
238,openssl,fca,9,426616-426624
239,openssl,fca,9,624943-624950
240,openssl,fca,9,190979-191011
241,openssl,fca,9,295947-296018
242,openssl,fca,9,321167-321172
243,openssl,fca,9,304785-304790
244,openssl,fca,9,298404-298415
245,openssl,fca,9,296280-296477
246,openssl,fca,9,320935-321139
247,openssl,fca,9,843945-844314
248,openssl,fca,9,307107-307115
249,openssl,fca,9,485723-485731
250,openssl,fca,9,892537-892542
