,benchmark,fuzzer_combination,expid,edge
0,openssl,fcb,13,319332-319342
1,openssl,fcb,13,424-472
2,openssl,fcb,13,310859-310866
3,openssl,fcb,13,492271-492285
4,openssl,fcb,13,330117-330119
5,openssl,fcb,13,70700-70705
6,openssl,fcb,13,485292-485294
7,openssl,fcb,13,218929-218933
8,openssl,fcb,13,897296-897391
9,openssl,fcb,13,321985-322023
10,openssl,fcb,13,888827-888853
11,openssl,fcb,13,304368-304370
12,openssl,fcb,13,390658-390674
13,openssl,fcb,13,303295-303304
14,openssl,fcb,13,318222-318226
15,openssl,fcb,13,317218-317367
16,openssl,fcb,13,310933-310944
17,openssl,fcb,13,889158-889174
18,openssl,fcb,13,432869-432898
19,openssl,fcb,13,813545-813550
20,openssl,fcb,13,297816-297845
21,openssl,fcb,13,319091-319099
22,openssl,fcb,13,98672-98679
23,openssl,fcb,13,99112-99120
24,openssl,fcb,13,619226-619248
25,openssl,fcb,13,327686-327693
26,openssl,fcb,13,318156-318172
27,openssl,fcb,13,892963-892982
28,openssl,fcb,13,472208-472220
29,openssl,fcb,13,879800-879807
30,openssl,fcb,13,298809-298816
31,openssl,fcb,13,63204-63233
32,openssl,fcb,13,498885-498895
33,openssl,fcb,13,831159-831172
34,openssl,fcb,13,897736-897776
35,openssl,fcb,13,318599-318604
36,openssl,fcb,13,318386-318620
37,openssl,fcb,13,351954-351967
38,openssl,fcb,13,305090-305092
39,openssl,fcb,13,894505-894520
40,openssl,fcb,13,318386-318641
41,openssl,fcb,13,601473-601497
42,openssl,fcb,13,429012-429023
43,openssl,fcb,13,317223-317245
44,openssl,fcb,13,53740-53752
45,openssl,fcb,13,98591-98594
46,openssl,fcb,13,476638-476654
47,openssl,fcb,13,323803-323816
48,openssl,fcb,13,795276-795288
49,openssl,fcb,13,476461-476465
50,openssl,fcb,13,476518-476708
51,openssl,fcb,13,476654-476677
52,openssl,fcb,13,98223-98279
53,openssl,fcb,13,304807-304824
54,openssl,fcb,13,879723-879726
55,openssl,fcb,13,844038-844054
56,openssl,fcb,13,774232-774238
57,openssl,fcb,13,831634-831800
58,openssl,fcb,13,824601-824632
59,openssl,fcb,13,318386-318543
60,openssl,fcb,13,311186-311190
61,openssl,fcb,13,305692-305755
62,openssl,fcb,13,296367-296374
63,openssl,fcb,13,307259-307272
64,openssl,fcb,13,426315-426328
65,openssl,fcb,13,51689-51714
66,openssl,fcb,13,820937-820949
67,openssl,fcb,13,476418-476425
68,openssl,fcb,13,327693-327729
69,openssl,fcb,13,304828-304852
70,openssl,fcb,13,705321-705373
71,openssl,fcb,13,839237-839241
72,openssl,fcb,13,892848-892870
73,openssl,fcb,13,317917-318006
74,openssl,fcb,13,771802-771846
75,openssl,fcb,13,777135-777152
76,openssl,fcb,13,358277-358326
77,openssl,fcb,13,311124-311137
78,openssl,fcb,13,321101-321113
79,openssl,fcb,13,321186-321193
80,openssl,fcb,13,891165-891178
81,openssl,fcb,13,898013-898036
82,openssl,fcb,13,318172-318183
83,openssl,fcb,13,784335-784348
84,openssl,fcb,13,307249-307367
