,benchmark,fuzzer_combination,expid,edge
0,readelf,fca,4,2659-2686
1,readelf,fca,4,3056-3060
2,readelf,fca,4,3814-3915
3,readelf,fca,4,64392-64400
4,readelf,fca,4,13308-13408
5,readelf,fca,4,3886-3915
6,readelf,fca,4,64579-64610
7,readelf,fca,4,3889-3903
8,readelf,fca,4,13269-13408
9,readelf,fca,4,3511-3523
10,readelf,fca,4,3079-3098
11,readelf,fca,4,461-465
12,readelf,fca,4,3900-3903
13,readelf,fca,4,13414-13553
14,readelf,fca,4,13427-13431
15,readelf,fca,4,64716-64760
16,readelf,fca,4,3297-3657
17,readelf,fca,4,517-536
18,readelf,fca,4,3523-3534
19,readelf,fca,4,12503-12508
20,readelf,fca,4,64941-64950
21,readelf,fca,4,13575-13595
22,readelf,fca,4,13652-13658
23,readelf,fca,4,17059-17260
24,readelf,fca,4,13623-13647
25,readelf,fca,4,13571-13599
26,readelf,fca,4,13635-13647
27,readelf,fca,4,3987-4080
28,readelf,fca,4,13652-13655
29,readelf,fca,4,13288-13408
30,readelf,fca,4,13614-13617
31,readelf,fca,4,13626-13647
32,readelf,fca,4,4104-4113
33,readelf,fca,4,4113-4123
34,readelf,fca,4,4101-4113
35,readelf,fca,4,17171-17174
36,readelf,fca,4,9845-10106
37,readelf,fca,4,4091-4098
38,readelf,fca,4,13980-16221
39,readelf,fca,4,13599-13575
40,readelf,fca,4,4329-4333
41,readelf,fca,4,17069-17260
42,readelf,fca,4,17073-17080
43,readelf,fca,4,13652-13660
44,readelf,fca,4,13614-13620
45,readelf,fca,4,13639-13647
46,readelf,fca,4,13772-13974
47,readelf,fca,4,6222-8787
48,readelf,fca,4,13652-13788
49,readelf,fca,4,4113-4125
50,readelf,fca,4,13774-13974
51,readelf,fca,4,13652-13768
52,readelf,fca,4,13932-13974
53,readelf,fca,4,13652-13736
54,readelf,fca,4,13652-13792
55,readelf,fca,4,13852-13974
56,readelf,fca,4,13962-13974
57,readelf,fca,4,13652-13682
58,readelf,fca,4,13652-13776
59,readelf,fca,4,13712-13974
60,readelf,fca,4,13696-13974
61,readelf,fca,4,14811-14852
62,readelf,fca,4,13662-13974
63,readelf,fca,4,3987-4091
64,readelf,fca,4,13900-13974
65,readelf,fca,4,13666-13974
66,readelf,fca,4,13694-13974
67,readelf,fca,4,15139-15148
68,readelf,fca,4,13664-13974
69,readelf,fca,4,13964-13974
70,readelf,fca,4,13652-13684
71,readelf,fca,4,13952-13974
72,readelf,fca,4,13744-13974
73,readelf,fca,4,13652-13680
74,readelf,fca,4,13652-13908
75,readelf,fca,4,13668-13974
76,readelf,fca,4,15102-15126
77,readelf,fca,4,13652-13672
78,readelf,fca,4,17157-17260
79,readelf,fca,4,13652-13934
80,readelf,fca,4,13652-13778
81,readelf,fca,4,13916-13974
82,readelf,fca,4,13966-13974
83,readelf,fca,4,13652-13954
84,readelf,fca,4,63656-63663
85,readelf,fca,4,13858-13974
86,readelf,fca,4,13652-13936
87,readelf,fca,4,13652-13946
88,readelf,fca,4,13652-13956
89,readelf,fca,4,13652-13940
90,readelf,fca,4,13748-13974
91,readelf,fca,4,13842-13974
92,readelf,fca,4,14583-14595
93,readelf,fca,4,16049-16054
94,readelf,fca,4,13950-13974
95,readelf,fca,4,63656-63661
96,readelf,fca,4,13760-13974
97,readelf,fca,4,13652-13844
98,readelf,fca,4,15267-15270
99,readelf,fca,4,13652-13948
100,readelf,fca,4,13872-13974
101,readelf,fca,4,13652-13928
102,readelf,fca,4,13676-13974
103,readelf,fca,4,13870-13974
104,readelf,fca,4,13652-13702
105,readelf,fca,4,23132-24363
106,readelf,fca,4,13686-13974
107,readelf,fca,4,13688-13974
108,readelf,fca,4,13652-13786
109,readelf,fca,4,4269-4281
110,readelf,fca,4,4300-4307
111,readelf,fca,4,12833-12881
112,readelf,fca,4,15013-15102
113,readelf,fca,4,13734-13974
114,readelf,fca,4,13918-13974
115,readelf,fca,4,3558-3657
116,readelf,fca,4,4285-4291
117,readelf,fca,4,3523-3529
118,readelf,fca,4,14522-14536
119,readelf,fca,4,65664-65575
120,readelf,fca,4,14570-14573
121,readelf,fca,4,65656-65575
122,readelf,fca,4,65608-65575
123,readelf,fca,4,65600-65575
124,readelf,fca,4,13914-13974
125,readelf,fca,4,14577-14583
126,readelf,fca,4,14583-14590
127,readelf,fca,4,13896-13974
128,readelf,fca,4,13698-13974
129,readelf,fca,4,15130-15134
130,readelf,fca,4,14525-16221
131,readelf,fca,4,14530-16221
132,readelf,fca,4,14075-14081
133,readelf,fca,4,15005-15010
134,readelf,fca,4,13652-13804
135,readelf,fca,4,65680-65575
136,readelf,fca,4,65624-65575
137,readelf,fca,4,13670-13974
138,readelf,fca,4,14075-14227
139,readelf,fca,4,65616-65575
140,readelf,fca,4,13590-13609
141,readelf,fca,4,13581-13609
142,readelf,fca,4,12877-12881
143,readelf,fca,4,14087-16221
144,readelf,fca,4,14317-14418
145,readelf,fca,4,13718-13974
146,readelf,fca,4,14075-14156
147,readelf,fca,4,14048-16221
148,readelf,fca,4,16210-16214
149,readelf,fca,4,13988-13990
150,readelf,fca,4,14711-16221
151,readelf,fca,4,14150-14125
152,readelf,fca,4,13818-13974
153,readelf,fca,4,13652-13884
154,readelf,fca,4,14183-16221
155,readelf,fca,4,22423-23015
156,readelf,fca,4,13652-13766
157,readelf,fca,4,13652-13868
158,readelf,fca,4,14081-16221
159,readelf,fca,4,15928-15932
160,readelf,fca,4,13431-13433
161,readelf,fca,4,17163-17167
162,readelf,fca,4,13652-13920
163,readelf,fca,4,14827-14877
164,readelf,fca,4,14747-14752
165,readelf,fca,4,14752-14761
166,readelf,fca,4,14832-14877
167,readelf,fca,4,13652-13968
168,readelf,fca,4,14797-14806
169,readelf,fca,4,14862-14877
170,readelf,fca,4,13652-13706
171,readelf,fca,4,13652-13784
172,readelf,fca,4,13652-13790
173,readelf,fca,4,65672-65575
174,readelf,fca,4,65648-65575
175,readelf,fca,4,16036-16044
176,readelf,fca,4,13652-13710
177,readelf,fca,4,13652-13728
178,readelf,fca,4,15919-15923
179,readelf,fca,4,13782-13974
180,readelf,fca,4,13652-13846
181,readelf,fca,4,13722-13974
182,readelf,fca,4,13750-13974
183,readelf,fca,4,13652-13930
184,readelf,fca,4,13652-13924
185,readelf,fca,4,15853-15857
186,readelf,fca,4,13816-13974
187,readelf,fca,4,16072-16076
188,readelf,fca,4,13652-13746
189,readelf,fca,4,13652-13820
190,readelf,fca,4,13794-13974
191,readelf,fca,4,13856-13974
192,readelf,fca,4,13652-13730
193,readelf,fca,4,14310-14413
194,readelf,fca,4,13652-13810
195,readelf,fca,4,13910-13974
196,readelf,fca,4,14323-14418
197,readelf,fca,4,13122-13126
198,readelf,fca,4,13652-13770
199,readelf,fca,4,13652-13758
200,readelf,fca,4,13652-13724
201,readelf,fca,4,13960-13974
202,readelf,fca,4,13762-13974
203,readelf,fca,4,13652-13838
204,readelf,fca,4,13814-13974
205,readelf,fca,4,13780-13974
206,readelf,fca,4,13988-15750
207,readelf,fca,4,13652-13704
208,readelf,fca,4,15618-15722
209,readelf,fca,4,13652-13700
210,readelf,fca,4,15866-15871
211,readelf,fca,4,13652-13850
212,readelf,fca,4,14017-14035
213,readelf,fca,4,14920-14924
214,readelf,fca,4,14920-16221
215,readelf,fca,4,13988-15880
216,readelf,fca,4,13652-13798
217,readelf,fca,4,13652-13848
218,readelf,fca,4,15889-15893
219,readelf,fca,4,13874-13974
220,readelf,fca,4,13652-13720
221,readelf,fca,4,13652-13958
222,readelf,fca,4,13876-13974
223,readelf,fca,4,13652-13878
224,readelf,fca,4,15241-15253
225,readelf,fca,4,16099-16221
226,readelf,fca,4,15424-15429
227,readelf,fca,4,15276-16221
228,readelf,fca,4,14715-16221
229,readelf,fca,4,15261-15270
230,readelf,fca,4,16036-16054
231,readelf,fca,4,13988-14719
232,readelf,fca,4,13808-13974
233,readelf,fca,4,14125-14135
234,readelf,fca,4,13652-13904
235,readelf,fca,4,13742-13974
236,readelf,fca,4,13652-13890
237,readelf,fca,4,14017-14025
238,readelf,fca,4,15610-15613
239,readelf,fca,4,15623-15722
240,readelf,fca,4,9362-9364
241,readelf,fca,4,15610-15628
242,readelf,fca,4,15143-15148
243,readelf,fca,4,15157-15216
244,readelf,fca,4,15814-15820
245,readelf,fca,4,14996-15001
246,readelf,fca,4,14227-14235
247,readelf,fca,4,15726-15731
248,readelf,fca,4,14280-14295
249,readelf,fca,4,13062-13106
250,readelf,fca,4,14290-14295
251,readelf,fca,4,15693-15722
252,readelf,fca,4,14040-16221
253,readelf,fca,4,14235-14250
254,readelf,fca,4,15102-15116
255,readelf,fca,4,15093-15102
256,readelf,fca,4,15196-16221
257,readelf,fca,4,14719-16221
