,benchmark,fuzzer_combination,expid,edge
0,readelf,fcb,6,3075-3083
1,readelf,fcb,6,3683-3733
2,readelf,fcb,6,3060-3104
3,readelf,fcb,6,3903-3923
4,readelf,fcb,6,3889-3903
5,readelf,fcb,6,64579-64587
6,readelf,fcb,6,13269-13408
7,readelf,fcb,6,13286-13408
8,readelf,fcb,6,3817-3886
9,readelf,fcb,6,65387-65396
10,readelf,fcb,6,3075-3079
11,readelf,fcb,6,13446-13453
12,readelf,fcb,6,465-471
13,readelf,fcb,6,64716-64760
14,readelf,fcb,6,13431-13553
15,readelf,fcb,6,13414-13553
16,readelf,fcb,6,3297-3657
17,readelf,fcb,6,65005-65013
18,readelf,fcb,6,13334-13340
19,readelf,fcb,6,65115-65126
20,readelf,fcb,6,65033-65039
21,readelf,fcb,6,3563-3577
22,readelf,fcb,6,65005-65009
23,readelf,fcb,6,65680-65575
24,readelf,fcb,6,65291-65304
25,readelf,fcb,6,3544-3558
26,readelf,fcb,6,65009-65029
27,readelf,fcb,6,65616-65575
28,readelf,fcb,6,3919-3923
29,readelf,fcb,6,65608-65575
30,readelf,fcb,6,65565-65575
31,readelf,fcb,6,67332-67343
32,readelf,fcb,6,65592-65575
33,readelf,fcb,6,65600-65575
34,readelf,fcb,6,65584-65575
35,readelf,fcb,6,3599-3639
36,readelf,fcb,6,65672-65575
37,readelf,fcb,6,65656-65575
38,readelf,fcb,6,65648-65575
39,readelf,fcb,6,65640-65575
40,readelf,fcb,6,65632-65575
41,readelf,fcb,6,65624-65575
42,readelf,fcb,6,65688-65575
43,readelf,fcb,6,65664-65575
44,readelf,fcb,6,65099-65109
45,readelf,fcb,6,65033-65044
46,readelf,fcb,6,65052-65062
47,readelf,fcb,6,65066-65070
48,readelf,fcb,6,65066-65077
49,readelf,fcb,6,65082-65086
50,readelf,fcb,6,8787-9349
51,readelf,fcb,6,17059-17260
52,readelf,fcb,6,4250-4260
53,readelf,fcb,6,4113-4125
54,readelf,fcb,6,13652-13884
55,readelf,fcb,6,13632-13635
56,readelf,fcb,6,13599-13604
57,readelf,fcb,6,4123-4125
58,readelf,fcb,6,4091-4098
59,readelf,fcb,6,13655-13974
60,readelf,fcb,6,13632-13639
61,readelf,fcb,6,3987-4080
62,readelf,fcb,6,4101-4113
63,readelf,fcb,6,14559-14573
64,readelf,fcb,6,3987-4091
65,readelf,fcb,6,13286-13288
66,readelf,fcb,6,6222-8787
67,readelf,fcb,6,14570-14573
68,readelf,fcb,6,17069-17260
69,readelf,fcb,6,14583-16221
70,readelf,fcb,6,13774-13974
71,readelf,fcb,6,13660-13974
72,readelf,fcb,6,14541-14559
73,readelf,fcb,6,4325-5585
74,readelf,fcb,6,13626-13647
75,readelf,fcb,6,13599-13575
76,readelf,fcb,6,16217-16221
77,readelf,fcb,6,13796-13974
78,readelf,fcb,6,13614-13623
79,readelf,fcb,6,13658-13974
80,readelf,fcb,6,13614-13620
81,readelf,fcb,6,4091-4104
82,readelf,fcb,6,13652-13736
83,readelf,fcb,6,13876-13974
84,readelf,fcb,6,13652-13880
85,readelf,fcb,6,13652-13852
86,readelf,fcb,6,13652-13874
87,readelf,fcb,6,13652-13668
88,readelf,fcb,6,15787-15796
89,readelf,fcb,6,12829-12833
90,readelf,fcb,6,13652-13760
91,readelf,fcb,6,14522-14525
92,readelf,fcb,6,13810-13974
93,readelf,fcb,6,13652-13858
94,readelf,fcb,6,13652-13794
95,readelf,fcb,6,13778-13974
96,readelf,fcb,6,13652-13864
97,readelf,fcb,6,17073-17080
98,readelf,fcb,6,15796-15799
99,readelf,fcb,6,13694-13974
100,readelf,fcb,6,13720-13974
101,readelf,fcb,6,63665-63671
102,readelf,fcb,6,14882-14890
103,readelf,fcb,6,13652-13776
104,readelf,fcb,6,16129-16164
105,readelf,fcb,6,13892-13974
106,readelf,fcb,6,14811-14827
107,readelf,fcb,6,4358-5572
108,readelf,fcb,6,14723-16221
109,readelf,fcb,6,15759-15768
110,readelf,fcb,6,13652-13676
111,readelf,fcb,6,13786-13974
112,readelf,fcb,6,13652-13962
113,readelf,fcb,6,13652-13746
114,readelf,fcb,6,13652-13718
115,readelf,fcb,6,13652-13968
116,readelf,fcb,6,13842-13974
117,readelf,fcb,6,13652-13898
118,readelf,fcb,6,13652-13844
119,readelf,fcb,6,13950-13974
120,readelf,fcb,6,13652-13688
121,readelf,fcb,6,13908-13974
122,readelf,fcb,6,13652-13838
123,readelf,fcb,6,15787-15791
124,readelf,fcb,6,15796-15804
125,readelf,fcb,6,13870-13974
126,readelf,fcb,6,13652-13680
127,readelf,fcb,6,13652-13766
128,readelf,fcb,6,13578-13584
129,readelf,fcb,6,16174-16214
130,readelf,fcb,6,13698-13974
131,readelf,fcb,6,14583-14595
132,readelf,fcb,6,14522-14536
133,readelf,fcb,6,63659-63665
134,readelf,fcb,6,14530-16221
135,readelf,fcb,6,13652-13896
136,readelf,fcb,6,16111-16115
137,readelf,fcb,6,13988-14695
138,readelf,fcb,6,16111-16221
139,readelf,fcb,6,13652-13782
140,readelf,fcb,6,14974-14983
141,readelf,fcb,6,14703-14707
142,readelf,fcb,6,14698-14703
143,readelf,fcb,6,14862-14877
144,readelf,fcb,6,12829-12877
145,readelf,fcb,6,16129-16179
146,readelf,fcb,6,13652-13850
147,readelf,fcb,6,13826-13974
148,readelf,fcb,6,13652-13890
149,readelf,fcb,6,14756-14761
150,readelf,fcb,6,15102-15126
151,readelf,fcb,6,13862-13974
152,readelf,fcb,6,16129-16194
153,readelf,fcb,6,13750-13974
154,readelf,fcb,6,13904-13974
155,readelf,fcb,6,13710-13974
156,readelf,fcb,6,14738-14743
157,readelf,fcb,6,13856-13974
158,readelf,fcb,6,13652-13918
159,readelf,fcb,6,13848-13974
160,readelf,fcb,6,13652-13734
161,readelf,fcb,6,13744-13974
162,readelf,fcb,6,13788-13974
163,readelf,fcb,6,13652-13714
164,readelf,fcb,6,14058-14075
165,readelf,fcb,6,14068-14075
166,readelf,fcb,6,13672-13974
167,readelf,fcb,6,14770-14774
168,readelf,fcb,6,16129-16139
169,readelf,fcb,6,13122-13126
170,readelf,fcb,6,13712-13974
171,readelf,fcb,6,16214-16221
172,readelf,fcb,6,13812-13974
173,readelf,fcb,6,13888-13974
174,readelf,fcb,6,16159-16214
175,readelf,fcb,6,13587-13609
176,readelf,fcb,6,13822-13974
177,readelf,fcb,6,13886-13974
178,readelf,fcb,6,13652-13868
179,readelf,fcb,6,13900-13974
180,readelf,fcb,6,13652-13832
181,readelf,fcb,6,14448-14452
182,readelf,fcb,6,14429-14438
183,readelf,fcb,6,28565-28935
184,readelf,fcb,6,13906-13974
185,readelf,fcb,6,15191-16221
186,readelf,fcb,6,13652-13846
187,readelf,fcb,6,17157-17260
188,readelf,fcb,6,13652-13808
189,readelf,fcb,6,15835-15839
190,readelf,fcb,6,15157-15196
191,readelf,fcb,6,13652-13854
192,readelf,fcb,6,13792-13974
193,readelf,fcb,6,15999-16221
194,readelf,fcb,6,15910-15914
195,readelf,fcb,6,15990-15999
196,readelf,fcb,6,13724-13974
197,readelf,fcb,6,14929-14938
198,readelf,fcb,6,15173-16221
199,readelf,fcb,6,4269-4281
200,readelf,fcb,6,4300-4303
201,readelf,fcb,6,4281-4285
202,readelf,fcb,6,13684-13974
203,readelf,fcb,6,14974-14978
204,readelf,fcb,6,5057-5066
205,readelf,fcb,6,13878-13974
206,readelf,fcb,6,13652-13728
207,readelf,fcb,6,13754-13974
208,readelf,fcb,6,13652-13738
209,readelf,fcb,6,15157-15206
210,readelf,fcb,6,14885-16221
211,readelf,fcb,6,13816-13974
212,readelf,fcb,6,15157-15185
213,readelf,fcb,6,14882-14911
214,readelf,fcb,6,13652-13804
215,readelf,fcb,6,14920-14924
216,readelf,fcb,6,13758-13974
217,readelf,fcb,6,13652-13704
218,readelf,fcb,6,13652-13872
219,readelf,fcb,6,13652-13768
220,readelf,fcb,6,13652-13762
221,readelf,fcb,6,13818-13974
222,readelf,fcb,6,14719-16221
223,readelf,fcb,6,13814-13974
224,readelf,fcb,6,13652-13940
225,readelf,fcb,6,13652-13806
226,readelf,fcb,6,13652-13910
227,readelf,fcb,6,13652-13894
228,readelf,fcb,6,13652-13830
229,readelf,fcb,6,13652-13902
230,readelf,fcb,6,13652-13722
231,readelf,fcb,6,14418-14423
232,readelf,fcb,6,13800-13974
233,readelf,fcb,6,13652-13924
234,readelf,fcb,6,15157-15216
235,readelf,fcb,6,15201-16221
236,readelf,fcb,6,14916-16221
237,readelf,fcb,6,15010-15102
238,readelf,fcb,6,15121-15130
239,readelf,fcb,6,15106-15130
240,readelf,fcb,6,13652-13780
241,readelf,fcb,6,15167-16221
242,readelf,fcb,6,15179-16221
243,readelf,fcb,6,15116-15130
244,readelf,fcb,6,13114-13126
245,readelf,fcb,6,14418-16221
246,readelf,fcb,6,13764-13974
247,readelf,fcb,6,13700-13974
248,readelf,fcb,6,15718-15722
249,readelf,fcb,6,14075-14087
250,readelf,fcb,6,14295-14235
251,readelf,fcb,6,13062-13065
252,readelf,fcb,6,14161-14167
253,readelf,fcb,6,13928-13974
254,readelf,fcb,6,14235-14245
255,readelf,fcb,6,13652-13756
256,readelf,fcb,6,14075-14117
257,readelf,fcb,6,13652-13772
258,readelf,fcb,6,13686-13974
259,readelf,fcb,6,13652-13662
260,readelf,fcb,6,16120-16221
261,readelf,fcb,6,13652-13966
262,readelf,fcb,6,13988-13990
263,readelf,fcb,6,13946-13974
264,readelf,fcb,6,13652-13956
265,readelf,fcb,6,13652-13820
266,readelf,fcb,6,13730-13974
267,readelf,fcb,6,13936-13974
268,readelf,fcb,6,13652-13958
269,readelf,fcb,6,14413-14418
270,readelf,fcb,6,13652-13934
271,readelf,fcb,6,13912-13974
272,readelf,fcb,6,13696-13974
273,readelf,fcb,6,13748-13974
274,readelf,fcb,6,13914-13974
275,readelf,fcb,6,14106-14111
276,readelf,fcb,6,14156-16221
277,readelf,fcb,6,14275-14295
278,readelf,fcb,6,14715-16221
279,readelf,fcb,6,15735-16221
280,readelf,fcb,6,15741-16221
281,readelf,fcb,6,14235-14285
282,readelf,fcb,6,13652-13784
283,readelf,fcb,6,13964-13974
284,readelf,fcb,6,14761-14765
285,readelf,fcb,6,13433-13553
286,readelf,fcb,6,17163-17167
287,readelf,fcb,6,15726-15731
288,readelf,fcb,6,13062-13106
289,readelf,fcb,6,14857-14877
290,readelf,fcb,6,478-482
291,readelf,fcb,6,13652-13790
292,readelf,fcb,6,15267-15270
293,readelf,fcb,6,13652-13960
294,readelf,fcb,6,14310-14388
295,readelf,fcb,6,9354-9360
296,readelf,fcb,6,15658-15722
297,readelf,fcb,6,15884-15889
298,readelf,fcb,6,15889-16221
299,readelf,fcb,6,13468-13479
300,readelf,fcb,6,13652-13916
301,readelf,fcb,6,15919-15923
302,readelf,fcb,6,14373-14418
303,readelf,fcb,6,13770-13974
304,readelf,fcb,6,13948-13974
305,readelf,fcb,6,13930-13974
306,readelf,fcb,6,15010-15033
307,readelf,fcb,6,14008-14012
308,readelf,fcb,6,13993-14008
309,readelf,fcb,6,13652-13952
310,readelf,fcb,6,15058-15102
311,readelf,fcb,6,13998-14008
312,readelf,fcb,6,15610-15688
313,readelf,fcb,6,15613-15722
314,readelf,fcb,6,15653-15722
315,readelf,fcb,6,15610-15698
316,readelf,fcb,6,15610-15708
317,readelf,fcb,6,15610-15713
318,readelf,fcb,6,15633-15722
319,readelf,fcb,6,15663-15722
320,readelf,fcb,6,15610-15628
321,readelf,fcb,6,15848-15853
322,readelf,fcb,6,15610-15638
323,readelf,fcb,6,16058-16221
324,readelf,fcb,6,13652-13954
325,readelf,fcb,6,16008-16012
326,readelf,fcb,6,15928-15937
327,readelf,fcb,6,15018-15102
328,readelf,fcb,6,15010-15088
329,readelf,fcb,6,16017-16027
330,readelf,fcb,6,15010-15083
331,readelf,fcb,6,15078-15102
332,readelf,fcb,6,15010-15013
333,readelf,fcb,6,14806-16221
334,readelf,fcb,6,13920-13974
335,readelf,fcb,6,13062-13110
336,readelf,fcb,6,15623-15722
337,readelf,fcb,6,15703-15722
338,readelf,fcb,6,15610-15618
339,readelf,fcb,6,15610-15683
340,readelf,fcb,6,15862-15871
341,readelf,fcb,6,15610-15673
342,readelf,fcb,6,13652-13932
343,readelf,fcb,6,15648-15722
344,readelf,fcb,6,15610-15643
345,readelf,fcb,6,15610-15693
346,readelf,fcb,6,14043-16221
347,readelf,fcb,6,14895-16221
348,readelf,fcb,6,14905-16221
349,readelf,fcb,6,14900-16221
350,readelf,fcb,6,14048-16221
351,readelf,fcb,6,14053-16221
352,readelf,fcb,6,16542-16545
353,readelf,fcb,6,16790-16810
354,readelf,fcb,6,16790-16813
355,readelf,fcb,6,16790-16822
356,readelf,fcb,6,4362-4392
357,readelf,fcb,6,14350-14418
358,readelf,fcb,6,15393-15407
359,readelf,fcb,6,15568-15574
360,readelf,fcb,6,15253-15261
361,readelf,fcb,6,15225-15241
362,readelf,fcb,6,15270-15276
363,readelf,fcb,6,15393-15399
364,readelf,fcb,6,5664-5674
365,readelf,fcb,6,5220-5236
366,readelf,fcb,6,4369-4392
367,readelf,fcb,6,11291-11682
368,readelf,fcb,6,5230-5236
369,readelf,fcb,6,16366-16595
370,readelf,fcb,6,4291-4296
371,readelf,fcb,6,16293-16333
372,readelf,fcb,6,16392-16595
373,readelf,fcb,6,14125-14135
374,readelf,fcb,6,15910-15919
375,readelf,fcb,6,13652-13922
376,readelf,fcb,6,13866-13974
377,readelf,fcb,6,13988-14466
378,readelf,fcb,6,63663-63665
379,readelf,fcb,6,14667-14676
380,readelf,fcb,6,4125-4201
381,readelf,fcb,6,13652-13836
382,readelf,fcb,6,16090-16099
383,readelf,fcb,6,13652-13840
384,readelf,fcb,6,16054-16221
385,readelf,fcb,6,13882-13974
386,readelf,fcb,6,13834-13974
387,readelf,fcb,6,13828-13974
388,readelf,fcb,6,13732-13974
389,readelf,fcb,6,4427-4435
390,readelf,fcb,6,16412-16595
391,readelf,fcb,6,15668-15722
392,readelf,fcb,6,15610-15678
393,readelf,fcb,6,13062-13118
394,readelf,fcb,6,13592-13609
395,readelf,fcb,6,4392-4415
396,readelf,fcb,6,16421-16458
397,readelf,fcb,6,16482-16494
398,readelf,fcb,6,16548-16595
399,readelf,fcb,6,16199-16214
400,readelf,fcb,6,16129-16134
401,readelf,fcb,6,16129-16169
402,readelf,fcb,6,16129-16154
403,readelf,fcb,6,16129-16149
404,readelf,fcb,6,16129-16184
405,readelf,fcb,6,16475-16494
406,readelf,fcb,6,16342-16356
407,readelf,fcb,6,13208-13234
408,readelf,fcb,6,16314-16333
409,readelf,fcb,6,14081-16221
410,readelf,fcb,6,1798-2022
411,readelf,fcb,6,9193-9203
412,readelf,fcb,6,16363-16388
413,readelf,fcb,6,4481-4531
414,readelf,fcb,6,16380-16595
415,readelf,fcb,6,4495-4504
416,readelf,fcb,6,16363-16398
417,readelf,fcb,6,16390-16595
418,readelf,fcb,6,14310-14393
419,readelf,fcb,6,14329-14418
420,readelf,fcb,6,14403-14418
421,readelf,fcb,6,14356-14418
422,readelf,fcb,6,14310-14334
423,readelf,fcb,6,14345-14418
424,readelf,fcb,6,14310-14317
425,readelf,fcb,6,14310-14408
426,readelf,fcb,6,14310-14323
427,readelf,fcb,6,16384-16595
428,readelf,fcb,6,16363-16378
429,readelf,fcb,6,16363-16376
430,readelf,fcb,6,5644-5648
431,readelf,fcb,6,26788-27608
432,readelf,fcb,6,17666-17693
433,readelf,fcb,6,4481-4609
434,readelf,fcb,6,9362-9364
435,readelf,fcb,6,2457-2460
436,readelf,fcb,6,12791-12799
437,readelf,fcb,6,9212-9223
438,readelf,fcb,6,2012-2017
439,readelf,fcb,6,16363-16374
440,readelf,fcb,6,5624-5658
441,readelf,fcb,6,15093-15102
442,readelf,fcb,6,17724-17734
443,readelf,fcb,6,1846-1907
444,readelf,fcb,6,16036-16039
445,readelf,fcb,6,2403-2409
446,readelf,fcb,6,16049-16054
447,readelf,fcb,6,14667-14671
448,readelf,fcb,6,5735-5752
449,readelf,fcb,6,4592-5057
450,readelf,fcb,6,26646-27613
451,readelf,fcb,6,17697-22184
452,readelf,fcb,6,1807-2012
453,readelf,fcb,6,25706-25733
454,readelf,fcb,6,16290-16342
455,readelf,fcb,6,15463-15472
456,readelf,fcb,6,15276-15284
457,readelf,fcb,6,15419-15429
458,readelf,fcb,6,15554-15560
459,readelf,fcb,6,15326-15340
460,readelf,fcb,6,15340-15354
461,readelf,fcb,6,15326-15332
462,readelf,fcb,6,16129-16144
463,readelf,fcb,6,2616-2619
464,readelf,fcb,6,2599-2603
465,readelf,fcb,6,6311-6416
466,readelf,fcb,6,16189-16214
467,readelf,fcb,6,16063-16067
468,readelf,fcb,6,16421-16449
469,readelf,fcb,6,6626-6630
470,readelf,fcb,6,4273-4281
471,readelf,fcb,6,14602-14605
472,readelf,fcb,6,14685-16221
473,readelf,fcb,6,14648-14667
474,readelf,fcb,6,14602-14625
475,readelf,fcb,6,14602-14630
476,readelf,fcb,6,14602-14610
477,readelf,fcb,6,14643-14667
478,readelf,fcb,6,14615-14639
479,readelf,fcb,6,17788-21549
480,readelf,fcb,6,14639-14658
481,readelf,fcb,6,14602-14620
482,readelf,fcb,6,14653-14667
483,readelf,fcb,6,25906-25914
484,readelf,fcb,6,4571-5057
485,readelf,fcb,6,16828-16831
486,readelf,fcb,6,13581-13609
487,readelf,fcb,6,14025-14040
488,readelf,fcb,6,14020-14040
489,readelf,fcb,6,16076-16081
490,readelf,fcb,6,6404-6416
491,readelf,fcb,6,12803-12813
492,readelf,fcb,6,6311-6316
493,readelf,fcb,6,6743-6747
494,readelf,fcb,6,6734-6743
495,readelf,fcb,6,6638-6655
496,readelf,fcb,6,6326-6416
497,readelf,fcb,6,1837-2012
498,readelf,fcb,6,1667-1676
499,readelf,fcb,6,13234-13208
