,benchmark,fuzzer_combination,max_coverage_global_smaller,first_time
0,cflow,fcb,181,1024
1,cflow,fca,181,200
2,jq,fcb,248,641
3,jq,fca,248,1314
4,libpng,fcb,398,359
5,libpng,fca,398,273
6,libxml2,fcb,1836,1097
7,libxml2,fca,1836,1425
8,lua,fcb,646,1114
9,lua,fca,646,1403
10,mp42aac,fcb,314,1429
11,mp42aac,fca,314,1259
12,nm,fcb,1827,1408
13,nm,fca,1827,672
14,objdump,fcb,990,1381
15,objdump,fca,990,1024
16,openssl,fcb,284,1
17,openssl,fca,284,0
18,readelf,fcb,2872,1036
19,readelf,fca,2872,1431
