,fuzzer,edge,fuzzer_combination,benchmark
9277,aflplusplus-0,10007-10059,fca,lua
9281,aflplusplus-0,101-110,fca,lua
9285,aflplusplus-0,10105-10120,fca,lua
9290,aflplusplus-0,10120-10143,fca,lua
9294,aflplusplus-0,10172-10181,fca,lua
9296,aflplusplus-0,10205-10237,fca,lua
9300,aflplusplus-0,10237-10469,fca,lua
9304,aflplusplus-0,10243-10466,fca,lua
9308,aflplusplus-0,10252-10270,fca,lua
9311,aflplusplus-0,10252-10334,fca,lua
9315,aflplusplus-0,10252-10373,fca,lua
9319,aflplusplus-0,10252-10445,fca,lua
9323,aflplusplus-0,10252-10456,fca,lua
9327,aflplusplus-0,10270-10284,fca,lua
9330,aflplusplus-0,10284-10469,fca,lua
9334,aflplusplus-0,10334-10469,fca,lua
9338,aflplusplus-0,10373-10383,fca,lua
9342,aflplusplus-0,10383-10387,fca,lua
9345,aflplusplus-0,10387-10407,fca,lua
9349,aflplusplus-0,10407-10443,fca,lua
9354,aflplusplus-0,10443-10461,fca,lua
9358,aflplusplus-0,10445-10469,fca,lua
9362,aflplusplus-0,10456-10461,fca,lua
9367,aflplusplus-0,10466-10469,fca,lua
9370,aflplusplus-0,10476-10490,fca,lua
9374,aflplusplus-0,10490-10503,fca,lua
9378,aflplusplus-0,10510-10548,fca,lua
9382,aflplusplus-0,10548-10556,fca,lua
9386,aflplusplus-0,10564-10629,fca,lua
9391,aflplusplus-0,10586-10608,fca,lua
9395,aflplusplus-0,10598-10608,fca,lua
9396,aflplusplus-0,10629-10634,fca,lua
9400,aflplusplus-0,10641-10674,fca,lua
9404,aflplusplus-0,10659-10674,fca,lua
9409,aflplusplus-0,10677-10689,fca,lua
9413,aflplusplus-0,10818-10830,fca,lua
9417,aflplusplus-0,10843-10874,fca,lua
9421,aflplusplus-0,10865-10874,fca,lua
9425,aflplusplus-0,10865-10881,fca,lua
9429,aflplusplus-0,10928-10950,fca,lua
9433,aflplusplus-0,10950-10966,fca,lua
9436,aflplusplus-0,10971-10990,fca,lua
9437,aflplusplus-0,110-112,fca,lua
9440,aflplusplus-0,11002-11021,fca,lua
9443,aflplusplus-0,11002-11028,fca,lua
9447,aflplusplus-0,11021-11028,fca,lua
9451,aflplusplus-0,11088-11105,fca,lua
9455,aflplusplus-0,11088-11116,fca,lua
9459,aflplusplus-0,11105-11116,fca,lua
9463,aflplusplus-0,11105-11123,fca,lua
9467,aflplusplus-0,11116-11123,fca,lua
9471,aflplusplus-0,11152-11176,fca,lua
9474,aflplusplus-0,11152-11184,fca,lua
9478,aflplusplus-0,11176-11186,fca,lua
9482,aflplusplus-0,11184-11186,fca,lua
9486,aflplusplus-0,11186-11192,fca,lua
9490,aflplusplus-0,11186-11201,fca,lua
9494,aflplusplus-0,11192-11206,fca,lua
9498,aflplusplus-0,11201-11206,fca,lua
9502,aflplusplus-0,11218-11273,fca,lua
9503,aflplusplus-0,11273-11283,fca,lua
9507,aflplusplus-0,11273-11298,fca,lua
9513,aflplusplus-0,11273-11332,fca,lua
