,fuzzer,edge,fuzzer_combination,benchmark
5765,aflplusplus-0,1017-1023,fca,mp42aac
5769,aflplusplus-0,1023-1032,fca,mp42aac
5778,aflplusplus-0,103334-103347,fca,mp42aac
5782,aflplusplus-0,103334-103350,fca,mp42aac
5784,aflplusplus-0,103347-103385,fca,mp42aac
5788,aflplusplus-0,103350-103358,fca,mp42aac
5796,aflplusplus-0,103363-103385,fca,mp42aac
5807,aflplusplus-0,103436-103441,fca,mp42aac
5810,aflplusplus-0,103447-103450,fca,mp42aac
5815,aflplusplus-0,103511-103526,fca,mp42aac
5819,aflplusplus-0,103511-103529,fca,mp42aac
5820,aflplusplus-0,103526-103605,fca,mp42aac
5830,aflplusplus-0,103594-103579,fca,mp42aac
5832,aflplusplus-0,103599-103605,fca,mp42aac
5838,aflplusplus-0,110-118,fca,mp42aac
5842,aflplusplus-0,110155-110168,fca,mp42aac
5846,aflplusplus-0,110155-110171,fca,mp42aac
5850,aflplusplus-0,110168-110206,fca,mp42aac
5853,aflplusplus-0,110171-110179,fca,mp42aac
5862,aflplusplus-0,110184-110206,fca,mp42aac
5868,aflplusplus-0,110221-110247,fca,mp42aac
5872,aflplusplus-0,110247-110252,fca,mp42aac
5873,aflplusplus-0,110252-110255,fca,mp42aac
5875,aflplusplus-0,110255-110259,fca,mp42aac
5883,aflplusplus-0,110282-110287,fca,mp42aac
5886,aflplusplus-0,110287-110294,fca,mp42aac
5890,aflplusplus-0,110287-110335,fca,mp42aac
5894,aflplusplus-0,110294-110298,fca,mp42aac
5899,aflplusplus-0,110298-110318,fca,mp42aac
5903,aflplusplus-0,110306-110381,fca,mp42aac
5907,aflplusplus-0,110318-110324,fca,mp42aac
5916,aflplusplus-0,110335-110339,fca,mp42aac
5919,aflplusplus-0,110339-110343,fca,mp42aac
5923,aflplusplus-0,110339-110345,fca,mp42aac
5926,aflplusplus-0,110343-110381,fca,mp42aac
5932,aflplusplus-0,110349-110353,fca,mp42aac
5939,aflplusplus-0,110358-110381,fca,mp42aac
5943,aflplusplus-0,110364-110372,fca,mp42aac
5946,aflplusplus-0,110372-110376,fca,mp42aac
5959,aflplusplus-0,110411-110418,fca,mp42aac
5967,aflplusplus-0,110907-110911,fca,mp42aac
5968,aflplusplus-0,110911-110962,fca,mp42aac
5973,aflplusplus-0,110929-110938,fca,mp42aac
5979,aflplusplus-0,110945-110962,fca,mp42aac
5983,aflplusplus-0,112094-112107,fca,mp42aac
5985,aflplusplus-0,112107-112145,fca,mp42aac
5989,aflplusplus-0,113714-113720,fca,mp42aac
5996,aflplusplus-0,113749-113762,fca,mp42aac
6000,aflplusplus-0,113749-113765,fca,mp42aac
6003,aflplusplus-0,113762-113800,fca,mp42aac
6006,aflplusplus-0,113765-113773,fca,mp42aac
6012,aflplusplus-0,113773-113781,fca,mp42aac
6022,aflplusplus-0,113855-113861,fca,mp42aac
6026,aflplusplus-0,113861-113893,fca,mp42aac
6033,aflplusplus-0,113873-113893,fca,mp42aac
6037,aflplusplus-0,113897-113902,fca,mp42aac
6041,aflplusplus-0,113902-113950,fca,mp42aac
6048,aflplusplus-0,113913-113950,fca,mp42aac
6051,aflplusplus-0,113915-113919,fca,mp42aac
6056,aflplusplus-0,113935-113940,fca,mp42aac
6057,aflplusplus-0,113980-113995,fca,mp42aac
6067,aflplusplus-0,114048-114053,fca,mp42aac
6070,aflplusplus-0,114069-114075,fca,mp42aac
6077,aflplusplus-0,114360-114379,fca,mp42aac
6079,aflplusplus-0,114397-114406,fca,mp42aac
6081,aflplusplus-0,114410-114413,fca,mp42aac
6087,aflplusplus-0,114541-114579,fca,mp42aac
6090,aflplusplus-0,114544-114552,fca,mp42aac
6094,aflplusplus-0,114552-114557,fca,mp42aac
6096,aflplusplus-0,114552-114560,fca,mp42aac
6104,aflplusplus-0,115248-115286,fca,mp42aac
6106,aflplusplus-0,1156-1170,fca,mp42aac
6110,aflplusplus-0,115875-115882,fca,mp42aac
6116,aflplusplus-0,115908-115915,fca,mp42aac
6120,aflplusplus-0,115937-115953,fca,mp42aac
6124,aflplusplus-0,115950-115988,fca,mp42aac
6128,aflplusplus-0,115953-115961,fca,mp42aac
6132,aflplusplus-0,115961-115966,fca,mp42aac
