,fuzzer,edge
654,afl-0-exid20,100008-100019
2981,afl-0-exid21,100008-100019
18408,afl-0-exid22,100008-100019
32836,afl-0-exid22,100008-100019
48413,afl-0-exid23,100008-100019
52407,afl-0-exid24,100008-100019
40455,aflfast-0-exid20,100008-100019
16945,aflfast-0-exid21,100008-100019
35182,aflfast-0-exid23,100008-100019
10759,aflfast-0-exid24,100008-100019
40164,aflplusplus-0-exid20,100008-100019
48412,aflplusplus-0-exid23,100008-100019
16672,fairfuzz-0-exid21,100008-100019
18479,fairfuzz-0-exid22,100008-100019
32857,fairfuzz-0-exid22,100008-100019
21922,fairfuzz-0-exid23,100008-100019
35355,fairfuzz-0-exid23,100008-100019
32258,afl-0-exid22,100008-100036
36931,afl-0-exid24,100008-100036
43128,afl-0-exid21,100019-100022
34868,afl-0-exid23,100019-100022
36944,afl-0-exid24,100019-100022
30329,aflfast-0-exid21,100019-100022
34079,aflfast-0-exid22,100019-100022
46351,aflfast-0-exid22,100019-100022
18345,aflplusplus-0-exid22,100019-100022
35093,aflplusplus-0-exid23,100019-100022
13513,fairfuzz-0-exid20,100019-100022
3034,fairfuzz-0-exid21,100019-100022
46093,fairfuzz-0-exid22,100019-100022
23841,fairfuzz-0-exid24,100019-100022
37893,fairfuzz-0-exid24,100019-100022
40200,afl-0-exid20,100022-100032
5540,afl-0-exid22,100022-100032
46014,afl-0-exid22,100022-100032
21681,afl-0-exid23,100022-100032
1457,aflfast-0-exid20,100022-100032
27592,aflfast-0-exid20,100022-100032
3809,aflfast-0-exid21,100022-100032
43311,aflfast-0-exid21,100022-100032
19058,aflfast-0-exid22,100022-100032
17304,aflplusplus-0-exid21,100022-100032
43064,aflplusplus-0-exid21,100022-100032
32900,aflplusplus-0-exid22,100022-100032
45965,aflplusplus-0-exid22,100022-100032
21668,aflplusplus-0-exid23,100022-100032
10503,aflplusplus-0-exid24,100022-100032
51741,aflplusplus-0-exid24,100022-100032
652,fairfuzz-0-exid20,100022-100032
40149,fairfuzz-0-exid20,100022-100032
30510,fairfuzz-0-exid21,100022-100032
43207,fairfuzz-0-exid21,100022-100032
5529,fairfuzz-0-exid22,100022-100032
17973,afl-0-exid22,100036-100214
23519,fairfuzz-0-exid24,100036-100214
20854,fairfuzz-0-exid23,100040-100051
1401,afl-0-exid20,100040-100098
27893,afl-0-exid20,100040-100098
31181,afl-0-exid21,100040-100098
43433,afl-0-exid21,100040-100098
5968,afl-0-exid22,100040-100098
8053,afl-0-exid23,100040-100098
21711,afl-0-exid23,100040-100098
35697,afl-0-exid23,100040-100098
48938,afl-0-exid23,100040-100098
24651,afl-0-exid24,100040-100098
37970,afl-0-exid24,100040-100098
1466,aflfast-0-exid20,100040-100098
28053,aflfast-0-exid20,100040-100098
16926,aflfast-0-exid21,100040-100098
31291,aflfast-0-exid21,100040-100098
43613,aflfast-0-exid21,100040-100098
6109,aflfast-0-exid22,100040-100098
46523,aflfast-0-exid22,100040-100098
8052,aflfast-0-exid23,100040-100098
21880,aflfast-0-exid23,100040-100098
48975,aflfast-0-exid23,100040-100098
24760,aflfast-0-exid24,100040-100098
37948,aflfast-0-exid24,100040-100098
27903,aflplusplus-0-exid20,100040-100098
31185,aflplusplus-0-exid21,100040-100098
43439,aflplusplus-0-exid21,100040-100098
5964,aflplusplus-0-exid22,100040-100098
19475,aflplusplus-0-exid22,100040-100098
8148,aflplusplus-0-exid23,100040-100098
21715,aflplusplus-0-exid23,100040-100098
48942,aflplusplus-0-exid23,100040-100098
24679,aflplusplus-0-exid24,100040-100098
37969,aflplusplus-0-exid24,100040-100098
28164,fairfuzz-0-exid20,100040-100098
16964,fairfuzz-0-exid21,100040-100098
31196,fairfuzz-0-exid21,100040-100098
6029,fairfuzz-0-exid22,100040-100098
8006,fairfuzz-0-exid23,100040-100098
21700,fairfuzz-0-exid23,100040-100098
35632,fairfuzz-0-exid23,100040-100098
48983,fairfuzz-0-exid23,100040-100098
24681,fairfuzz-0-exid24,100040-100098
37982,fairfuzz-0-exid24,100040-100098
16168,aflfast-0-exid21,100051-100066
18188,aflfast-0-exid22,100051-100066
10097,aflplusplus-0-exid24,100051-100066
7034,fairfuzz-0-exid23,100051-100066
1833,afl-0-exid20,100051-100080
6781,afl-0-exid22,100051-100080
36420,afl-0-exid23,100051-100080
1878,aflfast-0-exid20,100051-100080
4071,aflfast-0-exid21,100051-100080
6793,aflfast-0-exid22,100051-100080
19836,aflfast-0-exid22,100051-100080
47473,aflfast-0-exid22,100051-100080
36430,aflfast-0-exid23,100051-100080
1862,aflplusplus-0-exid20,100051-100080
29642,aflplusplus-0-exid20,100051-100080
4072,aflplusplus-0-exid21,100051-100080
6784,aflplusplus-0-exid22,100051-100080
19839,aflplusplus-0-exid22,100051-100080
47471,aflplusplus-0-exid22,100051-100080
36421,aflplusplus-0-exid23,100051-100080
52546,aflplusplus-0-exid24,100051-100080
1863,fairfuzz-0-exid20,100051-100080
29638,fairfuzz-0-exid20,100051-100080
4060,fairfuzz-0-exid21,100051-100080
