,fuzzer,edge,fuzzer_combination,benchmark
5946,aflplusplus-0,101617-101642,fca,openssl
5947,aflplusplus-0,101758-101788,fca,openssl
5951,aflplusplus-0,101788-101841,fca,openssl
5959,aflplusplus-0,102062-102092,fca,openssl
5960,aflplusplus-0,102092-102135,fca,openssl
5961,aflplusplus-0,102368-102398,fca,openssl
5965,aflplusplus-0,102404-102419,fca,openssl
5968,aflplusplus-0,102437-102441,fca,openssl
5971,aflplusplus-0,102511-102541,fca,openssl
5973,aflplusplus-0,102541-102594,fca,openssl
5975,aflplusplus-0,102572-102590,fca,openssl
5978,aflplusplus-0,102664-102694,fca,openssl
5981,aflplusplus-0,102694-102747,fca,openssl
5983,aflplusplus-0,102847-102890,fca,openssl
5987,aflplusplus-0,102886-102890,fca,openssl
5988,aflplusplus-0,10884-10907,fca,openssl
5990,aflplusplus-0,10907-10920,fca,openssl
5994,aflplusplus-0,113154-113161,fca,openssl
5996,aflplusplus-0,113849-113852,fca,openssl
5999,aflplusplus-0,12904-12936,fca,openssl
6000,aflplusplus-0,14066-14092,fca,openssl
6006,aflplusplus-0,14092-14095,fca,openssl
6010,aflplusplus-0,15781-15796,fca,openssl
6015,aflplusplus-0,168685-168736,fca,openssl
6024,aflplusplus-0,173321-173325,fca,openssl
6029,aflplusplus-0,18669-18673,fca,openssl
6030,aflplusplus-0,18673-18694,fca,openssl
6035,aflplusplus-0,187527-187538,fca,openssl
6052,aflplusplus-0,187864-187869,fca,openssl
6054,aflplusplus-0,187869-188087,fca,openssl
6057,aflplusplus-0,187919-187930,fca,openssl
6061,aflplusplus-0,187930-187939,fca,openssl
6082,aflplusplus-0,188197-188203,fca,openssl
6087,aflplusplus-0,188384-188391,fca,openssl
6090,aflplusplus-0,188712-188723,fca,openssl
6093,aflplusplus-0,188801-188806,fca,openssl
6095,aflplusplus-0,188834-188917,fca,openssl
6099,aflplusplus-0,188880-188895,fca,openssl
6100,aflplusplus-0,188899-188914,fca,openssl
6101,aflplusplus-0,188914-188917,fca,openssl
6103,aflplusplus-0,189017-189061,fca,openssl
6104,aflplusplus-0,189191-189200,fca,openssl
6105,aflplusplus-0,189200-189276,fca,openssl
6106,aflplusplus-0,189205-189207,fca,openssl
6107,aflplusplus-0,189348-189355,fca,openssl
6118,aflplusplus-0,190724-190758,fca,openssl
6119,aflplusplus-0,190758-190771,fca,openssl
6120,aflplusplus-0,190773-190785,fca,openssl
6122,aflplusplus-0,191011-191019,fca,openssl
6123,aflplusplus-0,191132-191150,fca,openssl
6124,aflplusplus-0,191152-191154,fca,openssl
6126,aflplusplus-0,191159-191162,fca,openssl
6127,aflplusplus-0,191308-191318,fca,openssl
6139,aflplusplus-0,21504-21525,fca,openssl
6140,aflplusplus-0,21525-21587,fca,openssl
6141,aflplusplus-0,21532-21537,fca,openssl
6146,aflplusplus-0,21730-21740,fca,openssl
6149,aflplusplus-0,218486-218512,fca,openssl
6151,aflplusplus-0,218911-218923,fca,openssl
6164,aflplusplus-0,218939-218943,fca,openssl
6167,aflplusplus-0,218943-218978,fca,openssl
6169,aflplusplus-0,218959-218963,fca,openssl
6171,aflplusplus-0,218963-218974,fca,openssl
6178,aflplusplus-0,219284-219292,fca,openssl
6180,aflplusplus-0,219292-219294,fca,openssl
6182,aflplusplus-0,219317-219345,fca,openssl
6184,aflplusplus-0,219343-219384,fca,openssl
6185,aflplusplus-0,219345-219350,fca,openssl
6188,aflplusplus-0,219350-219359,fca,openssl
6195,aflplusplus-0,219382-219384,fca,openssl
6211,aflplusplus-0,225728-225737,fca,openssl
6212,aflplusplus-0,226611-226631,fca,openssl
6215,aflplusplus-0,241954-241979,fca,openssl
6216,aflplusplus-0,242119-242108,fca,openssl
6218,aflplusplus-0,27618-27629,fca,openssl
6222,aflplusplus-0,292923-292943,fca,openssl
6229,aflplusplus-0,293190-293216,fca,openssl
6232,aflplusplus-0,293216-293382,fca,openssl
6236,aflplusplus-0,293344-293347,fca,openssl
6237,aflplusplus-0,293382-293394,fca,openssl
6241,aflplusplus-0,293394-293410,fca,openssl
6248,aflplusplus-0,294002-294031,fca,openssl
6249,aflplusplus-0,294154-294188,fca,openssl
6250,aflplusplus-0,294161-294188,fca,openssl
6256,aflplusplus-0,294367-294369,fca,openssl
6259,aflplusplus-0,295157-295179,fca,openssl
6263,aflplusplus-0,295225-295229,fca,openssl
6269,aflplusplus-0,295229-295236,fca,openssl
6276,aflplusplus-0,295236-295246,fca,openssl
6282,aflplusplus-0,295252-295254,fca,openssl
6288,aflplusplus-0,295311-295338,fca,openssl
6291,aflplusplus-0,295321-295335,fca,openssl
6293,aflplusplus-0,295335-295338,fca,openssl
6300,aflplusplus-0,295919-295933,fca,openssl
6307,aflplusplus-0,295933-295947,fca,openssl
6312,aflplusplus-0,295947-296018,fca,openssl
6320,aflplusplus-0,295965-295969,fca,openssl
6323,aflplusplus-0,295965-296014,fca,openssl
6324,aflplusplus-0,295969-295976,fca,openssl
6326,aflplusplus-0,295976-295981,fca,openssl
6329,aflplusplus-0,295994-295976,fca,openssl
6337,aflplusplus-0,296018-296020,fca,openssl
6340,aflplusplus-0,296031-296035,fca,openssl
6347,aflplusplus-0,296044-296178,fca,openssl
6351,aflplusplus-0,296072-296076,fca,openssl
6355,aflplusplus-0,296076-296167,fca,openssl
6359,aflplusplus-0,296087-296102,fca,openssl
6361,aflplusplus-0,296102-296108,fca,openssl
6362,aflplusplus-0,296102-296123,fca,openssl
6364,aflplusplus-0,296108-296102,fca,openssl
6365,aflplusplus-0,296123-296140,fca,openssl
6372,aflplusplus-0,296140-296165,fca,openssl
6378,aflplusplus-0,296160-296140,fca,openssl
6390,aflplusplus-0,296186-296215,fca,openssl
6394,aflplusplus-0,296215-296247,fca,openssl
6398,aflplusplus-0,296221-296225,fca,openssl
6402,aflplusplus-0,296225-296247,fca,openssl
6406,aflplusplus-0,296255-296280,fca,openssl
6410,aflplusplus-0,296280-296477,fca,openssl
6414,aflplusplus-0,296318-296325,fca,openssl
6421,aflplusplus-0,296367-296374,fca,openssl
6424,aflplusplus-0,296374-296382,fca,openssl
6439,aflplusplus-0,296421-296433,fca,openssl
6444,aflplusplus-0,296433-296477,fca,openssl
6447,aflplusplus-0,296484-296505,fca,openssl
6456,aflplusplus-0,296959-296966,fca,openssl
6459,aflplusplus-0,296966-296993,fca,openssl
6467,aflplusplus-0,297118-297134,fca,openssl
6471,aflplusplus-0,297125-297155,fca,openssl
6475,aflplusplus-0,297134-297147,fca,openssl
6480,aflplusplus-0,297147-297180,fca,openssl
6485,aflplusplus-0,297155-297177,fca,openssl
6486,aflplusplus-0,297157-297169,fca,openssl
6492,aflplusplus-0,297345-297372,fca,openssl
6494,aflplusplus-0,297816-297845,fca,openssl
6497,aflplusplus-0,297845-297979,fca,openssl
6500,aflplusplus-0,297911-297928,fca,openssl
6501,aflplusplus-0,298256-298322,fca,openssl
6505,aflplusplus-0,298309-298322,fca,openssl
6506,aflplusplus-0,298322-298630,fca,openssl
6513,aflplusplus-0,298397-298404,fca,openssl
6517,aflplusplus-0,298397-298415,fca,openssl
6524,aflplusplus-0,298404-298424,fca,openssl
6528,aflplusplus-0,298415-298630,fca,openssl
6535,aflplusplus-0,298768-298776,fca,openssl
6537,aflplusplus-0,298776-298792,fca,openssl
6539,aflplusplus-0,298792-298809,fca,openssl
6540,aflplusplus-0,298809-298816,fca,openssl
6543,aflplusplus-0,298841-298850,fca,openssl
6549,aflplusplus-0,299732-299777,fca,openssl
6553,aflplusplus-0,299756-299777,fca,openssl
6559,aflplusplus-0,299795-299811,fca,openssl
6563,aflplusplus-0,299811-299814,fca,openssl
6566,aflplusplus-0,299821-299843,fca,openssl
6569,aflplusplus-0,301242-301264,fca,openssl
6571,aflplusplus-0,301264-301280,fca,openssl
6574,aflplusplus-0,301467-301471,fca,openssl
6577,aflplusplus-0,301496-301510,fca,openssl
6578,aflplusplus-0,301512-301514,fca,openssl
6579,aflplusplus-0,301518-301537,fca,openssl
6580,aflplusplus-0,301545-301550,fca,openssl
6582,aflplusplus-0,301557-301568,fca,openssl
6600,aflplusplus-0,301728-301761,fca,openssl
6601,aflplusplus-0,301761-301783,fca,openssl
