,crash_id,crash_frames_hash,sanitizer,fuzzer_combination,benchmark
0,411,0385fd953418b4a9a73109965ed568c1,asan,fca,cflow
1,319,097576036382d7d2b774623b1844285b,asan,fca,cflow
2,308,333b4b08bdbba43f4ade91fe58aa064e,asan,fca,cflow
3,99,5cb48614635b636e96efbb73c8add63f,asan,fca,cflow
4,191,99fad7a3b490f7d3d7fc13b4db848e11,asan,fca,cflow
5,18,9c74ce5d00fb534a6644db103f1bfe0b,asan,fca,cflow
6,422,bf39470c4385d389d7814248ff4d17c1,asan,fca,cflow
7,119,c35e68ad11ee23588788f0dd3a2c0d73,asan,fca,cflow
8,250,d05f359b27234cc1572a4c4af1b79e43,asan,fca,cflow
9,1038,2240f99b7364454196a6e7fac2028d2b,tsan,fca,cflow
10,883,242466f34bd61f7c5b79a168dbd25c63,tsan,fca,cflow
11,1116,ef18311e55235156d43317cf16f5eb92,tsan,fca,cflow
12,1380,b6805236842427b48c7aaccd83dca7b7,ubsan,fca,cflow
13,626,ba127fb63aa0f674b7835337994a5827,ubsan,fca,cflow
14,1383,dc932f8b8003795cf9d4cf9e58604b99,ubsan,fca,cflow
15,703,e295cda911fd159412aecf974a33b406,ubsan,fca,cflow
16,12,097576036382d7d2b774623b1844285b,asan,fcb,cflow
17,10,5cb48614635b636e96efbb73c8add63f,asan,fcb,cflow
18,34,608e3e385a0175b5249795cd7b6f6e80,asan,fcb,cflow
19,147,706f128d1de30d2cf68c05529afb4247,asan,fcb,cflow
20,34,99fad7a3b490f7d3d7fc13b4db848e11,asan,fcb,cflow
21,170,9c74ce5d00fb534a6644db103f1bfe0b,asan,fcb,cflow
22,148,bf39470c4385d389d7814248ff4d17c1,asan,fcb,cflow
23,20,d05f359b27234cc1572a4c4af1b79e43,asan,fcb,cflow
24,179,198f3c3c354aaedb5e33ba83b5b95a7f,tsan,fcb,cflow
25,713,2240f99b7364454196a6e7fac2028d2b,tsan,fcb,cflow
26,89,242466f34bd61f7c5b79a168dbd25c63,tsan,fcb,cflow
27,829,ef18311e55235156d43317cf16f5eb92,tsan,fcb,cflow
28,181,f62e79ec7a50f4eb81613db7874b05fc,tsan,fcb,cflow
29,350,98b0b019c8fb28351ab32f4e7127bc72,ubsan,fcb,cflow
30,907,b6805236842427b48c7aaccd83dca7b7,ubsan,fcb,cflow
31,110,ba127fb63aa0f674b7835337994a5827,ubsan,fcb,cflow
32,261,d41d8cd98f00b204e9800998ecf8427e,ubsan,fcb,cflow
33,482,dc932f8b8003795cf9d4cf9e58604b99,ubsan,fcb,cflow
34,41,16a157362eca8f4f9697a4fd30bd8c0e,asan,fca,jq
35,12,5e2c472b880703887978fa5ec756aa89,asan,fca,jq
36,49,b7a1968bbc1b8688d3bf445d52ef45a5,asan,fca,jq
37,1,087664914f7c2d0d3309ea7f88757b6f,asan,fca,libpng
38,1,75f6dffe3b4d18f4e5c4404ad77242d8,asan,fca,libpng
39,13,087664914f7c2d0d3309ea7f88757b6f,msan,fca,libpng
40,3,75f6dffe3b4d18f4e5c4404ad77242d8,msan,fca,libpng
41,4,314b2ae3f91250c4ec8955f5f6d8d722,tsan,fca,libpng
42,5,75f6dffe3b4d18f4e5c4404ad77242d8,tsan,fca,libpng
43,6,087664914f7c2d0d3309ea7f88757b6f,ubsan,fca,libpng
44,1,087664914f7c2d0d3309ea7f88757b6f,asan,fcb,libpng
45,3,314b2ae3f91250c4ec8955f5f6d8d722,tsan,fcb,libpng
46,5,087664914f7c2d0d3309ea7f88757b6f,ubsan,fcb,libpng
47,2,11243d051f2fbe9830a0ea83508df953,asan,fca,libxml2
48,2,1f76a2ae4ea2872ae563e79ea116d9aa,asan,fca,libxml2
49,4,3670484304cb7e1667c1cb94b2fe73f0,asan,fca,libxml2
50,7,4864b2f9af26f821280425527998384a,asan,fca,libxml2
51,2,aee23fea4121dd93d335beb648512696,asan,fca,libxml2
52,1,bab24d426dbd9e12a31704e0390fdd5c,asan,fca,libxml2
53,3,d21fa96e57f47e3e0c7025ad97ff3834,asan,fca,libxml2
54,2,5ba92c33fe113c78cb3683b0dfdee679,asan,fcb,libxml2
55,3,7bd81fefaf2842c9a26ffd7bbee41440,asan,fcb,libxml2
56,14,80fa485c025001ca323f25c7c5a1ef4d,asan,fcb,libxml2
57,34,374e048c6e3766ecc8c6379ee8a24480,asan,fca,lua
58,67,3b53cd9bd58d46c5884831e9de479c48,asan,fca,lua
59,94,5753a5974858eb4e519e9a7b8ad5d7f5,asan,fca,lua
60,1,7dd47396c7428ef54901dfb92a40f21f,asan,fca,lua
