,benchmark,fuzzer_combination,experiment_id_1,experiment_id_2,experiment_id_3,experiment_id_4,experiment_id_5,experiment_id_6,experiment_id_7,experiment_id_8,experiment_id_9,experiment_id_10,experiment_id_11,experiment_id_12,experiment_id_13,experiment_id_14,experiment_id_15,experiment_id_16,experiment_id_17,experiment_id_18,experiment_id_19,experiment_id_20,max,avg,unique_bugcnt,times
0,cflow,fcb,5,7,8,5,7,4,5,5,6,6,8,8,14,5,4,6,5,5,6,8,14,6.35,18,2.834645669291339
1,cflow,fca,9,10,5,9,7,7,8,8,5,7,7,3,8,6,9,5,8,10,9,8,10,7.4,16,2.162162162162162
2,jq,fcb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,-1.0
3,jq,fca,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3.0,3,1.0
4,libpng,fcb,2,0,0,0,2,0,0,0,0,2,2,0,0,2,0,2,2,0,0,2,2,0.8,2,2.5
5,libpng,fca,0,1,1,0,1,3,1,0,0,2,2,1,0,3,1,1,1,0,0,0,3,0.9,3,3.333333333333333
6,libxml2,fcb,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0.15,3,20.0
7,libxml2,fca,1,0,1,0,1,1,2,2,0,0,0,0,2,0,0,0,3,0,0,0,3,0.65,7,10.769230769230768
8,lua,fcb,0,0,0,0,0,6,0,3,0,0,2,0,0,0,4,0,0,7,4,0,7,1.3,17,13.076923076923077
9,lua,fca,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14,0.75,15,20.0
10,mp42aac,fcb,1,3,1,4,1,1,2,3,0,5,3,4,0,1,3,3,1,0,1,0,5,1.85,9,4.864864864864865
11,mp42aac,fca,1,7,1,1,0,0,6,0,8,0,6,7,0,5,1,6,0,0,9,0,9,2.9,13,4.482758620689656
12,nm,fcb,140,143,198,161,143,185,148,187,174,168,147,138,136,157,115,144,166,160,136,72,198,150.9,606,4.0159045725646125
13,nm,fca,174,147,60,83,145,191,110,73,193,170,157,188,148,187,93,102,163,97,126,156,193,138.15,598,4.328628302569671
14,objdump,fcb,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,2,0.25,3,12.0
15,objdump,fca,1,2,4,3,2,16,3,1,3,3,1,3,3,1,4,3,2,5,1,4,16,3.25,20,6.153846153846154
16,openssl,fcb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,-1.0
17,openssl,fca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,-1.0
18,readelf,fcb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,-1.0
19,readelf,fca,0,0,2,1,0,0,0,1,1,0,0,6,0,0,0,4,2,0,2,1,6,1.0,8,8.0
