,discovery_time,crash_frames_hash,fuzzer_combination
0,610,4d6691919f8ba7cab2a6acc47a08f99f,fcb
1,610,e1c20d504bd2f23ad90478ace07ef2d9,fcb
2,653,5753a5974858eb4e519e9a7b8ad5d7f5,fcb
4,1419,89b37f8d743fe97579c6f6e939d9f2f0,fcb
5,1419,c286f4ef28c75d8ff7147c42affd4a73,fcb
10,600,7dd47396c7428ef54901dfb92a40f21f,fcb
0,1218,89b37f8d743fe97579c6f6e939d9f2f0,fca
2,1241,4d6691919f8ba7cab2a6acc47a08f99f,fca
6,1276,c286f4ef28c75d8ff7147c42affd4a73,fca
12,1414,e1c20d504bd2f23ad90478ace07ef2d9,fca
13,1430,5753a5974858eb4e519e9a7b8ad5d7f5,fca
14,1152,7dd47396c7428ef54901dfb92a40f21f,fca
