,discovery_id,discovery_time,crash_frames_hash,count
0,31327,370,11243d051f2fbe9830a0ea83508df953,0.05
1,33793,625,11243d051f2fbe9830a0ea83508df953,0.1
2,36238,797,3670484304cb7e1667c1cb94b2fe73f0,0.15
3,36453,824,4864b2f9af26f821280425527998384a,0.2
4,35848,829,d21fa96e57f47e3e0c7025ad97ff3834,0.25
5,37278,896,1f76a2ae4ea2872ae563e79ea116d9aa,0.3
6,37687,993,4864b2f9af26f821280425527998384a,0.35
7,37844,1012,3670484304cb7e1667c1cb94b2fe73f0,0.4
8,36830,1030,aee23fea4121dd93d335beb648512696,0.45
9,36841,1031,4864b2f9af26f821280425527998384a,0.5
10,37117,1227,bab24d426dbd9e12a31704e0390fdd5c,0.55
11,37120,1227,1f76a2ae4ea2872ae563e79ea116d9aa,0.6
12,38144,1292,d21fa96e57f47e3e0c7025ad97ff3834,0.65
