,discovery_id,discovery_fuzzer,discovery_fuzzer_name,fuzzer_type_description,discovery_time,testcase_hash,testcase_type_description,crash_id,crash_type,crash_frames_hash
256,2993,2952889689,fairfuzz-0-exid22,fairfuzz,8759,8d468056cbaece6e1bd47cb5c1d1a737c3326ea260c1f1e783cabc0c64d4bfe8,crash,256,SEGV,091e2b0acad15effd7329698203f260a
285,5635,2952889689,fairfuzz-0-exid22,fairfuzz,14411,011cc66dd05266723570571634bf82db49529f70f39abe605de77a71d12ed432,crash,285,SEGV,3337507338c626f26a069ee763ff14e9
216,6692,3021693092,aflplusplus-0-exid22,aflplusplus,17297,4be2d2785ec4981bf7a654489e55e25ea87df8c68d14104b7f8a3ea2e1568fc0,crash,216,SEGV,091e2b0acad15effd7329698203f260a
30,7775,4194853110,radamsa-0-exid22,radamsa,23320,00b20899ba1c19f0a75a42c8f07563ea9f8388341516f17aeb4f152c4e6abee9,crash,30,SEGV,3337507338c626f26a069ee763ff14e9
155,8760,4194853110,radamsa-0-exid22,radamsa,29851,2a57a57001d186f9632dd80a71b2aeacba5b0d339b874b06fe42741a8fab7fb9,crash,155,SEGV,a12b812cb9bd64247118c3591189e3dd
144,8771,4194853110,radamsa-0-exid22,radamsa,29854,7919fc2020044749ac8b6505b91c6079a15e2646c2a1e08c716c3cf053bda430,crash,144,SEGV,310497d90403cf2ef72b6016c358fb96
205,8777,4194853110,radamsa-0-exid22,radamsa,29868,99a2528a81453a4366ca7e333ffd07670d2b1ef2448ee192df20ebcaaacf7cd7,crash,205,SEGV,c5b7f49d01383031c7e228bfb25b5149
179,10293,2952889689,fairfuzz-0-exid22,fairfuzz,34459,9eea9e2bd05fdd7c34569744470ec1e550b0e9c8804c2dbe20ef0283bf90a72c,crash,179,SEGV,7494f81786b09ea9ce1f0ca35a6034b8
277,10295,2952889689,fairfuzz-0-exid22,fairfuzz,34459,c47ae8e7195bf96d228975ee12cb7c7ef3502b1ebf3b54062bd9c8ec6f78e4a7,crash,277,SEGV,0999f46922b326ce6ef98728dc4b030c
142,10372,2952889689,fairfuzz-0-exid22,fairfuzz,34908,82b3c0896c1f9f66d9d7ec8e45d7c7196ed662549805a14a36b529baffc26542,crash,142,SEGV,310497d90403cf2ef72b6016c358fb96
100,11425,2952889689,fairfuzz-0-exid22,fairfuzz,37536,7d3172a97fe8ae5dd63a27117234c6cd19f209c46febdb70b3080bdfb01abdfc,crash,100,SEGV,fc70583744155ed14c5a6ddb2d7ef7e1
114,11436,4194853110,radamsa-0-exid22,radamsa,37645,ea7ad44d313a0062f71ae54660bce68c21895314bf10d88a490c76c9ff1b333a,crash,114,SEGV,e98079b11bf8e735563986ba94293a8c
